bmi_group,q,bmi_used_for_conservative_group_decision,continuous_threshold_week,recommended_complete_week,status,bootstrap_replicate
40+,0.9,46.875,25.086397418291224,,beyond_25_week_window,13
20-<28,0.9,27.97521095,12.52146716136747,13.0,within_window,14
28-<32,0.9,31.99217133,18.441075746108158,19.0,within_window,14
32-<36,0.9,35.9610279813552,24.289796092453077,25.0,within_window,14
36-<40,0.9,39.89611954,30.088758384506946,,beyond_25_week_window,14
40+,0.9,46.875,40.373211497010644,,beyond_25_week_window,14
20-<28,0.9,27.97521095,17.02107292200576,18.0,within_window,15
28-<32,0.9,31.99217133,18.988918240266422,19.0,within_window,15
32-<36,0.9,35.9610279813552,20.933198303147456,21.0,within_window,15
36-<40,0.9,39.89611954,22.860937381471707,23.0,within_window,15
40+,0.9,46.875,26.279780471955917,,beyond_25_week_window,15
20-<28,0.9,27.97521095,12.362460659047281,13.0,within_window,16
28-<32,0.9,31.99217133,16.35680440190759,17.0,within_window,16
32-<36,0.9,35.9610279813552,20.303315253889192,21.0,within_window,16
36-<40,0.9,39.89611954,24.216251120300512,25.0,within_window,16
40+,0.9,46.875,31.15583848500612,,beyond_25_week_window,16
20-<28,0.9,27.97521095,11.73937664153755,12.0,within_window,17
28-<32,0.9,31.99217133,16.283048647720275,17.0,within_window,17
32-<36,0.9,35.9610279813552,20.772309471177714,21.0,within_window,17
36-<40,0.9,39.89611954,25.223377857563023,,beyond_25_week_window,17
40+,0.9,46.875,33.11734264209933,,beyond_25_week_window,17
20-<28,0.9,27.97521095,18.077901299716128,19.0,within_window,18
28-<32,0.9,31.99217133,18.663970560620577,19.0,within_window,18
32-<36,0.9,35.9610279813552,19.24302155048756,20.0,within_window,18
36-<40,0.9,39.89611954,19.817146257529426,20.0,within_window,18
40+,0.9,46.875,20.835355780704436,21.0,within_window,18
20-<28,0.9,27.97521095,14.335815082638797,15.0,within_window,19
28-<32,0.9,31.99217133,18.50114154208309,19.0,within_window,19
32-<36,0.9,35.9610279813552,22.616587565882632,23.0,within_window,19
36-<40,0.9,39.89611954,26.697021386232905,,beyond_25_week_window,19
40+,0.9,46.875,33.9336661841427,,beyond_25_week_window,19
20-<28,0.9,27.97521095,17.736424006683876,18.0,within_window,20
28-<32,0.9,31.99217133,18.95945341956648,19.0,within_window,20
32-<36,0.9,35.9610279813552,20.167836863996207,21.0,within_window,20
36-<40,0.9,39.89611954,21.365939972647887,22.0,within_window,20
40+,0.9,46.875,23.490774490326565,24.0,within_window,20
20-<28,0.9,27.97521095,16.93797956094135,17.0,within_window,21
28-<32,0.9,31.99217133,18.226509070018416,19.0,within_window,21
32-<36,0.9,35.9610279813552,19.499608236749044,20.0,within_window,21
36-<40,0.9,39.89611954,20.761876497964476,21.0,within_window,21
40+,0.9,46.875,23.00050784165508,24.0,within_window,21
20-<28,0.9,27.97521095,18.0996046081548,19.0,within_window,22
28-<32,0.9,31.99217133,20.37617980761108,21.0,within_window,22
32-<36,0.9,35.9610279813552,22.62549266308723,23.0,within_window,22
36-<40,0.9,39.89611954,24.855669464084333,25.0,within_window,22
40+,0.9,46.875,28.81088551607986,,beyond_25_week_window,22
20-<28,0.9,27.97521095,18.346419151690025,19.0,within_window,23
28-<32,0.9,31.99217133,20.776032869047643,21.0,within_window,23
32-<36,0.9,35.9610279813552,23.176551582244066,24.0,within_window,23
36-<40,0.9,39.89611954,25.556647855422042,,beyond_25_week_window,23
40+,0.9,46.875,29.777745922965103,,beyond_25_week_window,23
20-<28,0.9,27.97521095,15.564116028203783,16.0,within_window,24
28-<32,0.9,31.99217133,18.278415190287777,19.0,within_window,24
32-<36,0.9,35.9610279813552,20.960210195496398,21.0,within_window,24
36-<40,0.9,39.89611954,23.619189799460873,24.0,within_window,24
40+,0.9,46.875,28.33488714095727,,beyond_25_week_window,24
20-<28,0.9,27.97521095,14.91258756144732,15.0,within_window,25
28-<32,0.9,31.99217133,17.507799184846032,18.0,within_window,25
32-<36,0.9,35.9610279813552,20.07193274326572,21.0,within_window,25
36-<40,0.9,39.89611954,22.614251906526455,23.0,within_window,25
40+,0.9,46.875,27.123052087448865,,beyond_25_week_window,25
20-<28,0.9,27.97521095,14.196024359011925,15.0,within_window,26
28-<32,0.9,31.99217133,17.84560746154336,18.0,within_window,26
32-<36,0.9,35.9610279813552,21.451486235771004,22.0,within_window,26
36-<40,0.9,39.89611954,25.0266879556705,,beyond_25_week_window,26
40+,0.9,46.875,31.367304190825593,,beyond_25_week_window,26
20-<28,0.9,27.97521095,13.840847346656236,14.0,within_window,27
28-<32,0.9,31.99217133,17.309103092832274,18.0,within_window,27
32-<36,0.9,35.9610279813552,20.735825934149332,21.0,within_window,27
36-<40,0.9,39.89611954,24.133395892257468,25.0,within_window,27
40+,0.9,46.875,30.15898239736277,,beyond_25_week_window,27
20-<28,0.9,27.97521095,15.374583891201258,16.0,within_window,28
28-<32,0.9,31.99217133,17.53021377515236,18.0,within_window,28
32-<36,0.9,35.9610279813552,19.660029654187586,20.0,within_window,28
36-<40,0.9,39.89611954,21.77172610061817,22.0,within_window,28
40+,0.9,46.875,25.51681737684789,,beyond_25_week_window,28
20-<28,0.9,27.97521095,13.838771206414803,14.0,within_window,29
28-<32,0.9,31.99217133,16.106707533330653,17.0,within_window,29
32-<36,0.9,35.9610279813552,18.34748496811582,19.0,within_window,29
36-<40,0.9,39.89611954,20.569198963609708,21.0,within_window,29
40+,0.9,46.875,24.509406239549328,25.0,within_window,29
20-<28,0.9,27.97521095,12.316769726457776,13.0,within_window,30
28-<32,0.9,31.99217133,17.44721130215881,18.0,within_window,30
32-<36,0.9,35.9610279813552,22.516215037791945,23.0,within_window,30
36-<40,0.9,39.89611954,27.542094166990985,,beyond_25_week_window,30
40+,0.9,46.875,36.455485158373264,,beyond_25_week_window,30
20-<28,0.9,27.97521095,16.215301593738328,17.0,within_window,31
28-<32,0.9,31.99217133,18.726197678926304,19.0,within_window,31
32-<36,0.9,35.9610279813552,21.207025390888955,22.0,within_window,31
36-<40,0.9,39.89611954,23.666747433120666,24.0,within_window,31
40+,0.9,46.875,28.02906171265778,,beyond_25_week_window,31
20-<28,0.9,27.97521095,17.613780790330633,18.0,within_window,32
28-<32,0.9,31.99217133,18.388960459843755,19.0,within_window,32
32-<36,0.9,35.9610279813552,19.154857231606904,20.0,within_window,32
36-<40,0.9,39.89611954,19.914238127948767,20.0,within_window,32
40+,0.9,46.875,21.26099929479761,22.0,within_window,32
20-<28,0.9,27.97521095,14.675028655899219,15.0,within_window,33
28-<32,0.9,31.99217133,18.062764780114417,19.0,within_window,33
32-<36,0.9,35.9610279813552,21.409932234533716,22.0,within_window,33
36-<40,0.9,39.89611954,24.728623624095114,25.0,within_window,33
40+,0.9,46.875,30.614319076466387,,beyond_25_week_window,33
20-<28,0.9,27.97521095,14.530202582100802,15.0,within_window,34
28-<32,0.9,31.99217133,19.127485087458048,20.0,within_window,34
32-<36,0.9,35.9610279813552,23.66971441597983,24.0,within_window,34
36-<40,0.9,39.89611954,28.17330067727542,,beyond_25_week_window,34
40+,0.9,46.875,36.160405853985566,,beyond_25_week_window,34
20-<28,0.9,27.97521095,14.434375655897744,15.0,within_window,35
28-<32,0.9,31.99217133,18.001935526477503,19.0,within_window,35
32-<36,0.9,35.9610279813552,21.526773309781294,22.0,within_window,35
36-<40,0.9,39.89611954,25.021623495900965,,beyond_25_week_window,35
40+,0.9,46.875,31.219736376135344,,beyond_25_week_window,35
20-<28,0.9,27.97521095,15.7414694812454,16.0,within_window,36
28-<32,0.9,31.99217133,17.528677613574793,18.0,within_window,36
32-<36,0.9,35.9610279813552,19.29448364907062,20.0,within_window,36
36-<40,0.9,39.89611954,21.045267069809945,22.0,within_window,36
40+,0.9,46.875,24.150279500295184,25.0,within_window,36
20-<28,0.9,27.97521095,12.282381678659682,13.0,within_window,37
28-<32,0.9,31.99217133,17.402581511300447,18.0,within_window,37
32-<36,0.9,35.9610279813552,22.461466150347867,23.0,within_window,37
36-<40,0.9,39.89611954,27.47731227128949,,beyond_25_week_window,37
40+,0.9,46.875,36.372909733794685,,beyond_25_week_window,37
20-<28,0.9,27.97521095,15.260573801053827,16.0,within_window,38
28-<32,0.9,31.99217133,17.304172088759348,18.0,within_window,38
32-<36,0.9,35.9610279813552,19.32329796743136,20.0,within_window,38
36-<40,0.9,39.89611954,21.32524610992485,22.0,within_window,38
40+,0.9,46.875,24.87569889237363,25.0,within_window,38
20-<28,0.9,27.97521095,19.662473372921344,20.0,within_window,39
28-<32,0.9,31.99217133,17.642959851011724,18.0,within_window,39
32-<36,0.9,35.9610279813552,15.647630319299305,16.0,within_window,39
36-<40,0.9,39.89611954,13.669276076075336,14.0,within_window,39
40+,0.9,46.875,10.16066704748422,11.0,within_window,39
20-<28,0.9,27.97521095,18.883578070620676,19.0,within_window,40
28-<32,0.9,31.99217133,19.5690293111941,20.0,within_window,40
32-<36,0.9,35.9610279813552,20.246272165984095,21.0,within_window,40
36-<40,0.9,39.89611954,20.91775336955103,21.0,within_window,40
40+,0.9,46.875,22.108624529978215,23.0,within_window,40
20-<28,0.9,27.97521095,17.18697554341284,18.0,within_window,41
28-<32,0.9,31.99217133,19.805574958939918,20.0,within_window,41
32-<36,0.9,35.9610279813552,22.392816237020305,23.0,within_window,41
36-<40,0.9,39.89611954,24.958046530756192,25.0,within_window,41
40+,0.9,46.875,29.507479575846205,,beyond_25_week_window,41
20-<28,0.9,27.97521095,16.084590464028913,17.0,within_window,42
28-<32,0.9,31.99217133,17.801634317345616,18.0,within_window,42
32-<36,0.9,35.9610279813552,19.498116302040863,20.0,within_window,42
36-<40,0.9,39.89611954,21.180165447123418,22.0,within_window,42
40+,0.9,46.875,24.163277716922565,25.0,within_window,42
20-<28,0.9,27.97521095,16.320457295793588,17.0,within_window,43
28-<32,0.9,31.99217133,19.64086898024801,20.0,within_window,43
32-<36,0.9,35.9610279813552,22.921518215599555,23.0,within_window,43
36-<40,0.9,39.89611954,26.17425729059191,,beyond_25_week_window,43
40+,0.9,46.875,31.94298638714194,,beyond_25_week_window,43
20-<28,0.9,27.97521095,19.034666410596873,20.0,within_window,44
28-<32,0.9,31.99217133,21.422537705718106,22.0,within_window,44
32-<36,0.9,35.9610279813552,23.781813868711293,24.0,within_window,44
36-<40,0.9,39.89611954,26.121018463146896,,beyond_25_week_window,44
40+,0.9,46.875,30.26959518436327,,beyond_25_week_window,44
20-<28,0.9,27.97521095,15.452319105360056,16.0,within_window,45
28-<32,0.9,31.99217133,17.8740789725128,18.0,within_window,45
32-<36,0.9,35.9610279813552,20.26683788658859,21.0,within_window,45
36-<40,0.9,39.89611954,22.63924037722444,23.0,within_window,45
40+,0.9,46.875,26.84669353006945,,beyond_25_week_window,45
20-<28,0.9,27.97521095,11.228066082325398,12.0,within_window,46
28-<32,0.9,31.99217133,17.3798449372768,18.0,within_window,46
32-<36,0.9,35.9610279813552,23.45795527854438,24.0,within_window,46
36-<40,0.9,39.89611954,29.48435602755272,,beyond_25_week_window,46
40+,0.9,46.875,40.1721709880432,,beyond_25_week_window,46
20-<28,0.9,27.97521095,15.338283516217668,16.0,within_window,47
28-<32,0.9,31.99217133,20.47126655144016,21.0,within_window,47
32-<36,0.9,35.9610279813552,25.542781312219596,,beyond_25_week_window,47
36-<40,0.9,39.89611954,30.5711501039902,,beyond_25_week_window,47
40+,0.9,46.875,39.48895650914716,,beyond_25_week_window,47
20-<28,0.9,27.97521095,10.82947992772792,11.0,within_window,48
28-<32,0.9,31.99217133,16.388064832174813,17.0,within_window,48
32-<36,0.9,35.9610279813552,21.880084813247333,22.0,within_window,48
36-<40,0.9,39.89611954,27.325381372408163,,beyond_25_week_window,48
40+,0.9,46.875,36.98260870480605,,beyond_25_week_window,48
20-<28,0.9,27.97521095,11.804391979301544,12.0,within_window,49
28-<32,0.9,31.99217133,16.865299957717426,17.0,within_window,49
32-<36,0.9,35.9610279813552,21.86560277176521,22.0,within_window,49
36-<40,0.9,39.89611954,26.823365453243902,,beyond_25_week_window,49
40+,0.9,46.875,35.61595200109148,,beyond_25_week_window,49
20-<28,0.9,27.97521095,14.473948713977126,15.0,within_window,50
28-<32,0.9,31.99217133,17.26179502233799,18.0,within_window,50
32-<36,0.9,35.9610279813552,20.016256435246937,21.0,within_window,50
36-<40,0.9,39.89611954,22.74728423662891,23.0,within_window,50
40+,0.9,46.875,27.5907589753324,,beyond_25_week_window,50
20-<28,0.9,27.97521095,16.809798638733106,17.0,within_window,51
28-<32,0.9,31.99217133,20.09825827956467,21.0,within_window,51
32-<36,0.9,35.9610279813552,23.347338102011786,24.0,within_window,51
36-<40,0.9,39.89611954,26.568776341235946,,beyond_25_week_window,51
40+,0.9,46.875,32.28199344070309,,beyond_25_week_window,51
20-<28,0.9,27.97521095,12.237862603754817,13.0,within_window,52
28-<32,0.9,31.99217133,18.422133108169525,19.0,within_window,52
32-<36,0.9,35.9610279813552,24.532346006317674,25.0,within_window,52
36-<40,0.9,39.89611954,30.590576199341967,,beyond_25_week_window,52
40+,0.9,46.875,41.33484064304906,,beyond_25_week_window,52
20-<28,0.9,27.97521095,16.74118864101684,17.0,within_window,53
28-<32,0.9,31.99217133,18.01076274645625,19.0,within_window,53
32-<36,0.9,35.9610279813552,19.265133503471667,20.0,within_window,53
36-<40,0.9,39.89611954,20.508832687128702,21.0,within_window,53
40+,0.9,46.875,22.71453179262326,23.0,within_window,53
20-<28,0.9,27.97521095,20.475885177449523,21.0,within_window,54
28-<32,0.9,31.99217133,19.619889250522526,20.0,within_window,54
32-<36,0.9,35.9610279813552,18.77414400866451,19.0,within_window,54
36-<40,0.9,39.89611954,17.935593953987407,18.0,within_window,54
40+,0.9,46.875,16.44842637374097,17.0,within_window,54
20-<28,0.9,27.97521095,18.393733604887515,19.0,within_window,55
28-<32,0.9,31.99217133,20.23986364648455,21.0,within_window,55
32-<36,0.9,35.9610279813552,22.06388599217147,23.0,within_window,55
36-<40,0.9,39.89611954,23.872390447186547,24.0,within_window,55
40+,0.9,46.875,27.07977106713693,,beyond_25_week_window,55
20-<28,0.9,27.97521095,21.119169354024542,22.0,within_window,56
28-<32,0.9,31.99217133,20.39143335171875,21.0,within_window,56
32-<36,0.9,35.9610279813552,19.672412101829803,20.0,within_window,56
36-<40,0.9,39.89611954,18.959507933331274,19.0,within_window,56
40+,0.9,46.875,17.695173191117462,18.0,within_window,56
20-<28,0.9,27.97521095,15.876441740608442,16.0,within_window,57
28-<32,0.9,31.99217133,18.49951684431901,19.0,within_window,57
32-<36,0.9,35.9610279813552,21.09118021351707,22.0,within_window,57
36-<40,0.9,39.89611954,23.660794977380583,24.0,within_window,57
40+,0.9,46.875,28.21800387531802,,beyond_25_week_window,57
20-<28,0.9,27.97521095,17.62553109242589,18.0,within_window,58
28-<32,0.9,31.99217133,19.473023940207618,20.0,within_window,58
32-<36,0.9,35.9610279813552,21.298392772262087,22.0,within_window,58
36-<40,0.9,39.89611954,23.108232258396754,24.0,within_window,58
40+,0.9,46.875,26.317980554538437,,beyond_25_week_window,58
20-<28,0.9,27.97521095,15.149209216386868,16.0,within_window,59
28-<32,0.9,31.99217133,18.13471011421027,19.0,within_window,59
32-<36,0.9,35.9610279813552,21.084459171967552,22.0,within_window,59
36-<40,0.9,39.89611954,24.00911320635744,25.0,within_window,59
40+,0.9,46.875,29.195983851850883,,beyond_25_week_window,59
20-<28,0.9,27.97521095,17.676555140216262,18.0,within_window,60
28-<32,0.9,31.99217133,18.904805511217084,19.0,within_window,60
32-<36,0.9,35.9610279813552,20.11834739197522,21.0,within_window,60
36-<40,0.9,39.89611954,21.321565051500077,22.0,within_window,60
40+,0.9,46.875,23.4554702194085,24.0,within_window,60
20-<28,0.9,27.97521095,16.718981332735243,17.0,within_window,61
28-<32,0.9,31.99217133,18.94870094163511,19.0,within_window,61
32-<36,0.9,35.9610279813552,21.151719309578123,22.0,within_window,61
36-<40,0.9,39.89611954,23.335995473916753,24.0,within_window,61
40+,0.9,46.875,27.209806798346627,,beyond_25_week_window,61
20-<28,0.9,27.97521095,17.633958646150276,18.0,within_window,62
28-<32,0.9,31.99217133,19.671407036812724,20.0,within_window,62
32-<36,0.9,35.9610279813552,21.684456664420356,22.0,within_window,62
36-<40,0.9,39.89611954,23.680380249623912,24.0,within_window,62
40+,0.9,46.875,27.22014848648479,,beyond_25_week_window,62
20-<28,0.9,27.97521095,16.4455647723771,17.0,within_window,63
28-<32,0.9,31.99217133,19.043074039096226,20.0,within_window,63
32-<36,0.9,35.9610279813552,21.6094777261983,22.0,within_window,63
36-<40,0.9,39.89611954,24.154047704996067,25.0,within_window,63
40+,0.9,46.875,28.66683970474564,,beyond_25_week_window,63
20-<28,0.9,27.97521095,12.901442781865232,13.0,within_window,64
28-<32,0.9,31.99217133,17.658203779284253,18.0,within_window,64
32-<36,0.9,35.9610279813552,22.358001819989223,23.0,within_window,64
36-<40,0.9,39.89611954,27.017816275872505,,beyond_25_week_window,64
40+,0.9,46.875,35.281991980233755,,beyond_25_week_window,64
20-<28,0.9,27.97521095,16.00931463193889,17.0,within_window,65
28-<32,0.9,31.99217133,18.084144943589944,19.0,within_window,65
32-<36,0.9,35.9610279813552,20.13412883783728,21.0,within_window,65
36-<40,0.9,39.89611954,22.16667247099067,23.0,within_window,65
40+,0.9,46.875,25.771386321764883,,beyond_25_week_window,65
20-<28,0.9,27.97521095,18.077867274926874,19.0,within_window,66
28-<32,0.9,31.99217133,19.90011715278563,20.0,within_window,66
32-<36,0.9,35.9610279813552,21.700545303428957,22.0,within_window,66
36-<40,0.9,39.89611954,23.485656291280797,24.0,within_window,66
40+,0.9,46.875,26.651548623488928,,beyond_25_week_window,66
20-<28,0.9,27.97521095,16.99522749714895,17.0,within_window,67
28-<32,0.9,31.99217133,18.882041859865673,19.0,within_window,67
32-<36,0.9,35.9610279813552,20.746261325565456,21.0,within_window,67
36-<40,0.9,39.89611954,22.594620923141658,23.0,within_window,67
40+,0.9,46.875,25.87268459366536,,beyond_25_week_window,67
20-<28,0.9,27.97521095,16.33917387100796,17.0,within_window,68
28-<32,0.9,31.99217133,19.471742889349255,20.0,within_window,68
32-<36,0.9,35.9610279813552,22.566798903885562,23.0,within_window,68
36-<40,0.9,39.89611954,25.635523694481343,,beyond_25_week_window,68
40+,0.9,46.875,31.077903664309034,,beyond_25_week_window,68
20-<28,0.9,27.97521095,21.326203044243794,22.0,within_window,69
28-<32,0.9,31.99217133,20.466762117577137,21.0,within_window,69
32-<36,0.9,35.9610279813552,19.61761313039,20.0,within_window,69
36-<40,0.9,39.89611954,18.77568828778555,19.0,within_window,69
40+,0.9,46.875,17.282535524939966,18.0,within_window,69
20-<28,0.9,27.97521095,19.68789135642065,20.0,within_window,70
28-<32,0.9,31.99217133,17.57850882225955,18.0,within_window,70
32-<36,0.9,35.9610279813552,15.49438647376933,16.0,within_window,70
36-<40,0.9,39.89611954,13.427994819657442,14.0,within_window,70
40+,0.9,46.875,9.763251541725943,11.0,within_window,70
20-<28,0.9,27.97521095,14.814963583312888,15.0,within_window,71
28-<32,0.9,31.99217133,18.85268445289245,19.0,within_window,71
32-<36,0.9,35.9610279813552,22.842052983718375,23.0,within_window,71
36-<40,0.9,39.89611954,26.79748191678803,,beyond_25_week_window,71
40+,0.9,46.875,33.81243068749087,,beyond_25_week_window,71
20-<28,0.9,27.97521095,17.12950499707705,18.0,within_window,72
28-<32,0.9,31.99217133,18.780691076723556,19.0,within_window,72
32-<36,0.9,35.9610279813552,20.412103944885867,21.0,within_window,72
36-<40,0.9,39.89611954,22.02963754967805,23.0,within_window,72
40+,0.9,46.875,24.898331581225612,25.0,within_window,72
20-<28,0.9,27.97521095,11.556958978393583,12.0,within_window,73
28-<32,0.9,31.99217133,17.57573087221683,18.0,within_window,73
32-<36,0.9,35.9610279813552,23.52242703151281,24.0,within_window,73
36-<40,0.9,39.89611954,29.418531606184374,,beyond_25_week_window,73
40+,0.9,46.875,39.8752664478161,,beyond_25_week_window,73
20-<28,0.9,27.97521095,12.293996819199778,13.0,within_window,74
28-<32,0.9,31.99217133,18.540615910715893,19.0,within_window,74
32-<36,0.9,35.9610279813552,24.71243076188605,25.0,within_window,74
36-<40,0.9,39.89611954,30.83173882862245,,beyond_25_week_window,74
40+,0.9,46.875,41.684324812765205,,beyond_25_week_window,74
20-<28,0.9,27.97521095,16.935507223835277,17.0,within_window,75
28-<32,0.9,31.99217133,20.46388011320461,21.0,within_window,75
32-<36,0.9,35.9610279813552,23.950000185525276,24.0,within_window,75
36-<40,0.9,39.89611954,27.406462052024544,,beyond_25_week_window,75
40+,0.9,46.875,33.53649329052368,,beyond_25_week_window,75
20-<28,0.9,27.97521095,20.84207701870961,21.0,within_window,76
28-<32,0.9,31.99217133,19.10792369533535,20.0,within_window,76
32-<36,0.9,35.9610279813552,17.394537129161737,18.0,within_window,76
36-<40,0.9,39.89611954,15.69572721851834,16.0,within_window,76
40+,0.9,46.875,12.68288974982001,13.0,within_window,76
20-<28,0.9,27.97521095,17.778149036905987,18.0,within_window,77
28-<32,0.9,31.99217133,18.277082459766635,19.0,within_window,77
32-<36,0.9,35.9610279813552,18.770041076875003,19.0,within_window,77
36-<40,0.9,39.89611954,19.2588058429902,20.0,within_window,77
40+,0.9,46.875,20.125629606794188,21.0,within_window,77
20-<28,0.9,27.97521095,20.070979971680337,21.0,within_window,78
28-<32,0.9,31.99217133,20.611628643213507,21.0,within_window,78
32-<36,0.9,35.9610279813552,21.145802962368922,22.0,within_window,78
36-<40,0.9,39.89611954,21.675432787481288,22.0,within_window,78
40+,0.9,46.875,22.614730687523757,23.0,within_window,78
20-<28,0.9,27.97521095,13.221844780119085,14.0,within_window,79
28-<32,0.9,31.99217133,16.457532582868684,17.0,within_window,79
32-<36,0.9,35.9610279813552,19.654472518246298,20.0,within_window,79
36-<40,0.9,39.89611954,22.824214451078078,23.0,within_window,79
40+,0.9,46.875,28.445748209215246,,beyond_25_week_window,79
20-<28,0.9,27.97521095,13.956393335596145,14.0,within_window,80
28-<32,0.9,31.99217133,18.851757836130123,19.0,within_window,80
32-<36,0.9,35.9610279813552,23.688499581328117,24.0,within_window,80
36-<40,0.9,39.89611954,28.484092691594412,,beyond_25_week_window,80
40+,0.9,46.875,36.98907168701936,,beyond_25_week_window,80
20-<28,0.9,27.97521095,23.26258640375045,24.0,within_window,81
28-<32,0.9,31.99217133,24.757225097146154,25.0,within_window,81
32-<36,0.9,35.9610279813552,26.23396525848586,,beyond_25_week_window,81
36-<40,0.9,39.89611954,27.69814203625267,,beyond_25_week_window,81
40+,0.9,46.875,30.29485790729624,,beyond_25_week_window,81
20-<28,0.9,27.97521095,15.334903275073263,16.0,within_window,82
28-<32,0.9,31.99217133,18.101116112977564,19.0,within_window,82
32-<36,0.9,35.9610279813552,20.834203119621286,21.0,within_window,82
36-<40,0.9,39.89611954,23.54403835774034,24.0,within_window,82
40+,0.9,46.875,28.349928109297082,,beyond_25_week_window,82
20-<28,0.9,27.97521095,16.105927311070598,17.0,within_window,83
28-<32,0.9,31.99217133,18.7822782622873,19.0,within_window,83
32-<36,0.9,35.9610279813552,21.426579492387365,22.0,within_window,83
