clock_hour,n_intervals,n_midnight,pv_positive_intervals,max_actual_pv_kW,actual_pv_energy_kWh,n_intervals_L75,n_emergency_L75,days_with_emergency_L75,emergency_kWh_L75,emergency_cost_yuan_L75,emergency_rate_L75,mean_kWh_per_interval_L75,n_intervals_L80,n_emergency_L80,days_with_emergency_L80,emergency_kWh_L80,emergency_cost_yuan_L80,emergency_rate_L80,mean_kWh_per_interval_L80,d_emergency_kWh_L75_minus_L80,d_emergency_cost_yuan_L75_minus_L80,energy_share_pct_L75,cost_share_pct_L75,energy_share_pct_L80,cost_share_pct_L80,n_paired_all,pv_mae_kW_all,net_mae_kWh_all,mean_a_load_kWh_all,mean_a_pv_kWh_all,mean_eps_kWh_all,mean_g_kWh_all,mean_pos_a_load_kWh_all,mean_pos_a_pv_kWh_all,share_load_under_all,share_pv_over_all,share_g_positive_all,pv_prominent_share_all,n_paired_em,pv_mae_kW_em,net_mae_kWh_em,mean_a_load_kWh_em,mean_a_pv_kWh_em,mean_eps_kWh_em,mean_g_kWh_em,mean_pos_a_load_kWh_em,mean_pos_a_pv_kWh_em,share_load_under_em,share_pv_over_em,share_g_positive_em,pv_prominent_share_em,n_em_emsoc,mean_state_start_kWh_emsoc,median_state_start_kWh_emsoc,median_state_end_kWh_emsoc,mean_state_end_kWh_emsoc,intervals_start_at_floor_emsoc,intervals_start_above_floor_emsoc,inventory_limited_share_emsoc,power_limited_share_emsoc,close_share_emsoc,mean_need_kWh_emsoc,mean_cap_kWh_emsoc
10,2004,0,2004,9624.7239,2327464.9098166665,2004,36,12,6353.197839420677,30918.428052334923,0.017964071856287425,3.1702584029045293,2004,23,7,5064.025274692582,24768.25374797875,0.011477045908183632,2.526958719906478,1289.1725647280955,6150.174304356173,17.3932151529626,16.600792329049018,20.040279669460435,19.07730454350243,2004,268.5080604374584,50.477542298219696,1.4325553197340828,4.018582900864935,5.4511382205990175,-37.24532127576238,11.304749993209311,24.384963153554,0.5224550898203593,0.5444111776447106,0.2774451097804391,0.47005988023952094,36.0,276.5227960648148,93.09232929312473,56.43211374528527,36.660215547839485,93.09232929312473,64.62953804223004,58.17866633943922,41.37367411265431,0.8333333333333334,0.7777777777777778,0.9166666666666666,0.5,36.0,1228.66067531502,1200.0,1200.0,1200.0,30.0,6.0,1.0,0.0,0.0,202.2723255452033,25.79460778351786
11,2004,0,2004,10216.2,2543809.1400833335,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,334.80757091650037,60.18719180123415,1.1482338556138012,-5.366707526613441,-4.21847367099964,-43.58333750910379,11.981738616393766,25.21727714640164,0.5189620758483033,0.48353293413173654,0.2844311377245509,0.42065868263473055,,,,,,,,,,,,,,,,,,,,,,,,,
12,2004,0,2004,10059.6375,2566064.8637666665,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,281.4600528942116,51.53110184964243,0.6583652419015855,-14.664085986360611,-14.00572074445903,-37.98520837200447,11.584100578598317,16.12296141467066,0.49700598802395207,0.4101796407185629,0.281437125748503,0.3498003992015968,,,,,,,,,,,,,,,,,,,,,,,,,
13,2004,0,2004,9785.3625,2375891.8570333333,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,187.33030383399867,39.93258991786732,0.765679025917242,-17.008061343978714,-16.24238231806147,-29.44739813882733,12.109267953071127,7.106827980843867,0.5299401197604791,0.29291417165668665,0.26996007984031933,0.2120758483033932,,,,,,,,,,,,,,,,,,,,,,,,,
14,2004,0,2004,9038.1514,2006989.1713,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,203.06852991516965,41.615159658940975,0.31682496587371656,-24.263316741516967,-23.946491775643253,-27.96635151754566,12.08543978317943,4.790719122172322,0.5154690618762475,0.21706586826347304,0.27844311377245506,0.15718562874251496,,,,,,,,,,,,,,,,,,,,,,,,,
15,2004,0,2004,7191.225,1488952.7913166669,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,192.17300432468394,40.31823856705637,0.02494334513965499,-25.309116175981366,-25.284172830841708,-27.314048027786242,12.130516025851467,3.3598589390663127,0.5164670658682635,0.18163672654690619,0.281936127744511,0.12125748502994012,,,,,,,,,,,,,,,,,,,,,,,,,
16,2004,0,2004,5102.325,894858.9346666667,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,157.02030343479706,35.73414755805693,0.46648238119602653,-23.178048012308718,-22.71156563111269,-23.146853473292275,12.437290170001715,1.4960012800787315,0.5159680638722555,0.1157684630738523,0.28043912175648705,0.0658682634730539,,,,,,,,,,,,,,,,,,,,,,,,,
17,2004,0,1714,3138.9375,352741.6732166667,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,108.1085111194278,32.36441048004777,-0.20721058468166256,-4.779581944444444,-4.986792529126102,-19.91879274443576,12.542494644286496,6.6192516210634285,0.5119760479041916,0.35479041916167664,0.2894211576846307,0.2554890219560878,,,,,,,,,,,,,,,,,,,,,,,,,
18,2004,0,1186,1357.125,62458.79051666667,2004,0,0,0.0,0.0,0.0,0.0,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,45.09833787425149,26.941727093216198,0.09028394744252351,4.117043529607451,4.207327477049974,-18.26756532469215,12.687991716212116,5.816716587658017,0.5139720558882236,0.35479041916167664,0.2894211576846307,0.2465069860279441,,,,,,,,,,,,,,,,,,,,,,,,,
19,2004,0,493,8.7375,70.88295,2004,112,50,2841.4960162106963,19152.59792214998,0.05588822355289421,1.4179121837378723,2004,88,43,2116.6270285278674,14267.290588825788,0.043912175648702596,1.056201112039854,724.8689876828289,4885.307333324192,7.779192906535618,10.283456200593498,8.376300533020641,10.989125448373096,2004,0.21272132401862942,24.625969370801677,-0.027509119661808128,-0.010386327345309379,-0.03789544700711923,-18.52431468013439,12.300399768922121,0.012533613328897762,0.5119760479041916,0.04091816367265469,0.2754491017964072,0.022954091816367265,112.0,0.4449888392857143,46.03200459155942,46.05653403104355,-0.024529439484126985,46.03200459155942,28.01110415875301,46.05653403104355,0.024817683531746033,1.0,0.10714285714285714,1.0,0.0,112.0,8308.956568579428,8152.202392930603,7226.276467004677,7383.0306426535035,0.0,112.0,0.0,1.0,0.0,858.7038334780717,6398.060911721487
20,2004,0,199,0.0277,0.27016666666666667,2004,123,75,11140.866977459933,75946.15975718752,0.061377245508982034,5.559314859011943,2004,95,55,8089.222523555821,55038.18807856522,0.04740518962075848,4.036538185407096,3051.644453904112,20907.9716786223,30.50046625766125,40.777183891230784,32.01213913577836,42.39218017471411,2004,0.0008088822355289421,24.946260421677145,0.21852376601312276,-0.00013481370592149033,0.2183889523071974,-17.64494063534063,12.582392983732024,0.0,0.5189620758483033,0.0,0.2779441117764471,0.0,123.0,0.0003284552845528455,47.258528573881684,46.57374327704063,-5.4742547425474246e-05,46.57368853449321,30.18813084533977,46.91616329673488,0.0,0.967479674796748,0.0,0.9349593495934959,0.0,123.0,2880.202313000292,2420.01492974923,1494.0890038233038,2193.403171292646,18.0,105.0,0.4065040650406504,0.5934959349593496,0.0,708.695381825173,1512.1820817002626
21,2004,0,0,0.0,0.0,2004,113,33,3876.2071669231077,17768.181286822975,0.056387225548902194,1.9342351132350837,2004,64,14,2810.2560821241077,12874.089504678137,0.031936127744510975,1.402323394273507,1065.951084799,4894.091782144838,10.611932279744174,9.540132089126947,11.121255280857216,9.91603722652817,2004,0.0,26.094082157227447,0.3125179925443327,0.0,0.3125179925443318,-19.471516047036847,13.203300074885888,0.0,0.5159680638722555,0.0,0.280938123752495,0.0,113.0,0.0,52.75016121775318,52.750161217753174,0.0,52.75016121775318,36.619985436866855,52.750161217753174,0.0,1.0,0.0,1.0,0.0,113.0,1203.0564635288727,1200.0,1200.0,1200.0,91.0,22.0,1.0,0.0,0.0,37.05353546734033,2.7508171759854023
22,2004,0,0,0.0,0.0,2004,89,24,3329.1606563390114,6951.5847918418085,0.04441117764471058,1.6612578125444168,2004,58,12,2384.514955285413,4969.6339032382275,0.028942115768463075,1.18987772219831,944.6457010535983,1981.950888603581,9.114277413996401,3.7324606313038706,9.436435244259629,3.8277716469828733,2004,0.0,25.417915241275214,-0.38308338302560346,0.0,-0.38308338302560485,-18.728753199186695,12.517415929124805,0.0,0.5134730538922155,0.0,0.281936127744511,0.0,89.0,0.0,56.64684912993534,56.64684912993534,0.0,56.64684912993534,40.31759670716691,56.64684912993534,0.0,1.0,0.0,1.0,0.0,89.0,1203.2347746641553,1200.0,1200.0,1200.0,73.0,16.0,1.0,0.0,0.0,40.31759670716691,2.911297197739821
23,2004,0,0,0.0,0.0,2004,67,17,2513.8506386138156,5333.289079443506,0.03343313373253493,1.2544164863342393,2004,41,12,1658.2650769626587,3518.287211978742,0.020459081836327345,0.8274775833146999,855.5855616511569,1815.001867464764,6.882194782054754,2.8635616367288264,6.562387449862879,2.7098978110197183,2004,0.0,24.93013832240619,0.2883125865191387,0.0,0.2883125865191374,-18.76250996791908,12.609225454462665,0.0,0.5044910179640718,0.0,0.2839321357285429,0.0,67.0,0.0,59.04802725676337,59.04802725676337,0.0,59.04802725676337,40.451962943235635,59.04802725676337,0.0,1.0,0.0,1.0,0.0,67.0,1203.2575601755054,1200.0,1200.0,1200.0,55.0,12.0,1.0,0.0,0.0,40.451962943235635,2.931804157954813
