date,day_index,start_slot,end_slot,valid,duration_h,midpoint_h
2025-03-19,77,30,112,1,13.833333333333332,11.916666666666666
2025-03-20,78,30,112,1,13.833333333333332,11.916666666666666
2025-03-21,79,30,112,1,13.833333333333332,11.916666666666666
2025-03-22,80,30,112,1,13.833333333333332,11.916666666666666
2025-03-23,81,30,112,1,13.833333333333332,11.916666666666666
2025-03-24,82,30,112,1,13.833333333333332,11.916666666666666
2025-03-25,83,30,112,1,13.833333333333332,11.916666666666666
2025-03-26,84,30,112,1,13.833333333333332,11.916666666666666
2025-03-27,85,30,112,1,13.833333333333332,11.916666666666666
2025-03-28,86,30,112,1,13.833333333333332,11.916666666666666
2025-03-29,87,30,112,1,13.833333333333332,11.916666666666666
2025-03-30,88,28,114,1,14.5,11.916666666666666
2025-03-31,89,28,114,1,14.5,11.916666666666666
2025-04-01,90,28,114,1,14.5,11.916666666666666
2025-04-02,91,28,114,1,14.5,11.916666666666666
2025-04-03,92,28,114,1,14.5,11.916666666666666
2025-04-04,93,28,114,1,14.5,11.916666666666666
2025-04-05,94,28,114,1,14.5,11.916666666666666
2025-04-06,95,28,114,1,14.5,11.916666666666666
2025-04-07,96,28,114,1,14.5,11.916666666666666
2025-04-08,97,28,114,1,14.5,11.916666666666666
2025-04-09,98,28,114,1,14.5,11.916666666666666
2025-04-10,99,28,114,1,14.5,11.916666666666666
2025-04-11,100,28,114,1,14.5,11.916666666666666
2025-04-12,101,28,114,1,14.5,11.916666666666666
2025-04-13,102,28,114,1,14.5,11.916666666666666
2025-04-14,103,28,114,1,14.5,11.916666666666666
2025-04-15,104,27,115,1,14.833333333333332,11.916666666666666
2025-04-16,105,27,115,1,14.833333333333332,11.916666666666666
2025-04-17,106,27,115,1,14.833333333333332,11.916666666666666
2025-04-18,107,27,115,1,14.833333333333332,11.916666666666666
2025-04-19,108,27,115,1,14.833333333333332,11.916666666666666
2025-04-20,109,27,115,1,14.833333333333332,11.916666666666666
2025-04-21,110,27,115,1,14.833333333333332,11.916666666666666
2025-04-22,111,27,115,1,14.833333333333332,11.916666666666666
2025-04-23,112,27,115,1,14.833333333333332,11.916666666666666
2025-04-24,113,27,115,1,14.833333333333332,11.916666666666666
2025-04-25,114,27,115,1,14.833333333333332,11.916666666666666
2025-04-26,115,27,115,1,14.833333333333332,11.916666666666666
2025-04-27,116,27,115,1,14.833333333333332,11.916666666666666
2025-04-28,117,27,115,1,14.833333333333332,11.916666666666666
2025-04-29,118,27,115,1,14.833333333333332,11.916666666666666
2025-04-30,119,27,115,1,14.833333333333332,11.916666666666666
2025-05-01,120,27,115,1,14.833333333333332,11.916666666666666
2025-05-02,121,25,115,1,15.166666666666666,11.75
2025-05-03,122,25,117,1,15.5,11.916666666666666
2025-05-04,123,25,117,1,15.5,11.916666666666666
2025-05-05,124,25,117,1,15.5,11.916666666666666
2025-05-06,125,25,117,1,15.5,11.916666666666666
2025-05-07,126,25,117,1,15.5,11.916666666666666
2025-05-08,127,25,117,1,15.5,11.916666666666666
2025-05-09,128,25,117,1,15.5,11.916666666666666
2025-05-10,129,25,117,1,15.5,11.916666666666666
2025-05-11,130,25,117,1,15.5,11.916666666666666
2025-05-12,131,25,117,1,15.5,11.916666666666666
2025-05-13,132,25,117,1,15.5,11.916666666666666
2025-05-14,133,25,117,1,15.5,11.916666666666666
2025-05-15,134,25,117,1,15.5,11.916666666666666
2025-05-16,135,25,117,1,15.5,11.916666666666666
2025-05-17,136,25,117,1,15.5,11.916666666666666
2025-05-18,137,25,117,1,15.5,11.916666666666666
2025-05-19,138,25,117,1,15.5,11.916666666666666
2025-05-20,139,25,117,1,15.5,11.916666666666666
2025-05-21,140,25,117,1,15.5,11.916666666666666
2025-05-22,141,25,117,1,15.5,11.916666666666666
2025-05-23,142,24,118,1,15.833333333333332,11.916666666666666
2025-05-24,143,24,118,1,15.833333333333332,11.916666666666666
2025-05-25,144,24,118,1,15.833333333333332,11.916666666666666
2025-05-26,145,24,118,1,15.833333333333332,11.916666666666666
2025-05-27,146,24,118,1,15.833333333333332,11.916666666666666
2025-05-28,147,24,118,1,15.833333333333332,11.916666666666666
2025-05-29,148,24,118,1,15.833333333333332,11.916666666666666
2025-05-30,149,24,118,1,15.833333333333332,11.916666666666666
2025-05-31,150,24,118,1,15.833333333333332,11.916666666666666
2025-06-01,151,24,118,1,15.833333333333332,11.916666666666666
2025-06-02,152,24,118,1,15.833333333333332,11.916666666666666
2025-06-03,153,24,118,1,15.833333333333332,11.916666666666666
2025-06-04,154,24,118,1,15.833333333333332,11.916666666666666
2025-06-05,155,24,118,1,15.833333333333332,11.916666666666666
2025-06-06,156,24,118,1,15.833333333333332,11.916666666666666
2025-06-07,157,24,118,1,15.833333333333332,11.916666666666666
2025-06-08,158,24,118,1,15.833333333333332,11.916666666666666
2025-06-09,159,24,118,1,15.833333333333332,11.916666666666666
2025-06-10,160,24,118,1,15.833333333333332,11.916666666666666
2025-06-11,161,24,118,1,15.833333333333332,11.916666666666666
2025-06-12,162,24,118,1,15.833333333333332,11.916666666666666
2025-06-13,163,24,118,1,15.833333333333332,11.916666666666666
2025-06-14,164,24,118,1,15.833333333333332,11.916666666666666
2025-06-15,165,24,118,1,15.833333333333332,11.916666666666666
2025-06-16,166,24,118,1,15.833333333333332,11.916666666666666
2025-06-17,167,24,118,1,15.833333333333332,11.916666666666666
2025-06-18,168,24,118,1,15.833333333333332,11.916666666666666
2025-06-19,169,24,118,1,15.833333333333332,11.916666666666666
2025-06-20,170,24,118,1,15.833333333333332,11.916666666666666
2025-06-21,171,24,118,1,15.833333333333332,11.916666666666666
2025-06-22,172,24,118,1,15.833333333333332,11.916666666666666
2025-06-23,173,24,118,1,15.833333333333332,11.916666666666666
2025-06-24,174,24,118,1,15.833333333333332,11.916666666666666
2025-06-25,175,24,118,1,15.833333333333332,11.916666666666666
2025-06-26,176,24,118,1,15.833333333333332,11.916666666666666
2025-06-27,177,24,118,1,15.833333333333332,11.916666666666666
2025-06-28,178,24,118,1,15.833333333333332,11.916666666666666
2025-06-29,179,24,118,1,15.833333333333332,11.916666666666666
2025-06-30,180,24,118,1,15.833333333333332,11.916666666666666
2025-07-01,181,24,118,1,15.833333333333332,11.916666666666666
2025-07-02,182,24,118,1,15.833333333333332,11.916666666666666
2025-07-03,183,24,118,1,15.833333333333332,11.916666666666666
2025-07-04,184,24,118,1,15.833333333333332,11.916666666666666
2025-07-05,185,24,118,1,15.833333333333332,11.916666666666666
2025-07-06,186,24,118,1,15.833333333333332,11.916666666666666
2025-07-07,187,24,118,1,15.833333333333332,11.916666666666666
2025-07-08,188,24,118,1,15.833333333333332,11.916666666666666
2025-07-09,189,24,118,1,15.833333333333332,11.916666666666666
2025-07-10,190,24,118,1,15.833333333333332,11.916666666666666
2025-07-11,191,24,118,1,15.833333333333332,11.916666666666666
2025-07-12,192,24,118,1,15.833333333333332,11.916666666666666
2025-07-13,193,24,118,1,15.833333333333332,11.916666666666666
2025-07-14,194,24,118,1,15.833333333333332,11.916666666666666
2025-07-15,195,24,118,1,15.833333333333332,11.916666666666666
2025-07-16,196,24,118,1,15.833333333333332,11.916666666666666
2025-07-17,197,24,118,1,15.833333333333332,11.916666666666666
2025-07-18,198,24,118,1,15.833333333333332,11.916666666666666
2025-07-19,199,24,118,1,15.833333333333332,11.916666666666666
2025-07-20,200,24,118,1,15.833333333333332,11.916666666666666
2025-07-21,201,24,118,1,15.833333333333332,11.916666666666666
2025-07-22,202,24,118,1,15.833333333333332,11.916666666666666
2025-07-23,203,24,118,1,15.833333333333332,11.916666666666666
2025-07-24,204,24,118,1,15.833333333333332,11.916666666666666
2025-07-25,205,24,118,1,15.833333333333332,11.916666666666666
2025-07-26,206,24,118,1,15.833333333333332,11.916666666666666
2025-07-27,207,24,118,1,15.833333333333332,11.916666666666666
2025-07-28,208,24,118,1,15.833333333333332,11.916666666666666
2025-07-29,209,24,118,1,15.833333333333332,11.916666666666666
2025-07-30,210,25,117,1,15.5,11.916666666666666
2025-07-31,211,25,117,1,15.5,11.916666666666666
2025-08-01,212,25,117,1,15.5,11.916666666666666
2025-08-02,213,25,117,1,15.5,11.916666666666666
2025-08-03,214,25,117,1,15.5,11.916666666666666
2025-08-04,215,25,117,1,15.5,11.916666666666666
2025-08-05,216,25,117,1,15.5,11.916666666666666
2025-08-06,217,25,117,1,15.5,11.916666666666666
2025-08-07,218,25,117,1,15.5,11.916666666666666
2025-08-08,219,25,117,1,15.5,11.916666666666666
2025-08-09,220,25,117,1,15.5,11.916666666666666
2025-08-10,221,25,117,1,15.5,11.916666666666666
2025-08-11,222,25,117,1,15.5,11.916666666666666
2025-08-12,223,25,117,1,15.5,11.916666666666666
2025-08-13,224,25,117,1,15.5,11.916666666666666
2025-08-14,225,25,117,1,15.5,11.916666666666666
2025-08-15,226,25,117,1,15.5,11.916666666666666
2025-08-16,227,25,117,1,15.5,11.916666666666666
2025-08-17,228,25,117,1,15.5,11.916666666666666
2025-08-18,229,25,117,1,15.5,11.916666666666666
2025-08-19,230,27,115,1,14.833333333333332,11.916666666666666
2025-08-20,231,27,115,1,14.833333333333332,11.916666666666666
2025-08-21,232,27,115,1,14.833333333333332,11.916666666666666
2025-08-22,233,27,115,1,14.833333333333332,11.916666666666666
2025-08-23,234,27,115,1,14.833333333333332,11.916666666666666
2025-08-24,235,27,115,1,14.833333333333332,11.916666666666666
2025-08-25,236,27,115,1,14.833333333333332,11.916666666666666
2025-08-26,237,27,115,1,14.833333333333332,11.916666666666666
2025-08-27,238,27,115,1,14.833333333333332,11.916666666666666
2025-08-28,239,27,115,1,14.833333333333332,11.916666666666666
2025-08-29,240,27,115,1,14.833333333333332,11.916666666666666
2025-08-30,241,27,115,1,14.833333333333332,11.916666666666666
2025-08-31,242,27,115,1,14.833333333333332,11.916666666666666
2025-09-01,243,27,115,1,14.833333333333332,11.916666666666666
2025-09-02,244,27,115,1,14.833333333333332,11.916666666666666
2025-09-03,245,27,115,1,14.833333333333332,11.916666666666666
2025-09-04,246,27,115,1,14.833333333333332,11.916666666666666
2025-09-05,247,27,115,1,14.833333333333332,11.916666666666666
2025-09-06,248,28,114,1,14.5,11.916666666666666
2025-09-07,249,28,114,1,14.5,11.916666666666666
2025-09-08,250,28,114,1,14.5,11.916666666666666
2025-09-09,251,28,114,1,14.5,11.916666666666666
2025-09-10,252,28,114,1,14.5,11.916666666666666
2025-09-11,253,28,114,1,14.5,11.916666666666666
2025-09-12,254,28,114,1,14.5,11.916666666666666
2025-09-13,255,28,114,1,14.5,11.916666666666666
2025-09-14,256,28,114,1,14.5,11.916666666666666
2025-09-15,257,28,114,1,14.5,11.916666666666666
2025-09-16,258,28,114,1,14.5,11.916666666666666
2025-09-17,259,28,114,1,14.5,11.916666666666666
2025-09-18,260,28,114,1,14.5,11.916666666666666
2025-09-19,261,28,114,1,14.5,11.916666666666666
2025-09-20,262,28,114,1,14.5,11.916666666666666
2025-09-21,263,30,112,1,13.833333333333332,11.916666666666666
2025-09-22,264,30,112,1,13.833333333333332,11.916666666666666
2025-09-23,265,30,112,1,13.833333333333332,11.916666666666666
2025-09-24,266,30,112,1,13.833333333333332,11.916666666666666
2025-09-25,267,30,112,1,13.833333333333332,11.916666666666666
2025-09-26,268,30,112,1,13.833333333333332,11.916666666666666
2025-09-27,269,30,112,1,13.833333333333332,11.916666666666666
2025-09-28,270,30,112,1,13.833333333333332,11.916666666666666
2025-09-29,271,30,112,1,13.833333333333332,11.916666666666666
2025-09-30,272,30,112,1,13.833333333333332,11.916666666666666
2025-10-01,273,30,112,1,13.833333333333332,11.916666666666666
2025-10-02,274,30,112,1,13.833333333333332,11.916666666666666
2025-10-03,275,30,112,1,13.833333333333332,11.916666666666666
2025-10-04,276,30,112,1,13.833333333333332,11.916666666666666
2025-10-05,277,30,112,1,13.833333333333332,11.916666666666666
2025-10-06,278,30,112,1,13.833333333333332,11.916666666666666
2025-10-07,279,31,111,1,13.5,11.916666666666666
2025-10-08,280,31,111,1,13.5,11.916666666666666
2025-10-09,281,31,111,1,13.5,11.916666666666666
2025-10-10,282,31,111,1,13.5,11.916666666666666
2025-10-11,283,31,111,1,13.5,11.916666666666666
2025-10-12,284,31,111,1,13.5,11.916666666666666
2025-10-13,285,31,111,1,13.5,11.916666666666666
2025-10-14,286,31,111,1,13.5,11.916666666666666
2025-10-15,287,31,111,1,13.5,11.916666666666666
2025-10-16,288,31,111,1,13.5,11.916666666666666
2025-10-17,289,31,111,1,13.5,11.916666666666666
2025-10-18,290,31,111,1,13.5,11.916666666666666
2025-10-19,291,31,111,1,13.5,11.916666666666666
2025-10-20,292,31,111,1,13.5,11.916666666666666
2025-10-21,293,31,111,1,13.5,11.916666666666666
2025-10-22,294,31,111,1,13.5,11.916666666666666
2025-10-23,295,33,109,1,12.833333333333332,11.916666666666666
2025-10-24,296,33,109,1,12.833333333333332,11.916666666666666
2025-10-25,297,33,109,1,12.833333333333332,11.916666666666666
2025-10-26,298,33,109,1,12.833333333333332,11.916666666666666
2025-10-27,299,33,109,1,12.833333333333332,11.916666666666666
2025-10-28,300,33,109,1,12.833333333333332,11.916666666666666
2025-10-29,301,33,109,1,12.833333333333332,11.916666666666666
2025-10-30,302,33,109,1,12.833333333333332,11.916666666666666
2025-10-31,303,33,109,1,12.833333333333332,11.916666666666666
2025-11-01,304,33,109,1,12.833333333333332,11.916666666666666
2025-11-02,305,33,109,1,12.833333333333332,11.916666666666666
2025-11-03,306,33,109,1,12.833333333333332,11.916666666666666
2025-11-04,307,33,109,1,12.833333333333332,11.916666666666666
2025-11-05,308,33,109,1,12.833333333333332,11.916666666666666
2025-11-06,309,33,109,1,12.833333333333332,11.916666666666666
2025-11-07,310,33,109,1,12.833333333333332,11.916666666666666
2025-11-08,311,33,109,1,12.833333333333332,11.916666666666666
2025-11-09,312,34,108,1,12.5,11.916666666666666
2025-11-10,313,34,108,1,12.5,11.916666666666666
2025-11-11,314,34,108,1,12.5,11.916666666666666
2025-11-12,315,34,108,1,12.5,11.916666666666666
2025-11-13,316,34,108,1,12.5,11.916666666666666
2025-11-14,317,34,108,1,12.5,11.916666666666666
2025-11-15,318,34,108,1,12.5,11.916666666666666
2025-11-16,319,34,108,1,12.5,11.916666666666666
2025-11-17,320,34,108,1,12.5,11.916666666666666
2025-11-18,321,34,108,1,12.5,11.916666666666666
2025-11-19,322,34,108,1,12.5,11.916666666666666
2025-11-20,323,34,108,1,12.5,11.916666666666666
2025-11-21,324,34,108,1,12.5,11.916666666666666
2025-11-22,325,34,108,1,12.5,11.916666666666666
2025-11-23,326,34,108,1,12.5,11.916666666666666
2025-11-24,327,34,108,1,12.5,11.916666666666666
2025-11-25,328,34,108,1,12.5,11.916666666666666
2025-11-26,329,34,108,1,12.5,11.916666666666666
2025-11-27,330,34,108,1,12.5,11.916666666666666
2025-11-28,331,34,108,1,12.5,11.916666666666666
2025-11-29,332,34,108,1,12.5,11.916666666666666
2025-11-30,333,37,106,1,11.666666666666666,12.0
2025-12-01,334,36,106,1,11.833333333333332,11.916666666666666
2025-12-02,335,36,106,1,11.833333333333332,11.916666666666666
2025-12-03,336,36,106,1,11.833333333333332,11.916666666666666
2025-12-04,337,36,106,1,11.833333333333332,11.916666666666666
2025-12-05,338,36,106,1,11.833333333333332,11.916666666666666
2025-12-06,339,36,106,1,11.833333333333332,11.916666666666666
2025-12-07,340,36,106,1,11.833333333333332,11.916666666666666
2025-12-08,341,36,106,1,11.833333333333332,11.916666666666666
2025-12-09,342,36,106,1,11.833333333333332,11.916666666666666
2025-12-10,343,36,106,1,11.833333333333332,11.916666666666666
2025-12-11,344,36,106,1,11.833333333333332,11.916666666666666
2025-12-12,345,36,106,1,11.833333333333332,11.916666666666666
2025-12-13,346,36,106,1,11.833333333333332,11.916666666666666
2025-12-14,347,36,106,1,11.833333333333332,11.916666666666666
2025-12-15,348,36,106,1,11.833333333333332,11.916666666666666
2025-12-16,349,36,106,1,11.833333333333332,11.916666666666666
2025-12-17,350,36,106,1,11.833333333333332,11.916666666666666
2025-12-18,351,36,106,1,11.833333333333332,11.916666666666666
2025-12-19,352,36,106,1,11.833333333333332,11.916666666666666
2025-12-20,353,36,106,1,11.833333333333332,11.916666666666666
2025-12-21,354,36,106,1,11.833333333333332,11.916666666666666
2025-12-22,355,36,106,1,11.833333333333332,11.916666666666666
2025-12-23,356,36,106,1,11.833333333333332,11.916666666666666
2025-12-24,357,36,106,1,11.833333333333332,11.916666666666666
2025-12-25,358,36,106,1,11.833333333333332,11.916666666666666
2025-12-26,359,36,106,1,11.833333333333332,11.916666666666666
2025-12-27,360,36,106,1,11.833333333333332,11.916666666666666
2025-12-28,361,36,106,1,11.833333333333332,11.916666666666666
2025-12-29,362,36,106,1,11.833333333333332,11.916666666666666
2025-12-30,363,36,106,1,11.833333333333332,11.916666666666666
2025-12-31,364,36,106,1,11.833333333333332,11.916666666666666
