month,initial_kWh,final_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,morning_emergency_cost_yuan,full_end,strategy_id
2025-12,8080.879298148136,6414.659659256388,1521051.6163350472,379947.48184623604,1900999.098181283,2460004.9902331275,66786.67762976133,26256.093862757178,726306.502325268,589807.8645584696,138164.8574056901,127401.01242548859,0,A_base
2025-02,8801.462273333342,10800.0,1227897.515746677,2860.2098116779052,1230757.725558355,2020103.8905720843,606.952843333331,191914.55198673875,595357.5547790122,480440.935417,112918.08163534568,2073.3550418404075,27,B_fixed_q80
2025-03,10800.0,10800.0,1134096.1248627023,27629.7556346781,1161725.8804973804,1906161.1894528086,4632.933319580241,264375.2235236544,632111.7514845678,512010.5187025,120101.2327820679,8161.923510410579,31,B_fixed_q80
2025-04,10800.0,10800.0,965016.939938081,10581.013518921865,975597.9534570029,1661975.294847364,1901.4122018333378,334575.4974341996,587219.0032368312,475647.3926218333,111571.61061499795,5642.0798215028335,30,B_fixed_q80
2025-05,10800.0,10800.0,992865.9315224949,57099.32136974452,1049965.2528922395,1679325.5670078662,8960.169486499977,393240.74459960085,569655.4048847303,461420.87795663165,108234.52692809878,0.0,23,B_fixed_q80
2025-06,10800.0,10800.0,1355234.1004262024,125189.04238696978,1480423.1428131722,2187235.961976111,19555.72819383331,348424.52155051264,570389.4865057815,462015.4840696831,108374.00243609851,2750.7030051417096,21,B_fixed_q80
2025-07,10800.0,10800.0,1532710.5189160747,196988.54045089518,1729699.0593669696,2444995.2994989855,33051.38381105553,423411.84047782107,577976.7542923868,468161.1709768333,109815.5833155535,42314.67226812522,22,B_fixed_q80
2025-08,10800.0,10800.0,1297297.3987449657,17798.015471302944,1315095.4142162688,2082432.7273393127,2729.7224681666585,387156.05132674903,599439.6537582304,485546.1195441666,113893.53421406378,2265.2387888549933,30,B_fixed_q80
2025-09,10800.0,10800.0,1164678.2180131017,25036.45906497471,1189714.6770780764,1893071.7675456975,3890.5330008250976,398863.0151917112,577449.5689726921,467734.1508678807,109715.41810481151,4242.674726752984,26,B_fixed_q80
2025-10,10800.0,10800.0,1155282.8976430949,753.9627065419,1156036.8603496368,1913407.0965316212,135.25200966666267,319537.16913415643,625639.9388094649,506768.3504356666,118871.58837379835,317.74880821666903,31,B_fixed_q80
2025-11,10800.0,10800.0,1281723.9607047632,2632.666987718388,1284356.6276924815,2091708.0331778682,497.0898598333293,182492.83097839516,640736.2319788064,518996.3479028333,121739.88407597324,292.1837670333341,30,B_fixed_q80
2025-12,10800.0,10800.0,1689015.4441534013,75291.25866434864,1764306.70281775,2702314.8340919465,14750.11879933333,220484.00289279845,697600.072448148,565056.0586829999,132544.01376514815,41592.93317153059,29,B_fixed_q80
2025-02,8801.462273333342,6027.738473333332,1146298.5169081588,83892.97137430943,1230191.4882824682,1900676.1361327611,14034.124459333323,89008.97922891151,601673.4774553498,489851.86815883336,114595.33309651646,14035.88318356873,0,T_base_6000
2025-03,6027.738473333332,6151.9349579629625,1042294.8026494517,201957.69847025318,1244252.5011197047,1765172.1667472715,32212.28360081721,156013.91143456788,604953.1347930926,489900.2623462383,114928.67596222463,28216.975530825654,0,T_base_6000
2025-04,6151.9349579629625,5931.985363518518,860570.4291395197,206329.864388651,1066900.2935281708,1483502.602455539,32209.435444178995,192227.81335317905,557645.1588502057,451890.5333036666,105974.57514098354,28768.62275001407,0,T_base_6000
2025-05,5931.985363518518,6045.330819074074,846194.8332950872,313768.3100292668,1159963.143324354,1446406.8948630944,48962.78064949999,205201.9062738683,543448.9124318929,440091.6081598333,103243.95881650412,22285.738581714962,0,T_base_6000
2025-06,6045.330819074074,5747.405129814814,1129009.9708364634,548632.0643144855,1677642.035150949,1870230.3380818272,88217.10325074074,97847.03019938478,583554.6214220164,472947.3764721666,110905.17063910906,67164.53371800038,0,T_base_6000
2025-07,5747.405129814814,5992.317268888889,1279474.6206756777,567748.7867788181,1847223.4074544958,2069747.9332065822,96609.52603025982,108073.95848251025,596020.1069078868,482555.8656702216,113219.32909859109,120619.72661073555,0,T_base_6000
2025-08,5992.317268888889,6400.057222222222,1173492.959026373,207330.8364827311,1380823.7955091042,1875468.9537869268,31210.904782000005,213126.78823546204,574069.6847831479,464629.47871634975,109032.46611346478,9573.495209402154,0,T_base_6000
2025-09,6400.057222222222,5969.23285425926,1039906.882488948,214219.72950313345,1254126.6119920814,1685398.1237146296,34570.51924892796,224360.2996633745,566380.094638683,459155.6185885,107655.3004181461,47725.42264149852,0,T_base_6000
2025-10,5969.23285425926,6004.269561481483,1038798.4656017413,175855.62217179794,1214654.0877735394,1728470.5045440616,29046.511797166655,165813.794377572,613358.4099674897,496788.7790371667,116534.59422310084,48454.51225802974,0,T_base_6000
2025-11,6004.269561481483,5894.845577777779,1172571.9740624079,186218.45477761346,1358790.4288400211,1932418.3308694568,30865.944863820994,52608.516421193424,646325.4363899176,523622.08506116667,122812.77531245473,42867.05079827708,0,T_base_6000
2025-12,5894.845577777779,5811.055042962961,1521806.5050620828,379600.1641616853,1901406.6692237682,2461530.967916255,66725.283032428,26043.00148662549,727640.6563687242,589464.34314,138260.1037635391,127072.1747002135,0,T_base_6000
2025-02,8801.462273333342,6475.144180370374,1217019.5623993194,2860.2098116779052,1219879.7722109973,1997187.1244675142,606.952843333331,176486.7172589609,576428.28562572,469000.5976405,109754.00607818313,2073.3550418404075,0,T_q80_6000
2025-03,6475.144180370374,6605.570373888891,1122872.5592764446,27122.438542646123,1149994.9978190907,1881623.2792659814,4560.210112580245,246973.17489340948,593554.0233911521,480661.37537266663,112762.22182496708,8161.923510410579,0,T_q80_6000
2025-04,6605.570373888891,6300.824359074077,953500.3740413097,10536.793486521365,964037.167527831,1636793.2599097467,1892.6963188333375,316444.61415251234,551505.3394179011,446993.5963418333,104816.48909088271,5597.859789102333,0,T_q80_6000
2025-05,6300.824359074077,7566.319297962959,975052.1913971886,57099.32136974452,1032151.5127669331,1638604.3342565123,8960.169486499977,357919.37214379426,535240.6378292181,432405.97119666665,101569.17169366255,0.0,0,T_q80_6000
2025-06,7566.319297962959,7462.831396481483,1333225.2780603967,125014.62096235962,1458239.8990227564,2137018.669239218,19520.560515833313,301714.26042645884,552236.5381925926,447404.73504733335,104935.29104674073,2749.442880942157,0,T_q80_6000
2025-07,7462.831396481483,7183.195658148152,1505078.7031219816,196350.6837697739,1701429.3868917555,2381673.652222926,32939.33069055553,364109.84569969965,557555.5255874485,451871.6478903333,105963.51343544856,41676.815587003955,0,T_q80_6000
2025-08,7183.195658148152,7036.972851296299,1281205.7775071603,17693.36368463959,1298899.1411918001,2046243.1972665822,2709.3334354999884,358799.9440538704,558796.4363563785,452756.7139748333,106185.94518839712,2160.5870021916603,0,T_q80_6000
2025-09,7036.972851296299,6646.860527222222,1143392.614697733,25036.459064974726,1168429.0737627076,1844988.6210055659,3890.5330008251008,356536.9181308642,548997.20903786,445038.8404123333,104348.48094960082,4242.674726753,0,T_q80_6000
2025-10,6646.860527222222,6708.478432222224,1138070.8614979805,753.9627065419,1138824.8242045224,1875075.7375957735,135.25200966666267,287573.7864786008,591832.399889506,479328.78779599996,112441.99418850617,317.74880821666903,0,T_q80_6000
2025-11,6708.478432222224,6437.411873703706,1270736.050213787,2347.04524980172,1273083.0954635886,2068882.653313899,439.4990264999956,163628.33940679018,620870.3413312756,503148.936381,117992.47150879423,292.1837670333341,0,T_q80_6000
2025-12,6437.411873703706,6386.64090314815,1678660.4763651802,74731.13991258341,1753391.6162777636,2681603.8773246626,14639.119436833336,199835.88112325108,696925.6488337448,564555.4694288333,132420.95037546707,41032.81441976537,0,T_q80_6000
2025-02,8801.462273333342,10800.0,1187582.8284392066,42148.40522252663,1229731.233661733,1962042.574425545,7155.913643833325,137219.05921110703,612110.9096716049,494011.15288,116101.21906493827,7385.84252194939,8,B_adaptive
2025-03,10800.0,10800.0,1131977.8233008143,29148.23540291311,1161126.0587037273,1903164.2003664237,4853.6546395802425,261414.7924930762,633081.0318224279,512795.6357761667,120285.39604626132,8161.923510410579,30,B_adaptive
2025-04,10800.0,10800.0,965016.939938081,10581.013518921865,975597.9534570029,1661975.294847364,1901.4122018333378,334575.4974341996,587219.0032368312,475647.3926218333,111571.61061499795,5642.0798215028335,30,B_adaptive
2025-05,10800.0,10800.0,960913.3368384012,89135.75753781569,1050049.0943762169,1627327.7794511481,13714.497799666644,344306.32643869345,578555.188660288,468629.7028148333,109925.48584545474,567.8478709103339,23,B_adaptive
2025-06,10800.0,10800.0,1358467.2228707587,138651.86972872852,1497119.0925994872,2194730.6241702754,21977.065190999987,359686.70426324283,563304.3100773662,456276.49116266664,107027.81891469959,9826.29950461798,22,B_adaptive
2025-07,10800.0,10717.942515,1492506.8675454534,224274.75395655003,1716781.6215020034,2382129.1022124463,36796.67162602672,362210.7970890543,589313.5208908017,477417.8036580494,111977.77471775233,48421.05565987155,20,B_adaptive
2025-08,10717.942515,10800.0,1240259.842805905,82911.56285149389,1323171.405657399,1987426.0755864403,12564.108241333315,298593.01679320994,616897.1106915637,499612.8079236666,117202.24528289711,5730.478802141659,26,B_adaptive
2025-09,10800.0,10800.0,1142495.3464154315,55595.95714004463,1198091.303555476,1858092.0630161501,8948.983584683116,368226.44948430377,581214.3677185769,470783.63785204734,110430.72986652961,11062.523667166684,22,B_adaptive
2025-10,10800.0,10800.0,1121150.9556741724,35733.286172742526,1156884.241846915,1862392.1315000905,5532.4574838333065,271878.7416928517,636380.2960933622,515468.0398356234,120912.25625773883,3313.263330216635,18,B_adaptive
2025-11,10800.0,10800.0,1230682.610739612,28670.614896602216,1259353.2256362143,2017708.509364753,4851.254702499967,107215.89880349797,670376.0909495885,543004.6336691667,127371.45728042182,6192.797859113895,25,B_adaptive
2025-12,10800.0,10133.411347592591,1659277.3633282618,114848.53092745261,1774125.8942557145,2659527.3532515573,21361.580012917697,183270.22465884776,706219.4850497942,572637.7126775,134248.36102470165,48665.78174494433,18,B_adaptive
