slot,interval,load_kW,pv_kW,price_yuan_kWh,grid_kWh,charge_bus_kWh,discharge_bus_kWh,unused_kWh,state_start_kWh,state_end_kWh,cost_yuan
34,05:40-05:50,3210.228,0.0,0.5708,0.0,0.0,535.038,0.0,7694.709148148148,7100.222481481482,0.0
35,05:50-06:00,3031.18,0.0,0.9099,0.0,0.0,505.1966666666666,0.0,7100.222481481482,6538.892851851852,0.0
36,06:00-06:10,2982.9885,4.0682,0.9368,0.0,0.0,496.4867166666666,0.0,6538.892851851852,5987.240944444445,0.0
37,06:10-06:20,2929.0392,0.0,0.8758,0.0,0.0,488.1732,0.0,5987.240944444445,5444.826277777778,0.0
38,06:20-06:30,2903.48,39.0,0.8759,0.0,0.0,477.4133333333333,0.0,5444.826277777778,4914.367018518519,0.0
39,06:30-06:40,3109.1773,267.5189,0.8601,0.0,0.0,473.6097333333333,0.0,4914.367018518519,4388.133981481482,0.0
40,06:40-06:50,3416.706,556.7771,0.8442,0.0,0.0,476.65481666666665,0.0,4388.133981481482,3858.5175185185185,0.0
41,06:50-07:00,3664.99,849.0,0.8334,0.0,0.0,469.3316666666666,0.0,3858.5175185185185,3337.037888888889,0.0
42,07:00-07:10,3774.7493,1182.9292,0.8092,0.0,0.0,431.97001666666665,0.0,3337.037888888889,2857.0712037037038,0.0
43,07:10-07:20,3778.6648,1493.6038,0.7972,0.0,0.0,380.84349999999995,0.0,2857.0712037037038,2433.9117592592593,0.0
44,07:20-07:30,3772.28,1764.525,0.7644,0.0,0.0,334.62583333333333,0.0,2433.9117592592593,2062.1052777777777,0.0
45,07:30-07:40,3814.3541,2045.7535,0.6899,0.0,0.0,294.7667666666666,0.0,2062.1052777777777,1734.586648148148,0.0
46,07:40-07:50,3689.8247,2350.0612,0.86,0.0,0.0,223.29391666666666,0.0,1734.586648148148,1486.4822962962962,0.0
47,07:50-08:00,3460.32,2667.3375,1.1617,0.0,0.0,132.16375,0.0,1486.4822962962962,1339.6336851851852,0.0
48,08:00-08:10,3429.984,2969.2216,1.1683,0.0,0.0,76.79373333333334,0.0,1339.6336851851852,1254.3073148148148,0.0
49,08:10-08:20,3492.9685,3210.959,1.0956,0.0,0.0,47.00158333333335,0.0,1254.3073148148148,1202.0833333333333,0.0
50,08:20-08:30,3484.65,3473.4,1.0849,0.0,0.0,1.875,0.0,1202.0833333333333,1200.0,0.0
51,08:30-08:40,3408.8824,3876.6658,1.061,0.0,-0.0,0.0,77.96390000000004,1200.0,1200.0,0.0
52,08:40-08:50,3721.4574,4193.0497,1.043,0.0,0.0,0.0,78.59871666666663,1200.0,1200.0,0.0
53,08:50-09:00,4265.02,4410.0,1.036,0.0,0.0,0.0,24.16333333333326,1200.0,1200.0,0.0
54,09:00-09:10,4384.8008,4759.29,1.0147,0.0,0.0,0.0,62.41486666666666,1200.0,1200.0,0.0
55,09:10-09:20,4326.9616,5230.1095,0.9922,0.0,-0.0,0.0,150.52464999999998,1200.0,1200.0,0.0
56,09:20-09:30,4301.37,5617.05,0.97,0.0,0.0,0.0,219.28000000000003,1200.0,1200.0,0.0
57,09:30-09:40,4264.7827,5706.4996,0.9422,0.0,-0.0,0.0,240.28615000000005,1200.0,1200.0,0.0
58,09:40-09:50,4238.1086,5763.2829,0.9569,0.0,-0.0,0.0,254.19571666666675,1200.0,1200.0,0.0
59,09:50-10:00,4229.24,5918.1,0.9977,0.0,-0.0,0.0,281.47666666666674,1200.0,1200.0,0.0
60,10:00-10:10,4189.0811,6084.5039,0.9919,0.0,0.0,0.0,315.9037999999999,1200.0,1200.0,0.0
61,10:10-10:20,3984.7821,6321.4568,0.9588,0.0,-0.0,0.0,389.44578333333334,1200.0,1200.0,0.0
62,10:20-10:30,3829.89,6575.1,0.9549,0.0,-0.0,0.0,457.5350000000001,1200.0,1200.0,0.0
63,10:30-10:40,4084.2945,6696.4825,0.9839,0.0,0.0,0.0,435.36466666666666,1200.0,1200.0,0.0
64,10:40-10:50,4247.4185,6763.902,0.799,0.0,-0.0,0.0,419.4139166666667,1200.0,1200.0,0.0
65,10:50-11:00,4102.2,6907.5375,0.5025,0.0,-0.0,0.0,467.5562500000001,1200.0,1200.0,0.0
66,11:00-11:10,3915.7971,7181.469,0.4662,0.0,-0.0,0.0,544.27865,1200.0,1200.0,0.0
67,11:10-11:20,3873.6406,7369.7212,0.5007,0.0,0.0,0.0,582.6800999999999,1200.0,1200.0,0.0
68,11:20-11:30,3954.42,7369.425,0.4827,0.0,372.55286666666575,0.0,196.61463333333427,1200.0,1535.2975799999992,0.0
69,11:30-11:40,3996.7253,7276.7334,0.4785,0.0,546.668016666667,0.0,-3.410605131648481e-13,1535.2975799999992,2027.2987949999995,0.0
70,11:40-11:50,4000.773,7255.2616,0.4662,0.0,542.4147666666665,0.0,0.0,2027.2987949999995,2515.4720849999994,0.0
71,11:50-12:00,3983.75,7337.0625,0.4432,0.0,558.8854166666666,0.0,0.0,2515.4720849999994,3018.4689599999992,0.0
72,12:00-12:10,3927.8339,7428.7878,0.4411,0.0,583.4923166666666,0.0,0.0,3018.4689599999992,3543.6120449999994,0.0
73,12:10-12:20,3784.6519,7515.7143,0.4551,0.0,621.8437333333333,0.0,0.0,3543.6120449999994,4103.2714049999995,0.0
74,12:20-12:30,3675.82,7478.2875,0.4463,0.0,633.7445833333334,0.0,0.0,4103.2714049999995,4673.64153,0.0
75,12:30-12:40,3773.0324,7215.4083,0.4113,0.0,573.7293166666666,0.0,0.0,4673.64153,5189.997915,0.0
76,12:40-12:50,3756.7304,7175.4916,0.5682,0.0,569.7935333333334,0.0,0.0,5189.997915,5702.812095,0.0
77,12:50-13:00,3588.03,7292.8875,0.8279,0.0,617.4762499999999,0.0,0.0,5702.812095,6258.54072,0.0
78,13:00-13:10,3574.7625,7074.1368,0.8636,0.0,583.22905,0.0,0.0,6258.54072,6783.446865,0.0
79,13:10-13:20,3780.1759,6902.4912,0.8416,0.0,520.3858833333334,0.0,0.0,6783.446865,7251.7941599999995,0.0
80,13:20-13:30,3981.31,6855.975,0.8618,0.0,479.1108333333334,0.0,0.0,7251.7941599999995,7682.993909999999,0.0
81,13:30-13:40,3880.3715,6610.9253,0.8623,0.0,455.0922999999999,0.0,0.0,7682.993909999999,8092.576979999999,0.0
82,13:40-13:50,3749.654,6355.7803,0.9026,0.0,434.3543833333334,0.0,0.0,8092.576979999999,8483.495925,0.0
83,13:50-14:00,3710.42,6242.9625,0.9754,0.0,422.09041666666656,0.0,0.0,8483.495925,8863.377299999998,0.0
84,14:00-14:10,3622.1565,6198.4891,1.0002,0.0,429.3887666666666,0.0,0.0,8863.377299999998,9249.827189999998,0.0
85,14:10-14:20,3485.2824,5938.2944,0.9978,0.0,408.83533333333327,0.0,0.0,9249.827189999998,9617.778989999999,0.0
86,14:20-14:30,3432.52,5491.8,1.0271,0.0,343.21333333333337,0.0,0.0,9617.778989999999,9926.670989999999,0.0
87,14:30-14:40,3580.6593,5161.1716,1.0906,0.0,263.4187166666666,0.0,0.0,9926.670989999999,10163.747834999998,0.0
88,14:40-14:50,3625.7442,4886.8922,0.9376,0.0,210.19133333333335,0.0,0.0,10163.747834999998,10352.920035,0.0
89,14:50-15:00,3572.9,4603.875,0.6694,0.0,171.82916666666665,0.0,0.0,10352.920035,10507.566284999999,0.0
90,15:00-15:10,3678.3404,4344.359,0.66,0.0,111.00310000000005,0.0,0.0,10507.566284999999,10607.469074999999,0.0
91,15:10-15:20,3567.7885,4167.808,0.7217,0.0,100.00324999999998,0.0,0.0,10607.469074999999,10697.472,0.0
92,15:20-15:30,3304.23,3987.75,0.7308,0.0,113.91999999999999,0.0,0.0,10697.472,10800.0,0.0
93,15:30-15:40,3361.7347,3647.4879,0.7534,0.0,-0.0,0.0,47.62553333333335,10800.0,10800.0,0.0
94,15:40-15:50,3473.2312,3307.2199,0.7823,27.668550000000018,0.0,-0.0,0.0,10800.0,10800.0,21.645106665000014
95,15:50-16:00,3460.09,2997.225,0.8055,77.1441666666667,0.0,-0.0,0.0,10800.0,10800.0,62.139626250000035
96,16:00-16:10,3399.5129,2594.5382,0.8271,134.16245000000004,0.0,-0.0,0.0,10800.0,10800.0,110.96576239500003
97,16:10-16:20,3279.9769,2201.539,0.8519,179.73964999999998,0.0,-0.0,0.0,10800.0,10800.0,153.12020783499997
98,16:20-16:30,3274.19,1867.2375,0.8791,234.49208333333334,0.0,-0.0,0.0,10800.0,10800.0,206.14199045833334
99,16:30-16:40,3529.2927,1538.2765,0.9024,331.8360333333333,0.0,-0.0,0.0,10800.0,10800.0,299.44883647999995
100,16:40-16:50,3300.1235,1200.397,0.9163,349.9544166666667,0.0,-0.0,0.0,10800.0,10800.0,320.6632319916667
101,16:50-17:00,2706.67,861.2625,0.9264,307.56791666666663,0.0,-0.0,0.0,10800.0,10800.0,284.93091799999996
102,17:00-17:10,2624.7694,537.6432,0.9462,347.8543666666667,0.0,-0.0,0.0,10800.0,10800.0,329.13980174000005
103,17:10-17:20,2619.9382,241.4042,0.9742,396.4223333333333,0.0,-0.0,0.0,10800.0,10800.0,386.1946371333333
104,17:20-17:30,2563.99,36.225,0.9862,421.2941666666666,0.0,-0.0,0.0,10800.0,10800.0,415.4803071666666
105,17:30-17:40,2788.4988,0.0,0.976,464.74979999999994,0.0,0.0,0.0,10800.0,10800.0,453.59580479999994
106,17:40-17:50,2900.9766,3.2712,1.0742,0.0,0.0,482.95089999999993,0.0,10800.0,10263.387888888888,0.0
107,17:50-18:00,2783.61,0.0,1.2313,0.0,0.0,463.935,0.0,10263.387888888888,9747.904555555555,0.0
108,18:00-18:10,2727.2217,0.0,1.2561,0.0,0.0,454.53695,0.0,9747.904555555555,9242.8635,0.0
109,18:10-18:20,2795.7426,0.2349,1.2447,0.0,0.0,465.91795,0.0,9242.8635,8725.17688888889,0.0
110,18:20-18:30,2757.25,0.0,1.2545,0.0,0.0,459.54166666666663,0.0,8725.17688888889,8214.575037037037,0.0
111,18:30-18:40,2395.0547,0.0,1.2522,0.0,0.0,399.17578333333336,0.0,8214.575037037037,7771.046388888889,0.0
112,18:40-18:50,2441.8696,0.0169,1.2881,0.0,0.0,406.97544999999997,0.0,7771.046388888889,7318.8514444444445,0.0
113,18:50-19:00,2784.93,0.0,1.3466,0.0,0.0,464.155,0.0,7318.8514444444445,6803.123666666666,0.0
114,19:00-19:10,2609.754,0.0,1.3523,0.0,0.0,434.95899999999995,0.0,6803.123666666666,6319.835888888889,0.0
115,19:10-19:20,2594.7869,0.0012,1.3445,0.0,0.0,432.4642833333333,0.0,6319.835888888889,5839.320018518519,0.0
116,19:20-19:30,2852.56,0.0,1.3483,0.0,0.0,475.4266666666666,0.0,5839.320018518519,5311.068166666667,0.0
117,19:30-19:40,2768.6161,0.0,1.349,0.0,0.0,461.43601666666666,0.0,5311.068166666667,4798.361481481482,0.0
118,19:40-19:50,2611.7796,0.0,1.3473,0.0,0.0,435.29659999999996,0.0,4798.361481481482,4314.698592592593,0.0
119,19:50-20:00,2585.08,0.0,1.3482,0.0,0.0,430.84666666666664,0.0,4314.698592592593,3835.9800740740743,0.0
120,20:00-20:10,2608.5672,0.0,1.3513,0.0,0.0,434.7612,0.0,3835.9800740740743,3352.9120740740746,0.0
121,20:10-20:20,2656.6597,0.0,1.34,0.0,0.0,442.77661666666665,0.0,3352.9120740740746,2860.9380555555563,0.0
122,20:20-20:30,2675.66,0.0,1.3489,0.0,0.0,445.94333333333327,0.0,2860.9380555555563,2365.4454629629636,0.0
123,20:30-20:40,2627.04,0.0,1.3952,0.0,0.0,437.84,0.0,2365.4454629629636,1878.9565740740748,0.0
124,20:40-20:50,2701.1707,0.0,1.2226,0.0,0.0,450.19511666666665,0.0,1878.9565740740748,1378.7397777777785,0.0
125,20:50-21:00,2880.68,0.0,0.9332,480.1133333333333,0.0,0.0,0.0,1378.7397777777785,1378.7397777777785,448.0417626666666
126,21:00-21:10,2934.2368,0.0,0.9068,489.03946666666667,0.0,0.0,0.0,1378.7397777777785,1378.7397777777785,443.46098837333335
127,21:10-21:20,2840.602,0.0,0.9371,473.4336666666666,0.0,0.0,0.0,1378.7397777777785,1378.7397777777785,443.65468903333334
128,21:20-21:30,2726.76,0.0,0.9371,454.46000000000004,0.0,0.0,0.0,1378.7397777777785,1378.7397777777785,425.87446600000004
129,21:30-21:40,2728.4331,0.0,0.9871,293.87304999999935,0.0,160.86580000000063,0.0,1378.7397777777785,1200.0,290.0820876549993
130,21:40-21:50,2654.6855,0.0,0.7764,442.44758333333334,0.0,-0.0,0.0,1200.0,1200.0,343.5163037
131,21:50-22:00,2448.62,0.0,0.4209,1241.4366666666665,833.3333333333333,0.0,0.0,1200.0,1950.0,522.5206929999999
132,22:00-22:10,2259.8063,0.0,0.3859,1209.9677166666665,833.3333333333333,0.0,0.0,1950.0,2700.0,466.92654186166664
133,22:10-22:20,2193.9544,0.0,0.4368,365.65906666666666,0.0,0.0,0.0,2700.0,2700.0,159.71988032000002
134,22:20-22:30,2278.86,0.0,0.4198,1213.1433333333332,833.3333333333333,0.0,0.0,2700.0,3450.0,509.2775713333333
135,22:30-22:40,2443.6162,0.0,0.4186,1240.6027,833.3333333333333,0.0,0.0,3450.0,4200.0,519.31629022
136,22:40-22:50,2492.2416,0.0,0.4241,415.37359999999995,0.0,0.0,0.0,4200.0,4200.0,176.15994375999998
137,22:50-23:00,2459.05,0.0,0.4237,1243.175,833.3333333333333,0.0,0.0,4200.0,4950.0,526.7332475000001
138,23:00-23:10,2525.0152,0.0,0.4248,420.8358666666666,0.0,0.0,0.0,4950.0,4950.0,178.77107615999998
139,23:10-23:20,2434.5253,0.0,0.424,405.7542166666666,0.0,0.0,0.0,4950.0,4950.0,172.03978786666664
140,23:20-23:30,2279.26,0.0,0.422,1213.21,833.3333333333333,0.0,0.0,4950.0,5700.0,511.97462
141,23:30-23:40,2444.3866,0.0,0.424,740.7311,333.3333333333333,0.0,0.0,5700.0,6000.0,314.0699864
142,23:40-23:50,2657.9443,0.0,0.4271,442.9907166666667,0.0,0.0,0.0,6000.0,6000.0,189.20133508833334
143,23:50-24:00,2618.28,0.0,0.4276,436.38,0.0,0.0,0.0,6000.0,6000.0,186.59608799999998
