k,date,weekday,month,publication_hour,kind,j,lead_hours,h_start,h_end,interval_start,interval_end,n_valid_slots,valid,b_kW,y_kW
55,2025-02-25,1,2025-02,6,hour,0,1,36,41,2025-02-25 06:00:00,2025-02-25 07:00:00,6,True,14.900419717344144,28.580731518119592
56,2025-02-26,2,2025-02,6,hour,0,1,36,41,2025-02-26 06:00:00,2025-02-26 07:00:00,6,True,-9.154460611604387,21.687383448851204
57,2025-02-27,3,2025-02,6,hour,0,1,36,41,2025-02-27 06:00:00,2025-02-27 07:00:00,6,True,-58.517233841416555,25.914281610389633
58,2025-02-28,4,2025-02,6,hour,0,1,36,41,2025-02-28 06:00:00,2025-02-28 07:00:00,6,True,-3.6370931756950995,-54.09437523249949
59,2025-03-01,5,2025-03,6,hour,0,1,36,41,2025-03-01 06:00:00,2025-03-01 07:00:00,6,True,-339.65733181308724,-229.57338070697696
60,2025-03-02,6,2025-03,6,hour,0,1,36,41,2025-03-02 06:00:00,2025-03-02 07:00:00,6,True,-141.50547192399412,-188.3132859346894
61,2025-03-03,0,2025-03,6,hour,0,1,36,41,2025-03-03 06:00:00,2025-03-03 07:00:00,6,True,-166.70943320670713,-91.0294059654528
62,2025-03-04,1,2025-03,6,hour,0,1,36,41,2025-03-04 06:00:00,2025-03-04 07:00:00,6,True,-72.74774491656952,-115.2150527323982
63,2025-03-05,2,2025-03,6,hour,0,1,36,41,2025-03-05 06:00:00,2025-03-05 07:00:00,6,True,-42.871187729302925,-80.40747075854824
64,2025-03-06,3,2025-03,6,hour,0,1,36,41,2025-03-06 06:00:00,2025-03-06 07:00:00,6,True,-10.660558054587531,-186.2008559878124
65,2025-03-07,4,2025-03,6,hour,0,1,36,41,2025-03-07 06:00:00,2025-03-07 07:00:00,6,True,-233.78266351140655,-231.54423962326118
66,2025-03-08,5,2025-03,6,hour,0,1,36,41,2025-03-08 06:00:00,2025-03-08 07:00:00,6,True,33.38795584474883,-2.6924163932191427
67,2025-03-09,6,2025-03,6,hour,0,1,36,41,2025-03-09 06:00:00,2025-03-09 07:00:00,6,True,-121.1686039160307,-109.99329697662385
68,2025-03-10,0,2025-03,6,hour,0,1,36,41,2025-03-10 06:00:00,2025-03-10 07:00:00,6,True,11.428780567042699,-137.22252275332463
69,2025-03-11,1,2025-03,6,hour,0,1,36,41,2025-03-11 06:00:00,2025-03-11 07:00:00,6,True,-20.452567044946818,-109.16914921838118
70,2025-03-12,2,2025-03,6,hour,0,1,36,41,2025-03-12 06:00:00,2025-03-12 07:00:00,6,True,-32.564595005997795,-51.74270680686368
71,2025-03-13,3,2025-03,6,hour,0,1,36,41,2025-03-13 06:00:00,2025-03-13 07:00:00,6,True,-68.39578117569552,10.92064705028603
72,2025-03-14,4,2025-03,6,hour,0,1,36,41,2025-03-14 06:00:00,2025-03-14 07:00:00,6,True,-67.88530735364786,-63.76357976423333
73,2025-03-15,5,2025-03,6,hour,0,1,36,41,2025-03-15 06:00:00,2025-03-15 07:00:00,6,True,-9.232109875705495,41.16655588848706
74,2025-03-16,6,2025-03,6,hour,0,1,36,41,2025-03-16 06:00:00,2025-03-16 07:00:00,6,True,-112.97035772734277,80.16514836714396
75,2025-03-17,0,2025-03,6,hour,0,1,36,41,2025-03-17 06:00:00,2025-03-17 07:00:00,6,True,-55.28215911548242,-30.726420597580727
76,2025-03-18,1,2025-03,6,hour,0,1,36,41,2025-03-18 06:00:00,2025-03-18 07:00:00,6,True,-136.6665966824606,-87.12850396245192
77,2025-03-19,2,2025-03,6,hour,0,1,36,41,2025-03-19 06:00:00,2025-03-19 07:00:00,6,True,-65.32945899586146,-41.82534163844821
78,2025-03-20,3,2025-03,6,hour,0,1,36,41,2025-03-20 06:00:00,2025-03-20 07:00:00,6,True,17.16657692770597,-40.81240360578249
79,2025-03-21,4,2025-03,6,hour,0,1,36,41,2025-03-21 06:00:00,2025-03-21 07:00:00,6,True,29.633909169512133,50.67770646278647
80,2025-03-22,5,2025-03,6,hour,0,1,36,41,2025-03-22 06:00:00,2025-03-22 07:00:00,6,True,92.4117525148419,17.25491098029344
81,2025-03-23,6,2025-03,6,hour,0,1,36,41,2025-03-23 06:00:00,2025-03-23 07:00:00,6,True,84.47409325646511,177.61619683985523
82,2025-03-24,0,2025-03,6,hour,0,1,36,41,2025-03-24 06:00:00,2025-03-24 07:00:00,6,True,160.76169924339038,106.20284176540069
83,2025-03-25,1,2025-03,6,hour,0,1,36,41,2025-03-25 06:00:00,2025-03-25 07:00:00,6,True,63.114400237148175,155.29753442549904
84,2025-03-26,2,2025-03,6,hour,0,1,36,41,2025-03-26 06:00:00,2025-03-26 07:00:00,6,True,112.01021695992199,-52.95099518524572
85,2025-03-27,3,2025-03,6,hour,0,1,36,41,2025-03-27 06:00:00,2025-03-27 07:00:00,6,True,22.983608628827294,42.67776152872299
86,2025-03-28,4,2025-03,6,hour,0,1,36,41,2025-03-28 06:00:00,2025-03-28 07:00:00,6,True,-43.5059169827617,-39.585867596830745
87,2025-03-29,5,2025-03,6,hour,0,1,36,41,2025-03-29 06:00:00,2025-03-29 07:00:00,6,True,116.21415282343021,93.92899617243188
88,2025-03-30,6,2025-03,6,hour,0,1,36,41,2025-03-30 06:00:00,2025-03-30 07:00:00,6,True,192.1046374863006,54.43425690398757
89,2025-03-31,0,2025-03,6,hour,0,1,36,41,2025-03-31 06:00:00,2025-03-31 07:00:00,6,True,135.7590102726978,64.10325764377755
90,2025-04-01,1,2025-04,6,hour,0,1,36,41,2025-04-01 06:00:00,2025-04-01 07:00:00,6,True,236.62861530476607,54.530981538846845
91,2025-04-02,2,2025-04,6,hour,0,1,36,41,2025-04-02 06:00:00,2025-04-02 07:00:00,6,True,211.37526373994584,167.32277217661962
92,2025-04-03,3,2025-04,6,hour,0,1,36,41,2025-04-03 06:00:00,2025-04-03 07:00:00,6,True,102.70773408397099,68.79219250737424
93,2025-04-04,4,2025-04,6,hour,0,1,36,41,2025-04-04 06:00:00,2025-04-04 07:00:00,6,True,26.759618818572488,102.41750608973985
94,2025-04-05,5,2025-04,6,hour,0,1,36,41,2025-04-05 06:00:00,2025-04-05 07:00:00,6,True,-2.888143126272477,109.88775766825893
95,2025-04-06,6,2025-04,6,hour,0,1,36,41,2025-04-06 06:00:00,2025-04-06 07:00:00,6,True,97.98246875407024,61.04166873669192
96,2025-04-07,0,2025-04,6,hour,0,1,36,41,2025-04-07 06:00:00,2025-04-07 07:00:00,6,True,53.274556710452394,73.88962352951619
97,2025-04-08,1,2025-04,6,hour,0,1,36,41,2025-04-08 06:00:00,2025-04-08 07:00:00,6,True,5.364228794486735,175.51944054965756
98,2025-04-09,2,2025-04,6,hour,0,1,36,41,2025-04-09 06:00:00,2025-04-09 07:00:00,6,True,-90.61338390437231,89.75594166013373
99,2025-04-10,3,2025-04,6,hour,0,1,36,41,2025-04-10 06:00:00,2025-04-10 07:00:00,6,True,59.430775398481195,78.88132805154949
100,2025-04-11,4,2025-04,6,hour,0,1,36,41,2025-04-11 06:00:00,2025-04-11 07:00:00,6,True,148.6207041015892,210.79141326032513
101,2025-04-12,5,2025-04,6,hour,0,1,36,41,2025-04-12 06:00:00,2025-04-12 07:00:00,6,True,-7.077076591253369,-84.09187418977785
102,2025-04-13,6,2025-04,6,hour,0,1,36,41,2025-04-13 06:00:00,2025-04-13 07:00:00,6,True,36.804684989758776,82.94528680587912
103,2025-04-14,0,2025-04,6,hour,0,1,36,41,2025-04-14 06:00:00,2025-04-14 07:00:00,6,True,129.9686977124173,109.75253752076333
104,2025-04-15,1,2025-04,6,hour,0,1,36,41,2025-04-15 06:00:00,2025-04-15 07:00:00,6,True,3.5886959194297865,31.544330425228356
105,2025-04-16,2,2025-04,6,hour,0,1,36,41,2025-04-16 06:00:00,2025-04-16 07:00:00,6,True,55.53413689288944,91.33177827341008
106,2025-04-17,3,2025-04,6,hour,0,1,36,41,2025-04-17 06:00:00,2025-04-17 07:00:00,6,True,18.648364112988776,77.34985668666862
107,2025-04-18,4,2025-04,6,hour,0,1,36,41,2025-04-18 06:00:00,2025-04-18 07:00:00,6,True,14.357466129189106,-72.60908835772072
108,2025-04-19,5,2025-04,6,hour,0,1,36,41,2025-04-19 06:00:00,2025-04-19 07:00:00,6,True,40.008921174043884,60.645381557088285
109,2025-04-20,6,2025-04,6,hour,0,1,36,41,2025-04-20 06:00:00,2025-04-20 07:00:00,6,True,131.6972366679911,101.31368158265225
110,2025-04-21,0,2025-04,6,hour,0,1,36,41,2025-04-21 06:00:00,2025-04-21 07:00:00,6,True,146.05990484052427,154.89745765987982
111,2025-04-22,1,2025-04,6,hour,0,1,36,41,2025-04-22 06:00:00,2025-04-22 07:00:00,6,True,77.65388211637863,-69.45011991461085
112,2025-04-23,2,2025-04,6,hour,0,1,36,41,2025-04-23 06:00:00,2025-04-23 07:00:00,6,True,140.94152200008784,11.954158917274375
113,2025-04-24,3,2025-04,6,hour,0,1,36,41,2025-04-24 06:00:00,2025-04-24 07:00:00,6,True,14.62752509249602,96.54134824622406
114,2025-04-25,4,2025-04,6,hour,0,1,36,41,2025-04-25 06:00:00,2025-04-25 07:00:00,6,True,53.28235283540456,36.41593479377957
115,2025-04-26,5,2025-04,6,hour,0,1,36,41,2025-04-26 06:00:00,2025-04-26 07:00:00,6,True,46.637622436415086,-19.846486147321155
116,2025-04-27,6,2025-04,6,hour,0,1,36,41,2025-04-27 06:00:00,2025-04-27 07:00:00,6,True,-72.97605439865985,-13.216028661947197
117,2025-04-28,0,2025-04,6,hour,0,1,36,41,2025-04-28 06:00:00,2025-04-28 07:00:00,6,True,-108.01312558074255,-68.88797058486989
118,2025-04-29,1,2025-04,6,hour,0,1,36,41,2025-04-29 06:00:00,2025-04-29 07:00:00,6,True,6.1440015025821895,105.00900554850932
119,2025-04-30,2,2025-04,6,hour,0,1,36,41,2025-04-30 06:00:00,2025-04-30 07:00:00,6,True,-76.76772002938726,108.77229412347242
120,2025-05-01,3,2025-05,6,hour,0,1,36,41,2025-05-01 06:00:00,2025-05-01 07:00:00,6,True,-98.85584502266572,-53.960830047603245
121,2025-05-02,4,2025-05,6,hour,0,1,36,41,2025-05-02 06:00:00,2025-05-02 07:00:00,6,True,79.86850414572541,42.07280585152572
122,2025-05-03,5,2025-05,6,hour,0,1,36,41,2025-05-03 06:00:00,2025-05-03 07:00:00,6,True,50.071037146537414,-12.81943355618417
123,2025-05-04,6,2025-05,6,hour,0,1,36,41,2025-05-04 06:00:00,2025-05-04 07:00:00,6,True,65.08330681711293,58.07689774668643
124,2025-05-05,0,2025-05,6,hour,0,1,36,41,2025-05-05 06:00:00,2025-05-05 07:00:00,6,True,41.79159408487984,-138.69975373636453
125,2025-05-06,1,2025-05,6,hour,0,1,36,41,2025-05-06 06:00:00,2025-05-06 07:00:00,6,True,-13.379298167383164,-17.745029902804315
126,2025-05-07,2,2025-05,6,hour,0,1,36,41,2025-05-07 06:00:00,2025-05-07 07:00:00,6,True,38.909234140847126,-48.08064927916803
127,2025-05-08,3,2025-05,6,hour,0,1,36,41,2025-05-08 06:00:00,2025-05-08 07:00:00,6,True,115.71786536703985,-76.50889258632726
128,2025-05-09,4,2025-05,6,hour,0,1,36,41,2025-05-09 06:00:00,2025-05-09 07:00:00,6,True,-51.933758554703594,-93.83083328643534
129,2025-05-10,5,2025-05,6,hour,0,1,36,41,2025-05-10 06:00:00,2025-05-10 07:00:00,6,True,88.1226256804179,84.62970655926422
130,2025-05-11,6,2025-05,6,hour,0,1,36,41,2025-05-11 06:00:00,2025-05-11 07:00:00,6,True,69.31011167931645,44.91463284750686
131,2025-05-12,0,2025-05,6,hour,0,1,36,41,2025-05-12 06:00:00,2025-05-12 07:00:00,6,True,-74.06334494519358,129.45205109582503
132,2025-05-13,1,2025-05,6,hour,0,1,36,41,2025-05-13 06:00:00,2025-05-13 07:00:00,6,True,22.9113590349491,71.6398032560628
133,2025-05-14,2,2025-05,6,hour,0,1,36,41,2025-05-14 06:00:00,2025-05-14 07:00:00,6,True,15.570382434350677,62.62848881187043
134,2025-05-15,3,2025-05,6,hour,0,1,36,41,2025-05-15 06:00:00,2025-05-15 07:00:00,6,True,-59.28799125689898,57.10968301214507
135,2025-05-16,4,2025-05,6,hour,0,1,36,41,2025-05-16 06:00:00,2025-05-16 07:00:00,6,True,38.156905326472575,-58.107260240555206
136,2025-05-17,5,2025-05,6,hour,0,1,36,41,2025-05-17 06:00:00,2025-05-17 07:00:00,6,True,39.18176060745517,43.87561458511315
137,2025-05-18,6,2025-05,6,hour,0,1,36,41,2025-05-18 06:00:00,2025-05-18 07:00:00,6,True,50.01489925305608,12.022707478634553
138,2025-05-19,0,2025-05,6,hour,0,1,36,41,2025-05-19 06:00:00,2025-05-19 07:00:00,6,True,-56.13778616503911,-38.11849953347397
139,2025-05-20,1,2025-05,6,hour,0,1,36,41,2025-05-20 06:00:00,2025-05-20 07:00:00,6,True,-20.52977989555052,-33.44254897863387
140,2025-05-21,2,2025-05,6,hour,0,1,36,41,2025-05-21 06:00:00,2025-05-21 07:00:00,6,True,1.739230898521934,2.0245545219463565
141,2025-05-22,3,2025-05,6,hour,0,1,36,41,2025-05-22 06:00:00,2025-05-22 07:00:00,6,True,-76.3649329224454,33.41254903834639
142,2025-05-23,4,2025-05,6,hour,0,1,36,41,2025-05-23 06:00:00,2025-05-23 07:00:00,6,True,-20.028710012139527,59.75103133471445
143,2025-05-24,5,2025-05,6,hour,0,1,36,41,2025-05-24 06:00:00,2025-05-24 07:00:00,6,True,-74.98390895247803,-69.95769137767775
144,2025-05-25,6,2025-05,6,hour,0,1,36,41,2025-05-25 06:00:00,2025-05-25 07:00:00,6,True,53.15744847465021,78.58644081155262
145,2025-05-26,0,2025-05,6,hour,0,1,36,41,2025-05-26 06:00:00,2025-05-26 07:00:00,6,True,101.70691409723054,-60.55507804932571
146,2025-05-27,1,2025-05,6,hour,0,1,36,41,2025-05-27 06:00:00,2025-05-27 07:00:00,6,True,-62.57306276774489,-48.55946971232561
147,2025-05-28,2,2025-05,6,hour,0,1,36,41,2025-05-28 06:00:00,2025-05-28 07:00:00,6,True,-38.72098354325211,-154.38162609180972
148,2025-05-29,3,2025-05,6,hour,0,1,36,41,2025-05-29 06:00:00,2025-05-29 07:00:00,6,True,83.48629726840522,-28.445564506560306
149,2025-05-30,4,2025-05,6,hour,0,1,36,41,2025-05-30 06:00:00,2025-05-30 07:00:00,6,True,-73.46545720077711,10.327826248472471
150,2025-05-31,5,2025-05,6,hour,0,1,36,41,2025-05-31 06:00:00,2025-05-31 07:00:00,6,True,-5.307096702355693,91.48601332706357
151,2025-06-01,6,2025-06,6,hour,0,1,36,41,2025-06-01 06:00:00,2025-06-01 07:00:00,6,True,-22.899496890763356,-31.241539742685138
152,2025-06-02,0,2025-06,6,hour,0,1,36,41,2025-06-02 06:00:00,2025-06-02 07:00:00,6,True,-53.65943549462062,37.13224085645303
153,2025-06-03,1,2025-06,6,hour,0,1,36,41,2025-06-03 06:00:00,2025-06-03 07:00:00,6,True,19.161344514526565,15.687737833102497
154,2025-06-04,2,2025-06,6,hour,0,1,36,41,2025-06-04 06:00:00,2025-06-04 07:00:00,6,True,64.09407286765206,-161.2592575842415
155,2025-06-05,3,2025-06,6,hour,0,1,36,41,2025-06-05 06:00:00,2025-06-05 07:00:00,6,True,32.52030587585091,-44.57658459980909
156,2025-06-06,4,2025-06,6,hour,0,1,36,41,2025-06-06 06:00:00,2025-06-06 07:00:00,6,True,-173.8517202536099,-288.57663784858164
157,2025-06-07,5,2025-06,6,hour,0,1,36,41,2025-06-07 06:00:00,2025-06-07 07:00:00,6,True,13.60497188457945,-16.143744921206387
158,2025-06-08,6,2025-06,6,hour,0,1,36,41,2025-06-08 06:00:00,2025-06-08 07:00:00,6,True,-167.58191221338515,-89.27880063645095
159,2025-06-09,0,2025-06,6,hour,0,1,36,41,2025-06-09 06:00:00,2025-06-09 07:00:00,6,True,56.92216586874989,-8.656933204321072
160,2025-06-10,1,2025-06,6,hour,0,1,36,41,2025-06-10 06:00:00,2025-06-10 07:00:00,6,True,109.59612199882395,-5.506830955691385
161,2025-06-11,2,2025-06,6,hour,0,1,36,41,2025-06-11 06:00:00,2025-06-11 07:00:00,6,True,-73.09848563881626,64.14648938555774
162,2025-06-12,3,2025-06,6,hour,0,1,36,41,2025-06-12 06:00:00,2025-06-12 07:00:00,6,True,-147.427424720377,63.73789608772146
163,2025-06-13,4,2025-06,6,hour,0,1,36,41,2025-06-13 06:00:00,2025-06-13 07:00:00,6,True,27.777365591907255,-36.67293760318148
164,2025-06-14,5,2025-06,6,hour,0,1,36,41,2025-06-14 06:00:00,2025-06-14 07:00:00,6,True,-76.55861547217803,24.331578259880718
165,2025-06-15,6,2025-06,6,hour,0,1,36,41,2025-06-15 06:00:00,2025-06-15 07:00:00,6,True,-60.66903559649518,2.338967735251117
166,2025-06-16,0,2025-06,6,hour,0,1,36,41,2025-06-16 06:00:00,2025-06-16 07:00:00,6,True,77.17550303390188,37.606877549520654
167,2025-06-17,1,2025-06,6,hour,0,1,36,41,2025-06-17 06:00:00,2025-06-17 07:00:00,6,True,44.529023522497255,72.37614184535444
168,2025-06-18,2,2025-06,6,hour,0,1,36,41,2025-06-18 06:00:00,2025-06-18 07:00:00,6,True,24.22583957257484,80.95324746632802
169,2025-06-19,3,2025-06,6,hour,0,1,36,41,2025-06-19 06:00:00,2025-06-19 07:00:00,6,True,127.26616284194908,-10.20093838801237
170,2025-06-20,4,2025-06,6,hour,0,1,36,41,2025-06-20 06:00:00,2025-06-20 07:00:00,6,True,-126.69471065597759,10.38381689677855
171,2025-06-21,5,2025-06,6,hour,0,1,36,41,2025-06-21 06:00:00,2025-06-21 07:00:00,6,True,-41.83237143964902,57.6140991119042
172,2025-06-22,6,2025-06,6,hour,0,1,36,41,2025-06-22 06:00:00,2025-06-22 07:00:00,6,True,-21.62514169616361,38.925798716096175
173,2025-06-23,0,2025-06,6,hour,0,1,36,41,2025-06-23 06:00:00,2025-06-23 07:00:00,6,True,-56.988731282911054,23.5890327723608
174,2025-06-24,1,2025-06,6,hour,0,1,36,41,2025-06-24 06:00:00,2025-06-24 07:00:00,6,True,7.360936103135448,28.176085191150985
175,2025-06-25,2,2025-06,6,hour,0,1,36,41,2025-06-25 06:00:00,2025-06-25 07:00:00,6,True,-83.23757118814615,-31.55147967253606
176,2025-06-26,3,2025-06,6,hour,0,1,36,41,2025-06-26 06:00:00,2025-06-26 07:00:00,6,True,-147.86673663222473,22.30596912141209
177,2025-06-27,4,2025-06,6,hour,0,1,36,41,2025-06-27 06:00:00,2025-06-27 07:00:00,6,True,-34.9074256480601,-50.09438809401551
178,2025-06-28,5,2025-06,6,hour,0,1,36,41,2025-06-28 06:00:00,2025-06-28 07:00:00,6,True,4.346882213229795,-55.156287632014404
179,2025-06-29,6,2025-06,6,hour,0,1,36,41,2025-06-29 06:00:00,2025-06-29 07:00:00,6,True,-30.363685593165503,-57.45605490951372
180,2025-06-30,0,2025-06,6,hour,0,1,36,41,2025-06-30 06:00:00,2025-06-30 07:00:00,6,True,-117.74362391728103,-64.99844351883758
181,2025-07-01,1,2025-07,6,hour,0,1,36,41,2025-07-01 06:00:00,2025-07-01 07:00:00,6,True,472.22983732162123,298.7754845979687
182,2025-07-02,2,2025-07,6,hour,0,1,36,41,2025-07-02 06:00:00,2025-07-02 07:00:00,6,True,242.70148170299407,149.55913007959575
183,2025-07-03,3,2025-07,6,hour,0,1,36,41,2025-07-03 06:00:00,2025-07-03 07:00:00,6,True,234.8071955028694,82.17009860920643
184,2025-07-04,4,2025-07,6,hour,0,1,36,41,2025-07-04 06:00:00,2025-07-04 07:00:00,6,True,20.326674470156224,276.4447289350435
185,2025-07-05,5,2025-07,6,hour,0,1,36,41,2025-07-05 06:00:00,2025-07-05 07:00:00,6,True,73.74317283310438,-58.43131025123254
186,2025-07-06,6,2025-07,6,hour,0,1,36,41,2025-07-06 06:00:00,2025-07-06 07:00:00,6,True,349.5553777876173,263.4599706307361
187,2025-07-07,0,2025-07,6,hour,0,1,36,41,2025-07-07 06:00:00,2025-07-07 07:00:00,6,True,41.46499835034001,-44.0149503319476
188,2025-07-08,1,2025-07,6,hour,0,1,36,41,2025-07-08 06:00:00,2025-07-08 07:00:00,6,True,-196.90833612147162,-212.7458939552022
189,2025-07-09,2,2025-07,6,hour,0,1,36,41,2025-07-09 06:00:00,2025-07-09 07:00:00,6,True,95.54675753896534,142.2251754950518
190,2025-07-10,3,2025-07,6,hour,0,1,36,41,2025-07-10 06:00:00,2025-07-10 07:00:00,6,True,124.40783813249907,194.42866612624115
191,2025-07-11,4,2025-07,6,hour,0,1,36,41,2025-07-11 06:00:00,2025-07-11 07:00:00,6,True,186.58982858518576,75.04538582507666
192,2025-07-12,5,2025-07,6,hour,0,1,36,41,2025-07-12 06:00:00,2025-07-12 07:00:00,6,True,-6.757124594995427,66.5631696558005
193,2025-07-13,6,2025-07,6,hour,0,1,36,41,2025-07-13 06:00:00,2025-07-13 07:00:00,6,True,-70.37259819623364,67.4623289181036
194,2025-07-14,0,2025-07,6,hour,0,1,36,41,2025-07-14 06:00:00,2025-07-14 07:00:00,6,True,39.35356341938215,21.205993700604267
195,2025-07-15,1,2025-07,6,hour,0,1,36,41,2025-07-15 06:00:00,2025-07-15 07:00:00,6,True,-266.98066755202285,52.6559969064186
196,2025-07-16,2,2025-07,6,hour,0,1,36,41,2025-07-16 06:00:00,2025-07-16 07:00:00,6,True,89.0762639249458,150.0614965144708
197,2025-07-17,3,2025-07,6,hour,0,1,36,41,2025-07-17 06:00:00,2025-07-17 07:00:00,6,True,27.720639038543215,27.254469198754276
198,2025-07-18,4,2025-07,6,hour,0,1,36,41,2025-07-18 06:00:00,2025-07-18 07:00:00,6,True,-266.47887230107125,-350.8671936525593
199,2025-07-19,5,2025-07,6,hour,0,1,36,41,2025-07-19 06:00:00,2025-07-19 07:00:00,6,True,62.463419414424756,16.685123701786704
200,2025-07-20,6,2025-07,6,hour,0,1,36,41,2025-07-20 06:00:00,2025-07-20 07:00:00,6,True,-63.94473584057565,102.17139780781024
201,2025-07-21,0,2025-07,6,hour,0,1,36,41,2025-07-21 06:00:00,2025-07-21 07:00:00,6,True,65.81306386072599,-8.943618820675965
202,2025-07-22,1,2025-07,6,hour,0,1,36,41,2025-07-22 06:00:00,2025-07-22 07:00:00,6,True,-80.86635482479316,-65.43161015859702
203,2025-07-23,2,2025-07,6,hour,0,1,36,41,2025-07-23 06:00:00,2025-07-23 07:00:00,6,True,-60.412371912426806,-150.21695129399146
204,2025-07-24,3,2025-07,6,hour,0,1,36,41,2025-07-24 06:00:00,2025-07-24 07:00:00,6,True,104.27936440269688,117.49426885978922
205,2025-07-25,4,2025-07,6,hour,0,1,36,41,2025-07-25 06:00:00,2025-07-25 07:00:00,6,True,-18.700319529351873,-39.666450074532726
206,2025-07-26,5,2025-07,6,hour,0,1,36,41,2025-07-26 06:00:00,2025-07-26 07:00:00,6,True,-11.353220851246533,-80.61860853991266
207,2025-07-27,6,2025-07,6,hour,0,1,36,41,2025-07-27 06:00:00,2025-07-27 07:00:00,6,True,163.93626477967845,25.42356948444376
208,2025-07-28,0,2025-07,6,hour,0,1,36,41,2025-07-28 06:00:00,2025-07-28 07:00:00,6,True,-1.1463705811910738,138.75536005361195
209,2025-07-29,1,2025-07,6,hour,0,1,36,41,2025-07-29 06:00:00,2025-07-29 07:00:00,6,True,-36.22115315471107,-194.8219262515225
210,2025-07-30,2,2025-07,6,hour,0,1,36,41,2025-07-30 06:00:00,2025-07-30 07:00:00,6,True,-184.49685880476764,-149.23524395287708
211,2025-07-31,3,2025-07,6,hour,0,1,36,41,2025-07-31 06:00:00,2025-07-31 07:00:00,6,True,-129.03885521393372,-294.31029471612675
212,2025-08-01,4,2025-08,6,hour,0,1,36,41,2025-08-01 06:00:00,2025-08-01 07:00:00,6,True,19.317613023345075,-92.04836425726678
