供应商ID,材料类别,有效周数,F1_周均供货量,F2_周均缺失量,F3_供货达标率,F4_供货偏差均方,贴近度C,排名
S348,A,199,413.6030150753769,218.74371859296483,0.914572864321608,3473295.32160804,0.7013920993013405,21
S143,A,240,366.1333333333333,48.38333333333333,0.9125,108011.0875,0.6936862270429743,22
S037,C,161,330.2919254658385,117.08695652173913,0.9254658385093167,616458.5217391305,0.6911419426993614,23
S374,C,240,206.09583333333333,0.008333333333333333,0.9916666666666667,649362.8708333333,0.6877378576099268,24
S247,C,240,249.54166666666666,1.2916666666666667,0.9541666666666667,8998.208333333334,0.6859866567974089,25
S284,C,240,206.4375,0.4125,0.9791666666666666,7701.85,0.685101894209379,26
S126,C,100,418.81,559.31,0.87,4584382.89,0.6836109454344842,27
S365,C,240,181.10833333333332,0.8791666666666667,0.95,4263.633333333333,0.673516384257619,28
S031,B,240,181.8,1.5583333333333333,0.9375,5180.429166666667,0.670081651212294,29
S338,B,204,134.2107843137255,32.89705882352941,0.9509803921568627,82014.00490196078,0.6661688741990841,30
S364,B,240,121.8375,5.3875,0.9375,4679.308333333333,0.6605038324818499,31
S178,A,45,4.111111111111111,0.0,1.0,6.311111111111111,0.6586254806530917,32
S053,A,31,2.6774193548387095,0.0,1.0,1.903225806451613,0.6584183173938315,33
S218,C,240,66.80833333333334,0.8166666666666667,0.9583333333333334,808.425,0.657836412443508,34
S067,C,169,1.5562130177514792,0.005917159763313609,0.9940828402366864,0.6153846153846154,0.6569407229623548,35
S174,B,126,2.9047619047619047,0.007936507936507936,0.9920634920634921,2.365079365079365,0.6566779612861864,36
S040,B,240,137.22083333333333,5.170833333333333,0.9125,4065.0208333333335,0.6552315824579751,37
S362,C,70,1.4142857142857144,0.014285714285714285,0.9857142857142858,0.4857142857142857,0.654992760460171,38
S239,C,145,3.1724137931034484,1.3586206896551725,0.9793103448275862,264.5586206896552,0.6537163710941352,39
S342,C,40,6.45,0.025,0.975,26.55,0.6531423060615125,40
S379,C,37,6.918918918918919,0.02702702702702703,0.972972972972973,6.891891891891892,0.6527076540593347,41
S055,B,240,102.2,28.233333333333334,0.9208333333333333,25625.108333333334,0.6523434609136838,42
S294,C,240,83.04166666666667,0.7583333333333333,0.9291666666666667,1052.4791666666667,0.6520434622365939,43
S175,B,141,2.8085106382978724,0.028368794326241134,0.9716312056737588,2.1560283687943262,0.6517739861904541,44
S221,A,126,3.3174603174603177,0.031746031746031744,0.9682539682539683,3.4047619047619047,0.6509942392879801,45
S080,C,240,83.20416666666667,1.5083333333333333,0.925,1454.2708333333333,0.6507998077779813,46
S237,A,121,2.834710743801653,0.09917355371900827,0.9669421487603306,2.6115702479338845,0.6505887357302297,47
S367,B,240,115.13333333333334,8.733333333333333,0.9083333333333333,5800.108333333334,0.6504064455650139,48
S213,C,166,1.680722891566265,0.04216867469879518,0.9578313253012049,0.9939759036144579,0.6480393557428844,49
S114,A,231,44.58874458874459,16.567099567099568,0.935064935064935,12614.116883116883,0.6479400871488242,50
S005,A,114,67.83333333333333,0.16666666666666666,0.9210526315789473,1270.0,0.6472492689918744,51
S244,C,240,75.87916666666666,5.575,0.9166666666666666,2879.866666666667,0.6470758986814785,52
S346,B,240,102.1,9.3125,0.9041666666666667,5575.075,0.6470121944988001,53
S169,B,123,3.1463414634146343,0.04878048780487805,0.9512195121951219,3.089430894308943,0.646464610090797,54
S076,C,201,1.9850746268656716,0.04975124378109453,0.9502487562189055,1.044776119402985,0.6460289236264141,55
S351,C,39,1.3076923076923077,0.05128205128205128,0.9487179487179487,0.41025641025641024,0.6455076164165745,56
S266,A,240,28.8875,0.4875,0.925,179.375,0.6426459740446316,57
S030,A,29,6.896551724137931,0.06896551724137931,0.9310344827586207,52.86206896551724,0.6412406719760523,58
S206,C,15,2.1333333333333333,0.06666666666666667,0.9333333333333333,0.8666666666666667,0.6412286137671095,59
S098,B,209,2.138755980861244,0.16267942583732056,0.9330143540669856,2.5167464114832536,0.6411350291922595,60
S113,C,132,3.037878787878788,0.06818181818181818,0.9318181818181818,2.196969696969697,0.6409120375935056,61
S253,C,72,3.4027777777777777,0.06944444444444445,0.9305555555555556,3.3194444444444446,0.6405896883347528,62
S106,A,39,2.1794871794871793,0.07692307692307693,0.9230769230769231,1.3333333333333333,0.6381509835055417,63
S007,A,240,29.75,2.783333333333333,0.9083333333333333,562.5625,0.6375166814011565,64
S197,B,125,3.032,2.496,0.92,713.328,0.6373181987222976,65
S003,C,199,69.94974874371859,8.115577889447236,0.8894472361809045,4278.738693467337,0.6371072222401841,66
S123,A,240,28.504166666666666,1.2041666666666666,0.9041666666666667,222.7875,0.6359750431381034,67
S202,B,133,3.180451127819549,5.353383458646617,0.9097744360902256,1890.9473684210527,0.6340978779084009,68
S064,A,134,3.082089552238806,61.55223880597015,0.9104477611940298,127373.88059701493,0.634088756434583,69
S092,B,130,3.246153846153846,0.09230769230769231,0.9076923076923077,3.076923076923077,0.6334510525430195,70
S036,B,54,2.5555555555555554,0.09259259259259259,0.9074074074074074,1.6666666666666667,0.6332587451206325,71
S050,B,32,2.3125,0.09375,0.90625,2.78125,0.6328470135455468,72
S392,B,138,3.2318840579710146,0.10144927536231885,0.9057971014492754,2.5144927536231885,0.6328320300778596,73
S172,B,137,2.7372262773722627,0.15328467153284672,0.9051094890510949,2.934306569343066,0.6325355531639297,74
S332,A,51,7.921568627450981,2.4313725490196076,0.9019607843137255,523.4313725490196,0.6322410789025517,75
S086,C,209,81.05263157894737,50.00956937799043,0.8708133971291866,54835.87081339713,0.6318857745479877,76
S388,B,71,1.8028169014084507,5.71830985915493,0.9014084507042254,2254.2535211267605,0.6311631520750232,77
S066,A,141,2.950354609929078,4.531914893617022,0.900709219858156,1495.5248226950355,0.6311003997660075,78
S291,A,222,31.2027027027027,23.274774774774773,0.8873873873873874,12913.009009009009,0.6305971141284877,79
S318,A,107,3.2242990654205608,0.102803738317757,0.897196261682243,8.83177570093458,0.6299791843077049,80
S273,A,99,117.04040404040404,12.02020202020202,0.8484848484848485,10878.89898989899,0.628789857420506,81
S141,B,130,3.3923076923076922,0.1076923076923077,0.8923076923076924,3.1384615384615384,0.6283445461687097,82
S314,C,235,7.574468085106383,6.378723404255319,0.8893617021276595,1545.4936170212766,0.6279126624962511,83
S025,C,135,2.8962962962962964,0.1111111111111111,0.8888888888888888,2.4296296296296296,0.6270968992561505,84
S188,B,26,2.230769230769231,0.11538461538461539,0.8846153846153846,2.1923076923076925,0.6255123241539139,85
S189,A,159,58.106918238993714,2.238993710691824,0.8616352201257862,617.0314465408806,0.6252002473086243,86
S150,A,240,7.8625,14.933333333333334,0.8791666666666667,6876.170833333334,0.6243386755804669,87
S256,B,130,3.5692307692307694,0.3,0.8692307692307693,7.338461538461538,0.6201694414204141,88
S157,A,132,3.121212121212121,202.08333333333334,0.8712121212121212,507017.2196969697,0.6199461055954776,89
S324,B,136,3.3823529411764706,0.1323529411764706,0.8676470588235294,3.3676470588235294,0.6195584997381519,90
S075,A,134,3.037313432835821,0.1417910447761194,0.8656716417910447,3.074626865671642,0.6187759096903573,91
S149,C,81,3.7777777777777777,0.13580246913580246,0.8641975308641975,8.641975308641975,0.6183307839042819,92
S269,A,155,1.5419354838709678,4.167741935483871,0.864516129032258,877.6129032258065,0.6181185782015508,93
S397,B,59,1.1016949152542372,0.13559322033898305,0.864406779661017,0.3559322033898305,0.6180294739954143,94
S078,A,107,83.20560747663552,14.850467289719626,0.8317757009345794,5877.813084112149,0.6168817257221747,95
S304,A,100,1.75,2.23,0.86,442.15,0.6164559850458377,96
S270,C,64,1.59375,0.140625,0.859375,0.6875,0.6162044036503802,97
S180,B,59,1.0847457627118644,0.15254237288135594,0.847457627118644,0.3559322033898305,0.6115323859075653,98
S381,A,32,7.8125,1.375,0.84375,107.4375,0.6110077348339662,99
S088,B,153,2.9411764705882355,1.607843137254902,0.8431372549019608,86.08496732026144,0.6100801930291292,100
S033,C,19,1.736842105263158,0.15789473684210525,0.8421052631578947,0.5789473684210527,0.609506222291409,101
S245,C,163,2.539877300613497,1.478527607361963,0.8404907975460123,100.45398773006134,0.6089685429214462,102
S211,A,62,1.1612903225806452,3.032258064516129,0.8387096774193549,517.2096774193549,0.6080554420912647,103
S263,C,152,2.960526315789474,0.9210526315789473,0.8289473684210527,32.76315789473684,0.604333272885782,104
S310,B,144,3.0277777777777777,0.1736111111111111,0.8263888888888888,3.5694444444444446,0.6032849341351673,105
S376,B,138,2.7971014492753623,3.4565217391304346,0.8260869565217391,753.463768115942,0.6031146827247933,106
S353,B,40,1.925,0.175,0.825,1.9,0.6025540576386569,107
S026,A,17,1.7058823529411764,0.17647058823529413,0.8235294117647058,1.0588235294117647,0.601909074296603,108
S203,A,28,1.6071428571428572,0.17857142857142858,0.8214285714285714,1.3571428571428572,0.6010132382100538,109
S186,C,132,3.0833333333333335,15.977272727272727,0.8181818181818182,8422.621212121212,0.5997784842021097,110
S225,B,16,2.0625,0.1875,0.8125,0.6875,0.5972732489021956,111
S129,C,203,7.305418719211823,5.004926108374384,0.8078817733990148,635.6305418719212,0.5959678076553508,112
S191,B,133,2.81203007518797,27.872180451127818,0.8045112781954887,18300.984962406015,0.5937818899157884,113
S193,B,30,3.6333333333333333,0.2,0.8,4.0,0.5920200265340572,114
S133,C,30,2.566666666666667,0.2,0.8,1.8333333333333333,0.5918759611905415,115
S138,B,159,2.7358490566037736,11.232704402515724,0.7987421383647799,7368.735849056604,0.5912916624784006,116
S216,B,148,3.027027027027027,0.22972972972972974,0.7972972972972973,2.4527027027027026,0.5907345176889869,117
S258,B,140,3.092857142857143,1.9785714285714286,0.7928571428571428,395.22857142857146,0.5887423663725513,118
S260,B,145,1.3379310344827586,2.9448275862068964,0.7931034482758621,1093.0620689655173,0.5886139173244022,119
S054,B,129,3.7829457364341086,1.0465116279069768,0.7906976744186046,53.21705426356589,0.5878618180349633,120
S224,B,110,1.1272727272727272,1.7636363636363637,0.7909090909090909,206.98181818181817,0.5875993023530501,121
S074,C,183,74.15300546448087,95.97267759562841,0.7704918032786885,89672.24590163934,0.5874715642625263,122
S366,B,61,0.9344262295081968,0.21311475409836064,0.7868852459016393,0.32786885245901637,0.5857490962837718,123
S152,A,137,3.072992700729927,0.27007299270072993,0.781021897810219,2.591240875912409,0.5833345558176201,124
S272,B,18,2.0,16.833333333333332,0.7777777777777778,5001.944444444444,0.5816106196984958,125
S115,A,141,2.9290780141843973,3.368794326241135,0.7730496453900709,508.93617021276594,0.5795764513965699,126
S016,A,22,1.8181818181818181,0.22727272727272727,0.7727272727272727,2.090909090909091,0.5792927048086798,127
S383,C,34,5.411764705882353,0.4411764705882353,0.7647058823529411,24.264705882352942,0.5759465813806602,128
S298,B,17,3.3529411764705883,0.23529411764705882,0.7647058823529411,1.1764705882352942,0.5756793994575674,129
S044,C,17,2.235294117647059,0.23529411764705882,0.7647058823529411,2.176470588235294,0.575534009359283,130
S146,B,187,2.0427807486631018,2.7112299465240643,0.7647058823529411,201.67914438502675,0.5754977617690503,131
S235,B,38,5.131578947368421,3.8421052631578947,0.7631578947368421,261.4736842105263,0.5751507791419725,132
S271,C,62,4.596774193548387,1.7419354838709677,0.7580645161290323,95.93548387096774,0.5726272758102755,133
S357,C,68,3.4705882352941178,0.3088235294117647,0.75,9.014705882352942,0.568538534658427,134
S301,C,40,2.675,0.25,0.75,5.25,0.568437100017516,135
S305,C,20,1.45,0.25,0.75,1.0,0.5682806024944169,136
S360,B,151,2.8410596026490067,0.6887417218543046,0.7483443708609272,17.178807947019866,0.5676379021081029,137
S110,C,154,2.8701298701298703,0.538961038961039,0.7467532467532467,8.915584415584416,0.5668534092115886,138
S070,C,35,1.6,1.6571428571428573,0.7428571428571429,72.77142857142857,0.5647454548653238,139
S073,B,23,1.608695652173913,0.2608695652173913,0.7391304347826086,1.0,0.5628835389941472,140
S337,A,30,1.3,0.26666666666666666,0.7333333333333333,0.6333333333333333,0.5599111585418468,141
S210,C,139,131.28776978417267,130.16546762589928,0.697841726618705,136991.8417266187,0.556710079881264,142
S286,B,40,1.825,0.275,0.725,2.05,0.5557059616319385,143
S386,B,54,2.388888888888889,0.2777777777777778,0.7222222222222222,3.0185185185185186,0.5543380745355454,144
S081,B,31,1.903225806451613,0.2903225806451613,0.7096774193548387,3.3870967741935485,0.5477028700897296,145
S230,B,34,1.6764705882352942,41.14705882352941,0.7058823529411765,19576.323529411766,0.5454328735034744,146
S046,A,159,1.389937106918239,0.29559748427672955,0.7044025157232704,0.7358490566037735,0.5448361198820151,147
S011,C,43,2.13953488372093,0.3023255813953488,0.6976744186046512,2.2325581395348837,0.5413141433403589,148
S279,C,49,2.0816326530612246,4.36734693877551,0.6938775510204082,819.3673469387755,0.5392297685256551,149
S227,A,39,5.82051282051282,5.564102564102564,0.6923076923076923,550.5384615384615,0.5388118795922789,150
S154,A,104,88.6826923076923,24.442307692307693,0.6730769230769231,15643.10576923077,0.5378792197495678,151
S128,A,71,2.211267605633803,0.30985915492957744,0.6901408450704225,6.591549295774648,0.5372340090134567,152
S359,C,48,1.875,2.375,0.6875,105.5,0.5357389506216318,153
S023,C,160,11.1625,34.65625,0.68125,11873.525,0.533189847925506,154
S002,A,95,3.1789473684210527,1.0,0.6736842105263158,53.810526315789474,0.5282522772207083,155
S039,C,63,6.984126984126984,9.476190476190476,0.6666666666666666,1817.936507936508,0.5246925940445349,156
S358,B,15,2.7333333333333334,0.3333333333333333,0.6666666666666666,4.666666666666667,0.5242652747607555,157
S219,A,36,1.1944444444444444,6.138888888888889,0.6666666666666666,1225.7222222222222,0.524055890801546,158
S265,A,80,1.875,5.35,0.6625,458.475,0.5217816550877435,159
S333,B,124,1.653225806451613,9.120967741935484,0.6612903225806451,3423.5967741935483,0.5210459127043704,160
S201,A,49,1128.6326530612246,2574.326530612245,0.5102040816326531,27507031.714285713,0.5200460533372147,161
S065,A,88,2.25,0.4318181818181818,0.6590909090909091,3.784090909090909,0.519916209705946,162
S292,A,118,77.57627118644068,16.983050847457626,0.6440677966101694,4929.983050847458,0.5196314341524831,163
S087,A,38,1.8421052631578947,0.9473684210526315,0.6578947368421053,16.44736842105263,0.5191857432468787,164
S013,C,29,1.7241379310344827,0.3448275862068966,0.6551724137931034,2.1724137931034484,0.517621007473553,165
S021,A,62,1.435483870967742,3.0483870967741935,0.6451612903225806,456.16129032258067,0.511807677936844,166
S122,A,45,1.6444444444444444,0.35555555555555557,0.6444444444444445,1.1333333333333333,0.5114322993325511,167
S303,B,14,5.357142857142857,0.35714285714285715,0.6428571428571429,18.857142857142858,0.5109154643546013,168
S300,A,11,29.272727272727273,10.545454545454545,0.6363636363636364,1238.1818181818182,0.5096619755617154,169
S069,B,98,1.9081632653061225,2.2653061224489797,0.6326530612244898,95.22448979591837,0.5045643453678225,170
S090,C,43,4.116279069767442,3.116279069767442,0.627906976744186,344.3720930232558,0.5019955130333494,171
S296,A,50,1.36,0.38,0.62,1.18,0.49703080858231136,172
S336,A,47,3.978723404255319,0.3829787234042553,0.6170212765957447,41.276595744680854,0.49552542616717543,173
S027,A,47,1.7872340425531914,0.3829787234042553,0.6170212765957447,1.8936170212765957,0.49529777191314833,174
S295,A,83,0.8072289156626506,13.228915662650602,0.6144578313253012,2463.421686746988,0.49357229305388434,175
S102,A,64,2.25,7.703125,0.609375,705.90625,0.4907055956987029,176
S267,C,89,1.0,6.977528089887641,0.6067415730337079,2034.9887640449438,0.48899380403641485,177
S236,C,25,1.32,0.4,0.6,1.08,0.48499045341459907,178
S339,C,72,0.75,5.263888888888889,0.5972222222222222,1701.9583333333333,0.4832069662945459,179
S116,A,37,2.054054054054054,0.7837837837837838,0.5945945945945946,8.64864864864865,0.48176767854195235,180
S014,A,27,1.1851851851851851,0.4074074074074074,0.5925925925925926,1.0740740740740742,0.4804603563889368,181
S208,A,126,84.01587301587301,45.904761904761905,0.5793650793650794,33148.642857142855,0.4802487879625928,182
S309,A,27,1.4814814814814814,34.333333333333336,0.5925925925925926,15719.62962962963,0.48022982135001363,183
S274,A,49,1.6938775510204083,3.4489795918367347,0.5918367346938775,461.0612244897959,0.480025358587924,184
S165,A,95,0.8947368421052632,5.463157894736842,0.5894736842105263,430.4,0.4784832386638781,185
S233,B,85,2.1294117647058823,0.8,0.5882352941176471,10.776470588235295,0.47787924668333503,186
S389,B,46,1.5869565217391304,8.58695652173913,0.5869565217391305,1558.7608695652175,0.4769808291778807,187
S099,A,41,1.5121951219512195,28.536585365853657,0.5853658536585366,17001.634146341465,0.4758341731208585,188
S316,B,43,1.7209302325581395,0.4186046511627907,0.5813953488372093,2.0232558139534884,0.4736281282897741,189
S250,A,19,2.1578947368421053,32.94736842105263,0.5789473684210527,20167.78947368421,0.47189340499694393,190
S254,A,45,4.4,0.4222222222222222,0.5777777777777777,26.22222222222222,0.4716475296030539,191
S232,B,40,3.55,1.125,0.575,25.075,0.46983583545940505,192
S349,C,35,1.4,0.42857142857142855,0.5714285714285714,1.0571428571428572,0.46741435060801256,193
S331,C,74,1.0405405405405406,2.0405405405405403,0.5675675675675675,195.2027027027027,0.4649593484977272,194
S182,C,48,4.166666666666667,1.6458333333333333,0.5625,70.625,0.4620826659254018,195
S199,B,48,3.3541666666666665,22.479166666666668,0.5625,5720.145833333333,0.4618354483758222,196
S089,A,43,4.186046511627907,3.558139534883721,0.5581395348837209,184.58139534883722,0.4593277079840575,197
S052,A,45,1.3111111111111111,0.4444444444444444,0.5555555555555556,1.0666666666666667,0.45746053500092,198
S327,B,29,1.3103448275862069,1.3103448275862069,0.5517241379310345,24.79310344827586,0.4550355127249034,199
S132,A,50,1.4,0.46,0.54,1.96,0.44761348437792514,200
S091,A,52,1.5576923076923077,1.3076923076923077,0.5384615384615384,41.38461538461539,0.4466400080490311,201
S170,A,41,4.2682926829268295,4.658536585365853,0.5365853658536586,388.219512195122,0.4456533456804343,202
S313,C,69,6.6231884057971016,9.405797101449275,0.5362318840579711,915.7826086956521,0.44559419474467304,203
S280,B,116,1.206896551724138,5.9655172413793105,0.5258620689655172,1236.1637931034484,0.43850586899037575,204
S176,B,80,0.7375,4.1875,0.525,375.525,0.43792848113453586,205
S159,A,82,3.2195121951219514,0.8292682926829268,0.524390243902439,27.658536585365855,0.4377802173872343,206
S312,A,61,1.4426229508196722,1.180327868852459,0.5245901639344263,20.114754098360656,0.4377529741534323,207
S259,B,54,1.3148148148148149,1.9444444444444444,0.5185185185185185,119.61111111111111,0.4338273509636607,208
S377,C,57,1.3157894736842106,0.5087719298245614,0.5087719298245614,1.2456140350877194,0.42754277788271844,209
S024,B,77,1.8181818181818181,1.6883116883116882,0.5064935064935064,42.74025974025974,0.4260964497350062,210
S163,A,78,4.538461538461538,7.346153846153846,0.5,836.0512820512821,0.4220450989018958,211
S264,B,10,3.2,0.5,0.5,6.9,0.42200310078175685,212
S048,B,50,1.44,0.78,0.5,5.88,0.421857481791615,213
S226,A,59,4.084745762711864,1.2542372881355932,0.4915254237288136,56.932203389830505,0.41654325128203956,214
S184,A,53,1.6415094339622642,7.09433962264151,0.49056603773584906,2315.0,0.41566242038782425,215
S117,B,98,1.3673469387755102,29.448979591836736,0.4897959183673469,14091.295918367347,0.4149048041306359,216
S370,A,50,1.28,4.66,0.48,866.74,0.40874889760795163,217
S255,A,36,1.0555555555555556,0.5277777777777778,0.4722222222222222,0.8611111111111112,0.4036741533263829,218
S120,B,32,1.0625,0.53125,0.46875,0.90625,0.40139392187858625,219
S214,B,93,0.6559139784946236,4.311827956989247,0.46236559139784944,602.236559139785,0.3971234921878428,220
S315,B,26,1.2692307692307692,8.192307692307692,0.46153846153846156,1539.4615384615386,0.396581324869455,221
S323,A,26,1.1538461538461537,47.03846153846154,0.46153846153846156,19321.73076923077,0.39613545425996144,222
S035,A,100,1.56,0.91,0.46,9.16,0.395670191559319,223
S380,C,50,1.6,32.78,0.46,22689.72,0.39530415178471545,224
S096,A,54,1.4259259259259258,292.8888888888889,0.46296296296296297,679019.5,0.3938485805167157,225
S094,C,51,1.0196078431372548,4.0588235294117645,0.45098039215686275,636.5490196078431,0.3896496977739435,226
S249,B,60,1.1333333333333333,5.216666666666667,0.45,357.2,0.3889982892595657,227
S171,C,63,1.2222222222222223,0.6349206349206349,0.4444444444444444,1.5714285714285714,0.38538960218843266,228
S049,A,43,1.0,0.5581395348837209,0.4418604651162791,1.0,0.38366842696745185,229
S322,B,64,1.09375,1.953125,0.4375,127.625,0.3807780290696644,230
S124,B,30,1.1333333333333333,1.2,0.43333333333333335,14.133333333333333,0.3780359715031964,231
S223,C,37,0.8378378378378378,5.945945945945946,0.43243243243243246,1081.837837837838,0.3773628870775129,232
S261,B,65,1.2307692307692308,20.661538461538463,0.4307692307692308,4628.969230769231,0.376111449613156,233
S399,B,61,1.1967213114754098,3.7868852459016393,0.4262295081967213,637.4754098360655,0.373312008044855,234
S325,C,61,1.3278688524590163,6.967213114754099,0.4262295081967213,588.7868852459017,0.3732825744428561,235
S121,A,54,3.2222222222222223,1.4444444444444444,0.42592592592592593,50.22222222222222,0.37327705259353494,236
S209,A,73,2.315068493150685,1.726027397260274,0.4246575342465753,52.986301369863014,0.3723733375612781,237
S079,B,52,1.2692307692307692,4.230769230769231,0.4230769230769231,182.3846153846154,0.37122713172513955,238
S032,C,64,1.171875,0.578125,0.421875,1.453125,0.3704705875118611,239
S401,B,67,1.044776119402985,2.1343283582089554,0.417910447761194,150.71641791044777,0.36782152260758855,240
S061,C,67,1.3880597014925373,17.37313432835821,0.417910447761194,3241.044776119403,0.36765248216253493,241
S207,C,91,1.7472527472527473,4.285714285714286,0.4175824175824176,197.86813186813185,0.36762432043410526,242
S196,A,48,0.9791666666666666,0.6041666666666666,0.4166666666666667,1.625,0.3670140242729285,243
S136,C,44,1.1136363636363635,16.931818181818183,0.4090909090909091,5965.204545454545,0.3618014639981729,244
S083,A,32,0.9375,68.0,0.40625,48644.5625,0.35921177464440995,245
S326,C,62,1.5,18.5,0.4032258064516129,6682.870967741936,0.35792655759217507,246
S060,C,25,4.48,0.64,0.4,18.88,0.3562231464370045,247
S368,C,30,3.9,1.6,0.4,61.93333333333333,0.3561738301640319,248
S147,B,20,3.75,3.05,0.4,138.9,0.356145314589715,249
S242,A,65,1.3384615384615384,7.476923076923077,0.4,886.876923076923,0.3559344842265391,250
S217,A,43,3.1627906976744184,1.6744186046511629,0.3953488372093023,20.13953488372093,0.35305528473162423,251
S111,B,38,0.8421052631578947,27.236842105263158,0.39473684210526316,13164.736842105263,0.3521530197277365,252
S345,C,33,2.4242424242424243,0.6666666666666666,0.3939393939393939,1.9090909090909092,0.35209271021028754,253
S018,B,72,1.0138888888888888,0.8055555555555556,0.3888888888888889,4.25,0.34867460639549835,254
S220,C,62,1.1774193548387097,8.838709677419354,0.3870967741935484,872.6129032258065,0.34739412890608895,255
S173,C,39,10.256410256410257,36.17948717948718,0.38461538461538464,7575.205128205128,0.34593171354251256,256
S222,B,39,0.8461538461538461,31.102564102564102,0.38461538461538464,5379.0,0.3454306506479314,257
S105,B,55,2.290909090909091,1.3272727272727274,0.38181818181818183,35.07272727272727,0.3440898295857174,258
S107,C,63,1.2222222222222223,18.063492063492063,0.38095238095238093,6397.269841269841,0.3432173357041651,259
S382,C,37,0.7837837837837838,3.8378378378378377,0.3783783783783784,390.1621621621622,0.34170317387713434,260
S347,C,69,1.3043478260869565,0.6376811594202898,0.37681159420289856,1.6666666666666667,0.34074992986168756,261
S042,A,56,3.142857142857143,3.1964285714285716,0.375,147.17857142857142,0.3396325584706995,262
S085,C,56,0.8214285714285714,1.0714285714285714,0.375,8.678571428571429,0.33952610629457364,263
S118,B,70,1.0714285714285714,24.357142857142858,0.37142857142857144,4511.671428571429,0.3368615993937369,264
S384,C,46,2.130434782608696,0.6304347826086957,0.3695652173913043,6.434782608695652,0.3360446708779044,265
S363,A,46,1.3043478260869565,1.065217391304348,0.3695652173913043,10.956521739130435,0.33599061961752025,266
S158,A,51,0.7843137254901961,189.7058823529412,0.37254901960784315,263579.17647058825,0.3349431067977742,267
S299,A,136,0.5441176470588235,7.544117647058823,0.36764705882352944,707.7352941176471,0.3345965927882077,268
S127,A,64,3.0625,4.125,0.359375,808.828125,0.3293806051891169,269
S369,C,67,2.8059701492537314,29.29850746268657,0.3582089552238806,5608.880597014925,0.3282267846964248,270
S167,A,70,2.5,1.4714285714285715,0.35714285714285715,39.51428571428571,0.3279329757830255,271
S059,C,98,0.5714285714285714,8.346938775510203,0.35714285714285715,1251.265306122449,0.32772155679579706,272
S252,C,59,0.864406779661017,19.508474576271187,0.3559322033898305,7191.3050847457625,0.32677458520615077,273
S041,C,62,1.2580645161290323,2.3225806451612905,0.3548387096774194,90.6774193548387,0.32634972106023635,274
S205,A,71,0.9295774647887324,3.084507042253521,0.352112676056338,225.3943661971831,0.3245461671394661,275
S319,B,71,1.0140845070422535,17.591549295774648,0.352112676056338,6977.338028169014,0.3243230831583208,276
S398,C,40,1.025,3.225,0.35,154.1,0.32317634154127867,277
S341,A,60,1.15,20.566666666666666,0.35,8228.183333333332,0.3229092771662199,278
S028,B,49,1.8979591836734695,1.3061224489795917,0.3469387755102041,15.693877551020408,0.3212664317082799,279
S057,B,58,1.0172413793103448,1.4482758620689655,0.3448275862068966,22.5,0.31984840955853316,280
S200,B,73,0.958904109589041,11.232876712328768,0.3424657534246575,1082.6438356164383,0.31816342085361404,281
S145,A,73,0.9452054794520548,34.16438356164384,0.3424657534246575,20857.369863013697,0.317780086118111,282
S195,A,41,0.9512195121951219,34.146341463414636,0.34146341463414637,8420.560975609756,0.31714862229231056,283
S109,A,56,0.75,1.8214285714285714,0.3392857142857143,39.285714285714285,0.31624509199912165,284
S311,B,80,0.9125,1.6625,0.3375,81.3,0.31510408222518793,285
