start_minute,end_minute,price_yuan_kWh,load_kW,pv_kW,grid_kWh,charge_kWh,discharge_kWh,unused_kWh,state_start_kWh,state_end_kWh
170,180,0.4357,3521.0976,0.0,586.8495999999996,0.0,0.0,-4.547473508864641e-13,10050.000000000004,10050.000000000004
180,190,0.4374,3526.9261,0.0,587.8210166666668,0.0,0.0,1.1368683772161603e-13,10050.000000000004,10050.000000000004
190,200,0.4371,3537.2854,0.0,589.5475666666662,0.0,0.0,-4.547473508864641e-13,10050.000000000004,10050.000000000004
200,210,0.4356,3544.8808,0.0,590.8134666666665,0.0,0.0,-1.1368683772161603e-13,10050.000000000004,10050.000000000004
210,220,0.4353,3541.2787,0.0,590.2131166666659,0.0,0.0,-6.821210263296962e-13,10050.000000000004,10050.000000000004
220,230,0.436,3546.3976,0.0,591.0662666666667,0.0,0.0,1.1368683772161603e-13,10050.000000000004,10050.000000000004
230,240,0.4378,3560.207,0.0,593.3678333333337,0.0,0.0,4.547473508864641e-13,10050.000000000004,10050.000000000004
240,250,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,0.0,10050.000000000004,10050.000000000004
250,260,0.4389,3556.7183,0.0,592.786383333334,0.0,0.0,6.821210263296962e-13,10050.000000000004,10050.000000000004
260,270,0.4364,3560.0272,0.0,593.3378666666667,0.0,0.0,1.1368683772161603e-13,10050.000000000004,10050.000000000004
270,280,0.4393,3580.654,0.5994,596.6757666666672,0.0,0.0,5.684341886080801e-13,10050.000000000004,10050.000000000004
280,290,0.4422,3586.916,0.2345,597.7802499999998,0.0,0.0,-2.2737367544323206e-13,10050.000000000004,10050.000000000004
290,300,0.4395,3571.2635,0.2885,595.1625000000004,0.0,0.0,4.547473508864641e-13,10050.000000000004,10050.000000000004
300,310,0.4333,3562.3171,18.6781,590.6064999999999,0.0,0.0,-1.1368683772161603e-13,10050.000000000004,10050.000000000004
310,320,0.4439,3591.3809,54.4698,589.4851833333341,0.0,0.0,7.958078640513122e-13,10050.000000000004,10050.000000000004
320,330,0.4301,3579.7045,108.9718,578.4554499999958,0.0,3.2741809263825417e-12,-8.185452315956353e-13,10050.000000000004,10050.0
330,340,0.3713,3486.119,184.1603,1383.6597833333326,833.3333333333333,0.0,-6.821210263296962e-13,10050.0,10800.0
340,350,0.5708,3823.8994,277.0582,591.1401999999915,0.0,8.185452315956354e-12,-2.2737367544323206e-13,10800.0,10799.99999999999
350,360,0.9099,4398.0727,388.5494,0.0,0.0,668.2538833333329,-4.547473508864641e-13,10799.99999999999,10057.495685185177
360,370,0.9368,4454.0123,521.2803,0.0,0.0,655.4553333333323,-1.0231815394945443e-12,10057.495685185177,9329.211981481474
370,380,0.8758,4371.7919,672.7677,0.0,0.0,616.5040333333345,1.1368683772161603e-12,9329.211981481474,8644.207499999991
380,390,0.8759,4392.953,844.2261,0.0,0.0,591.4544833333333,-1.1368683772161603e-13,8644.207499999991,7987.035851851843
390,400,0.8601,4384.5956,1039.6744,0.0,0.0,557.4868666666665,-1.1368683772161603e-13,7987.035851851843,7367.605999999992
400,410,0.8442,4434.7757,1259.3375,0.0,0.0,529.2397000000002,2.2737367544323206e-13,7367.605999999992,6779.56188888888
410,420,0.8334,4523.4561,1508.6318,0.0,0.0,502.4707166666661,-6.252776074688882e-13,6779.56188888888,6221.261092592585
420,430,0.8092,4524.0721,1791.4107,0.0,0.0,455.44356666666675,5.684341886080802e-14,6221.261092592585,5715.212685185177
430,440,0.7972,4545.8867,2085.4865,0.0,0.0,410.0667000000009,9.094947017729282e-13,5715.212685185177,5259.58301851851
440,450,0.7644,4523.2418,2381.2611,0.0,0.0,356.99678333333276,-5.115907697472721e-13,5259.58301851851,4862.919925925918
450,460,0.6899,4383.3566,2683.1752,0.0,0.0,283.3635666666669,2.2737367544323206e-13,4862.919925925918,4548.07151851851
460,470,0.86,4910.4599,2986.3552,0.0,0.0,320.6841166666669,2.8421709430404007e-13,4548.07151851851,4191.7558333333245
470,480,1.1617,5799.7327,3289.204,0.0,0.0,418.4214499999997,-1.7053025658242404e-13,4191.7558333333245,3726.8431111111026
480,490,1.1683,5884.826,3593.3613,0.0,0.0,381.9107833333332,-1.1368683772161603e-13,3726.8431111111026,3302.497796296288
490,500,1.0956,5748.0713,3890.7332,0.0,0.0,309.5563500000001,2.2737367544323206e-13,3302.497796296288,2958.546296296288
500,510,1.0849,5769.0581,4181.3417,0.0,0.0,264.6194,-5.684341886080802e-14,2958.546296296288,2664.5247407407323
510,520,1.061,5754.2105,4471.7657,0.0,0.0,213.74080000000004,0.0,2664.5247407407323,2427.0349629629545
520,530,1.043,5824.1807,4752.8272,0.0,0.0,178.55891666666645,-2.2737367544323206e-13,2427.0349629629545,2228.6361666666585
530,540,1.036,5954.2601,5021.9074,0.0,0.0,155.39211666666674,2.842170943040401e-14,2228.6361666666585,2055.978259259251
540,550,1.0147,5958.9696,5285.4126,0.0,0.0,112.25949999999999,-1.2789769243681803e-13,2055.978259259251,1931.2454814814732
550,560,0.9922,5929.5554,5543.1742,0.0,0.0,64.39686666666678,1.5631940186722204e-13,1931.2454814814732,1859.693407407399
560,570,0.97,5923.7828,5788.4093,0.0,0.0,22.562249999999995,4.618527782440651e-14,1859.693407407399,1834.6242407407324
570,580,0.9422,5907.586,6012.1304,0.0,17.424066666666373,0.0,2.5224267119483557e-13,1834.6242407407324,1850.305900740732
580,590,0.9569,5899.1262,6216.1528,0.0,52.83776666666654,0.0,1.4921397450962104e-13,1850.305900740732,1897.859890740732
590,600,0.9977,5902.2196,6409.5941,0.0,84.56241666666655,0.0,9.947598300641403e-14,1897.859890740732,1973.966065740732
600,610,0.9919,5897.4793,6599.3808,0.0,116.98358333333317,0.0,1.4210854715202004e-13,1973.966065740732,2079.2512907407317
610,620,0.9588,5886.7568,6766.7204,0.0,146.66060000000016,0.0,-1.7053025658242404e-13,2079.2512907407317,2211.245830740732
620,630,0.9549,5873.4708,6914.5923,0.0,173.5202499999999,0.0,1.4210854715202004e-13,2211.245830740732,2367.414055740732
630,640,0.9839,5858.0308,7064.2053,0.0,201.0290833333329,0.0,2.8421709430404007e-13,2367.414055740732,2548.3402307407314
640,650,0.799,5844.9948,7197.4315,0.0,225.40611666666638,0.0,1.7053025658242404e-13,2548.3402307407314,2751.205735740731
650,660,0.5025,5839.0587,7303.1142,0.0,244.00925000000015,0.0,-8.526512829121202e-14,2751.205735740731,2970.8140607407313
660,670,0.4662,5838.7103,7387.6848,575.1709166666669,833.3333333333333,0.0,3.410605131648481e-13,2970.8140607407313,3720.8140607407313
670,680,0.5007,5823.4378,7459.227,0.0,272.6315333333332,0.0,1.1368683772161603e-13,3720.8140607407313,3966.182440740731
680,690,0.4827,5814.7932,7520.7191,0.0,284.32098333333266,0.0,6.821210263296962e-13,3966.182440740731,4222.071325740731
690,700,0.4785,5832.3951,7568.2039,179.27717139918423,468.5786380658515,0.0,-5.115907697472721e-13,4222.071325740731,4643.792099999997
700,710,0.4662,5712.901,7592.1539,520.1245166666668,833.3333333333333,0.0,2.2737367544323206e-13,4643.792099999997,5393.792099999997
710,720,0.4432,5519.4607,7601.0433,486.40289999999914,833.3333333333333,0.0,-6.821210263296962e-13,5393.792099999997,6143.792099999997
720,730,0.4411,5494.7907,7612.316,480.4124499999998,833.3333333333333,0.0,-1.1368683772161603e-13,6143.792099999997,6893.792099999997
730,740,0.4551,5514.4524,7602.6524,485.3000000000011,833.3333333333333,0.0,1.1368683772161603e-12,6893.792099999997,7643.792099999997
740,750,0.4463,5485.829,7554.1872,488.6069666666681,833.3333333333333,0.0,1.5916157281026244e-12,7643.792099999997,8393.792099999997
750,760,0.4113,5462.3628,7472.7384,498.2707333333328,833.3333333333333,0.0,-4.547473508864641e-13,8393.792099999997,9143.792099999997
760,770,0.5682,5566.1066,7393.4172,0.0,304.5517666666678,0.0,-1.1937117960769683e-12,9143.792099999997,9417.888689999998
770,780,0.8279,5725.7548,7312.7979,0.0,264.507183333335,0.0,-1.7053025658242404e-12,9417.888689999998,9655.945155
780,790,0.8636,5739.4957,7194.541,0.0,242.50754999999924,0.0,7.105427357601002e-13,9655.945155,9874.201949999999
790,800,0.8416,5714.6836,7053.1371,0.0,223.07558333333264,0.0,6.252776074688882e-13,9874.201949999999,10074.969974999998
800,810,0.8618,5717.8505,6910.4064,0.0,198.75931666666776,0.0,-1.0516032489249483e-12,10074.969974999998,10253.85336
810,820,0.8623,5708.2486,6772.4075,0.0,177.35981666666703,0.0,-3.126388037344441e-13,10253.85336,10413.477195
820,830,0.9026,5696.9182,6607.36,0.0,151.74029999999928,0.0,6.536993168992922e-13,10413.477195,10550.043464999999
830,840,0.9754,5692.2983,6412.5085,0.0,120.03503333333356,0.0,-3.126388037344441e-13,10550.043464999999,10658.074994999999
840,850,1.0002,5687.1291,6214.0158,0.0,87.81444999999924,0.0,7.531752999057062e-13,10658.074994999999,10737.107999999998
850,860,0.9978,5678.962,6000.7112,0.0,53.6248666666668,0.0,-2.4868995751603507e-13,10737.107999999998,10785.370379999998
860,870,1.0271,5669.4508,5766.9816,0.0,16.255133333335024,0.0,-1.616484723854228e-12,10785.370379999998,10800.0
870,880,1.0906,5664.1948,5521.5066,0.0,0.0,23.781366666665964,-7.851497230149107e-13,10800.0,10773.57625925926
880,890,0.9376,5672.7011,5268.781,0.0,0.0,67.32001666666729,5.826450433232822e-13,10773.57625925926,10698.77624074074
890,900,0.6694,5682.2544,5009.7152,112.08986666666817,4.042198674546348e-12,0.0,-2.5642697841653395e-12,10698.77624074074,10698.776240740744
900,910,0.66,5669.0195,4743.4484,266.7326936213958,112.47084362139503,0.0,7.673861546209082e-13,10698.776240740744,10800.0
910,920,0.7217,5656.3651,4471.224,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0
920,930,0.7308,5657.0867,4188.2025,244.81403333333324,0.0,0.0,0.0,10800.0,10800.0
930,940,0.7534,5662.6008,3889.3931,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0
940,950,0.7823,5669.2596,3594.5946,345.77750000000003,0.0,0.0,0.0,10800.0,10800.0
950,960,0.8055,5673.4767,3303.8878,394.93148333333335,0.0,0.0,0.0,10800.0,10800.0
960,970,0.8271,5671.0146,2998.4247,445.43165000000005,0.0,0.0,0.0,10800.0,10800.0
970,980,0.8519,5661.5926,2687.4131,495.69658333333325,0.0,0.0,0.0,10800.0,10800.0
980,990,0.8791,5665.8922,2383.1779,547.11905,0.0,0.0,0.0,10800.0,10800.0
990,1000,0.9024,5689.0372,2089.1246,599.9854333333333,0.0,0.0,0.0,10800.0,10800.0
1000,1010,0.9163,5603.6614,1791.0829,635.4297499999999,0.0,0.0,0.0,10800.0,10800.0
1010,1020,0.9264,5466.7124,1501.7283,660.8306833333334,0.0,0.0,0.0,10800.0,10800.0
1020,1030,0.9462,5467.3939,1255.1723,702.0369333333333,0.0,0.0,0.0,10800.0,10800.0
1030,1040,0.9742,5464.727,1036.3323,738.0657833333332,0.0,0.0,0.0,10800.0,10800.0
1040,1050,0.9862,5492.4458,836.7775,775.9447166666606,0.0,4.911271389573813e-12,-1.1141310096718368e-12,10800.0,10799.999999999995
1050,1060,0.976,5621.7308,665.2313,826.0832500000051,6.063298011819521e-12,0.0,-8.337034766251837e-13,10799.999999999995,10800.0
1060,1070,1.0742,5091.2126,516.6758,762.4227999999985,0.0,1.6370904631912709e-12,1.5916157281026248e-13,10800.0,10799.999999999998
1070,1080,1.2313,4208.5688,386.6731,636.9826166666633,0.0,3.2741809263825417e-12,-1.3642420526593915e-13,10799.999999999998,10799.999999999995
1080,1090,1.2561,4122.7611,275.7933,531.8940499999935,0.0,109.26725000000661,1.4210854715202004e-13,10799.999999999995,10678.591944444432
1090,1100,1.2447,4255.9358,182.9526,678.8305333333385,6.063298011819521e-12,0.0,-8.337034766251837e-13,10678.591944444432,10678.591944444437
1100,1110,1.2545,4225.9524,108.3414,686.2685000000001,0.0,0.0,2.2737367544323206e-13,10678.591944444437,10678.591944444437
1110,1120,1.2522,4233.3384,54.3121,696.5043833333402,1.0105496686365869e-11,0.0,-3.056912747625675e-12,10678.591944444437,10678.591944444446
1120,1130,1.2881,4246.4625,18.6569,0.0,0.0,704.6342666666671,5.684341886080801e-13,10678.591944444446,9895.664981481483
1130,1140,1.3466,4239.1795,0.2753,0.0,0.0,706.4840333333332,-1.1368683772161603e-13,9895.664981481483,9110.682722222224
1140,1150,1.3523,4244.6684,0.2296,0.0,0.0,707.4064666666676,1.0231815394945443e-12,9110.682722222224,8324.675537037037
1150,1160,1.3445,4251.9187,0.6007,0.0,0.0,708.5530000000002,2.2737367544323206e-13,8324.675537037037,7537.394425925926
1160,1170,1.3483,4256.6813,0.0,0.0,0.0,709.4468833333333,0.0,7537.394425925926,6749.120111111111
1170,1180,1.349,4267.3947,0.0,0.0,0.0,711.2324500000002,2.2737367544323206e-13,6749.120111111111,5958.861833333333
1180,1190,1.3473,4269.975,0.0,0.0,0.0,711.6625000000003,2.2737367544323206e-13,5958.861833333333,5168.125722222222
1190,1200,1.3482,4268.6702,0.0,0.0,0.0,711.4450333333335,3.410605131648481e-13,5168.125722222222,4377.63124074074
1200,1210,1.3513,4282.2245,0.0,0.0,0.0,713.7040833333331,-2.2737367544323206e-13,4377.63124074074,3584.6267037037037
1210,1220,1.34,4291.7049,0.0,0.0,0.0,715.2841499999998,-1.1368683772161603e-13,3584.6267037037037,2789.8665370370372
1220,1230,1.3489,4291.3611,0.0,0.0,0.0,715.22685,0.0,2789.8665370370372,1995.1700370370372
1230,1240,1.3952,4293.9182,0.0,0.0,0.0,715.6530333333321,-1.1368683772161603e-12,1995.1700370370372,1200.0000000000016
1240,1250,1.2226,4295.2135,0.0,715.8689166666652,0.0,1.432454155292362e-12,6.821210263296958e-14,1200.0000000000016,1200.0
1250,1260,0.9332,4302.0307,0.0,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0
1260,1270,0.9068,4320.9618,0.0,720.1602999999986,0.0,1.0231815394945443e-12,-3.410605131648481e-13,1200.0,1199.9999999999989
1270,1280,0.9371,4302.3292,0.0,717.0548666666681,1.7684619201140271e-12,0.0,-2.905330297330187e-13,1199.9999999999989,1200.0000000000005
1280,1290,0.9371,4322.6758,0.0,720.4459666666667,0.0,0.0,0.0,1200.0000000000005,1200.0000000000005
1290,1300,0.9871,4428.8083,0.0,738.134716666666,0.0,4.092726157978177e-13,-1.5916157281026243e-13,1200.0000000000005,1200.0
1300,1310,0.7764,4030.1614,0.0,671.6935666666666,0.0,0.0,0.0,1200.0,1200.0
1310,1320,0.4209,3362.7419,0.0,1393.7903166666667,833.3333333333333,0.0,2.2737367544323206e-13,1200.0,1950.0
1320,1330,0.3859,3309.3934,0.0,1384.8988999999997,833.3333333333333,0.0,-2.2737367544323206e-13,1950.0,2700.0
1330,1340,0.4368,3412.9563,0.0,568.826050000001,1.010549668636587e-12,0.0,1.2631870857957332e-13,2700.0,2700.000000000001
1340,1350,0.4198,3381.9313,0.0,1396.9885499999996,833.3333333333333,0.0,-3.410605131648481e-13,2700.000000000001,3450.000000000001
1350,1360,0.4186,3386.5592,0.0,1397.7598666666668,833.3333333333333,0.0,2.2737367544323206e-13,3450.000000000001,4200.000000000001
1360,1370,0.4241,3400.4846,0.0,566.747433333333,0.0,0.0,-2.2737367544323206e-13,4200.000000000001,4200.000000000001
1370,1380,0.4237,3399.2426,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,4200.000000000001,4950.000000000001
1380,1390,0.4248,3406.9809,0.0,567.8301499999967,0.0,2.4556356947869064e-12,-8.412825991399585e-13,4950.000000000001,4949.999999999998
1390,1400,0.424,3416.1518,0.0,569.3586333333334,0.0,0.0,1.1368683772161603e-13,4949.999999999998,4949.999999999998
1400,1410,0.422,3421.9811,0.0,1403.6635166666665,833.3333333333333,0.0,0.0,4949.999999999998,5699.999999999998
1410,1420,0.424,3429.6923,0.0,904.9487166666704,333.3333333333364,0.0,7.389644451905042e-13,5699.999999999998,6000.000000000001
1420,1430,0.4271,3439.061,0.0,573.1768333333331,0.0,0.0,-2.2737367544323206e-13,6000.000000000001,6000.000000000001
1430,1440,0.4276,3444.7259,0.0,574.1209833333323,0.0,8.185452315956354e-13,-9.09494701772928e-14,6000.000000000001,6000.0
