区域,日期类型,小时序号,时段,时段类别,调度前负荷_kW,高峰削减量_kW,低谷接收量_kW,调度后负荷_kW,最大允许负荷_kW,调度后负荷率_raw,调度后负荷率_pct,调度后安全裕度_kW,是否超过2100kW,是否超过允许负荷
1,工作日,18,18-19,高峰,1945,389,0,1556,4856,0.3204283361,32.04283361,3300,False,False
1,工作日,19,19-20,高峰,1744,348.8,0,1395.2,4563,0.3057637519,30.57637519,3167.8,False,False
1,工作日,20,20-21,高峰,1210,242,0,968,4078,0.2373712604,23.73712604,3110,False,False
1,工作日,21,21-22,高峰,736,147.2,0,588.8,3587,0.1641483134,16.41483134,2998.2,False,False
1,工作日,22,22-23,高峰,495,99,0,396,3096,0.1279069767,12.79069767,2700,False,False
1,工作日,23,23-00,未分类固定,255,0,0,255,2519,0.1012306471,10.12306471,2264,False,False
1,周末,0,00-01,低谷,189,0,171.1412804,360.1412804,2017,0.1785529402,17.85529402,1656.85872,False,False
1,周末,1,01-02,低谷,129,0,231.1501331,360.1501331,2023,0.1780277474,17.80277474,1662.849867,False,False
1,周末,2,02-03,低谷,57,0,303.1412804,360.1412804,2039,0.1766264249,17.66264249,1678.85872,False,False
1,周末,3,03-04,低谷,67,0,293.1412804,360.1412804,2046,0.1760221312,17.60221312,1685.85872,False,False
1,周末,4,04-05,低谷,2,0,358.1412804,360.1412804,2058,0.1749957631,17.49957631,1697.85872,False,False
1,周末,5,05-06,低谷,123,0,237.1412804,360.1412804,2517,0.1430835441,14.30835441,2156.85872,False,False
1,周末,6,06-07,低谷,291,0,69.14346478,360.1434648,3529,0.1020525545,10.20525545,3168.856535,False,False
1,周末,7,07-08,平段,474,0,0,474,4038,0.117384844,11.7384844,3564,False,False
1,周末,8,08-09,平段,594,0,0,594,4042,0.146956952,14.6956952,3448,False,False
1,周末,9,09-10,平段,727,0,0,727,3857,0.1884884625,18.84884625,3130,False,False
1,周末,10,10-11,平段,860,0,0,860,3863,0.2226249029,22.26249029,3003,False,False
1,周末,11,11-12,高峰,953,190.6,0,762.4,4276,0.1782974743,17.82974743,3513.6,False,False
1,周末,12,12-13,高峰,1096,219.2,0,876.8,4589,0.1910655916,19.10655916,3712.2,False,False
1,周末,13,13-14,高峰,1182,236.4,0,945.6,4298,0.2200093067,22.00093067,3352.4,False,False
1,周末,14,14-15,平段,1304,0,0,1304,4015,0.3247820672,32.47820672,2711,False,False
1,周末,15,15-16,平段,1212,0,0,1212,3822,0.31711146,31.711146,2610,False,False
1,周末,16,16-17,高峰,1089,217.8,0,871.2,4537,0.1920211594,19.20211594,3665.8,False,False
1,周末,17,17-18,高峰,945,189,0,756,5049,0.1497326203,14.97326203,4293,False,False
1,周末,18,18-19,高峰,855,171,0,684,4856,0.1408566722,14.08566722,4172,False,False
1,周末,19,19-20,高峰,730,146,0,584,4563,0.1279859741,12.79859741,3979,False,False
1,周末,20,20-21,高峰,607,121.4,0,485.6,4078,0.1190779794,11.90779794,3592.4,False,False
1,周末,21,21-22,高峰,486,97.2,0,388.8,3587,0.1083914134,10.83914134,3198.2,False,False
1,周末,22,22-23,高峰,372,74.4,0,297.6,3096,0.09612403101,9.612403101,2798.4,False,False
1,周末,23,23-00,未分类固定,236,0,0,236,2519,0.09368797142,9.368797142,2283,False,False
2,工作日,0,00-01,低谷,139,0,351.8287485,490.8287485,1816,0.2702801479,27.02801479,1325.171251,False,False
2,工作日,1,01-02,低谷,72,0,418.8310218,490.8310218,1822,0.2693913401,26.93913401,1331.168978,False,False
2,工作日,2,02-03,低谷,18,0,472.8307858,490.8307858,1838,0.2670461294,26.70461294,1347.169214,False,False
2,工作日,3,03-04,低谷,15,0,475.8287485,490.8287485,1845,0.266031842,26.6031842,1354.171251,False,False
2,工作日,4,04-05,低谷,63,0,427.8263638,490.8263638,1859,0.2640270919,26.40270919,1368.173636,False,False
2,工作日,5,05-06,低谷,245,0,245.8300638,490.8300638,2268,0.2164153721,21.64153721,1777.169936,False,False
2,工作日,6,06-07,低谷,439,0,51.82426772,490.8242677,3277,0.1497785376,14.97785376,2786.175732,False,False
2,工作日,7,07-08,平段,914,0,0,914,3889,0.2350218565,23.50218565,2975,False,False
2,工作日,8,08-09,平段,722,0,0,722,3893,0.185461084,18.5461084,3171,False,False
2,工作日,9,09-10,平段,590,0,0,590,3616,0.1631637168,16.31637168,3026,False,False
2,工作日,10,10-11,平段,618,0,0,618,3628,0.1703417861,17.03417861,3010,False,False
2,工作日,11,11-12,高峰,1024,204.8,0,819.2,4037,0.2029229626,20.29229626,3217.8,False,False
2,工作日,12,12-13,高峰,1214,242.8,0,971.2,4249,0.2285714286,22.85714286,3277.8,False,False
2,工作日,13,13-14,高峰,918,183.6,0,734.4,4056,0.1810650888,18.10650888,3321.6,False,False
2,工作日,14,14-15,平段,789,0,0,789,3865,0.2041397154,20.41397154,3076,False,False
2,工作日,15,15-16,平段,722,0,0,722,3677,0.1963557248,19.63557248,2955,False,False
2,工作日,16,16-17,高峰,1395,279,0,1116,4288,0.260261194,26.0261194,3172,False,False
2,工作日,17,17-18,高峰,2078,415.6,0,1662.4,4899,0.3393345581,33.93345581,3236.6,False,False
2,工作日,18,18-19,高峰,1807,361.4,0,1445.6,4613,0.3133752439,31.33752439,3167.4,False,False
2,工作日,19,19-20,高峰,1596,319.2,0,1276.8,4226,0.3021296735,30.21296735,2949.2,False,False
2,工作日,20,20-21,高峰,1095,219,0,876,3837,0.228303362,22.8303362,2961,False,False
2,工作日,21,21-22,高峰,663,132.6,0,530.4,3248,0.1633004926,16.33004926,2717.6,False,False
2,工作日,22,22-23,高峰,434,86.8,0,347.2,2855,0.1216112084,12.16112084,2507.8,False,False
2,工作日,23,23-00,未分类固定,197,0,0,197,2269,0.08682238872,8.682238872,2072,False,False
2,周末,0,00-01,低谷,126,0,183.8571424,309.8571424,1816,0.1706261797,17.06261797,1506.142858,False,False
2,周末,1,01-02,低谷,65,0,244.8571423,309.8571423,1822,0.1700642933,17.00642933,1512.142858,False,False
2,周末,2,02-03,低谷,64,0,245.8571423,309.8571423,1838,0.1685838642,16.85838642,1528.142858,False,False
2,周末,3,03-04,低谷,3,0,306.8571423,309.8571423,1845,0.1679442506,16.79442506,1535.142858,False,False
2,周末,4,04-05,低谷,9,0,300.8571423,309.8571423,1859,0.1666794741,16.66794741,1549.142858,False,False
2,周末,5,05-06,低谷,115,0,194.8571424,309.8571424,2268,0.136621315,13.6621315,1958.142858,False,False
2,周末,6,06-07,低谷,246,0,63.85714588,309.8571459,3277,0.09455512538,9.455512538,2967.142854,False,False
2,周末,7,07-08,平段,411,0,0,411,3889,0.1056826948,10.56826948,3478,False,False
2,周末,8,08-09,平段,537,0,0,537,3893,0.1379398921,13.79398921,3356,False,False
2,周末,9,09-10,平段,657,0,0,657,3616,0.1816924779,18.16924779,2959,False,False
2,周末,10,10-11,平段,793,0,0,793,3628,0.2185777288,21.85777288,2835,False,False
2,周末,11,11-12,高峰,890,178,0,712,4037,0.1763685905,17.63685905,3325,False,False
2,周末,12,12-13,高峰,1035,207,0,828,4249,0.194869381,19.4869381,3421,False,False
2,周末,13,13-14,高峰,1132,226.4,0,905.6,4056,0.2232741617,22.32741617,3150.4,False,False
2,周末,14,14-15,平段,1280,0,0,1280,3865,0.3311772316,33.11772316,2585,False,False
2,周末,15,15-16,平段,1152,0,0,1152,3677,0.313298885,31.3298885,2525,False,False
2,周末,16,16-17,高峰,1032,206.4,0,825.6,4288,0.1925373134,19.25373134,3462.4,False,False
2,周末,17,17-18,高峰,893,178.6,0,714.4,4899,0.1458256787,14.58256787,4184.6,False,False
2,周末,18,18-19,高峰,787,157.4,0,629.6,4613,0.13648385,13.648385,3983.4,False,False
2,周末,19,19-20,高峰,678,135.6,0,542.4,4226,0.1283483199,12.83483199,3683.6,False,False
2,周末,20,20-21,高峰,533,106.6,0,426.4,3837,0.1111284858,11.11284858,3410.6,False,False
2,周末,21,21-22,高峰,414,82.8,0,331.2,3248,0.1019704433,10.19704433,2916.8,False,False
2,周末,22,22-23,高峰,311,62.2,0,248.8,2855,0.08714535902,8.714535902,2606.2,False,False
2,周末,23,23-00,未分类固定,185,0,0,185,2269,0.08153371529,8.153371529,2084,False,False
3,工作日,0,00-01,低谷,64,0,286.9993372,350.9993372,1619,0.2168000847,21.68000847,1268.000663,False,False
3,工作日,1,01-02,低谷,13,0,338.0001823,351.0001823,1625,0.2160001122,21.60001122,1273.999818,False,False
3,工作日,2,02-03,低谷,19,0,331.9994616,350.9994616,1637,0.2144162868,21.44162868,1286.000538,False,False
3,工作日,3,03-04,低谷,15,0,335.9995436,350.9995436,1643,0.2136333193,21.36333193,1292.000456,False,False
3,工作日,4,04-05,低谷,13,0,338.0015114,351.0015114,1658,0.211701756,21.1701756,1306.998489,False,False
3,工作日,5,05-06,低谷,126,0,224.9998802,350.9998802,2066,0.1698934561,16.98934561,1715.00012,False,False
3,工作日,6,06-07,低谷,310,0,41.00008373,351.0000837,2879,0.1219173615,12.19173615,2527.999916,False,False
3,工作日,7,07-08,平段,652,0,0,652,3587,0.1817674937,18.17674937,2935,False,False
3,工作日,8,08-09,平段,537,0,0,537,3598,0.1492495831,14.92495831,3061,False,False
3,工作日,9,09-10,平段,466,0,0,466,3215,0.1449455677,14.49455677,2749,False,False
3,工作日,10,10-11,平段,482,0,0,482,3229,0.1492722205,14.92722205,2747,False,False
3,工作日,11,11-12,高峰,790,158,0,632,3837,0.1647120146,16.47120146,3205,False,False
3,工作日,12,12-13,高峰,904,180.8,0,723.2,4048,0.1786561265,17.86561265,3324.8,False,False
3,工作日,13,13-14,高峰,734,146.8,0,587.2,3856,0.1522821577,15.22821577,3268.8,False,False
3,工作日,14,14-15,平段,616,0,0,616,3569,0.1725973662,17.25973662,2953,False,False
3,工作日,15,15-16,平段,555,0,0,555,3278,0.1693105552,16.93105552,2723,False,False
3,工作日,16,16-17,高峰,1088,217.6,0,870.4,3885,0.224041184,22.4041184,3014.6,False,False
3,工作日,17,17-18,高峰,1534,306.8,0,1227.2,4597,0.2669567109,26.69567109,3369.8,False,False
3,工作日,18,18-19,高峰,1389,277.8,0,1111.2,4216,0.2635673624,26.35673624,3104.8,False,False
3,工作日,19,19-20,高峰,1260,252,0,1008,3829,0.2632541133,26.32541133,2821,False,False
3,工作日,20,20-21,高峰,853,170.6,0,682.4,3538,0.1928773318,19.28773318,2855.6,False,False
3,工作日,21,21-22,高峰,558,111.6,0,446.4,2847,0.156796628,15.6796628,2400.6,False,False
3,工作日,22,22-23,高峰,375,75,0,300,2553,0.1175088132,11.75088132,2253,False,False
3,工作日,23,23-00,未分类固定,133,0,0,133,2066,0.06437560503,6.437560503,1933,False,False
3,周末,0,00-01,低谷,122,0,126.3134658,248.3134658,1619,0.1533745929,15.33745929,1370.686534,False,False
3,周末,1,01-02,低谷,69,0,179.3142364,248.3142364,1625,0.1528087609,15.28087609,1376.685764,False,False
3,周末,2,02-03,低谷,2,0,246.3154871,248.3154871,1637,0.1516893629,15.16893629,1388.684513,False,False
3,周末,3,03-04,低谷,4,0,244.3154719,248.3154719,1643,0.1511354059,15.11354059,1394.684528,False,False
3,周末,4,04-05,低谷,9,0,239.3140928,248.3140928,1658,0.1497672453,14.97672453,1409.685907,False,False
3,周末,5,05-06,低谷,53,0,195.3121813,248.3121813,2066,0.1201898264,12.01898264,1817.687819,False,False
3,周末,6,06-07,低谷,170,0,78.31506474,248.3150647,2879,0.08625045666,8.625045666,2630.684935,False,False
3,周末,7,07-08,平段,295,0,0,295,3587,0.08224142738,8.224142738,3292,False,False
3,周末,8,08-09,平段,434,0,0,434,3598,0.1206225681,12.06225681,3164,False,False
3,周末,9,09-10,平段,529,0,0,529,3215,0.1645412131,16.45412131,2686,False,False
3,周末,10,10-11,平段,670,0,0,670,3229,0.2074945804,20.74945804,2559,False,False
3,周末,11,11-12,高峰,767,153.4,0,613.6,3837,0.1599166015,15.99166015,3223.4,False,False
3,周末,12,12-13,高峰,920,184,0,736,4048,0.1818181818,18.18181818,3312,False,False
3,周末,13,13-14,高峰,1008,201.6,0,806.4,3856,0.2091286307,20.91286307,3049.6,False,False
3,周末,14,14-15,平段,1159,0,0,1159,3569,0.3247408238,32.47408238,2410,False,False
3,周末,15,15-16,平段,1004,0,0,1004,3278,0.3062843197,30.62843197,2274,False,False
3,周末,16,16-17,高峰,920,184,0,736,3885,0.1894465894,18.94465894,3149,False,False
3,周末,17,17-18,高峰,772,154.4,0,617.6,4597,0.1343484881,13.43484881,3979.4,False,False
3,周末,18,18-19,高峰,652,130.4,0,521.6,4216,0.1237191651,12.37191651,3694.4,False,False
3,周末,19,19-20,高峰,554,110.8,0,443.2,3829,0.1157482371,11.57482371,3385.8,False,False
3,周末,20,20-21,高峰,435,87,0,348,3538,0.09836065574,9.836065574,3190,False,False
3,周末,21,21-22,高峰,291,58.2,0,232.8,2847,0.08177028451,8.177028451,2614.2,False,False
3,周末,22,22-23,高峰,227,45.4,0,181.6,2553,0.07113200157,7.113200157,2371.4,False,False
3,周末,23,23-00,未分类固定,117,0,0,117,2066,0.05663117135,5.663117135,1949,False,False
4,工作日,0,00-01,低谷,189,0,377.3448997,566.3448997,2218,0.2553403515,25.53403515,1651.6551,False,False
4,工作日,1,01-02,低谷,135,0,431.3420696,566.3420696,2225,0.2545357616,25.45357616,1658.65793,False,False
4,工作日,2,02-03,低谷,73,0,493.3448997,566.3448997,2237,0.2531716136,25.31716136,1670.6551,False,False
4,工作日,3,03-04,低谷,61,0,505.3448997,566.3448997,2249,0.2518207647,25.18207647,1682.6551,False,False
4,工作日,4,04-05,低谷,16,0,550.3448997,566.3448997,2253,0.2513736794,25.13736794,1686.6551,False,False
4,工作日,5,05-06,低谷,307,0,259.3364834,566.3364834,2869,0.1973985651,19.73985651,2302.663517,False,False
4,工作日,6,06-07,低谷,549,0,17.34184821,566.3418482,3876,0.1461150279,14.61150279,3309.658152,False,False
4,工作日,7,07-08,平段,961,0,0,961,4587,0.2095051232,20.95051232,3626,False,False
4,工作日,8,08-09,平段,852,0,0,852,4598,0.1852979556,18.52979556,3746,False,False
4,工作日,9,09-10,平段,728,0,0,728,4219,0.1725527376,17.25527376,3491,False,False
4,工作日,10,10-11,平段,791,0,0,791,4226,0.1871746332,18.71746332,3435,False,False
4,工作日,11,11-12,高峰,1159,231.8,0,927.2,4835,0.1917683557,19.17683557,3907.8,False,False
4,工作日,12,12-13,高峰,1397,279.4,0,1117.6,5047,0.2214384783,22.14384783,3929.4,False,False
4,工作日,13,13-14,高峰,1028,205.6,0,822.4,4859,0.1692529327,16.92529327,4036.6,False,False
4,工作日,14,14-15,平段,903,0,0,903,4566,0.1977660972,19.77660972,3663,False,False
4,工作日,15,15-16,平段,843,0,0,843,4278,0.1970546985,19.70546985,3435,False,False
4,工作日,16,16-17,高峰,1561,312.2,0,1248.8,5089,0.245392022,24.5392022,3840.2,False,False
4,工作日,17,17-18,高峰,1985,397,0,1588,5597,0.2837234233,28.37234233,4009,False,False
4,工作日,18,18-19,高峰,1810,362,0,1448,5218,0.2775009582,27.75009582,3770,False,False
4,工作日,19,19-20,高峰,1627,325.4,0,1301.6,4825,0.269761658,26.9761658,3523.4,False,False
4,工作日,20,20-21,高峰,1269,253.8,0,1015.2,4539,0.2236615995,22.36615995,3523.8,False,False
4,工作日,21,21-22,高峰,787,157.4,0,629.6,3847,0.1636599948,16.36599948,3217.4,False,False
4,工作日,22,22-23,高峰,549,109.8,0,439.2,3256,0.1348894349,13.48894349,2816.8,False,False
4,工作日,23,23-00,未分类固定,308,0,0,308,2868,0.1073919107,10.73919107,2560,False,False
4,周末,0,00-01,低谷,182,0,209.4544984,391.4544984,2218,0.176489855,17.6489855,1826.545502,False,False
4,周末,1,01-02,低谷,116,0,275.4564743,391.4564743,2225,0.1759354941,17.59354941,1833.543526,False,False
4,周末,2,02-03,低谷,56,0,335.4611949,391.4611949,2237,0.1749938287,17.49938287,1845.538805,False,False
4,周末,3,03-04,低谷,63,0,328.4613041,391.4613041,2249,0.1740601619,17.40601619,1857.538696,False,False
4,周末,4,04-05,低谷,1,0,390.4551748,391.4551748,2253,0.1737484131,17.37484131,1861.544825,False,False
4,周末,5,05-06,低谷,185,0,206.4553927,391.4553927,2869,0.1364431484,13.64431484,2477.544607,False,False
4,周末,6,06-07,低谷,357,0,34.45596084,391.4559608,3876,0.1009948299,10.09948299,3484.544039,False,False
4,周末,7,07-08,平段,535,0,0,535,4587,0.1166339656,11.66339656,4052,False,False
4,周末,8,08-09,平段,649,0,0,649,4598,0.1411483254,14.11483254,3949,False,False
4,周末,9,09-10,平段,788,0,0,788,4219,0.1867741171,18.67741171,3431,False,False
4,周末,10,10-11,平段,910,0,0,910,4226,0.2153336488,21.53336488,3316,False,False
4,周末,11,11-12,高峰,1029,205.8,0,823.2,4835,0.1702585315,17.02585315,4011.8,False,False
4,周末,12,12-13,高峰,1124,224.8,0,899.2,5047,0.1781652467,17.81652467,4147.8,False,False
4,周末,13,13-14,高峰,1253,250.6,0,1002.4,4859,0.2062975921,20.62975921,3856.6,False,False
4,周末,14,14-15,平段,1396,0,0,1396,4566,0.305738064,30.5738064,3170,False,False
4,周末,15,15-16,平段,1266,0,0,1266,4278,0.2959326788,29.59326788,3012,False,False
4,周末,16,16-17,高峰,1131,226.2,0,904.8,5089,0.1777952446,17.77952446,4184.2,False,False
4,周末,17,17-18,高峰,1027,205.4,0,821.6,5597,0.1467929248,14.67929248,4775.4,False,False
4,周末,18,18-19,高峰,919,183.8,0,735.2,5218,0.1408968954,14.08968954,4482.8,False,False
4,周末,19,19-20,高峰,760,152,0,608,4825,0.1260103627,12.60103627,4217,False,False
4,周末,20,20-21,高峰,666,133.2,0,532.8,4539,0.1173826834,11.73826834,4006.2,False,False
4,周末,21,21-22,高峰,559,111.8,0,447.2,3847,0.1162464258,11.62464258,3399.8,False,False
4,周末,22,22-23,高峰,433,86.6,0,346.4,3256,0.1063882064,10.63882064,2909.6,False,False
4,周末,23,23-00,未分类固定,306,0,0,306,2868,0.1066945607,10.66945607,2562,False,False
5,工作日,0,00-01,低谷,72,0,255.2571427,327.2571427,1517,0.2157265278,21.57265278,1189.742857,False,False
5,工作日,1,01-02,低谷,9,0,318.2571427,327.2571427,1529,0.2140334484,21.40334484,1201.742857,False,False
5,工作日,2,02-03,低谷,8,0,319.2571427,327.2571427,1536,0.2130580356,21.30580356,1208.742857,False,False
5,工作日,3,03-04,低谷,14,0,313.2571427,327.2571427,1548,0.2114064229,21.14064229,1220.742857,False,False
5,工作日,4,04-05,低谷,14,0,313.2571427,327.2571427,1552,0.210861561,21.0861561,1224.742857,False,False
5,工作日,5,05-06,低谷,125,0,202.2571428,327.2571428,1865,0.1754729988,17.54729988,1537.742857,False,False
5,工作日,6,06-07,低谷,243,0,84.25714388,327.2571439,2578,0.1269422591,12.69422591,2250.742856,False,False
5,工作日,7,07-08,平段,432,0,0,432,3087,0.139941691,13.9941691,2655,False,False
5,工作日,8,08-09,平段,368,0,0,368,3099,0.1187479832,11.87479832,2731,False,False
5,工作日,9,09-10,平段,483,0,0,483,2816,0.1715198864,17.15198864,2333,False,False
5,工作日,10,10-11,平段,601,0,0,601,2828,0.2125176803,21.25176803,2227,False,False
5,工作日,11,11-12,高峰,723,144.6,0,578.4,3539,0.1634359989,16.34359989,2960.6,False,False
5,工作日,12,12-13,高峰,845,169,0,676,3847,0.1757213413,17.57213413,3171,False,False
5,工作日,13,13-14,高峰,675,135,0,540,3556,0.151856018,15.1856018,3016,False,False
5,工作日,14,14-15,平段,914,0,0,914,3265,0.2799387443,27.99387443,2351,False,False
5,工作日,15,15-16,平段,963,0,0,963,3079,0.3127638844,31.27638844,2116,False,False
5,工作日,16,16-17,高峰,841,168.2,0,672.8,3588,0.1875139353,18.75139353,2915.2,False,False
5,工作日,17,17-18,高峰,1085,217,0,868,4097,0.2118623383,21.18623383,3229,False,False
5,工作日,18,18-19,高峰,1514,302.8,0,1211.2,3816,0.3174004193,31.74004193,2604.8,False,False
5,工作日,19,19-20,高峰,1327,265.4,0,1061.6,3525,0.3011631206,30.11631206,2463.4,False,False
5,工作日,20,20-21,高峰,969,193.8,0,775.2,3038,0.2551678736,25.51678736,2262.8,False,False
5,工作日,21,21-22,高峰,615,123,0,492,2549,0.1930168694,19.30168694,2057,False,False
5,工作日,22,22-23,高峰,435,87,0,348,2257,0.1541869739,15.41869739,1909,False,False
5,工作日,23,23-00,未分类固定,190,0,0,190,1866,0.1018220793,10.18220793,1676,False,False
5,周末,0,00-01,低谷,122,0,297.3453056,419.3453056,1517,0.2764306563,27.64306563,1097.654694,False,False
5,周末,1,01-02,低谷,62,0,357.3453056,419.3453056,1529,0.2742611548,27.42611548,1109.654694,False,False
5,周末,2,02-03,低谷,0,0,419.3436323,419.3436323,1536,0.2730101773,27.30101773,1116.656368,False,False
5,周末,3,03-04,低谷,0,0,419.3387461,419.3387461,1548,0.2708906628,27.08906628,1128.661254,False,False
5,周末,4,04-05,低谷,0,0,419.342525,419.342525,1552,0.2701949259,27.01949259,1132.657475,False,False
5,周末,5,05-06,低谷,178,0,241.3487581,419.3487581,1865,0.224851881,22.4851881,1445.651242,False,False
5,周末,6,06-07,低谷,295,0,124.3357273,419.3357273,2578,0.1626593201,16.26593201,2158.664273,False,False
5,周末,7,07-08,平段,478,0,0,478,3087,0.1548428895,15.48428895,2609,False,False
5,周末,8,08-09,平段,722,0,0,722,3099,0.2329783801,23.29783801,2377,False,False
5,周末,9,09-10,平段,1087,0,0,1087,2816,0.3860085227,38.60085227,1729,False,False
5,周末,10,10-11,平段,1487,0,0,1487,2828,0.5258132956,52.58132956,1341,False,False
5,周末,11,11-12,高峰,1694,338.8,0,1355.2,3539,0.3829330319,38.29330319,2183.8,False,False
5,周末,12,12-13,高峰,1808,361.6,0,1446.4,3847,0.3759812841,37.59812841,2400.6,False,False
5,周末,13,13-14,高峰,1725,345,0,1380,3556,0.3880764904,38.80764904,2176,False,False
5,周末,14,14-15,平段,1616,0,0,1616,3265,0.4949464012,49.49464012,1649,False,False
5,周末,15,15-16,平段,1490,0,0,1490,3079,0.4839233517,48.39233517,1589,False,False
5,周末,16,16-17,高峰,1331,266.2,0,1064.8,3588,0.2967670011,29.67670011,2523.2,False,False
5,周末,17,17-18,高峰,1187,237.4,0,949.6,4097,0.2317793507,23.17793507,3147.4,False,False
5,周末,18,18-19,高峰,1093,218.6,0,874.4,3816,0.2291404612,22.91404612,2941.6,False,False
5,周末,19,19-20,高峰,910,182,0,728,3525,0.2065248227,20.65248227,2797,False,False
5,周末,20,20-21,高峰,728,145.6,0,582.4,3038,0.1917050691,19.17050691,2455.6,False,False
5,周末,21,21-22,高峰,551,110.2,0,440.8,2549,0.172930561,17.2930561,2108.2,False,False
5,周末,22,22-23,高峰,365,73,0,292,2257,0.1293752769,12.93752769,1965,False,False
5,周末,23,23-00,未分类固定,176,0,0,176,1866,0.09431939979,9.431939979,1690,False,False
6,工作日,0,00-01,低谷,133,0,374.2555444,507.2555444,1915,0.2648854018,26.48854018,1407.744456,False,False
6,工作日,1,01-02,低谷,79,0,428.2554935,507.2554935,1928,0.2630993224,26.30993224,1420.744506,False,False
6,工作日,2,02-03,低谷,67,0,440.2574962,507.2574962,1936,0.2620131695,26.20131695,1428.742504,False,False
6,工作日,3,03-04,低谷,12,0,495.2546502,507.2546502,1949,0.2602640586,26.02640586,1441.74535,False,False
6,工作日,4,04-05,低谷,64,0,443.2573011,507.2573011,1957,0.2592014824,25.92014824,1449.742699,False,False
6,工作日,5,05-06,低谷,245,0,262.2612318,507.2612318,2469,0.2054520987,20.54520987,1961.738768,False,False
6,工作日,6,06-07,低谷,487,0,20.25828282,507.2582828,3478,0.1458476949,14.58476949,2970.741717,False,False
6,工作日,7,07-08,平段,856,0,0,856,4085,0.2095471236,20.95471236,3229,False,False
6,工作日,8,08-09,平段,793,0,0,793,4097,0.1935562607,19.35562607,3304,False,False
6,工作日,9,09-10,平段,724,0,0,724,3819,0.1895784237,18.95784237,3095,False,False
6,工作日,10,10-11,平段,724,0,0,724,3825,0.1892810458,18.92810458,3101,False,False
6,工作日,11,11-12,高峰,1093,218.6,0,874.4,4238,0.2063237376,20.63237376,3363.6,False,False
6,工作日,12,12-13,高峰,1267,253.4,0,1013.6,4546,0.2229652442,22.29652442,3532.4,False,False
6,工作日,13,13-14,高峰,979,195.8,0,783.2,4257,0.1839793282,18.39793282,3473.8,False,False
6,工作日,14,14-15,平段,842,0,0,842,4069,0.2069304497,20.69304497,3227,False,False
6,工作日,15,15-16,平段,790,0,0,790,3876,0.2038183695,20.38183695,3086,False,False
6,工作日,16,16-17,高峰,1453,290.6,0,1162.4,4588,0.2533565824,25.33565824,3425.6,False,False
6,工作日,17,17-18,高峰,1746,349.2,0,1396.8,5096,0.2740973312,27.40973312,3699.2,False,False
6,工作日,18,18-19,高峰,1762,352.4,0,1409.6,4819,0.2925088193,29.25088193,3409.4,False,False
6,工作日,19,19-20,高峰,1568,313.6,0,1254.4,4527,0.2770929976,27.70929976,3272.6,False,False
6,工作日,20,20-21,高峰,1243,248.6,0,994.4,4035,0.2464436183,24.64436183,3040.6,False,False
6,工作日,21,21-22,高峰,727,145.4,0,581.6,3448,0.1686774942,16.86774942,2866.4,False,False
6,工作日,22,22-23,高峰,481,96.2,0,384.8,2959,0.1300439338,13.00439338,2574.2,False,False
6,工作日,23,23-00,未分类固定,241,0,0,241,2467,0.09768950142,9.768950142,2226,False,False
6,周末,0,00-01,低谷,121,0,191.8004982,312.8004982,1915,0.1633422967,16.33422967,1602.199502,False,False
