a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,delta_pv_mae_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_protected_bias_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_protected_bias_kWh,delta_protected_bias_kWh,publication_hour,group_type,month,clock,boundary,is_generation
4320,151.61288302469134,288.2162228566091,2.5253175925925917,4320,35.81616925165217,52.555474935027334,5.282110468028224,4320,152.10060358548793,294.0241026831833,2.5253175925926423,4320,36.06635465807336,53.47143933939228,5.282110468028231,0.4877205607965891,5.062616992290714e-14,0.25018540642118836,7.105427357601002e-15,0.8090277777777778,4.132600832697712,40.925583540983084,42.075093176313594,36.79298270828537,0.8099537037037037,4.1075967996977125,41.69679469543863,42.87130836376915,37.589197895740924,0.7962151874555516,0,month,2025-11,,,
4464,125.38736278001794,264.8288443700017,0.6444956541218633,4464,37.8506934049592,55.81686333301995,7.890119926182064,4464,129.5231596823029,272.76108165626755,0.6444956541218991,4464,38.53686827175348,56.952833756315705,7.89011992618207,4.135796902284952,3.5860203695392556e-14,0.6861748667942749,6.217248937900877e-15,0.8100358422939068,5.623657823641471,44.843315526955486,47.10977762949609,39.21965770331401,0.8095878136200717,5.657920551797571,45.49053841097169,47.72273778535619,39.832617859174114,0.612960155860101,0,month,2025-12,,,
10020,191.88605942448436,336.1247966555987,-92.09306303393214,10020,44.80893236965338,64.82494002808353,-15.27944584510174,10020,200.92293212547776,346.1754352420012,-115.43408920794651,10020,46.07834328971009,66.3184483314425,-19.169616874104136,9.0368727009934,-23.341026174014374,1.269410920056714,-3.8901710290023956,0.7896207584830339,6.127781530315171,48.883768159196144,27.476540783779228,42.75598662888097,0.7910179640718563,6.139357589437406,49.525829155636615,24.21685469209508,43.38647156619922,0.6304849373182506,0,clock,,evening_1500_2000,,
12024,543.1643162106343,695.8826430656327,-125.07056216733203,12024,93.85064934105282,120.78870808690228,-19.883397680102355,12024,554.0893138838126,705.824402641764,-85.68265205588841,12024,95.5420260058567,122.41341699369393,-13.318745994861754,10.924997673178268,39.38791011144362,1.691376664803883,6.564651685240602,0.7932468396540253,12.617343462957777,110.11224110103171,77.6114999579716,97.49489763807395,0.7917498336660014,12.883071047110308,112.91813476913836,86.71631772716631,100.03506372202806,2.540166083954105,0,clock,,midday_0900_1500,,
8016,190.15912787341986,254.58579973916952,124.66735244510978,8016,40.01061702703072,51.499486577223394,21.86101224135039,8016,161.32047910450962,239.1634183755713,94.77454995335854,8016,36.91642523930534,49.22224900142381,16.87887849272519,-28.838648768910247,-29.89280249175124,-3.0941917877253786,-4.982133748625202,0.7875499001996008,5.511279879735196,39.72275082781435,56.07248318942954,34.21147094807915,0.7910429141716567,5.541929616243366,39.784101372190186,51.121050248672006,34.24217175594682,0.03070080786766738,0,clock,,morning_0500_0900,,
18036,0.02821475659791528,0.30881874089667305,-0.0011187957418496341,18036,24.089190982619886,32.27594508539109,0.35379372621537347,18036,0.023337698174131075,0.2717731604241061,-0.00679877702889256,18036,24.08934749827972,32.27615009661483,0.3528470626675331,-0.004877058423784206,-0.005679981287042926,0.00015651565983532123,-0.0009466635478403984,0.788035041029053,3.8648342933475193,27.978441807004753,24.467401239872604,24.11360751365723,0.788035041029053,3.8650602544077683,27.978893069340636,24.4666798776004,24.113832814932866,0.00022530127563769042,0,clock,,other,,
1670,0.0,0.0,0.0,1670,23.20903877873075,30.974330121162456,0.6279514843905202,1670,0.0,0.0,0.0,1670,23.20903877873075,30.974330121162456,0.6279514843905202,0.0,0.0,0.0,0.0,0.7820359281437126,3.5414233188922752,26.76118832330371,23.84771648880195,23.219765004411432,0.7820359281437126,3.5414233188922752,26.76118832330371,23.84771648880195,23.219765004411432,0.0,0,boundary,,,first_hour,
46092,216.4915929864908,402.6905105817923,-30.966493371951756,46092,49.57060664009183,74.45207609772588,-4.5992474329346615,46092,216.28880433182042,407.38364097669034,-30.966493371951692,46092,49.749735165272,75.15905802743966,-4.59924743293465,-0.20278865467037122,6.394884621840902e-14,0.1791285251801682,1.1546319456101628e-14,0.789876768202725,6.927606444442256,56.01625119538425,44.489397318007335,49.08864475094199,0.7903974659376899,7.00486202688144,56.898648174922016,45.29453871510593,49.89378614804057,0.8051413970985806,0,boundary,,,interior,
334,0.0,0.0,0.0,334,27.173558851387416,38.276300049451855,1.1398514943331,334,0.0,0.0,0.0,334,27.173558851387416,38.276300049451855,1.1398514943331,0.0,0.0,0.0,0.0,0.7874251497005988,5.312773602853223,30.68699527928182,26.51407317076169,25.374221676428593,0.7874251497005988,5.312773602853223,30.68699527928182,26.51407317076169,25.374221676428593,0.0,0,boundary,,,midnight_tail,
2143,10.448008648312335,49.2934724341795,10.434683216674443,2143,18.634475455012875,23.76332826438515,-2.9926799007157845,2143,5.426944847977926,29.23598241724357,5.413619416340034,2143,18.17095631557026,23.06089657454061,-3.8295238674381844,-5.021063800334409,-5.021063800334409,-0.46351913944261725,-0.8368439667223999,0.8068128791413905,2.4951213350204724,23.347144560898098,17.859343325161838,20.852023225877623,0.8124125058329444,2.3729271297765897,23.519379859672092,17.316928862457317,21.146452729895504,0.2944295040178808,0,month_x_is_generation,2025-02,,,False
1889,370.36405128815943,495.07460732539226,-154.00380531145228,1889,67.03366871681315,89.0440999557595,-33.403051905624004,1889,367.6675231317056,494.97373459487204,-148.30759582277213,1889,67.15099550955303,88.95793270707715,-32.453683657510645,-2.6965281564538373,5.696209488680154,0.11732679273987401,0.949368248113359,0.8178930651138169,5.599185186461264,82.40294099188428,43.40070389979902,76.80375580542302,0.8157755426151403,5.881599690244841,83.42356894245131,45.08828559469581,77.54196925220646,0.7382134467834334,0,month_x_is_generation,2025-02,,,True
2202,3.765942381925522,23.33706440243207,3.752842109445958,2202,18.300294190842095,23.09741038173995,5.297160700151144,2202,1.412906608902864,9.3756634878253,1.399473119693352,2202,18.2402671365399,22.958783496140438,4.904932535192376,-2.3530357730226585,-2.3533689897526058,-0.06002705430219635,-0.3922281649587678,0.7470481380563124,3.593764957458971,18.891595246785734,20.59499098947791,15.297830289326763,0.7484105358764759,3.5377412044728564,18.985810355314907,20.353001686034432,15.448069150842056,0.15023886151529275,0,month_x_is_generation,2025-03,,,False
2262,436.8148894378131,591.9453873993492,-155.32256888815206,2262,73.06612522633657,98.66005904589309,-24.750279624482936,2262,435.8982568681342,594.0573933176793,-153.03162347902935,2262,72.78679727585667,98.8900705697994,-24.368455389629148,-0.9166325696789386,2.2909454091227133,-0.279327950479896,0.3818242348537879,0.7763041556145004,10.257619168324183,75.90492172456035,40.89702293175322,65.64730255623617,0.7789566755083996,10.58755694739374,77.70993784877302,42.75392551175014,67.12238090137929,1.4750783451431175,0,month_x_is_generation,2025-03,,,True
1961,11.933906306306307,49.87343236122338,11.918177596464389,1961,18.104600372288466,23.05913376075155,5.652612594849026,1961,6.397329935493226,30.129458809247442,6.381601225651309,1961,17.43011934346122,21.833121225481072,4.72984986638018,-5.536576370813081,-5.53657637081308,-0.6744810288272447,-0.9227627284688458,0.7990821009688934,2.518125324129012,21.011247086346515,24.14573435706653,18.493121762217502,0.8052014278429372,2.328322674934311,21.25436984390145,23.655897035347316,18.926047168967138,0.43292540674963575,0,month_x_is_generation,2025-04,,,False
2359,400.37522005086896,537.8675710698366,-22.72817811219444,2359,68.99317872815521,90.97874835278077,2.9832526652874183,2359,403.74228679599963,548.4410688506916,-18.125708310089834,2359,69.63520275828516,92.83019722315643,3.7503309656381827,3.3670667451306713,4.602469802104604,0.6420240301299458,0.7670783003507644,0.7253073336159389,13.27342773541213,66.9726163502038,56.68244128007908,53.699188614791666,0.7214921576939382,13.47025480263473,68.27053458935579,58.55061075235925,54.80027978672107,1.1010911719294043,0,month_x_is_generation,2025-04,,,True
1871,3.708329966150009,23.526903412400653,3.688816230179939,1871,25.16886683077807,33.141735399225894,8.733268359661835,1871,1.0483210456541627,8.148565189070778,1.028807309684093,1871,24.869434424429528,32.817870922829584,8.289933539579195,-2.660008920495846,-2.660008920495846,-0.2994324063485436,-0.44333482008264014,0.7616247995724211,5.565270230254038,27.036422273769283,30.20442040317708,21.47115204351525,0.7626937466595404,5.5405085144839115,27.103769885459386,29.85319491055467,21.563261370975475,0.09210932746022493,0,month_x_is_generation,2025-05,,,False
2593,346.08795660110553,470.72098373254823,21.2392535415863,2593,61.2544390999588,81.43236268536877,6.650647460272424,2593,348.7380752380755,481.01045518120367,23.15860436698087,2593,61.38783207579032,82.80117741149,6.970539264504848,2.650118636969978,1.9193508253945701,0.13339297583151932,0.3198918042324239,0.8198997300424219,7.63581991529825,77.50774780398434,76.52257534895851,69.8719278886861,0.8164288468954879,7.786808434927358,78.86899129599516,78.05272212557264,71.08218286106779,1.2102549723816907,0,month_x_is_generation,2025-05,,,True
1734,0.7931942233756247,7.045795902722433,0.7844343713956171,1734,29.801583335362746,38.15128078012326,6.084848328820935,1734,0.24904393014056095,1.543663650263774,0.2350890494365726,1734,29.823083185319803,38.14939268879911,5.9932907751610935,-0.5441502932350638,-0.5493453219590445,0.021499849957056227,-0.09155755365984142,0.7877739331026529,5.272651700877539,35.67094278320277,36.483139411146155,30.398291082325226,0.7877739331026529,5.272161996103202,35.67312107827211,36.394249857329996,30.400959082168907,0.002667999843680491,0,month_x_is_generation,2025-06,,,False
2586,345.50626124645527,486.98194551382176,-52.53374512761023,2586,61.981258863532425,84.15586541718449,-8.141285009815448,2586,352.5917087904015,497.6064361361681,-52.16539060778142,2586,63.251821614213355,85.82454417406764,-8.079892589843983,7.085447543946259,0.36835451982881295,1.2705627506809307,0.06139241997146527,0.8132250580046404,7.949235550768092,78.23534301673611,62.14482245615256,70.286107465968,0.8151585460170147,8.061326920722877,80.32193353753634,64.1807140269695,72.26060661681348,1.9744991508454746,0,month_x_is_generation,2025-06,,,True
1845,2.1165145663956637,16.379882599694003,2.0981013595302622,1845,34.63813927748966,44.31654404864052,2.806844558833493,1845,0.5057120779625199,4.963053061747436,0.48727124922673254,1845,34.536675054065626,44.22949494893497,2.538372873782904,-1.6108024884331438,-1.6108301103035296,-0.10146422342403127,-0.26847168505058905,0.7956639566395663,6.318918377769036,41.52694903963496,38.014875220699416,35.20803066186592,0.7956639566395663,6.319715410355228,41.50758870155487,37.72624616498255,35.187873291199644,-0.020157370666275654,0,month_x_is_generation,2025-07,,,False
2619,367.72783716113025,511.73540349509085,7.593465594374439,2619,73.46375959452779,98.6106379870844,3.9994763520959853,2619,371.89967054594473,523.4619135035239,8.7282428198461,2619,74.15101716638928,100.26899699288133,4.188605889674598,4.171833384814477,1.1347772254716615,0.6872575718614939,0.18912953757861262,0.7739595265368461,11.356762235536358,85.01703688324169,77.65975099980132,73.66027464770534,0.7724322260404735,11.505228594771296,86.3577771224032,79.0411544173065,74.85254852763191,1.1922738799265744,0,month_x_is_generation,2025-07,,,True
1960,10.419588966836734,48.688314113440875,10.402953762755102,1960,27.372484090441155,34.71100232357533,-10.725927669886863,1960,4.840175995374292,26.61963728305019,4.823540791292659,1960,27.099886245023498,34.34279662260812,-11.655829831797268,-5.5794129714624425,-5.5794129714624425,-0.27259784541765697,-0.9299021619104053,0.8010204081632653,3.6032894448831607,32.386987657350396,18.057770542580375,28.783698212467236,0.798469387755102,3.637130829821674,32.159567016352874,16.866606354733932,28.522436186531202,-0.2612620259360341,0,month_x_is_generation,2025-08,,,False
2504,468.7346236721247,679.7590955238629,-155.58615865615016,2504,84.83186129826976,122.4243178354038,-37.76160199046147,2504,466.8697558237015,684.2445375945437,-151.2188865219382,2504,85.39675711824547,123.07506334988592,-37.03372330142615,-1.8648678484232164,4.367272134211959,0.5648958199757175,0.7278786890353217,0.8134984025559105,8.388300616052883,96.59487965201338,50.44497704549903,88.20657903596049,0.8182907348242812,8.712511168914626,98.68316258230823,52.936928111967454,89.9706514133936,1.7640723774331093,0,month_x_is_generation,2025-08,,,True
2064,5.723062423288114,28.128476640812103,5.710682093830749,2064,36.73089785374575,49.18569800164258,-16.614966788892886,2064,3.0975641529287405,17.96396955870256,3.084536804655668,2064,36.74697802431716,49.22581043114316,-17.05265767042207,-2.625498270359374,-2.626145289175081,0.016080170571406427,-0.43769088152918556,0.7635658914728682,5.2394200624133145,39.133826340886394,17.27943948958019,33.89440627847308,0.7601744186046512,5.335179846385947,38.42290274694594,16.035065230137914,33.08772290055998,-0.806683377913096,0,month_x_is_generation,2025-09,,,False
2256,434.966538885195,588.9435108400512,-4.915513094710411,2256,84.94125444120499,111.80183313184861,-9.286954505604621,2256,443.60820773135043,602.9001372083042,-2.512869532273558,2256,86.46836130728704,113.87072721310896,-8.886513911865144,8.641668846155426,2.402643562436853,1.5271068660820504,0.4004405937394768,0.7526595744680851,14.572941617907322,78.45994598835287,54.600049864840926,63.88700437044556,0.7593085106382979,14.547831129348307,80.83857233368029,57.40422729246686,66.290741204332,2.403736833886434,0,month_x_is_generation,2025-09,,,True
2310,9.168435205627706,49.62854772701712,9.15113286796537,2310,20.69839690408679,26.96582020432258,5.1777258104769395,2310,4.174755464270331,26.69461014484887,4.157453126607993,2310,20.021770975937304,25.731724447675603,4.345445853584043,-4.993679741357375,-4.993679741357377,-0.676625928149484,-0.8322799568928962,0.7818181818181819,2.859541541443685,22.625118681611486,24.943302950644735,19.7655771401678,0.7792207792207793,2.912054562703309,22.329150396764888,23.762541687645623,19.417095834061577,-0.34848130610622263,0,month_x_is_generation,2025-10,,,False
2154,512.0600997949551,690.2271832326755,-187.14124198003714,2154,84.9797816976107,113.71554616489902,-24.49547371440714,2154,503.67691943991844,686.5586519973125,-181.78590298164545,2154,84.02317239125254,113.33223870449234,-23.60291721467519,-8.3831803550367,5.355338998391687,-0.9566093063581604,0.8925564997319491,0.7938718662952646,9.782862107096559,98.08695322257954,63.80861740107584,88.30409111548298,0.7934076137418756,9.951981707700732,99.84880286520455,66.29390394282863,89.89682115750381,1.5927300420208326,0,month_x_is_generation,2025-10,,,True
2381,8.64272338303234,37.53199431197932,8.634811329273415,2381,17.94569136279651,22.669951917071913,6.877065397908254,2381,4.925122478137186,24.309648516118614,4.917210424378261,2381,17.54825917801719,21.994124177877485,6.257465247092396,-3.7176009048951544,-3.7176009048951535,-0.3974321847793192,-0.6196001508158577,0.8168836623267535,2.0707539079345194,22.283891082569514,27.09020257254325,20.213137174634994,0.8143637127257455,2.1340406232925457,21.646860392581814,25.77028501638166,19.512819769289266,-0.7003174053457286,0,month_x_is_generation,2025-11,,,False
1939,327.1734555397971,428.1858516423714,-4.976850838060852,1939,57.76026819614178,74.31487726219092,3.3235814901817284,1939,332.82511132999656,438.0424795752663,-0.41181331637155133,1939,58.805697276956145,76.00091316373374,4.084421077129945,5.65165579019947,4.5650375216893,1.0454290808143654,0.7608395869482165,0.7993811242908716,6.664451027571957,63.8166973849659,60.47582784757568,57.15224635739394,0.8045384218669417,6.531030144731599,66.31716270735308,63.87055363975143,59.78613256262148,2.6338862052275402,0,month_x_is_generation,2025-11,,,True
2553,1.3715449503851678,11.85805884779845,1.3548267365191276,2553,23.134703694820278,30.10488102074715,5.764659546581627,2553,0.4111088905379635,2.9809505644934746,0.3924701223091864,2553,23.042492147108675,29.986770282586754,5.604266777546638,-0.9604360598472043,-0.9623566142099411,-0.092211547711603,-0.16039276903498934,0.7974931453192323,3.965807618398441,27.72143823542229,29.520290163605473,23.755630617023844,0.7951429690560126,4.027815005318355,27.53598093387424,29.112432706102524,23.50816592855588,-0.24746468846796432,0,month_x_is_generation,2025-12,,,False
1911,291.066265406419,404.52736395218875,-0.30447098813885043,1911,57.510516392915584,77.89048077227058,10.729628219808392,1911,302.01037353440955,416.8687308022192,0.9811891040004318,1911,59.236576406875486,79.84767451055657,10.943904901831601,10.944108127990546,1.2856600921392822,1.726060013959902,0.21427668202320937,0.826792255363684,7.8384624149473066,67.71728346274003,70.60844926760112,59.87882104779271,0.8288854003139717,7.83565967276117,69.47692524458226,72.5851704736527,61.64126557182109,1.7624445240283748,0,month_x_is_generation,2025-12,,,True
36406,176.416150727902,287.0729960170568,-15.307375789704999,36406,41.93605379343894,57.38484061599795,-1.9875358571527009,36406,182.5325350943801,293.25640600248516,-6.943137845410036,36406,42.771821585490784,58.268557328915364,-0.5934961997702062,6.1163843664781155,8.364237944294963,0.8357677920518469,1.3940396573824947,0.7862989617096083,6.172243125216094,46.04196571898338,37.882186736614585,39.869722593767285,0.7881393176948854,6.24695769069328,46.66574138935799,39.825287498894504,40.418783698664704,0.5490611048974188,6,overall,,,,
3052,162.4225792758847,258.2075313095962,-7.883522509829623,3052,34.81276412066138,48.737143383570555,-6.543326531120973,3052,165.31606167171267,260.5330437746649,0.4794542431193114,3052,35.15351675705948,48.75582733211433,-5.1494970722961515,2.893482395827988,8.362976752948935,0.3407526363981006,1.393829458824822,0.7637614678899083,5.000528658809012,34.44498620943117,22.90113101950119,29.444457550622165,0.7650720838794234,5.111749300821159,34.60783397330814,24.346587600190826,29.496084672486976,0.05162712186481144,6,month,2025-02,,,
3379,181.58666402288642,291.30053521722436,31.39439032258064,3379,37.72182096700466,52.00852662081325,8.179767274661568,3379,191.52315043496924,303.88560589352306,40.406099918615034,3379,38.93881656631576,53.768091941183116,9.681718874000632,9.936486412082814,9.011709596034393,1.2169955993110975,1.5019515993390637,0.7555489789878662,6.966346166904821,37.162972796620274,38.376393904377025,30.196626629715453,0.7576205978100029,7.164514233716744,37.617630494491394,40.13483513477529,30.45311626077465,0.2564896310591962,6,month,2025-03,,,
3270,176.3825389551478,270.7040839878176,-4.964466116207974,3270,37.18793447243268,49.98845959737769,4.133153290276897,3270,179.57632276903956,275.1905439661802,3.3890165061162736,3270,38.04691738501547,50.99483631050339,5.525400393997607,3.19378381389177,8.353482622324247,0.858982912582789,1.3922471037207105,0.8024464831804281,4.674616008941257,43.145901595942895,42.60443887727854,38.471285587001645,0.8042813455657493,4.728811483109098,43.537702673571914,44.33429158446042,38.80889119046282,0.33760560346117785,6,month,2025-04,,,
3379,198.79009888527182,314.6123098085793,-79.53895963302752,3379,45.39474661501542,60.10220374099042,-6.595810188644595,3379,200.73210166117534,314.54249731230084,-71.50364651524113,3379,45.276913313865904,59.69172474411674,-5.256591335680195,1.9420027759035179,8.035313117786387,-0.11783330114951696,1.3392188529644002,0.8132583604616751,5.52291845484298,56.33702944637116,44.21830080288358,50.81411099152819,0.8126664693696359,5.614308015443926,57.03024944147289,46.15935009034877,51.415941426028965,0.6018304345007763,6,month,2025-05,,,
3270,175.58257296636083,282.90127568159704,-20.724800458715606,3270,43.07187302243049,57.06733566426352,-0.9374075217806401,3270,183.88947952894372,290.96586703725455,-14.283186047400536,3270,43.678019558140086,58.09723689381511,0.13619488010520564,8.306906562582896,6.44161441131507,0.6061465357095983,1.0736024018858457,0.7807339449541284,7.885796448605866,49.04595672691418,40.22275275652767,41.16016027830831,0.7819571865443425,7.883371296843272,49.85477893812223,42.10760252138417,41.97140764127896,0.8112473629706471,6,month,2025-06,,,
3379,179.84340327513073,305.46016980455477,-21.273117372003565,3379,49.31614664808335,66.76432251192911,-1.8844953699614502,3379,188.2777367813923,313.5528500751935,-13.625934640426127,3379,50.14229553610146,67.90652154016581,-0.6099649146985434,8.434333506261567,7.647182731577438,0.8261488880181105,1.2745304552629069,0.789878662326132,8.475717867072422,57.17001104874688,46.809797811713004,48.69429318167445,0.7904705534181711,8.594222463538742,58.16050349321205,48.956316114974754,49.5662810296733,0.8719878479988452,6,month,2025-07,,,
3379,206.16286022985105,319.47482339194784,-24.26501177863273,3379,47.27679221206959,64.07438919056153,-15.810091685107176,3379,209.7047304386606,325.32437736222255,-15.261778736312452,3379,47.91810869050541,64.60039533445438,-14.309552844720463,3.5418702088095415,9.003233042320277,0.6413164784358258,1.5005388403867137,0.7866232613199171,6.800658471693182,51.86610874188081,29.25535858508045,45.065450270187625,0.7886948801420539,6.971468736432619,52.396178920055064,31.11515733890198,45.42471018362244,0.359259913434812,6,month,2025-08,,,
3270,201.06790790519878,324.52598723842596,-25.39570795107035,3270,55.510396211658815,73.48169976490347,-16.922893291653512,3270,211.52970959044745,332.40767778783555,-15.61058423547395,3270,56.94961739586283,74.56162020874918,-15.29203933905411,10.461801685248673,9.785123715596399,1.4392211842040155,1.6308539525994021,0.7694189602446483,7.709763001057944,55.3313879266262,30.69873163391475,47.62162492556826,0.7709480122324159,7.655421883599843,56.249648153190684,33.302186930536735,48.59422626959084,0.9726013440225785,6,month,2025-09,,,
3379,191.34277799151621,310.82342272049954,31.078728410772417,3379,41.72993677428732,57.128137907332416,9.466687551789681,3379,196.96865484568116,318.6727483674817,40.94234650784264,3379,43.09538414863716,58.74154440149481,11.110623901301384,5.625876854164943,9.863618097070226,1.3654473743498414,1.6439363495117032,0.7582124889020421,6.183645650045125,39.02610596427147,42.309147866016026,32.842460314226344,0.7623557265463154,6.242273374817887,39.8464571609695,44.714807687453,33.604183786151616,0.7617234719252721,6,month,2025-10,,,
3270,154.20805095310905,251.4083374900419,-30.889465810397553,3270,34.77459856835279,47.174858740279895,0.2466687521658151,3270,158.53358870168134,253.6508775350972,-22.17834132262991,3270,35.414772185741874,47.56519045035434,1.6985228334604223,4.3255377485722875,8.711124487767641,0.6401736173890811,1.4518540812946072,0.8336391437308869,2.9923850479367338,45.12646858741642,42.38075229164551,42.13408353947968,0.8391437308868501,3.0054213984748324,45.69132580799496,44.384427242980536,42.68590440952012,0.5518208700404372,6,month,2025-11,,,
