区域,年份,增长系数,基期原始最大负荷率_raw,基期原始最大负荷率_pct,原始峰时风险率_raw,原始峰时风险率_pct,原始风险等级,基期调度后最大负荷率_raw,基期调度后最大负荷率_pct,调度后峰时风险率_raw,调度后峰时风险率_pct,调度后风险等级,TOU缓解量_raw,TOU缓解量_pct,调度后容量裕度_raw,调度后容量裕度_pct,首次原始预警年,首次原始过载年,首次调度后预警年,首次调度后过载年
6,2027,1.3225,0.3656360241,36.56360241,0.4835536419,48.35536419,安全,0.3113787171,31.13787171,0.4117983534,41.17983534,安全,0.07175528851,7.175528851,0.5882016466,58.82016466,无,无,无,无
6,2028,1.520875,0.3656360241,36.56360241,0.5560866882,55.60866882,安全,0.3113787171,31.13787171,0.4735681064,47.35681064,安全,0.08251858178,8.251858178,0.5264318936,52.64318936,无,无,无,无
7,2026,1.15,0.3030983386,30.30983386,0.3485630894,34.85630894,安全,0.3030983386,30.30983386,0.3485630894,34.85630894,安全,0,0,0.6514369106,65.14369106,无,无,无,无
7,2027,1.3225,0.3030983386,30.30983386,0.4008475528,40.08475528,安全,0.3030983386,30.30983386,0.4008475528,40.08475528,安全,0,0,0.5991524472,59.91524472,无,无,无,无
7,2028,1.520875,0.3030983386,30.30983386,0.4609746857,46.09746857,安全,0.3030983386,30.30983386,0.4609746857,46.09746857,安全,0,0,0.5390253143,53.90253143,无,无,无,无
8,2026,1.15,0.2631753397,26.31753397,0.3026516407,30.26516407,安全,0.2631753397,26.31753397,0.3026516407,30.26516407,安全,0,0,0.6973483593,69.73483593,无,无,无,无
8,2027,1.3225,0.2631753397,26.31753397,0.3480493868,34.80493868,安全,0.2631753397,26.31753397,0.3480493868,34.80493868,安全,0,0,0.6519506132,65.19506132,无,无,无,无
8,2028,1.520875,0.2631753397,26.31753397,0.4002567948,40.02567948,安全,0.2631753397,26.31753397,0.4002567948,40.02567948,安全,0,0,0.5997432052,59.97432052,无,无,无,无
9,2026,1.15,0.9447459299,94.47459299,1.086457819,108.6457819,过载风险,0.9447459299,94.47459299,1.086457819,108.6457819,过载风险,0,0,-0.08645781938,-8.645781938,2026,2026,2026,2026
9,2027,1.3225,0.9447459299,94.47459299,1.249426492,124.9426492,过载风险,0.9447459299,94.47459299,1.249426492,124.9426492,过载风险,0,0,-0.2494264923,-24.94264923,2026,2026,2026,2026
9,2028,1.520875,0.9447459299,94.47459299,1.436840466,143.6840466,过载风险,0.9447459299,94.47459299,1.436840466,143.6840466,过载风险,0,0,-0.4368404661,-43.68404661,2026,2026,2026,2026
10,2026,1.15,0.2831158561,28.31158561,0.3255832345,32.55832345,安全,0.2831158561,28.31158561,0.3255832345,32.55832345,安全,0,0,0.6744167655,67.44167655,无,无,无,无
10,2027,1.3225,0.2831158561,28.31158561,0.3744207197,37.44207197,安全,0.2831158561,28.31158561,0.3744207197,37.44207197,安全,0,0,0.6255792803,62.55792803,无,无,无,无
10,2028,1.520875,0.2831158561,28.31158561,0.4305838276,43.05838276,安全,0.2831158561,28.31158561,0.4305838276,43.05838276,安全,0,0,0.5694161724,56.94161724,无,无,无,无
