供应商ID,材料类别,第1周,第2周,第3周,第4周,第5周,第6周,第7周,第8周,第9周,第10周,第11周,第12周,第13周,第14周,第15周,第16周,第17周,第18周,第19周,第20周,第21周,第22周,第23周,第24周,周均供货量
S294,C,75,76,79,80,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,82.0
S175,B,0,3,0,0,0,0,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,0,0,1.9
S221,A,0,0,0,0,4,0,0,0,0,0,4,4,4,4,4,4,4,0,4,4,0,4,4,4,2.2
S080,C,86,74,90,76,90,76,90,76,90,77,90,77,90,77,90,77,90,77,90,77,90,77,89,77,83.0
S237,A,3,0,0,3,0,3,0,3,0,3,0,3,3,0,3,3,0,0,3,3,0,3,3,0,1.6
S367,B,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116.0
S213,C,2,0,0,0,2,2,2,2,0,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,1.4
S114,A,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45.0
S005,A,68,0,0,0,0,0,0,68,0,0,68,68,68,68,68,68,0,0,68,68,0,68,0,68,34.0
S244,C,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77.0
S346,B,94,100,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101.6
S169,B,4,0,0,4,0,4,0,4,0,4,0,4,4,0,4,0,0,0,4,4,0,4,4,4,2.2
S076,C,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1.8
