target,day_index,date,chosen_lambda,score_days,score_first_day,score_last_day,trained,reason,tied_lambdas,score_lambda_0.001,score_lambda_0.01,score_lambda_0.1,score_lambda_1,score_lambda_10
load,56,2025-02-26,0.1,14,42.0,55.0,True,,0.1,20653.43548893742,20570.42613941004,20011.995567360038,20377.326935494802,25301.449631235962
load,57,2025-02-27,0.1,14,43.0,56.0,True,,0.1,19718.70039402203,19661.36799697305,19340.08182871799,20530.167045344602,25678.629876062776
load,58,2025-02-28,0.1,14,44.0,57.0,True,,0.1,18713.616013916653,18666.766579554238,18452.80864980182,20029.477533545753,25180.742024061143
load,59,2025-03-01,0.1,14,45.0,58.0,True,,0.1,18168.046257636113,18124.871737969086,17965.14844760481,19812.596397279864,25032.745845203848
load,60,2025-03-02,0.1,14,46.0,59.0,True,,0.1,19875.354124168916,19841.63355158813,19752.914898962146,21841.926739270024,27054.452225016415
load,61,2025-03-03,0.01,14,47.0,60.0,True,,0.01,20541.65827151125,20530.280602369607,20582.26278813319,23153.118335754752,29006.161070095197
load,62,2025-03-04,0.001,14,48.0,61.0,True,,0.001,21566.543756807303,21572.803460960728,21717.37893603884,24431.357651530772,30425.905781058
load,63,2025-03-05,0.001,14,49.0,62.0,True,,0.001,22084.84176514544,22101.12757540884,22320.647513490094,25387.655466244818,31857.08328723944
load,64,2025-03-06,0.001,14,50.0,63.0,True,,0.001,22359.597009286055,22386.496253853584,22689.8616499979,26146.03437561528,33084.81641076477
load,65,2025-03-07,0.001,14,51.0,64.0,True,,0.001,23034.159255136077,23073.092412545036,23485.895996351253,27394.623646169384,34715.34674186373
load,66,2025-03-08,0.001,14,52.0,65.0,True,,0.001,23802.102635088035,23859.26977613107,24406.60277607722,28946.54131831005,36872.83358215427
load,67,2025-03-09,0.001,14,53.0,66.0,True,,0.001,23822.655934805916,23875.153782840684,24377.238331585995,28778.90328646241,36685.42445683148
load,68,2025-03-10,0.001,14,54.0,67.0,True,,0.001,24072.892096481348,24125.91664746964,24583.527078619518,28749.81083329305,36665.11264801226
load,69,2025-03-11,0.001,14,55.0,68.0,True,,0.001,24552.03141635921,24605.892884487148,25064.472452752234,29292.531805620518,37425.75881745387
load,70,2025-03-12,0.001,14,56.0,69.0,True,,0.001,24822.98198611255,24873.743567173748,25269.61088289846,29201.15865206975,37215.592514250835
load,71,2025-03-13,0.001,14,57.0,70.0,True,,0.001,24852.855034013333,24896.438820784,25238.83479986276,28981.915993067298,36932.995281843825
load,72,2025-03-14,0.001,14,58.0,71.0,True,,0.001,25208.143038335773,25248.149187614454,25561.235913260676,29249.262151273666,37340.89315511737
load,73,2025-03-15,0.001,14,59.0,72.0,True,,0.001,25581.025321867193,25626.88330881194,25918.76430067122,29376.481456943027,37528.44814243855
load,74,2025-03-16,0.001,14,60.0,73.0,True,,0.001,23920.976182944076,23957.10422438154,24151.188868809542,27095.326523484582,34830.369196923864
load,75,2025-03-17,0.001,14,61.0,74.0,True,,0.001,22888.420729445676,22913.399653887136,23055.98230013717,25792.96856780877,33050.52177593924
load,76,2025-03-18,0.001,14,62.0,75.0,True,,0.001,21731.421432560022,21758.64969079451,21938.131460527675,24846.221336054787,32119.65431695337
load,77,2025-03-19,0.001,14,63.0,76.0,True,,0.001,20994.793650261505,21016.335891255803,21153.844824286844,23806.41528864558,30622.916948169346
load,78,2025-03-20,0.001,14,64.0,77.0,True,,0.001,20507.584560047962,20521.813416699224,20592.61035850874,22850.976350127556,29068.549696834332
load,79,2025-03-21,0.001,14,65.0,78.0,True,,0.001,19574.424772540042,19582.825423524842,19608.557282773145,21622.603629319987,27422.2416720064
load,80,2025-03-22,0.1,14,66.0,79.0,True,,0.1,18392.993594804728,18384.07047210677,18290.785895482342,19792.215600351377,25090.730671345154
load,81,2025-03-23,0.1,14,67.0,80.0,True,,0.1,18115.10811353699,18103.575286547006,18012.546384893958,19539.760465547144,24758.64499447981
load,82,2025-03-24,0.1,14,68.0,81.0,True,,0.1,17833.15089124714,17823.0330458415,17771.249223905907,19448.881096901925,24567.967076192108
load,83,2025-03-25,0.1,14,69.0,82.0,True,,0.1,17490.920275793836,17477.83431331826,17420.317156350877,19031.892036828158,23967.93694318845
load,84,2025-03-26,0.1,14,70.0,83.0,True,,0.1,17604.07966636327,17591.04817053539,17583.316649731543,19499.194984620914,24566.834017612706
load,85,2025-03-27,0.01,14,71.0,84.0,True,,0.01,17333.99916086848,17322.933497212434,17329.323342640997,19304.443472192845,24360.160543972404
load,86,2025-03-28,0.1,14,72.0,85.0,True,,0.1,17421.606716754843,17408.780228466134,17405.607394816,19358.60517614431,24283.14955836044
load,87,2025-03-29,0.1,14,73.0,86.0,True,,0.1,17416.82868310353,17397.16281858939,17396.138331460093,19549.0544056519,24368.32221628555
load,88,2025-03-30,0.1,14,74.0,87.0,True,,0.1,17634.026756008676,17598.4861872566,17495.440159997586,19475.808579852583,24277.255564201238
load,89,2025-03-31,0.1,14,75.0,88.0,True,,0.1,18653.04726440635,18611.885236445578,18426.12238948521,20036.187646496357,24494.976667896335
load,90,2025-04-01,0.1,14,76.0,89.0,True,,0.1,18649.674719738716,18597.03203816988,18315.900593147897,19607.206207345167,23807.91851367275
load,91,2025-04-02,0.1,14,77.0,90.0,True,,0.1,19547.756905695038,19481.613862203874,19094.09628437736,20084.176933189745,24146.706572768926
load,92,2025-04-03,0.1,14,78.0,91.0,True,,0.1,20049.73652691362,19975.705100125826,19527.869686769423,20346.35337668031,24335.23872372457
load,93,2025-04-04,0.1,14,79.0,92.0,True,,0.1,20358.781090392193,20277.834964957183,19766.59223227914,20416.008940998683,24362.78833603461
load,94,2025-04-05,0.1,14,80.0,93.0,True,,0.1,20439.524599837714,20359.250994200152,19829.03214423153,20443.03480532831,24378.721028252647
load,95,2025-04-06,0.1,14,81.0,94.0,True,,0.1,21016.970328522515,20939.12220598554,20405.95186175272,20960.128833546783,24828.064150969334
load,96,2025-04-07,0.1,14,82.0,95.0,True,,0.1,20956.685566084223,20878.879980896705,20331.75934715812,20901.162205790097,24913.066976944312
load,97,2025-04-08,0.1,14,83.0,96.0,True,,0.1,21292.25869453935,21213.145946776043,20625.767089623336,21038.763523987178,24938.596787841598
load,98,2025-04-09,0.1,14,84.0,97.0,True,,0.1,20785.45376018305,20704.56679177315,20090.34417353209,20429.11887776255,24322.277039235796
load,99,2025-04-10,0.1,14,85.0,98.0,True,,0.1,21066.455264972636,20981.168094775203,20330.455377509592,20565.08661014882,24375.152614690207
load,100,2025-04-11,0.1,14,86.0,99.0,True,,0.1,21125.542563276744,21035.775496342216,20346.83601132101,20445.50104375032,24170.411546336196
load,101,2025-04-12,1.0,14,87.0,100.0,True,,1,21481.89642600077,21386.688793943275,20646.121200637,20538.888042379283,24144.616610308098
load,102,2025-04-13,0.1,14,88.0,101.0,True,,0.1,21291.141417912495,21206.36284996584,20543.968267005705,20642.304198668702,24308.191804320115
load,103,2025-04-14,0.1,14,89.0,102.0,True,,0.1,20676.449357429898,20597.513386285787,19988.919415271506,20290.469630668224,24064.46126206302
load,104,2025-04-15,0.1,14,90.0,103.0,True,,0.1,21118.051839371088,21040.634354921243,20437.52973458499,20729.957336476076,24485.72467986078
load,105,2025-04-16,0.1,14,91.0,104.0,True,,0.1,20157.259774085163,20088.590703534792,19566.787188389448,20100.370567399536,23908.60078284235
load,106,2025-04-17,0.1,14,92.0,105.0,True,,0.1,19921.659655723724,19855.904622382674,19358.361520520237,19959.59800741646,23763.804822213897
load,107,2025-04-18,0.1,14,93.0,106.0,True,,0.1,19301.526454902167,19235.830879420504,18742.39089951487,19328.449351391315,23070.69197907811
load,108,2025-04-19,0.1,14,94.0,107.0,True,,0.1,19230.50996488645,19169.011335357787,18708.138399587988,19362.640290201543,23093.472895719548
load,109,2025-04-20,0.1,14,95.0,108.0,True,,0.1,19189.100113511624,19126.20781554951,18655.549320159887,19300.93845612527,23101.962929983813
load,110,2025-04-21,0.1,14,96.0,109.0,True,,0.1,19301.208268702547,19242.945185762186,18804.218870232984,19519.60357558266,23345.36017539331
load,111,2025-04-22,0.1,14,97.0,110.0,True,,0.1,19495.05649745637,19441.703222393673,19037.4049235408,19836.793198529303,23719.81532683259
load,112,2025-04-23,0.1,14,98.0,111.0,True,,0.1,19797.76977275769,19744.752142387973,19347.689845841756,20120.503971213355,23948.599766311534
load,113,2025-04-24,0.1,14,99.0,112.0,True,,0.1,19897.808470923763,19845.51532241134,19466.562211652086,20282.262727097415,24096.26052770433
load,114,2025-04-25,0.1,14,100.0,113.0,True,,0.1,19446.869326958844,19395.867535866473,19036.041870799276,19881.097581931754,23628.88462951743
load,115,2025-04-26,0.1,14,101.0,114.0,True,,0.1,18639.15679844622,18601.916072000826,18338.756315944767,19424.91651478176,23269.854915347518
load,116,2025-04-27,0.1,14,102.0,115.0,True,,0.1,18806.942975665243,18769.566051827424,18517.300203663795,19683.692388420382,23642.590125370898
load,117,2025-04-28,0.1,14,103.0,116.0,True,,0.1,18760.488384518852,18721.601053548224,18468.763985301433,19668.55091765614,23664.750682145957
load,118,2025-04-29,0.1,14,104.0,117.0,True,,0.1,18163.85298045176,18131.326817752124,17942.65430278476,19377.617110833246,23553.033550968987
load,119,2025-04-30,0.1,14,105.0,118.0,True,,0.1,18141.701923446566,18104.911970258698,17875.529467221164,19158.810118379657,23282.99180257605
load,120,2025-05-01,0.1,14,106.0,119.0,True,,0.1,18038.393050174156,18000.48651711785,17784.053548023996,19191.243462399714,23469.68782779962
load,121,2025-05-02,0.1,14,107.0,120.0,True,,0.1,22416.296562187355,22390.442384843478,22264.983342730222,23917.7344750022,28202.750853370948
load,122,2025-05-03,0.1,14,108.0,121.0,True,,0.1,24569.47565635389,24544.037042029748,24455.95893816077,26305.60672547245,30688.37706204574
load,123,2025-05-04,0.01,14,109.0,122.0,True,,0.01,26398.47448211793,26388.74861604205,26455.037251007077,28945.68200398011,33746.04912745153
load,124,2025-05-05,0.001,14,110.0,123.0,True,,0.001,28517.0885786779,28530.88186453537,28792.199137801363,32019.04566261118,37335.12027598509
load,125,2025-05-06,0.001,14,111.0,124.0,True,,0.001,29434.591755988808,29462.41331384308,29874.78548477095,33910.114124047,40117.91328506656
load,126,2025-05-07,0.001,14,112.0,125.0,True,,0.001,30831.066844078374,30876.800152648102,31447.471440206726,36283.95123849645,43347.71644166872
load,127,2025-05-08,0.001,14,113.0,126.0,True,,0.001,31695.24439986397,31755.558557491564,32450.001342369767,38032.15377691748,46142.236020065255
load,128,2025-05-09,0.001,14,114.0,127.0,True,,0.001,33062.74006524564,33128.19419302958,33860.2291411503,39700.48324826748,48257.76080132051
load,129,2025-05-10,0.001,14,115.0,128.0,True,,0.001,34303.96154327699,34350.15129338643,34927.97238655008,40401.6338955731,49106.54184887363
load,130,2025-05-11,0.001,14,116.0,129.0,True,,0.001,35965.64464998786,35989.698122175796,36354.627071258496,41087.300634984946,49643.44441645829
load,131,2025-05-12,0.001,14,117.0,130.0,True,,0.001,37622.56072414575,37638.06216007573,37863.222608778866,41864.95574319179,50157.508794182824
load,132,2025-05-13,0.001,14,118.0,131.0,True,,0.001,38398.04933256355,38405.288747235005,38551.20323597838,42299.11586318474,50626.66566912321
load,133,2025-05-14,0.001,14,119.0,132.0,True,,0.001,39268.85445711658,39271.958837086946,39366.62949892744,43059.58702832635,51710.744397134076
load,134,2025-05-15,0.1,14,120.0,133.0,True,,0.1,39943.0025858288,39932.88739817993,39884.906756365985,43071.591155947506,51669.6246204434
load,135,2025-05-16,0.1,14,121.0,134.0,True,,0.1,36430.99509709178,36419.24295010786,36365.08640436605,39739.25490952668,48948.246987529456
load,136,2025-05-17,0.1,14,122.0,135.0,True,,0.1,35544.4435578364,35525.53798581663,35372.92368085742,38290.6993846071,47284.835352718896
load,137,2025-05-18,0.1,14,123.0,136.0,True,,0.1,34052.8136522522,34021.26532709983,33726.894297025,36039.089169892686,44736.568100467695
load,138,2025-05-19,0.1,14,124.0,137.0,True,,0.1,32065.844223488028,32016.000219601836,31569.870501860027,33308.19611779111,41719.601202649465
load,139,2025-05-20,0.1,14,125.0,138.0,True,,0.1,31183.64839895242,31124.914156303556,30596.90128670533,31857.209178644975,39700.11444269685
load,140,2025-05-21,0.1,14,126.0,139.0,True,,0.1,29784.876718100735,29708.773195121623,29028.856502093022,29515.54077993748,36562.372640148045
load,141,2025-05-22,1.0,14,127.0,140.0,True,,1,28983.210395663045,28896.388519757053,28120.17474068492,27935.452553303196,34009.59550785368
load,142,2025-05-23,1.0,14,128.0,141.0,True,,1,28196.958526813498,28111.60929867657,27364.004728628846,27275.306143804588,33324.82528844288
load,143,2025-05-24,0.1,14,129.0,142.0,True,,0.1,27241.28195876673,27174.13799250009,26600.11220571559,27141.168304673065,33459.553245188836
load,144,2025-05-25,0.1,14,130.0,143.0,True,,0.1,25572.528047187556,25535.627909511943,25228.732317142803,26715.889001046908,33394.85747107988
load,145,2025-05-26,0.1,14,131.0,144.0,True,,0.1,24310.55373276031,24278.74321923904,24112.510468813158,26414.314635171002,33526.9777729503
load,146,2025-05-27,0.1,14,132.0,145.0,True,,0.1,23716.831438909332,23694.408428351704,23631.752246326247,26386.933629715728,33765.52383454932
load,147,2025-05-28,0.01,14,133.0,146.0,True,,0.01,23212.498082038797,23198.55897675357,23225.762419308197,26148.24154094724,33266.33691521875
load,148,2025-05-29,0.001,14,134.0,147.0,True,,0.001,22543.547482291917,22547.121268945903,22741.977459964633,26213.1467906298,33389.8102520532
load,149,2025-05-30,0.01,14,135.0,148.0,True,,0.01,22361.881791009142,22359.37225332721,22504.153039072964,25719.045881558228,32502.1571223368
load,150,2025-05-31,0.001,14,136.0,149.0,True,,0.001,21709.842855962695,21712.727848073577,21895.741056043797,25099.093239631453,31699.73216969009
load,151,2025-06-01,0.01,14,137.0,150.0,True,,0.01,22333.019424860624,22329.292997117805,22479.324317506565,25609.021650966788,32119.93337701193
load,152,2025-06-02,0.001,14,138.0,151.0,True,,0.001,31692.12865732109,31742.447531132737,32289.892938156325,36870.13538354659,44153.470971870156
load,153,2025-06-03,0.001,14,139.0,152.0,True,,0.001,34002.7276598322,34102.08618707393,35058.088502823855,42328.494228053445,54301.505887336214
load,154,2025-06-04,0.001,14,140.0,153.0,True,,0.001,36540.085806146904,36674.373043088344,37908.60114125463,47417.30719622446,64367.39146405061
load,155,2025-06-05,0.001,14,141.0,154.0,True,,0.001,39130.40997482622,39292.12459165517,40783.69579786987,52588.05198535891,74542.30967883888
load,156,2025-06-06,0.001,14,142.0,155.0,True,,0.001,40745.60657131249,40930.39233799611,42617.807602707784,56141.23214282784,82303.40494691607
load,157,2025-06-07,0.001,14,143.0,156.0,True,,0.001,43677.50418173441,43888.045981727075,45809.2055332572,61363.00169402132,92189.71924183266
load,158,2025-06-08,0.001,14,144.0,157.0,True,,0.001,45737.92143828378,45976.94374681371,48168.41182833209,66052.85904001909,102143.82771435182
load,159,2025-06-09,0.001,14,145.0,158.0,True,,0.001,47543.839219872796,47760.21697723411,49791.579437696964,66962.45704373771,102270.63455034446
load,160,2025-06-10,0.001,14,146.0,159.0,True,,0.001,51936.945100449295,52096.02853983129,53474.50758121758,68034.11376478513,102569.63167842178
load,161,2025-06-11,0.001,14,147.0,160.0,True,,0.001,54788.44289078253,54910.9249010886,55833.34478955223,68856.0919292184,103451.54399709782
load,162,2025-06-12,0.001,14,148.0,161.0,True,,0.001,58211.46980450788,58299.978954529404,58717.25252646222,69855.58386264682,104293.49219902013
load,163,2025-06-13,0.001,14,149.0,162.0,True,,0.001,60556.667174663715,60633.44365867211,60751.11100219172,70750.13920847034,105420.90432093455
load,164,2025-06-14,0.1,14,150.0,163.0,True,,0.1,61963.61844743139,62017.633919486114,61818.988908684514,71027.25358501257,106332.77391330879
load,165,2025-06-15,0.1,14,151.0,164.0,True,,0.1,62910.080803325836,62972.72649485233,62575.06679726394,70799.64437787117,106331.58979484602
load,166,2025-06-16,0.1,14,152.0,165.0,True,,0.1,54393.889598880676,54369.19421411383,53433.68781964689,59949.150746086394,94814.98200717772
load,167,2025-06-17,0.1,14,153.0,166.0,True,,0.1,52808.68383646053,52733.223249814204,51355.61884887131,55017.65719132941,85499.07257334275
load,168,2025-06-18,0.1,14,154.0,167.0,True,,0.1,50926.79540671257,50822.81852608667,49171.66148318034,50493.5682552627,76041.89535496014
load,169,2025-06-19,1.0,14,155.0,168.0,True,,1,48634.06341971296,48496.666288347114,46585.28668177516,45818.82139259505,66918.29944677406
load,170,2025-06-20,1.0,14,156.0,169.0,True,,1,47832.54923817653,47685.84564761992,45582.62208592613,42870.609398374785,59832.463378152956
load,171,2025-06-21,1.0,14,157.0,170.0,True,,1,45830.4600483088,45643.36600005855,43238.26585694811,38375.20485574702,50558.011957711795
load,172,2025-06-22,1.0,14,158.0,171.0,True,,1,44863.268410782126,44625.66647824256,41842.528527962175,34443.256664852306,41443.08933149939
load,173,2025-06-23,1.0,14,159.0,172.0,True,,1,43339.6758858968,43104.06855920455,40429.19494655012,33771.54305410783,41743.7650093601
load,174,2025-06-24,1.0,14,160.0,173.0,True,,1,39952.6232342186,39772.06875659557,37752.65124207808,33739.84269832371,42478.96075209865
load,175,2025-06-25,1.0,14,161.0,174.0,True,,1,38077.519138245756,37938.14935851791,36411.34107296328,34112.42089586401,43039.38625761961
load,176,2025-06-26,1.0,14,162.0,175.0,True,,1,35809.21836576209,35688.67848926803,34612.7164002765,34207.33934440603,43443.08468159176
load,177,2025-06-27,0.1,14,163.0,176.0,True,,0.1,33793.13405326369,33680.005111479804,32910.46370660628,33793.47843002136,43031.416589423774
load,178,2025-06-28,0.1,14,164.0,177.0,True,,0.1,33357.78811570364,33246.469112803854,32769.34214122458,34903.981333135926,43989.30469566012
load,179,2025-06-29,0.1,14,165.0,178.0,True,,0.1,32080.687141004335,31964.377054391127,31785.3358823482,35495.02472413941,44877.87128590074
load,180,2025-06-30,0.1,14,166.0,179.0,True,,0.1,33444.822749003724,33279.16521506025,32803.84816193354,35982.84704363443,44973.76962842457
load,181,2025-07-01,0.1,14,167.0,180.0,True,,0.1,35214.11536148568,35009.59123723839,34277.1787451447,36893.08658620325,45195.16346796541
load,182,2025-07-02,0.1,14,168.0,181.0,True,,0.1,56847.887214754424,56707.92148330111,56456.90409225608,60862.20900221154,69630.32387169555
load,183,2025-07-03,0.01,14,169.0,182.0,True,,0.01,58819.21815854363,58762.00252859571,59168.26480085448,68757.10115666092,89966.55460276564
load,184,2025-07-04,0.01,14,170.0,183.0,True,,0.01,59730.71611079286,59719.94994563319,60655.614813446045,75275.04255639685,109068.70838646506
load,185,2025-07-05,0.001,14,171.0,184.0,True,,0.001,60015.59616247556,60074.52427435692,61606.91486097762,81489.92838318192,130002.51005141811
load,186,2025-07-06,0.001,14,172.0,185.0,True,,0.001,60230.728560903124,60302.110162837416,62054.92889473873,85806.80512513865,147454.45700411618
load,187,2025-07-07,0.001,14,173.0,186.0,True,,0.001,60956.541577419,61074.20462071353,63221.70461306258,91161.88849235795,164412.4773589223
load,188,2025-07-08,0.001,14,174.0,187.0,True,,0.001,61517.7207924057,61664.17012371362,64138.56430647,95767.49229997423,181125.44906596575
load,189,2025-07-09,0.001,14,175.0,188.0,True,,0.001,68053.90530695904,68196.94297213787,70610.07368991556,100962.05123339195,183304.0968340704
load,190,2025-07-10,0.001,14,176.0,189.0,True,,0.001,72636.37230651801,72725.98037659173,74278.36418211143,101434.33628603345,184200.30931142584
load,191,2025-07-11,0.001,14,177.0,190.0,True,,0.001,78191.64392802365,78241.68557130056,79078.36346308331,103503.81297664907,186897.43716207598
load,192,2025-07-12,0.1,14,178.0,191.0,True,,0.1,82283.78069672066,82247.29137450557,81974.41410280645,102798.97536900795,186836.11273993694
load,193,2025-07-13,0.1,14,179.0,192.0,True,,0.1,86255.82106070904,86207.9374725625,85281.0143754995,103069.58842425307,187305.36518698852
load,194,2025-07-14,0.1,14,180.0,193.0,True,,0.1,87285.24090698766,87304.83531652584,86419.4316611909,103142.29766528598,188325.97405053562
load,195,2025-07-15,0.1,14,181.0,194.0,True,,0.1,89253.57767643809,89222.99271841868,87849.40448627796,102896.46353147252,188737.09477847064
load,196,2025-07-16,0.1,14,182.0,195.0,True,,0.1,68871.39178366201,68758.07617697684,66887.33259231485,80754.10204242254,167975.72220607856
load,197,2025-07-17,0.1,14,183.0,196.0,True,,0.1,69420.72958581516,69240.85530279508,66642.56557474486,74565.74892862106,149337.89833730046
load,198,2025-07-18,0.1,14,184.0,197.0,True,,0.1,69127.7944267382,68903.04697116591,65872.56072249335,69370.4418431458,132594.15507380283
load,199,2025-07-19,1.0,14,185.0,198.0,True,,1,69000.23496305633,68712.60566883915,65070.20591444408,63300.55281985504,112698.36573692056
load,200,2025-07-20,1.0,14,186.0,199.0,True,,1,69399.05534350207,69120.29388089888,65289.1469701602,59396.88427281106,95967.39980865896
load,201,2025-07-21,1.0,14,187.0,200.0,True,,1,69683.8819901144,69357.03304998917,65110.821489315065,55052.60377098583,80882.32508556507
load,202,2025-07-22,1.0,14,188.0,201.0,True,,1,70219.51357158317,69865.15333889647,65298.820891083626,51789.981905613036,67055.9344958539
load,203,2025-07-23,1.0,14,189.0,202.0,True,,1,64287.33856763526,63921.384988679034,59410.1838970666,47244.55688930402,65741.50585029539
load,204,2025-07-24,1.0,14,190.0,203.0,True,,1,60352.51136752747,60046.79642378123,56498.51990952723,48077.944278287745,67079.99549944862
load,205,2025-07-25,1.0,14,191.0,204.0,True,,1,56192.34085900603,55905.33172384291,52998.632736219864,47221.70868536214,65856.24842522998
load,206,2025-07-26,1.0,14,192.0,205.0,True,,1,52357.287334613335,52142.407174158296,50287.34477760883,48176.06315054618,66494.13354325325
load,207,2025-07-27,0.1,14,193.0,206.0,True,,0.1,49145.43934101924,48950.178647953915,47806.95276289081,49018.29254632443,67901.77249334416
load,208,2025-07-28,0.1,14,194.0,207.0,True,,0.1,47221.70576412532,47015.19415414525,46155.64252451952,49158.47982980929,67990.30130324709
