publication_hour,kind,j,demean,n_groups,n,n_invalid,mean_b_kW,sd_b_kW,mean_y_kW,sd_y_kW,pearson_r,beta,intercept_a_kW,constant_b,constant_y
6,hour,12,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,0.0,151.70014598680174,0.2875895280788276,0.3695533457118002,-8.805193374368978e-16,False,False
6,hour,13,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-3.4037975365753302e-15,135.9053245862979,0.32853922102127636,0.41139806135554213,-4.5240501028104185e-15,False,False
6,hour,13,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.7230380292602644e-15,147.7639357732475,0.2882173241096264,0.3607502191589576,1.863493534155675e-15,False,False
6,hour,14,month,11,334,0,2.7230380292602644e-15,108.5329117135484,0.0,140.10550437296206,0.32974388869492544,0.425667505921499,-1.1591088064446104e-15,False,False
6,hour,14,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.7230380292602644e-15,151.4965762809726,0.29732606877983186,0.3815521266163442,1.813929697204011e-15,False,False
6,hour,15,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-2.042278521945198e-15,152.70998613312852,0.32192808833831876,0.4529652170003679,-3.2757200337693276e-15,False,False
6,hour,15,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,-2.7230380292602644e-15,162.71664905842198,0.3025140186279669,0.41696112746929914,-3.716513910229635e-15,False,False
6,hour,16,month,11,334,0,2.7230380292602644e-15,108.5329117135484,-6.807595073150661e-16,134.79075243370343,0.2961170536345384,0.3677579439976289,-1.6821783743831762e-15,False,False
6,hour,16,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,2.7230380292602644e-15,147.76258224592337,0.2808946110921491,0.3515814485131636,1.88533958141198e-15,False,False
6,hour,17,month,11,334,0,2.7230380292602644e-15,108.5329117135484,0.0,136.22593325333528,0.3883994597373319,0.4875026205641213,-1.3274881751601393e-15,False,False
6,hour,17,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,0.0,146.0249648941665,0.3561832660603262,0.44057382739338313,-1.0497368758528136e-15,False,False
6,midnight_tail,-1,month,11,334,0,2.7230380292602644e-15,108.5329117135484,1.7018987682876651e-15,222.03346795053133,0.32150231485396563,0.6577200666057369,-8.909798568735046e-17,False,False
6,midnight_tail,-1,weekday,7,334,0,2.382658275602731e-15,118.05433207431113,-2.7230380292602644e-15,226.60950984687418,0.3160118218745149,0.6065959868014389,-4.1683489771601175e-15,False,False
12,hour,0,month,11,334,0,1.3615190146301322e-15,117.21014668429747,0.0,114.79005023190679,0.617906655655096,0.6051484282527595,-8.239210917396703e-16,False,False
12,hour,0,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,6.807595073150661e-16,124.38213958303423,0.6657799612160572,0.6644649454710625,-1.1286038083129848e-15,False,False
12,hour,1,month,11,334,0,1.3615190146301322e-15,117.21014668429747,2.042278521945198e-15,120.60278451581394,0.5794209302623743,0.596192220325472,1.2305514775975107e-15,False,False
12,hour,1,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,2.7230380292602644e-15,131.10993185087563,0.6125789780394262,0.6444378086290551,9.682093688701989e-16,False,False
12,hour,2,month,11,334,0,1.3615190146301322e-15,117.21014668429747,6.807595073150661e-16,134.29138792730632,0.5074114430018081,0.5813574068330967,-1.1076965638426056e-16,False,False
12,hour,2,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,-1.3615190146301322e-15,145.13372029417025,0.5305944926079356,0.617894596501007,-3.0440694989768007e-15,False,False
12,hour,3,month,11,334,0,1.3615190146301322e-15,117.21014668429747,-6.807595073150661e-16,129.40588980046786,0.4608852972426918,0.5088405199789219,-1.3735555506806519e-15,False,False
12,hour,3,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,2.7230380292602644e-15,142.81935243628058,0.46462573666233375,0.5324436523074288,1.2731737155889058e-15,False,False
12,hour,4,month,11,334,0,1.3615190146301322e-15,117.21014668429747,-2.7230380292602644e-15,137.16094734543992,0.41528580232461504,0.4859732342062352,-3.3846998282333562e-15,False,False
12,hour,4,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,0.0,146.15341088573098,0.4124502814151507,0.48368641641363497,-1.3170965061309442e-15,False,False
12,hour,5,month,11,334,0,1.3615190146301322e-15,117.21014668429747,0.0,146.92709513634279,0.4076618285615742,0.51101862733652,-6.957615779488615e-16,False,False
12,hour,5,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,2.7230380292602644e-15,156.5779286784301,0.412215016393062,0.5178901888545921,1.3128033500284297e-15,False,False
12,hour,6,month,11,334,0,1.3615190146301322e-15,117.21014668429747,-1.3615190146301322e-15,140.3596601322627,0.3223529644366857,0.3860190760858594,-1.8870913267309855e-15,False,False
12,hour,6,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,0.0,151.70014598680174,0.3380079952471221,0.4114303294746687,-1.120340433550603e-15,False,False
12,hour,7,month,11,334,0,1.3615190146301322e-15,117.21014668429747,-3.4037975365753302e-15,135.9053245862979,0.32333074578688137,0.37490243974571186,-3.914234336920344e-15,False,False
12,hour,7,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,2.7230380292602644e-15,147.7639357732475,0.3159741635684878,0.3746306921561019,1.7029044075911039e-15,False,False
12,hour,8,month,11,334,0,1.3615190146301322e-15,117.21014668429747,0.0,140.10550437296206,0.363317433458732,0.4342863967172657,-5.912891869257623e-16,False,False
12,hour,8,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,2.7230380292602644e-15,151.4965762809726,0.3572599870286806,0.4342806986957463,1.5404751713380286e-15,False,False
12,hour,9,month,11,334,0,1.3615190146301322e-15,117.21014668429747,-2.042278521945198e-15,152.70998613312852,0.3271917965437331,0.42628949904522817,-2.6226797806324297e-15,False,False
12,hour,9,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,-2.7230380292602644e-15,162.71664905842198,0.33390630172672414,0.4359532693773802,-3.910155360755215e-15,False,False
12,hour,10,month,11,334,0,1.3615190146301322e-15,117.21014668429747,-6.807595073150661e-16,134.79075243370343,0.35453940776564025,0.4077175474308354,-1.2358747007405113e-15,False,False
12,hour,10,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,2.7230380292602644e-15,147.76258224592337,0.36133312742298784,0.42840603842677155,1.5564720946594312e-15,False,False
12,hour,11,month,11,334,0,1.3615190146301322e-15,117.21014668429747,0.0,136.22593325333528,0.3895120748121233,0.4527052256631383,-6.163667727627877e-16,False,False
12,hour,11,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,0.0,146.0249648941665,0.38575673953423106,0.45198493990229716,-1.2307721800068703e-15,False,False
12,midnight_tail,-1,month,11,334,0,1.3615190146301322e-15,117.21014668429747,1.7018987682876651e-15,222.03346795053133,0.3298092888465506,0.6247641713318366,8.512704693597319e-16,False,False
12,midnight_tail,-1,weekday,7,334,0,2.7230380292602644e-15,124.62829925340158,-2.7230380292602644e-15,226.60950984687418,0.33814399303641907,0.6148414523722735,-4.3972746860355784e-15,False,False
18,hour,0,month,11,334,0,0.0,146.92709513634279,-1.3615190146301322e-15,140.3596601322627,0.6881721075793221,0.657411779921894,-1.3615190146301322e-15,False,False
18,hour,0,weekday,7,334,0,2.7230380292602644e-15,156.5779286784301,0.0,151.70014598680174,0.7249656223249837,0.7023811827781758,-1.9126106717417777e-15,False,False
18,hour,1,month,11,334,0,0.0,146.92709513634279,-3.4037975365753302e-15,135.9053245862979,0.6280382336467425,0.5809257980439938,-3.4037975365753302e-15,False,False
18,hour,1,weekday,7,334,0,2.7230380292602644e-15,156.5779286784301,2.7230380292602644e-15,147.7639357732475,0.6731277179124402,0.6352364073041186,9.932651346004867e-16,False,False
18,hour,2,month,11,334,0,0.0,146.92709513634279,0.0,140.10550437296206,0.7055544654275642,0.6727966965493568,0.0,False,False
18,hour,2,weekday,7,334,0,2.7230380292602644e-15,156.5779286784301,2.7230380292602644e-15,151.4965762809726,0.7371742587520485,0.713251077377318,7.808282211509722e-16,False,False
18,hour,3,month,11,334,0,0.0,146.92709513634279,-2.042278521945198e-15,152.70998613312852,0.6467818724962597,0.672238505010991,-2.042278521945198e-15,False,False
18,hour,3,weekday,7,334,0,2.7230380292602644e-15,156.5779286784301,-2.7230380292602644e-15,162.71664905842198,0.6854371035350044,0.7123100271468273,-4.662685321804486e-15,False,False
18,hour,4,month,11,334,0,0.0,146.92709513634279,-6.807595073150661e-16,134.79075243370343,0.6136169812801126,0.5629315310160623,-6.807595073150661e-16,False,False
18,hour,4,weekday,7,334,0,2.7230380292602644e-15,156.5779286784301,2.7230380292602644e-15,147.76258224592337,0.6649936146987857,0.6275544357643521,1.0141834352429658e-15,False,False
18,hour,5,month,11,334,0,0.0,146.92709513634279,0.0,136.22593325333528,0.6215416720810969,0.5762728396455077,0.0,False,False
18,hour,5,weekday,7,334,0,2.7230380292602644e-15,156.5779286784301,0.0,146.0249648941665,0.6661427383372058,0.621246371064012,-1.6916774939472383e-15,False,False
18,midnight_tail,-1,month,11,334,0,0.0,146.92709513634279,1.7018987682876651e-15,222.03346795053133,0.4241316451407242,0.6409397800369743,1.7018987682876651e-15,False,False
18,midnight_tail,-1,weekday,7,334,0,2.7230380292602644e-15,156.5779286784301,-2.7230380292602644e-15,226.60950984687418,0.45667691050358644,0.6609317910964213,-4.52278043116292e-15,False,False
