publication_hour,kind,j,lead_hours,range_label,n,n_invalid,mean_b_kW,sd_b_kW,mean_y_kW,sd_y_kW,pearson_r,beta,intercept_a_kW,constant_b,constant_y
12,hour,2,3,next_node,334,0,6.889403133682807,125.11349528135823,1.9009497952422938,145.50733558560304,0.53218737867926,0.6189353700794862,-2.363145482930446,False,False
12,hour,3,4,next_node,334,0,6.889403133682807,125.11349528135823,0.1496600708379354,143.2480999702541,0.4675274077773976,0.5352932766966604,-3.538191107075374,False,False
12,hour,4,5,next_node,334,0,6.889403133682807,125.11349528135823,2.7988942871761564,146.48647898258645,0.4146916578240096,0.48553292098092243,-0.5461377401359773,False,False
12,hour,5,6,next_node,334,0,6.889403133682807,125.11349528135823,-1.2432635080899728,157.3398523275958,0.4169855572023255,0.5243914403111535,-4.8560075402460745,False,False
12,hour,6,7,far,334,0,6.889403133682807,125.11349528135823,0.5417036846551383,152.15403063170368,0.3420415816838594,0.415966360621664,-2.324056263718386,False,False
12,hour,7,8,far,334,0,6.889403133682807,125.11349528135823,-0.16505471797084603,148.40926141120445,0.3198559345693756,0.3794121721296398,-2.778978125598187,False,False
12,hour,8,9,far,334,0,6.889403133682807,125.11349528135823,1.3111425960787364,152.17973389189726,0.36115817453697546,0.439288781520513,-1.7152949119203877,False,False
12,hour,9,10,far,334,0,6.889403133682807,125.11349528135823,1.8751079552660044,163.29893935601353,0.33820985276155613,0.44143367677095596,-1.166106600792943,False,False
12,hour,10,11,far,334,0,6.889403133682807,125.11349528135823,-2.2985002981536238,148.15994389627213,0.3643248392005176,0.4314350551439655,-5.270830319043075,False,False
12,hour,11,12,far,334,0,6.889403133682807,125.11349528135823,1.7298755191148296,146.47558300242898,0.38899569748894525,0.45541347435778545,-1.407651498247072,False,False
12,midnight_tail,-1,12,midnight_tail,334,0,6.889403133682807,125.11349528135823,6.839108965998587,229.9003650871259,0.34471592406674545,0.6334274061808498,2.4751722088956685,False,False
18,hour,0,1,next_node,334,0,-1.2432635080899728,157.3398523275958,0.5417036846551383,152.15403063170368,0.7262161100276419,0.7022804878468958,1.4148233876388074,False,False
18,hour,1,2,next_node,334,0,-1.2432635080899728,157.3398523275958,-0.16505471797084603,148.40926141120445,0.6744643389950338,0.6361818249964968,0.6258869295573797,False,False
18,hour,2,3,next_node,334,0,-1.2432635080899728,157.3398523275958,1.3111425960787364,152.17973389189726,0.738906401139057,0.7146732238075147,2.1996697354476376,False,False
18,hour,3,4,next_node,334,0,-1.2432635080899728,157.3398523275958,1.8751079552660044,163.29893935601353,0.6876525119355203,0.7136966520774717,2.7624209586399107,False,False
18,hour,4,5,next_node,334,0,-1.2432635080899728,157.3398523275958,-2.2985002981536238,148.15994389627213,0.6665630420990935,0.627672782577088,-1.5181376325542386,False,False
18,hour,5,6,next_node,334,0,-1.2432635080899728,157.3398523275958,1.7298755191148296,146.47558300242898,0.6681321261140595,0.6219978044179514,2.5031826914597524,False,False
18,midnight_tail,-1,6,midnight_tail,334,0,-1.2432635080899728,157.3398523275958,6.839108965998587,229.9003650871259,0.4627746316290509,0.6761926822141736,7.679794652232949,False,False
