k,date,weekday,month,publication_hour,s_r,recent_h_start,recent_h_end,recent_interval_start,recent_interval_end,n_valid_slots,valid,b_kW,e_slot_30_kW,e_slot_31_kW,e_slot_32_kW,e_slot_33_kW,e_slot_34_kW,e_slot_35_kW,e_slot_66_kW,e_slot_67_kW,e_slot_68_kW,e_slot_69_kW,e_slot_70_kW,e_slot_71_kW,e_slot_102_kW,e_slot_103_kW,e_slot_104_kW,e_slot_105_kW,e_slot_106_kW,e_slot_107_kW
96,2025-04-07,0,2025-04,6,36,30,35,2025-04-07 05:00:00,2025-04-07 06:00:00,6,True,53.274556710452394,-70.27743204851049,116.99971634024132,212.36179097427612,71.56042519334096,-0.5277039104767027,-10.469456286156856,,,,,,,,,,,,
97,2025-04-08,1,2025-04,6,36,30,35,2025-04-08 05:00:00,2025-04-08 06:00:00,6,True,5.364228794486735,-50.798851439365535,73.1145004355576,6.8145714789516205,-146.8348088055809,-15.891818668473206,165.78177976583083,,,,,,,,,,,,
98,2025-04-09,2,2025-04,6,36,30,35,2025-04-09 05:00:00,2025-04-09 06:00:00,6,True,-90.61338390437231,-12.29431621788899,-192.65984108804196,-145.4981632094541,-2.51516188710184,-54.76674347383141,-135.94607754991557,,,,,,,,,,,,
99,2025-04-10,3,2025-04,6,36,30,35,2025-04-10 05:00:00,2025-04-10 06:00:00,6,True,59.430775398481195,201.11546321742162,195.46683695026286,181.57161340762832,60.613489556517834,-168.18194891220992,-114.00080182873353,,,,,,,,,,,,
100,2025-04-11,4,2025-04,6,36,30,35,2025-04-11 05:00:00,2025-04-11 06:00:00,6,True,148.6207041015892,106.44771648125925,196.7972650448869,204.20972647531016,87.53508424042502,117.83598088994995,178.89845147770393,,,,,,,,,,,,
101,2025-04-12,5,2025-04,6,36,30,35,2025-04-12 05:00:00,2025-04-12 06:00:00,6,True,-7.077076591253369,-108.54814722039964,-83.61319787055027,44.381370193827934,79.44320356569142,12.225556463308294,13.64875532060205,,,,,,,,,,,,
102,2025-04-13,6,2025-04,6,36,30,35,2025-04-13 05:00:00,2025-04-13 06:00:00,6,True,36.804684989758776,-59.141207295611366,282.8492868504295,227.84057608240528,-173.19292365590172,-143.9139983868672,86.38637634409815,,,,,,,,,,,,
103,2025-04-14,0,2025-04,6,36,30,35,2025-04-14 05:00:00,2025-04-14 06:00:00,6,True,129.9686977124173,262.9922079696453,186.6346133763641,13.727339325528646,-33.00446195239283,96.04879151865816,253.41369603670046,,,,,,,,,,,,
104,2025-04-15,1,2025-04,6,36,30,35,2025-04-15 05:00:00,2025-04-15 06:00:00,6,True,3.5886959194297865,-115.57502183824181,-64.30457780169945,31.44695528031116,114.62458666596513,28.666839122933652,26.673394087310044,,,,,,,,,,,,
105,2025-04-16,2,2025-04,6,36,30,35,2025-04-16 05:00:00,2025-04-16 06:00:00,6,True,55.53413689288944,182.7267834693953,163.147439850899,117.29760686566897,47.23684349146788,-145.40838890670466,-31.795463413389825,,,,,,,,,,,,
106,2025-04-17,3,2025-04,6,36,30,35,2025-04-17 05:00:00,2025-04-17 06:00:00,6,True,18.648364112988776,-40.74350356164814,-79.59932617617733,-83.20983973163356,-3.128850531821172,163.80964135465774,154.76206332455513,,,,,,,,,,,,
107,2025-04-18,4,2025-04,6,36,30,35,2025-04-18 05:00:00,2025-04-18 06:00:00,6,True,14.357466129189106,63.357922462750594,18.60398985474467,-7.701493993191434,-17.166128676718927,11.860161145491475,17.19034598205826,,,,,,,,,,,,
108,2025-04-19,5,2025-04,6,36,30,35,2025-04-19 05:00:00,2025-04-19 06:00:00,6,True,40.008921174043884,-49.65736802006268,-45.0215580673721,13.2377540088778,87.60091071400893,156.41300978816253,77.48077862064883,,,,,,,,,,,,
109,2025-04-20,6,2025-04,6,36,30,35,2025-04-20 05:00:00,2025-04-20 06:00:00,6,True,131.6972366679911,315.00693990799664,2.7868893228601337,-32.36202929040792,244.89771720471708,182.5278967414938,77.32600612128681,,,,,,,,,,,,
110,2025-04-21,0,2025-04,6,36,30,35,2025-04-21 05:00:00,2025-04-21 06:00:00,6,True,146.05990484052427,149.50869044108185,110.30662980879606,172.87169762718258,276.7764756399283,139.81342737414752,27.082508152009268,,,,,,,,,,,,
111,2025-04-22,1,2025-04,6,36,30,35,2025-04-22 05:00:00,2025-04-22 06:00:00,6,True,77.65388211637863,297.87434924394347,199.55844924394387,12.171540257244487,-38.18713231991342,-37.42069362717939,31.92677990023276,,,,,,,,,,,,
112,2025-04-23,2,2025-04,6,36,30,35,2025-04-23 05:00:00,2025-04-23 06:00:00,6,True,140.94152200008784,36.69015352180077,172.76656557384285,92.0621853375169,12.541194167753474,270.79240864586836,260.7966247537447,,,,,,,,,,,,
113,2025-04-24,3,2025-04,6,36,30,35,2025-04-24 05:00:00,2025-04-24 06:00:00,6,True,14.62752509249602,-22.061746758778554,-99.43895615701422,-60.4115655051919,102.61295662201746,120.2864954365159,46.77796691742742,,,,,,,,,,,,
114,2025-04-25,4,2025-04,6,36,30,35,2025-04-25 05:00:00,2025-04-25 06:00:00,6,True,53.28235283540456,118.43438714488275,8.905187144882348,-54.7285056987007,94.29080919418493,98.26125848575293,54.53098074142508,,,,,,,,,,,,
115,2025-04-26,5,2025-04,6,36,30,35,2025-04-26 05:00:00,2025-04-26 06:00:00,6,True,46.637622436415086,33.47720202331857,236.14811715178757,56.3241368089175,-267.4351987520063,-36.64384458570112,257.95532197217426,,,,,,,,,,,,
116,2025-04-27,6,2025-04,6,36,30,35,2025-04-27 05:00:00,2025-04-27 06:00:00,6,True,-72.97605439865985,-49.613375915152574,-43.436667981354276,-104.30302979953785,-158.47484005429578,-147.4193347178816,65.390922076263,,,,,,,,,,,,
117,2025-04-28,0,2025-04,6,36,30,35,2025-04-28 05:00:00,2025-04-28 06:00:00,6,True,-108.01312558074255,-195.24182913970708,-49.719629139707195,-49.57703907942778,-218.65239267213428,-140.62226920443618,5.734405750957194,,,,,,,,,,,,
118,2025-04-29,1,2025-04,6,36,30,35,2025-04-29 05:00:00,2025-04-29 06:00:00,6,True,6.1440015025821895,46.13960890111275,-38.32368557549307,-57.415589374178126,6.4431812788784555,63.35685298253975,16.66364080263338,,,,,,,,,,,,
119,2025-04-30,2,2025-04,6,36,30,35,2025-04-30 05:00:00,2025-04-30 06:00:00,6,True,-76.76772002938726,-107.0485603116681,-77.77808577491123,-107.35003423544731,-117.75197620170502,-30.662524667782236,-20.01513898480971,,,,,,,,,,,,
120,2025-05-01,3,2025-05,6,36,30,35,2025-05-01 05:00:00,2025-05-01 06:00:00,6,True,-98.85584502266572,-344.0619478389767,20.80487395858154,193.571062109384,-110.10540684208354,-213.14240824529998,-140.2012432775996,,,,,,,,,,,,
121,2025-05-02,4,2025-05,6,36,30,35,2025-05-02 05:00:00,2025-05-02 06:00:00,6,True,79.86850414572541,86.32787239722211,132.99423462672348,175.6971067791028,120.35263905583315,-9.350782226952106,-26.810045757576972,,,,,,,,,,,,
122,2025-05-03,5,2025-05,6,36,30,35,2025-05-03 05:00:00,2025-05-03 06:00:00,6,True,50.071037146537414,56.82983462326956,15.749181463392233,-12.818584166020173,48.80626904452129,58.477981403577814,133.38154051048377,,,,,,,,,,,,
123,2025-05-04,6,2025-05,6,36,30,35,2025-05-04 05:00:00,2025-05-04 06:00:00,6,True,65.08330681711293,-228.70528376868242,103.83189945417598,169.78864746248337,-22.457002820490743,212.4323808867125,155.60919968847884,,,,,,,,,,,,
124,2025-05-05,0,2025-05,6,36,30,35,2025-05-05 05:00:00,2025-05-05 06:00:00,6,True,41.79159408487984,248.96553489474672,5.222599400204217,-26.279730540866694,175.12626182124768,24.167536440519598,-176.4526375065725,,,,,,,,,,,,
125,2025-05-06,1,2025-05,6,36,30,35,2025-05-06 05:00:00,2025-05-06 06:00:00,6,True,-13.379298167383164,-93.55340993497703,66.33799013784164,107.74068497855524,-35.85770177634868,-60.88663566237801,-64.05671674699215,,,,,,,,,,,,
126,2025-05-07,2,2025-05,6,36,30,35,2025-05-07 05:00:00,2025-05-07 06:00:00,6,True,38.909234140847126,-52.195884818368086,98.18220757047402,155.70840757047426,52.59963569625188,-2.9615203748962813,-17.87744079885306,,,,,,,,,,,,
127,2025-05-08,3,2025-05,6,36,30,35,2025-05-08 05:00:00,2025-05-08 06:00:00,6,True,115.71786536703985,316.8714969097646,258.4639474021501,143.3337470453639,11.337974864718944,-14.362318777880773,-21.337655241877655,,,,,,,,,,,,
128,2025-05-09,4,2025-05,6,36,30,35,2025-05-09 05:00:00,2025-05-09 06:00:00,6,True,-51.933758554703594,-183.71709443854616,-113.85005785490648,-61.949584194759154,71.48920412116013,49.868670110213316,-73.44368907138323,,,,,,,,,,,,
129,2025-05-10,5,2025-05,6,36,30,35,2025-05-10 05:00:00,2025-05-10 06:00:00,6,True,88.1226256804179,69.80207553074479,-60.19106971147312,2.4861060067346443,241.6813222695805,167.4073939499899,107.54992603693063,,,,,,,,,,,,
130,2025-05-11,6,2025-05,6,36,30,35,2025-05-11 05:00:00,2025-05-11 06:00:00,6,True,69.31011167931645,117.14145473236613,169.04029873720856,140.6276741925617,40.1471988563394,-4.7117802404659415,-46.38417620211112,,,,,,,,,,,,
131,2025-05-12,0,2025-05,6,36,30,35,2025-05-12 05:00:00,2025-05-12 06:00:00,6,True,-74.06334494519358,-31.42990754903667,-65.87788136960125,-86.88598136960127,-85.27121419357991,-150.56298221072893,-24.352102978613402,,,,,,,,,,,,
132,2025-05-13,1,2025-05,6,36,30,35,2025-05-13 05:00:00,2025-05-13 06:00:00,6,True,22.9113590349491,62.565772643098626,-19.263761523776793,-88.02223151632688,-20.854313015070602,14.967364745048599,188.07532287672166,,,,,,,,,,,,
133,2025-05-14,2,2025-05,6,36,30,35,2025-05-14 05:00:00,2025-05-14 06:00:00,6,True,15.570382434350677,155.41740000264826,-31.27840818658433,-61.832109953679264,48.203815736156685,-9.925214280137425,-7.1631887122998705,,,,,,,,,,,,
134,2025-05-15,3,2025-05,6,36,30,35,2025-05-15 05:00:00,2025-05-15 06:00:00,6,True,-59.28799125689898,-47.062416475137525,-154.90765687744397,6.370434238520829,72.08765492676048,-152.82340369519716,-79.39255965889652,,,,,,,,,,,,
135,2025-05-16,4,2025-05,6,36,30,35,2025-05-16 05:00:00,2025-05-16 06:00:00,6,True,38.156905326472575,92.58062580356682,142.1704404824627,123.40664431777623,26.904338518626446,-121.11746148137308,-35.00315568222368,,,,,,,,,,,,
136,2025-05-17,5,2025-05,6,36,30,35,2025-05-17 05:00:00,2025-05-17 06:00:00,6,True,39.18176060745517,109.944113334544,144.65612566247182,106.88167965504863,-39.236998712049626,-68.9042372731792,-18.250119022104627,,,,,,,,,,,,
137,2025-05-18,6,2025-05,6,36,30,35,2025-05-18 05:00:00,2025-05-18 06:00:00,6,True,50.01489925305608,117.28728938951826,-51.470220677128964,-69.23846914566184,73.95550100005312,108.96578529738645,120.58950965416943,,,,,,,,,,,,
