教师编号,队号,匹配得分,条件满足率,条件完全满足,专业偏好满足率,队伍质量,条件明细,选队次序,教师研究方向,教师选队条件,队员专业,队员年级,参赛经历,专业排名,队员特长
2,50,84.843706,1.000000,True,0.333333,57.551862,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,应数/工程/机械类,1/3/2,0/1/1,29/59/56/80/7/78,建模/写作/编程
2,168,84.837333,1.000000,True,0.333333,57.520000,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,材应/给排水/应数,1/3/2,0/1/1,45/125/78/125/18/60,建模/写作/编程
2,128,85.180222,1.000000,True,0.333333,59.234443,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,自动化/通信/计算机,1/3/2,0/1/1,56/59/8/108/14/123,写作/建模/编程
2,132,90.139319,1.000000,True,0.666667,67.363260,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,应数/电气/计算机,3/2/3,2/1/0,41/45/17/89/25/128,建模/写作/编程
2,141,89.154722,1.000000,True,0.666667,62.440275,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,应数/智能/计算机,3/2/2,1/0/1,15/45/24/65/46/123,建模/写作/编程
2,92,89.700000,1.000000,True,0.666667,65.166667,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,环科/应数/计算机,2/2/1,1/1/0,9/42/6/60/12/120,写作/建模/编程
2,30,85.189316,1.000000,True,0.333333,59.279915,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,应数/化工/环科,2/2/2,1/1/0,7/60/57/78/12/42,建模/编程/写作
2,14,85.862524,1.000000,True,0.333333,62.645951,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,采矿/材成/应数,2/2/2,1/1/0,21/118/12/60/28/60,建模/写作/编程
2,84,83.247144,1.000000,True,0.333333,49.569054,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,给排水/机械类/应数,2/1/3,1/0/1,41/121/52/75/42/45,写作/编程/建模
2,93,87.322786,1.000000,True,0.333333,69.947262,至少两人有参赛经历:1.00；三人专业不同:1.00,2,优化、图与网络,队员专业不同，计算机、应数专业优先，具有参赛经历队员至少两人,电气/通信/应数,1/3/3,0/1/1,1/92/12/108/14/45,建模/编程/写作
29,127,91.921701,1.000000,True,1.000000,59.608507,至少两人有参赛经历:1.00,3,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,应数/应数/计算机,2/2/3,1/0/1,24/60/20/60/75/128,写作/建模/编程
29,40,91.077066,1.000000,True,1.000000,55.385332,至少两人有参赛经历:1.00,3,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,计算机/计算机/计算机,2/3/1,1/1/0,60/123/72/128/50/120,编程/建模/写作
29,37,91.446436,1.000000,True,0.666667,73.898846,至少两人有参赛经历:1.00,3,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,电科/计算机/计算机,2/3/3,0/1/1,1/51/3/128/34/128,建模/写作/编程
29,137,89.770255,1.000000,True,0.666667,65.517940,至少两人有参赛经历:1.00,3,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,材成/计算机/计算机,3/3/1,1/1/0,22/63/38/128/20/120,写作/建模/编程
29,56,93.364236,1.000000,True,1.000000,66.821181,至少两人有参赛经历:1.00,3,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,计算机/计算机/计算机,3/3/1,1/1/0,53/128/9/128/26/120,写作/编程/建模
29,130,88.157193,1.000000,True,0.333333,74.119297,至少两人有参赛经历:1.00,3,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,应数/通信/通信,3/3/2,0/1/1,4/45/17/108/5/115,建模/编程/写作
29,151,89.160000,1.000000,True,0.666667,62.466667,至少两人有参赛经历:1.00,3,运筹与控制,计算机、数学专业优先，具有参赛经历队员至少两人,应数/应数/材应,3/2/1,1/1/0,9/45/30/60/20/125,建模/写作/编程
21,71,76.088444,0.777778,False,1.000000,58.220000,三人均有参赛经历:0.33；三人均为二年级以上:1.00；三人专业不同:1.00,4,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,环工/给排水/应数,2/3/3,0/1/0,10/45/3/125/44/45,编程/建模/写作
21,156,69.161552,0.666667,False,1.000000,62.474425,三人均有参赛经历:0.33；三人均为二年级以上:0.67；三人专业不同:1.00,4,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,大数据/电科/工程,1/3/3,0/2/0,44/58/12/50/6/80,写作/编程/建模
21,120,75.500044,0.777778,False,1.000000,55.278000,三人均有参赛经历:0.33；三人均为二年级以上:1.00；三人专业不同:1.00,4,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,应数/安全/给排水,3/2/2,1/0/0,30/45/20/93/46/121,建模/编程/写作
21,9,77.650964,0.777778,False,1.000000,66.032600,三人均有参赛经历:0.33；三人均为二年级以上:1.00；三人专业不同:1.00,4,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,计算机/材料/智能,2/3/3,1/0/0,1/123/48/119/9/63,编程/建模/写作
21,87,69.274737,0.666667,False,1.000000,63.040351,三人均有参赛经历:0.33；三人均为二年级以上:0.67；三人专业不同:1.00,4,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,电科/土木/安全,2/3/1,1/0/0,11/51/34/308/5/89,编程/写作/建模
21,7,68.057132,0.666667,False,1.000000,56.952327,三人均有参赛经历:0.33；三人均为二年级以上:0.67；三人专业不同:1.00,4,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,大数据/工程管理/化工,1/3/3,0/0/1,8/58/28/37/17/76,编程/写作/建模
21,119,68.094118,0.666667,False,1.000000,57.137255,三人均有参赛经历:0.33；三人均为二年级以上:0.67；三人专业不同:1.00,4,模糊数学,队员专业不同，均具有参赛经历，均为二年级或以上,应数/材成/材料,2/1/3,0/0/1,13/60/5/60/70/119,建模/写作/编程
23,110,86.773892,1.000000,True,0.500000,58.869458,无限制,5,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,给排水/给排水/电气,1/3/3,0/0/0,18/122/39/125/6/91,编程/写作/建模
23,113,85.662906,1.000000,True,0.666667,44.981197,无限制,5,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,电气/机械类/电气,3/1/3,0/0/0,42/91/71/75/28/91,建模/编程/写作
23,29,84.854177,1.000000,True,0.500000,49.270885,无限制,5,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,功能/自动化/计算机,1/2/3,0/0/0,1/66/40/69/69/128,写作/建模/编程
23,142,84.926924,1.000000,True,0.500000,49.634622,无限制,5,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,大数据/大数据/土木,2/1/3,0/0/0,2/60/56/58/32/308,建模/写作/编程
23,57,88.431159,1.000000,True,0.833333,50.489130,无限制,5,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,电气/电气/电气,2/1/2,0/0/0,45/92/7/92/23/92,建模/写作/编程
23,24,86.018382,1.000000,True,0.500000,55.091912,无限制,5,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,给排水/土木/土木,1/1/2,0/0/0,20/122/5/300/8/310,写作/编程/建模
23,124,85.672888,1.000000,True,0.500000,53.364441,无限制,5,优化与决策,电气、自动化、土木专业优先，二年级或以上优先,土木/应数/土木,3/1/1,0/0/0,28/308/16/59/62/300,建模/编程/写作
17,148,81.012551,0.833333,False,1.000000,63.396090,三人排名前10%:0.67；三人均为二年级以上:1.00,6,优化、图与网络,均专业排名前10%，均为二年级或以上,给排水/给排水/机制,2/3/3,0/0/0,4/121/38/125/1/68,写作/编程/建模
17,10,68.083333,0.666667,False,1.000000,57.083333,三人排名前10%:0.67；三人均为二年级以上:0.67,6,优化、图与网络,均专业排名前10%，均为二年级或以上,材卓/材科/材卓,1/3/2,0/0/0,20/50/3/105/2/56,编程/写作/建模
17,125,80.610718,0.833333,False,1.000000,61.386923,三人排名前10%:1.00；三人均为二年级以上:0.67,6,优化、图与网络,均专业排名前10%，均为二年级或以上,土木/土木/计算机,1/2/3,0/0/0,14/300/3/310/5/128,写作/建模/编程
17,42,81.127843,0.833333,False,1.000000,63.972548,三人排名前10%:1.00；三人均为二年级以上:0.67,6,优化、图与网络,均专业排名前10%，均为二年级或以上,给排水/给排水/土木,1/3/3,0/0/0,8/122/2/125/2/308,写作/建模/编程
17,82,68.388193,0.666667,False,1.000000,58.607634,三人排名前10%:1.00；三人均为二年级以上:0.33,6,优化、图与网络,均专业排名前10%，均为二年级或以上,自动化/通信/通信,1/1/3,0/0/0,1/59/1/102/10/108,建模/编程/写作
17,102,94.139566,1.000000,True,1.000000,70.697829,三人排名前10%:1.00；三人均为二年级以上:1.00,6,优化、图与网络,均专业排名前10%，均为二年级或以上,土木/土木/交通工程,3/3/2,0/1/0,11/308/8/308/9/97,建模/编程/写作
17,91,80.265484,0.833333,False,1.000000,59.660754,三人排名前10%:0.67；三人均为二年级以上:1.00,6,优化、图与网络,均专业排名前10%，均为二年级或以上,自动化/自动化/自动化,2/2/3,1/0/0,54/69/2/69/5/67,写作/建模/编程
4,4,68.163371,0.666667,False,1.000000,57.483524,三人均有参赛经历:0.33；三人均为二年级以上:1.00,7,微分方程,三人均具有参赛经历、二年级以上,城地/工程/智能,3/3/3,0/0/1,35/68/51/80/22/63,写作/建模/编程
4,134,68.777696,0.666667,False,1.000000,60.555147,三人均有参赛经历:0.33；三人均为二年级以上:1.00,7,微分方程,三人均具有参赛经历、二年级以上,工程/工程/工程,2/3/2,0/1/0,36/85/29/80/2/85,建模/写作/编程
4,105,68.821569,0.666667,False,1.000000,60.774510,三人均有参赛经历:0.33；三人均为二年级以上:1.00,7,微分方程,三人均具有参赛经历、二年级以上,工程/工程/工程,2/2/2,0/1/0,1/85/22/85/26/85,建模/编程/写作
4,98,69.246014,0.666667,False,1.000000,62.896737,三人均有参赛经历:0.33；三人均为二年级以上:1.00,7,微分方程,三人均具有参赛经历、二年级以上,安全/安全/安全,3/3/2,0/1/0,17/87/20/87/37/93,编程/建模/写作
4,118,70.312887,0.666667,False,1.000000,68.231103,三人均有参赛经历:0.33；三人均为二年级以上:1.00,7,微分方程,三人均具有参赛经历、二年级以上,建环/化工/自动化,3/3/3,2/0/0,33/126/25/76/28/67,写作/建模/编程
4,160,68.802314,0.666667,False,1.000000,60.678237,三人均有参赛经历:0.33；三人均为二年级以上:1.00,7,微分方程,三人均具有参赛经历、二年级以上,给排水/给排水/电科,2/2/3,0/0/1,20/121/67/121/4/50,建模/写作/编程
4,109,68.832882,0.666667,False,1.000000,60.831075,三人均有参赛经历:0.33；三人均为二年级以上:1.00,7,微分方程,三人均具有参赛经历、二年级以上,环工/环工/计算机,2/3/2,1/0/0,5/45/21/41/20/123,建模/写作/编程
13,19,91.453419,1.000000,True,1.000000,57.267094,至少一人有参赛经历:1.00,8,密码学,专业排名不限，至少一名队员有参赛经历,智能/智能/智能,2/1/2,1/0/0,12/65/1/60/30/65,编程/建模/写作
13,23,92.366244,1.000000,True,1.000000,61.831220,至少一人有参赛经历:1.00,8,密码学,专业排名不限，至少一名队员有参赛经历,给排水/给排水/计算机,2/1/3,0/0/2,40/121/15/122/59/128,建模/写作/编程
13,52,89.900878,1.000000,True,1.000000,49.504388,至少一人有参赛经历:1.00,8,密码学,专业排名不限，至少一名队员有参赛经历,材应/应数/应数,1/2/1,0/1/0,32/125/23/60/28/59,写作/建模/编程
13,35,90.930352,1.000000,True,1.000000,54.651762,至少一人有参赛经历:1.00,8,密码学,专业排名不限，至少一名队员有参赛经历,计算机/计算机/应数,2/1/2,0/0/1,23/123/70/120/7/60,编程/写作/建模
13,122,92.884162,1.000000,True,1.000000,64.420812,至少一人有参赛经历:1.00,8,密码学,专业排名不限，至少一名队员有参赛经历,安全/安全/安全,3/2/1,1/0/0,4/87/14/93/6/89,编程/写作/建模
13,170,91.683519,1.000000,True,1.000000,58.417595,至少一人有参赛经历:1.00,8,密码学,专业排名不限，至少一名队员有参赛经历,计算机/计算机/大数据,3/1/1,1/0/0,13/128/10/120/22/58,编程/建模/写作
13,16,92.348000,1.000000,True,1.000000,61.740000,至少一人有参赛经历:1.00,8,密码学,专业排名不限，至少一名队员有参赛经历,通信/通信/材应,3/3/1,1/0/0,22/108/32/108/26/125,建模/编程/写作
22,145,61.582428,0.555556,False,1.000000,63.467693,三人均有参赛经历:0.33；三人排名前5%:0.33；三人专业不同:1.00,9,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,工商/安全/土木,2/1/3,0/0/1,2/52/10/89/60/308,写作/建模/编程
22,163,68.551157,0.666667,False,1.000000,59.422454,三人均有参赛经历:0.33；三人排名前5%:0.67；三人专业不同:1.00,9,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,智能/计算机/环工,1/3/2,0/1/0,1/60/4/128/29/45,写作/编程/建模
22,147,61.558713,0.555556,False,1.000000,63.349119,三人均有参赛经历:0.33；三人排名前5%:0.33；三人专业不同:1.00,9,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,电气/机制/计算机,1/3/2,0/1/0,2/92/10/68/23/123,写作/建模/编程
22,70,69.910696,0.666667,False,1.000000,66.220147,三人均有参赛经历:0.33；三人排名前5%:0.67；三人专业不同:1.00,9,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,大数据/工程/建环,1/3/3,0/0/1,1/58/22/80/4/126,建模/编程/写作
22,152,60.108602,0.555556,False,1.000000,56.098563,三人均有参赛经历:0.33；三人排名前5%:0.33；三人专业不同:1.00,9,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,化工/应数/电科,2/1/2,1/0/0,17/78/31/59/1/51,写作/建模/编程
22,173,49.814403,0.444444,False,1.000000,43.516461,三人均有参赛经历:0.00；三人排名前5%:0.33；三人专业不同:1.00,9,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,给排水/应数/环工,1/1/1,0/0/0,10/122/59/67/1/46,编程/建模/写作
22,45,60.659647,0.555556,False,1.000000,58.853789,三人均有参赛经历:0.33；三人排名前5%:0.33；三人专业不同:1.00,9,微分方程,均专业排名前5%，队员均有参赛经历，专业不同,交通工程/电气/计算机,3/1/3,1/0/0,13/96/74/92/2/128,写作/编程/建模
9,69,42.323177,0.333333,False,0.666667,61.615885,三人均有参赛经历:0.33,10,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,土木/土木/材卓,3/2/1,0/1/0,23/308/127/310/1/50,建模/编程/写作
9,31,41.275507,0.333333,False,0.666667,56.377536,三人均有参赛经历:0.33,10,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,通信/土木/土木,2/1/1,1/0/0,50/115/2/300/25/300,编程/写作/建模
9,18,70.097374,0.666667,False,1.000000,67.153535,三人均有参赛经历:0.67,10,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,土木/土木/土木,2/1/3,1/0/1,35/300/8/300/97/308,建模/写作/编程
9,140,41.278794,0.333333,False,0.666667,56.393970,三人均有参赛经历:0.33,10,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,给排水/土木/自动化,1/2/2,0/0/1,23/122/4/310/37/69,写作/建模/编程
9,94,71.482626,0.666667,False,1.000000,74.079798,三人均有参赛经历:0.67,10,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,土木/土木/土木,3/3/1,1/1/0,10/308/3/308/11/300,编程/建模/写作
9,135,69.881643,0.666667,False,1.000000,66.074879,三人均有参赛经历:0.67,10,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,自动化/自动化/自动化,2/2/2,0/1/1,6/69/2/69/30/69,写作/编程/建模
9,86,42.782502,0.333333,False,0.666667,63.912512,三人均有参赛经历:0.33,10,运筹与控制,自动化、电气、土木专业优先，队员均有参赛经历,土木/土木/交通工程,2/3/1,0/1/0,15/310/50/308/9/93,写作/建模/编程
16,104,92.847392,1.000000,True,1.000000,64.236959,至少一人有参赛经历:1.00；三人排名前15%:1.00,11,半群与代数,均专业排名前15%，至少有一人具有参赛经历,材应/计算机/应数,3/2/1,0/1/0,18/122/10/123/3/59,写作/编程/建模
16,20,93.398175,1.000000,True,1.000000,66.990877,至少一人有参赛经历:1.00；三人排名前15%:1.00,11,半群与代数,均专业排名前15%，至少有一人具有参赛经历,工程管理/工程/工程,2/2/3,0/0/1,1/36/10/85/9/80,写作/编程/建模
16,81,93.754898,1.000000,True,1.000000,68.774492,至少一人有参赛经历:1.00；三人排名前15%:1.00,11,半群与代数,均专业排名前15%，至少有一人具有参赛经历,给排水/机械电子/会计,1/3/3,0/0/1,1/122/6/72/2/148,建模/编程/写作
16,17,91.701932,1.000000,True,1.000000,58.509662,至少一人有参赛经历:1.00；三人排名前15%:1.00,11,半群与代数,均专业排名前15%，至少有一人具有参赛经历,材料/智能/电气,1/1/2,0/0/1,18/120/5/60/10/92,编程/建模/写作
16,53,91.925203,1.000000,True,1.000000,59.626016,至少一人有参赛经历:1.00；三人排名前15%:1.00,11,半群与代数,均专业排名前15%，至少有一人具有参赛经历,计算机/计算机/计算机,1/1/2,0/0/1,2/120/10/120/18/123,建模/编程/写作
16,73,93.270131,1.000000,True,1.000000,66.350653,至少一人有参赛经历:1.00；三人排名前15%:1.00,11,半群与代数,均专业排名前15%，至少有一人具有参赛经历,土木/给排水/给排水,3/2/1,0/1/0,10/308/7/121/1/122,编程/建模/写作
16,143,94.324667,1.000000,True,1.000000,71.623336,至少一人有参赛经历:1.00；三人排名前15%:1.00,11,半群与代数,均专业排名前15%，至少有一人具有参赛经历,新能源/电子信息/电子信息,2/3/1,0/2/0,2/65/3/92/1/85,建模/编程/写作
32,63,84.067512,1.000000,True,0.000000,70.337558,至少两人有参赛经历:1.00；三人排名前20%:1.00；三人专业不同:1.00,12,算法设计与分析,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人,大数据/工程力学/化工,1/3/2,0/1/1,5/58/1/45/6/78,建模/编程/写作
32,169,84.001140,1.000000,True,0.000000,70.005698,至少两人有参赛经历:1.00；三人排名前20%:1.00；三人专业不同:1.00,12,算法设计与分析,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人,大数据/交运/计算机,3/2/1,1/1/0,2/63/9/78/8/120,写作/编程/建模
32,174,84.592299,1.000000,True,0.000000,72.961497,至少两人有参赛经历:1.00；三人排名前20%:1.00；三人专业不同:1.00,12,算法设计与分析,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人,自动化/计算机/材应,3/1/3,1/0/1,4/67/2/120/12/122,写作/编程/建模
32,175,87.982124,1.000000,True,0.333333,73.243955,至少两人有参赛经历:1.00；三人排名前20%:1.00；三人专业不同:1.00,12,算法设计与分析,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人,智能/应数/建环,3/3/1,1/1/0,6/63/1/45/4/121,建模/写作/编程
32,2,85.377179,1.000000,True,0.000000,76.885895,至少两人有参赛经历:1.00；三人排名前20%:1.00；三人专业不同:1.00,12,算法设计与分析,应数、环工专业优先，均专业排名前20%，队员专业不同，具有参赛经历的队员至少两人,土木/电科/机制,2/1/3,1/0/2,1/310/1/50/2/68,编程/建模/写作
27,59,92.556364,1.000000,True,1.000000,62.781822,三人排名前20%:1.00；三人均为二年级以上:1.00,13,时间序列,队员专业排名均为20%以内，均为二年级或以上,应数/计算机/计算机,2/2/3,0/0/0,1/60/5/123/17/128,建模/编程/写作
27,61,93.573325,1.000000,True,1.000000,67.866626,三人排名前20%:1.00；三人均为二年级以上:1.00,13,时间序列,队员专业排名均为20%以内，均为二年级或以上,材料/电气/管科,2/3/3,0/1/0,20/128/13/91/15/153,建模/写作/编程
27,68,94.454998,1.000000,True,1.000000,72.274990,三人排名前20%:1.00；三人均为二年级以上:1.00,13,时间序列,队员专业排名均为20%以内，均为二年级或以上,机制/机制/通信,2/2/3,1/0/1,2/62/1/62/20/108,写作/建模/编程
27,159,92.356461,1.000000,True,1.000000,61.782306,三人排名前20%:1.00；三人均为二年级以上:1.00,13,时间序列,队员专业排名均为20%以内，均为二年级或以上,材应/通信/自动化,2/3/2,0/0/0,16/129/7/108/6/69,建模/写作/编程
27,155,93.116129,1.000000,True,1.000000,65.580645,三人排名前20%:1.00；三人均为二年级以上:1.00,13,时间序列,队员专业排名均为20%以内，均为二年级或以上,土木/土木/土木,2/2/2,1/0/0,1/310/10/310/40/310,编程/建模/写作
28,149,70.615775,0.666667,False,1.000000,69.745540,三人均有参赛经历:0.67,14,数据分析与可视化,专业不限，队员均具有参赛经历,机制/机制/自动化,3/2/2,0/1/1,3/68/18/62/8/69,建模/编程/写作
28,72,69.902146,0.666667,False,1.000000,66.177397,三人均有参赛经历:0.67,14,数据分析与可视化,专业不限，队员均具有参赛经历,通信/通信/安全,1/2/3,0/1/2,56/102/26/115/17/87,建模/写作/编程
28,49,41.811676,0.333333,False,1.000000,42.391714,三人均有参赛经历:0.33,14,数据分析与可视化,专业不限，队员均具有参赛经历,应数/应数/应数,1/3/1,0/1/0,25/59/30/45/50/59,建模/编程/写作
28,138,95.525689,1.000000,True,1.000000,77.628444,三人均有参赛经历:1.00,14,数据分析与可视化,专业不限，队员均具有参赛经历,材料/土木/计算机,2/2/3,1/1/1,16/128/17/310/3/128,写作/建模/编程
28,146,44.608577,0.333333,False,1.000000,56.376220,三人均有参赛经历:0.33,14,数据分析与可视化,专业不限，队员均具有参赛经历,通信/通信/通信,3/2/1,0/1/0,15/108/70/115/21/102,写作/建模/编程
19,90,91.272164,1.000000,True,1.000000,56.360820,至少两人有参赛经历:1.00,15,运筹与控制,具有参赛经历队员至少两人，专业不限,通信/建筑/信管,2/1/2,1/0/1,68/115/11/73/41/96,编程/写作/建模
19,11,94.088560,1.000000,True,1.000000,70.442798,至少两人有参赛经历:1.00,15,运筹与控制,具有参赛经历队员至少两人，专业不限,材成/计算机/金属,2/3/3,1/0/1,4/58/11/128/18/40,写作/编程/建模
19,66,93.643148,1.000000,True,1.000000,68.215738,至少两人有参赛经历:1.00,15,运筹与控制,具有参赛经历队员至少两人，专业不限,给排水/给排水/给排水,3/1/3,1/0/1,30/125/28/122/14/125,写作/建模/编程
19,5,92.965269,1.000000,True,1.000000,64.826344,至少两人有参赛经历:1.00,15,运筹与控制,具有参赛经历队员至少两人，专业不限,应数/电气/机电,1/3/2,0/1/1,30/59/6/91/5/60,建模/编程/写作
19,96,92.944414,1.000000,True,1.000000,64.722072,至少两人有参赛经历:1.00,15,运筹与控制,具有参赛经历队员至少两人，专业不限,机械电子/材料/机械电子,2/3/1,1/2/0,17/79/97/119/5/77,编程/写作/建模
35,114,84.809630,1.000000,True,0.333333,57.381481,三人专业不同:1.00,16,优化、图与网络,电气、土木专业优先，队员专业不同,电科/土木/交运,3/1/1,0/0/0,4/50/35/300/2/72,编程/建模/写作
35,13,84.348669,1.000000,True,0.333333,55.076676,三人专业不同:1.00,16,优化、图与网络,电气、土木专业优先，队员专业不同,土木/应数/建环,1/2/1,0/0/0,15/300/5/60/9/121,编程/写作/建模
35,55,80.402207,1.000000,True,0.000000,52.011036,三人专业不同:1.00,16,优化、图与网络,电气、土木专业优先，队员专业不同,环科/给排水/电子信息,2/1/1,0/0/0,1/42/10/122/31/85,写作/建模/编程
35,54,78.322137,1.000000,True,0.000000,41.610684,三人专业不同:1.00,16,优化、图与网络,电气、土木专业优先，队员专业不同,工商/化工/电科,2/1/3,0/0/0,47/52/62/75/3/50,写作/建模/编程
35,32,81.672172,1.000000,True,0.000000,58.360861,三人专业不同:1.00,16,优化、图与网络,电气、土木专业优先，队员专业不同,会计/智能/应数,3/1/3,0/0/0,2/148/12/60/16/45,写作/编程/建模
11,77,91.270808,1.000000,True,1.000000,56.354040,至少一人排名前20%:1.00；至少一人为二年级以上:1.00,17,泛函分析,至少一人专业排名前20%以内，至少一人为二年级或以上,材料/机械类/机械类,1/3/1,0/0/0,6/120/12/77/8/75,写作/编程/建模
11,99,89.485556,1.000000,True,1.000000,47.427778,至少一人排名前20%:1.00；至少一人为二年级以上:1.00,17,泛函分析,至少一人专业排名前20%以内，至少一人为二年级或以上,电科/电科/计算机,1/2/1,0/0/0,9/50/17/51/42/120,建模/写作/编程
11,111,91.880796,1.000000,True,1.000000,59.403978,至少一人排名前20%:1.00；至少一人为二年级以上:1.00,17,泛函分析,至少一人专业排名前20%以内，至少一人为二年级或以上,安全/安全/安全,1/3/3,0/0/0,12/89/9/87/21/87,建模/编程/写作
11,165,89.965278,1.000000,True,1.000000,49.826389,至少一人排名前20%:1.00；至少一人为二年级以上:1.00,17,泛函分析,至少一人专业排名前20%以内，至少一人为二年级或以上,新能源/新能源/交通工程,1/1/3,0/0/0,6/63/45/63/6/96,编程/建模/写作
