set,group,group_type,group_value,n,mae_kW,rmse_kW,bias_kW
A,F0_original,day,2025-02-19,108,104.33963500549378,136.66207504484194,39.67397520749874
A,F0_original,day,2025-02-20,108,108.8825849228296,134.1345140712489,-25.483237150564158
A,F0_original,day,2025-02-21,108,123.16761784231598,149.83975625936878,-6.6888218806621484
A,F0_original,day,2025-02-22,108,107.99911081605308,136.1994653802533,16.69136295059502
A,F0_original,day,2025-02-23,108,105.88100182944811,126.64306646810748,28.728566812562736
A,F0_original,day,2025-02-24,108,107.97936242763654,128.3666200990433,20.478457639421023
A,F0_original,day,2025-02-25,108,101.35043012942016,126.7271992247369,15.45258754109923
A,F0_original,day,2025-02-26,108,109.33987437551477,138.50759013901538,17.59785002251347
A,F0_original,day,2025-02-27,108,89.48853252500187,117.24822476445193,4.751218803459198
A,F0_original,day,2025-02-28,108,100.23931567402529,123.3135997394706,-8.40777019547927
A,F0_original,day,2025-03-01,108,160.76110265040205,209.6144443847561,-94.74858423474551
A,F0_original,day,2025-03-02,108,152.43363036257645,189.12402840647638,39.57776301564794
A,F0_original,day,2025-03-03,108,142.21323376748703,167.32623555692413,31.840885526442
A,F0_original,day,2025-03-04,108,109.03426758015232,140.05916927195065,9.747790104535667
A,F0_original,day,2025-03-05,108,105.91090743122203,129.50503475760507,13.34447876397212
A,F0_original,day,2025-03-06,108,135.80823410544374,163.6632952018617,-4.672103795395599
A,F0_original,day,2025-03-07,108,146.37775017999363,177.66857098370767,-55.14892089554188
A,F0_original,day,2025-03-08,108,90.45037685989244,116.85810099593685,45.89544069702685
A,F0_original,day,2025-03-09,108,116.76525413647818,144.2960663856649,3.9561880458122856
A,F0_original,day,2025-03-10,108,126.07087880951387,157.67655193774374,-4.224672582311255
A,F0_original,day,2025-03-11,108,106.16682610490916,130.01906982312573,-26.194007926029716
A,F0_original,day,2025-03-12,108,96.71453914982403,121.65810354481172,-4.182790193796155
A,F0_original,day,2025-03-13,108,110.19518722848261,139.6274347837742,38.95744961259525
A,F0_original,day,2025-03-14,108,118.7312498374883,143.9649346262232,-8.38550084382609
A,F0_original,day,2025-03-15,108,100.94012855387399,130.15281975183106,30.901152693682487
A,F0_original,day,2025-03-16,108,105.14837692899056,129.88237348446762,36.3597663956173
A,F0_original,day,2025-03-17,108,110.1716352240619,139.92005407581868,20.858823209415892
A,F0_original,day,2025-03-18,108,100.54582413734204,129.86608639063994,1.6175452135779635
A,F0_original,day,2025-03-19,108,107.91863191866054,132.8543673499799,-12.40586180221795
A,F0_original,day,2025-03-20,108,101.90223221743757,126.59385882916774,10.450611573156106
A,F0_original,day,2025-03-21,108,111.44303133212706,137.89462212850452,45.103593320399945
A,F0_original,day,2025-03-22,108,91.1900094337896,114.48430003039844,12.707956313797396
A,F0_original,day,2025-03-23,108,110.43478881032757,134.26363459405584,42.58680591419212
A,F0_original,day,2025-03-24,108,97.78476820047433,129.43062893529563,34.21183836282776
A,F0_original,day,2025-03-25,108,110.38024194535765,141.96404154264016,67.67504900263239
A,F0_original,day,2025-03-26,108,90.37523491350274,117.17949451145074,34.6315653504828
A,F0_original,day,2025-03-27,108,96.9519561603522,127.58439472711818,43.72435764732459
A,F0_original,day,2025-03-28,108,116.37201081305817,147.7597850446366,-4.249950450016
A,F0_original,day,2025-03-29,108,110.88047949430467,133.14781396098178,79.26348401508758
A,F0_original,day,2025-03-30,108,127.3035401963463,158.00092721049637,73.42437654631094
A,F0_original,day,2025-03-31,108,101.94029930515855,125.35496529184401,26.231257220562625
A,F0_original,day,2025-04-01,108,114.91691373379834,142.89504330255122,50.40508746815996
A,F0_original,day,2025-04-02,108,108.12791693423777,131.12414944852446,56.19136659010184
A,F0_original,day,2025-04-03,108,98.08261906123772,132.25584850421,40.72699097580975
A,F0_original,day,2025-04-04,108,93.41021543377347,118.74380577055857,21.113525577109655
A,F0_original,day,2025-04-05,108,114.51890598541347,141.89080673823602,60.11174460202419
A,F0_original,day,2025-04-06,108,91.15467191189742,118.97207798337412,24.06733421714459
A,F0_original,day,2025-04-07,108,103.27236653857491,130.2243982864586,28.52340588883703
A,F0_original,day,2025-04-08,108,94.79114389045242,118.33437239631287,51.92719006088614
A,F0_original,day,2025-04-09,108,97.56876845992123,123.52191760839736,40.48596995760627
A,F0_original,day,2025-04-10,108,98.17332433840396,126.76210236248492,24.46559888733786
A,F0_original,day,2025-04-11,108,112.60292456073874,140.23528717629873,36.6640261954429
A,F0_original,day,2025-04-12,108,105.70187619935822,134.66267673156128,21.583920480396277
A,F0_original,day,2025-04-13,108,121.51786947707186,144.74504096983483,51.82938159896799
A,F0_original,day,2025-04-14,108,107.97637593010276,135.1743300224815,53.47217231581602
A,F0_original,day,2025-04-15,108,99.78088135333255,122.34661464113758,14.728257136575898
A,F0_original,day,2025-04-16,108,102.20850967737354,127.34088287973876,45.39178789415131
A,F0_original,day,2025-04-17,108,88.17341873386236,107.95854925854238,21.75082816578261
A,F0_original,day,2025-04-18,108,99.06431367010256,126.21253061858306,-12.364085598884587
A,F0_original,day,2025-04-19,108,104.3303092850817,130.70659599352464,20.939328497090603
A,F0_original,day,2025-04-20,108,98.62483059582945,134.1597984297314,18.212564684053095
A,F0_original,day,2025-04-21,108,117.92709913219366,148.03843757875836,63.8615958266503
A,F0_original,day,2025-04-22,108,105.99313736597705,128.5906605578096,19.462695612600164
A,F0_original,day,2025-04-23,108,107.03693955245338,129.08276281310893,16.9400828088657
A,F0_original,day,2025-04-24,108,95.59252276955885,112.69645620709889,6.69496016870661
A,F0_original,day,2025-04-25,108,105.09814471253992,126.70015044205752,40.71433891176052
A,F0_original,day,2025-04-26,108,103.06250209003927,127.77152585570866,18.5298538028472
A,F0_original,day,2025-04-27,108,107.92700702232762,138.41009592498904,17.208270082639142
A,F0_original,day,2025-04-28,108,94.10995678714023,117.89505419411925,11.405092730286245
A,F0_original,day,2025-04-29,108,91.34328373063256,112.08342226426453,14.211321427905103
A,F0_original,day,2025-04-30,108,94.41729001711954,116.91888182953709,18.246188513357335
A,F0_original,day,2025-05-01,108,223.94809170813994,298.5732873896094,164.70800464577664
A,F0_original,day,2025-05-02,108,212.7875905839756,274.4002883285112,185.0798370460378
A,F0_original,day,2025-05-03,108,195.42182666465985,264.08477532644264,146.69013364542545
A,F0_original,day,2025-05-04,108,210.63050645319703,264.0508755092839,150.20295013712544
A,F0_original,day,2025-05-05,108,143.04635605885164,181.13588864380378,59.668858356270704
A,F0_original,day,2025-05-06,108,140.05775575995557,185.30350299898296,23.080200510114498
A,F0_original,day,2025-05-07,108,132.47213327185415,165.03106389904693,28.07905758093163
A,F0_original,day,2025-05-08,108,147.31888231496984,204.7788378954153,-50.15344998820694
A,F0_original,day,2025-05-09,108,135.65128682655148,183.6660228631641,53.96453344767052
A,F0_original,day,2025-05-10,108,160.85307540291862,196.8817916353029,59.527602235089205
A,F0_original,day,2025-05-11,108,171.3331821196301,223.51431451374555,100.11358073096453
A,F0_original,day,2025-05-12,108,123.74164881648268,157.65498196393028,59.49986970859547
A,F0_original,day,2025-05-13,108,134.4162955149717,171.48026456902093,58.47801114706085
A,F0_original,day,2025-05-14,108,112.11090279410786,145.99725598278417,47.06865784261749
A,F0_original,day,2025-05-15,108,135.1827987039445,179.95635374127372,7.707501057026051
A,F0_original,day,2025-05-16,108,152.72288146513705,191.97749641101478,59.23913894385968
A,F0_original,day,2025-05-17,108,132.1578995659144,166.96002427860572,50.024312120534994
A,F0_original,day,2025-05-18,108,127.37625287364415,166.8155048428404,42.42212989155395
A,F0_original,day,2025-05-19,108,141.70146951586722,185.91727507376774,17.668001092841678
A,F0_original,day,2025-05-20,108,120.65342338154787,154.91577316251932,37.64655759220597
A,F0_original,day,2025-05-21,108,110.1547982534703,149.67739730898802,16.03708209502986
A,F0_original,day,2025-05-22,108,114.73886948787903,150.70536064475976,-4.223488119840028
A,F0_original,day,2025-05-23,108,130.63298984867063,162.58190950737216,26.254587457116358
A,F0_original,day,2025-05-24,108,116.817429634553,145.28226535745668,-18.941384606848406
A,F0_original,day,2025-05-25,108,133.81831317841454,168.5658926830824,31.120512244394988
A,F0_original,day,2025-05-26,108,113.8262904850225,142.4103798798273,-35.48013325587476
A,F0_original,day,2025-05-27,108,106.16329867127455,134.56796709188012,-6.567016467680821
A,F0_original,day,2025-05-28,108,105.0703549532891,135.51827009732006,-19.259351185244945
A,F0_original,day,2025-05-29,108,117.46711819414892,154.46438057668234,5.4819745002308515
A,F0_original,day,2025-05-30,108,124.52455502157807,151.36160885121248,-19.000400914780812
A,F0_original,day,2025-05-31,108,136.22851382312828,170.90714355032068,-38.20201008884428
A,F0_original,day,2025-06-01,108,347.6617882919408,427.7778172742906,331.7075246653978
A,F0_original,day,2025-06-02,108,218.08764356807885,270.39929995876025,174.6941881772644
A,F0_original,day,2025-06-03,108,226.02272156613802,287.5387076192128,172.87332831705422
A,F0_original,day,2025-06-04,108,160.99413719238132,205.0064184352944,22.503181783494128
A,F0_original,day,2025-06-05,108,134.00548385040352,177.1347743947005,20.0968329339051
A,F0_original,day,2025-06-06,108,197.60066509114915,229.7575903345676,-33.09228290855574
A,F0_original,day,2025-06-07,108,162.56002742787328,201.6047922267288,14.057626426806724
A,F0_original,day,2025-06-08,108,199.9692445699591,253.19535870291855,-162.2245696564835
A,F0_original,day,2025-06-09,108,161.0547377605786,212.90704810212645,96.06163473383468
A,F0_original,day,2025-06-10,108,143.0932758630956,177.65771447575136,57.222711181970965
A,F0_original,day,2025-06-11,108,159.866486567784,203.88969624501635,111.57432982963
A,F0_original,day,2025-06-12,108,138.5734403514747,195.48622280920392,78.81627655544887
A,F0_original,day,2025-06-13,108,136.69166737996628,178.94135452802482,33.15165397162347
A,F0_original,day,2025-06-14,108,130.05967601134836,165.76299058289328,37.585458245503496
A,F0_original,day,2025-06-15,108,147.02050189997473,184.39413200298821,24.143390794103965
A,F0_original,day,2025-06-16,108,148.57066397021427,182.0979361115758,26.445466318047764
A,F0_original,day,2025-06-17,108,119.3000411099843,159.1952770760877,35.08018390311248
A,F0_original,day,2025-06-18,108,130.56056104039018,159.18487936450194,-2.8283780864725134
A,F0_original,day,2025-06-19,108,142.53348331560713,177.95238339668515,16.8575870881374
A,F0_original,day,2025-06-20,108,147.97021336803869,177.68332404850403,-10.462009817961105
A,F0_original,day,2025-06-21,108,137.3749790427271,186.31507859589794,-9.827413944713856
A,F0_original,day,2025-06-22,108,134.9125228294742,171.00055953160495,-87.80511381080366
A,F0_original,day,2025-06-23,108,123.03857900926471,154.84030823154075,-13.008488610866447
A,F0_original,day,2025-06-24,108,130.6055069178755,164.52449548314087,-14.201822856054058
A,F0_original,day,2025-06-25,108,148.37798153917728,184.19943392835188,-48.36485932212655
A,F0_original,day,2025-06-26,108,126.2615999493769,155.64816878610452,-19.18668227755539
A,F0_original,day,2025-06-27,108,158.8852460294793,204.53946004887393,-108.22131832872334
A,F0_original,day,2025-06-28,108,130.68139488212182,159.3241114895709,-37.808764266371675
A,F0_original,day,2025-06-29,108,185.95540851358317,226.18425500992245,-124.28601741564614
A,F0_original,day,2025-06-30,108,193.84942285028248,243.03589980351342,-147.30114958519786
A,F0_original,day,2025-07-01,108,558.5694025469634,595.4000293581623,558.5694025469634
A,F0_original,day,2025-07-02,108,208.3913713023942,252.89885025866528,147.71931182318053
A,F0_original,day,2025-07-03,108,201.45394935466066,251.58966361566533,156.52458183763417
A,F0_original,day,2025-07-04,108,169.836677830144,212.25705571274378,108.83344553735013
A,F0_original,day,2025-07-05,108,156.96921287501536,191.01929794628958,32.29469301285484
A,F0_original,day,2025-07-06,108,348.7312854717165,397.9827255183974,334.5662815252703
A,F0_original,day,2025-07-07,108,143.91471741484222,185.66793890686606,25.04256991570153
A,F0_original,day,2025-07-08,108,338.3502700087505,393.700711251437,-335.935949915549
A,F0_original,day,2025-07-09,108,190.22686247233008,229.73131089852356,110.2819839850574
A,F0_original,day,2025-07-10,108,200.18586795047815,243.1672464928251,107.46897331058054
A,F0_original,day,2025-07-11,108,155.14846971638823,191.45489504331343,50.87680393683532
A,F0_original,day,2025-07-12,108,169.98100251182044,218.41664722854105,97.44938914912734
A,F0_original,day,2025-07-13,108,182.65088158560437,234.76599601956084,127.0819646001217
A,F0_original,day,2025-07-14,108,182.69234120307044,227.12796250768366,88.73827737134825
A,F0_original,day,2025-07-15,108,164.95207069386942,204.54138244761933,-16.1807098720697
A,F0_original,day,2025-07-16,108,192.02308955796562,235.9240232201944,56.096411929922276
A,F0_original,day,2025-07-17,108,169.95549000004237,208.23230618720365,10.545532357859386
A,F0_original,day,2025-07-18,108,261.86886114792566,315.9749564178344,-249.10665986923365
A,F0_original,day,2025-07-19,108,144.74604074270243,185.61146520885293,-2.0290891537514804
A,F0_original,day,2025-07-20,108,177.089942442551,219.96210370701132,25.313712655312877
A,F0_original,day,2025-07-21,108,169.04842811281,214.57593860762364,-80.62546978264348
A,F0_original,day,2025-07-22,108,171.86584096387438,212.4017822519443,-99.40927717367009
A,F0_original,day,2025-07-23,108,186.47799179467316,228.47670341419655,-105.75248735034728
A,F0_original,day,2025-07-24,108,168.2630357708919,207.90673014010636,-75.95631330966161
A,F0_original,day,2025-07-25,108,159.2626648355816,195.12431007719232,-80.82784472172355
A,F0_original,day,2025-07-26,108,144.53121902709557,186.0977810104458,-60.48032490955263
A,F0_original,day,2025-07-27,108,152.50177147697465,189.34529457484223,-61.96511563045047
A,F0_original,day,2025-07-28,108,166.82073410311608,198.0966416258682,-17.987096445089055
A,F0_original,day,2025-07-29,108,207.78067945702003,257.3979117187348,-176.57514068524887
A,F0_original,day,2025-07-30,108,190.03380841142558,234.9155607077494,-164.73555319462795
A,F0_original,day,2025-07-31,108,226.29063239913134,265.31667199893246,-198.5656966159603
A,F0_original,day,2025-08-01,108,175.45675616385287,224.4120759136579,-113.3942542716801
A,F0_original,day,2025-08-02,108,183.33788174333137,239.1024957975829,-150.24085444698053
A,F0_original,day,2025-08-03,108,134.6574489749071,164.11726392475768,-33.26729757674005
A,F0_original,day,2025-08-04,108,138.1040506732381,173.7524323156164,-14.638855152616854
A,F0_original,day,2025-08-05,108,213.51236086356985,254.06023896415707,-161.66318367412043
A,F0_original,day,2025-08-06,108,180.3955514243998,230.7024467475811,-115.9823271536249
A,F0_original,day,2025-08-07,108,177.9548192386375,215.63459097390967,-95.5173052566461
A,F0_original,day,2025-08-08,108,158.61051731530375,204.27461173806094,-102.51480106997658
A,F0_original,day,2025-08-09,108,152.37714196994784,190.08821754052764,-74.94819237766113
A,F0_original,day,2025-08-10,108,167.47406570563925,209.03365226734252,-78.54912795417432
A,F0_original,day,2025-08-11,108,175.11153708159023,211.51919865964692,-100.44702774173675
A,F0_original,day,2025-08-12,108,133.4959077699763,161.97499634196464,-76.37156352211332
A,F0_original,day,2025-08-13,108,150.2174833432726,189.37610776635952,-31.73465256011097
A,F0_original,day,2025-08-14,108,154.83936700016918,197.6591618792892,-45.250582105747256
A,F0_original,day,2025-08-15,108,178.70077815203987,223.00760464092815,-103.92214165410543
A,F0_original,day,2025-08-16,108,155.83775242979993,191.42826762368702,-73.11124081056846
A,F0_original,day,2025-08-17,108,165.8330204455372,207.36977897534473,-52.673522419348366
A,F0_original,day,2025-08-18,108,166.3191188370411,205.33070336621554,-68.02539975816688
A,F0_original,day,2025-08-19,108,191.88771555284094,235.22946084228764,-132.55246142951125
A,F0_original,day,2025-08-20,108,167.67019455042504,200.8077782278898,-76.19378550365857
A,F0_original,day,2025-08-21,108,147.54432620171843,189.61156693984967,-75.82453606954903
A,F0_original,day,2025-08-22,108,147.10992167026137,185.32828175566448,-35.606496188610826
A,F0_original,day,2025-08-23,108,131.89603318811106,173.32849679762052,-29.150556677312323
A,F0_original,day,2025-08-24,108,156.74622042071312,198.86443548718572,-20.703624708443165
A,F0_original,day,2025-08-25,108,130.1618688548938,166.30486981860318,-67.18347290520403
A,F0_original,day,2025-08-26,108,152.02667402678924,190.5171480045749,-82.81641325174469
A,F0_original,day,2025-08-27,108,123.70992542852557,156.54653431039188,-49.58585156948504
A,F0_original,day,2025-08-28,108,161.45604341287176,202.8788653909463,13.161201264546927
A,F0_original,day,2025-08-29,108,173.07666920237867,209.2919525751796,-73.6870918050949
A,F0_original,day,2025-08-30,108,143.72956631081445,181.77056287363644,-13.397457666178045
A,F0_original,day,2025-08-31,108,155.702212645151,185.9339968580748,-44.091651658331706
A,F0_original,day,2025-09-01,108,560.9944042678462,637.5763311694836,-558.5859195964407
A,F0_original,day,2025-09-02,108,496.1654205698376,570.5721635955902,-489.1599461329616
A,F0_original,day,2025-09-03,108,491.81047955220413,562.207937323439,-481.0716477442517
A,F0_original,day,2025-09-04,108,254.32250878513878,298.6503669278588,-68.15594533156167
A,F0_original,day,2025-09-05,108,269.436216525164,318.72020494374493,-248.89139034572543
A,F0_original,day,2025-09-06,108,157.60350335994676,202.93968010432457,-5.454742205923923
A,F0_original,day,2025-09-07,108,202.106256488531,243.87449320303236,2.0529460335377845
A,F0_original,day,2025-09-08,108,352.57233832435094,410.0754696279068,347.8048997672277
A,F0_original,day,2025-09-09,108,197.65595566318356,246.6452939756059,-171.24438420390968
A,F0_original,day,2025-09-10,108,200.30554464685065,254.39225799110145,-163.8112579870502
A,F0_original,day,2025-09-11,108,184.86353351532605,231.40742482013002,-134.53862398557496
A,F0_original,day,2025-09-12,108,168.60404452594736,213.0689865400026,-121.25924216486362
A,F0_original,day,2025-09-13,108,140.94468311124072,180.29962415067055,-81.92123532904807
A,F0_original,day,2025-09-14,108,168.02876476484593,208.01166136080522,-70.41123564930083
A,F0_original,day,2025-09-15,108,155.36940844366887,190.9426705030206,-46.116144654633494
A,F0_original,day,2025-09-16,108,123.99748763841443,157.12672671422519,-41.17695159208191
A,F0_original,day,2025-09-17,108,125.81730084527675,154.3439605369341,-22.944740397958086
A,F0_original,day,2025-09-18,108,112.092903015725,143.64094961043935,-1.394136156112356
A,F0_original,day,2025-09-19,108,152.85997221422042,195.10670674727234,-82.78604839551292
A,F0_original,day,2025-09-20,108,139.58073485137376,180.9754095297815,-8.71631699236962
A,F0_original,day,2025-09-21,108,134.00696801770323,172.5730072923375,-18.463294651160933
A,F0_original,day,2025-09-22,108,137.02282853399663,167.52150074204462,29.71271115220284
A,F0_original,day,2025-09-23,108,118.52958469724598,154.27103091840914,27.308972048044502
A,F0_original,day,2025-09-24,108,132.38397320428967,165.20407418787576,-14.598321111297961
A,F0_original,day,2025-09-25,108,134.9327962507966,182.7773949488893,-3.211850409388544
A,F0_original,day,2025-09-26,108,124.13334529107694,162.62625648426564,-45.20273075153659
A,F0_original,day,2025-09-27,108,151.62452203207624,187.9009925284807,41.563108255539795
A,F0_original,day,2025-09-28,108,144.0651976053215,178.90906352536507,-4.3934237750816685
A,F0_original,day,2025-09-29,108,148.84436001193595,180.41678768591163,86.08784973376193
A,F0_original,day,2025-09-30,108,126.86493480013706,156.4247626709085,68.76467659623802
A,F0_original,day,2025-10-01,108,193.73846159512874,250.1971686996021,-103.24083096643714
A,F0_original,day,2025-10-02,108,167.32275970999103,205.81977266790312,-48.085568786239776
A,F0_original,day,2025-10-03,108,171.71556987716644,217.51504780064312,-44.77337341003569
A,F0_original,day,2025-10-04,108,139.6411661439981,178.98165011534456,-14.750765562918332
A,F0_original,day,2025-10-05,108,166.31232024087797,195.00035980767396,49.521271731868275
A,F0_original,day,2025-10-06,108,145.42735784225758,169.73557934870504,7.260071021490797
A,F0_original,day,2025-10-07,108,120.64337450683198,157.81788832402157,-30.9502648472698
A,F0_original,day,2025-10-08,108,132.75666005579046,161.77713465821682,78.7840136035408
A,F0_original,day,2025-10-09,108,98.42653140831895,130.5410610401397,49.1004521044963
A,F0_original,day,2025-10-10,108,116.58108073855702,147.21961713990217,57.50258415982243
A,F0_original,day,2025-10-11,108,103.65962546871613,127.26322611064717,14.420559522296323
A,F0_original,day,2025-10-12,108,114.08179059131024,138.96251565697946,62.034190809099975
A,F0_original,day,2025-10-13,108,88.5012895419947,110.72162810356205,28.610586799626937
A,F0_original,day,2025-10-14,108,95.98788923867744,119.89315561198597,51.017785376849
A,F0_original,day,2025-10-15,108,94.91344764272498,121.03520257100989,22.509018611863073
A,F0_original,day,2025-10-16,108,100.39883077089115,131.81831436586126,40.71502253157701
A,F0_original,day,2025-10-17,108,98.2836930667511,126.24674803206551,24.794813639709073
A,F0_original,day,2025-10-18,108,106.53015188666507,126.26094954079018,-4.638145860826192
A,F0_original,day,2025-10-19,108,107.01791171898839,134.28840519126328,57.17085410512505
A,F0_original,day,2025-10-20,108,89.60878369319131,115.63766902012033,44.05880292013976
A,F0_original,day,2025-10-21,108,91.42240837027103,114.73850304110083,25.622456920367608
A,F0_original,day,2025-10-22,108,107.53520953497512,134.19045656077733,62.32191750456106
A,F0_original,day,2025-10-23,108,113.293698069737,141.11709601534145,34.91559464657695
A,F0_original,day,2025-10-24,108,116.72091590123385,141.2037010032468,48.62832048730317
A,F0_original,day,2025-10-25,108,114.73704443816868,136.0530108607447,42.41451509393932
A,F0_original,day,2025-10-26,108,102.59145435412569,132.103697442463,29.336979161957338
A,F0_original,day,2025-10-27,108,101.71280620218145,125.41752814719128,37.151441016700595
A,F0_original,day,2025-10-28,108,94.94777263177795,118.14525037745497,19.21728963424373
A,F0_original,day,2025-10-29,108,109.41064576331037,133.30669732380082,78.93666086801393
A,F0_original,day,2025-10-30,108,117.22932594367414,142.25328549346497,36.66628780946994
A,F0_original,day,2025-10-31,108,109.41388448041353,136.53027052268197,35.866831637081496
A,F0_original,day,2025-11-01,108,94.59711878636674,123.45573261038454,36.050699486150585
A,F0_original,day,2025-11-02,108,114.97170722122418,146.13030719693776,65.95298996075583
A,F0_original,day,2025-11-03,108,90.10598983480708,118.1046149807063,36.12056802272842
A,F0_original,day,2025-11-04,108,125.05474740863728,147.67835728271,26.137196981622825
A,F0_original,day,2025-11-05,108,109.18234782242561,136.97550777998876,46.08163486373872
A,F0_original,day,2025-11-06,108,109.52474846386654,136.64994961916855,56.998041352718054
A,F0_original,day,2025-11-07,108,122.7035108201473,149.39779504977756,54.29680075591655
A,F0_original,day,2025-11-08,108,89.76694515347647,116.75570167631474,37.72100478485786
A,F0_original,day,2025-11-09,108,116.59606171157922,142.29194011598463,52.94387097923995
A,F0_original,day,2025-11-10,108,108.88784671638352,133.13131524942875,64.44036441997896
A,F0_original,day,2025-11-11,108,96.69467781143683,118.81125035689826,52.16344618780773
A,F0_original,day,2025-11-12,108,102.02079317288813,129.4256670909398,20.157035837370973
A,F0_original,day,2025-11-13,108,108.71332354552136,130.34396014807533,48.900342901091854
A,F0_original,day,2025-11-14,108,97.44819051365977,121.8601575532031,6.858474115282598
A,F0_original,day,2025-11-15,108,101.12575363133564,127.29753029462975,39.157910076906454
A,F0_original,day,2025-11-16,108,125.60606429381794,158.56773858071512,73.74223197037124
A,F0_original,day,2025-11-17,108,93.77281708862367,113.03031163304541,-16.104506198725094
A,F0_original,day,2025-11-18,108,111.52581588014466,144.95693191552883,70.73351426780928
A,F0_original,day,2025-11-19,108,103.27666141245771,128.01194268512978,34.458323464192254
A,F0_original,day,2025-11-20,108,101.74507826897387,123.60120848482596,31.719689379340114
A,F0_original,day,2025-11-21,108,90.96262417760917,115.41781999572261,5.064330333722772
A,F0_original,day,2025-11-22,108,93.29196464195874,111.02963454784228,23.966299371849388
A,F0_original,day,2025-11-23,108,93.37942006656213,118.73869414868277,8.26699843366098
A,F0_original,day,2025-11-24,108,100.90059238827932,124.58500835333447,24.24872742261617
A,F0_original,day,2025-11-25,108,99.73593432970493,126.48149799187604,8.492907477921566
A,F0_original,day,2025-11-26,108,111.9062106630946,137.57807137549756,17.397669544755693
A,F0_original,day,2025-11-27,108,85.05483225270706,110.16630733429616,-9.048856322859828
A,F0_original,day,2025-11-28,108,101.82661952721563,128.52855476073847,22.24058271377496
A,F0_original,day,2025-11-29,108,107.60108648329482,129.2794731029641,8.962714256045375
A,F0_original,day,2025-11-30,108,116.83583284113556,145.10302199317832,25.003320540839702
A,F0_original,day,2025-12-01,108,313.72594969429764,394.7340481654574,291.71199768512344
A,F0_original,day,2025-12-02,108,329.7078875733025,393.1325440846789,315.3007549381116
A,F0_original,day,2025-12-03,108,294.4480039873014,355.74515422142866,263.62979877720267
A,F0_original,day,2025-12-04,108,164.5363856094124,204.88066369977992,25.07561109303294
A,F0_original,day,2025-12-05,108,164.64063994812955,199.24230942464234,19.109452571676503
A,F0_original,day,2025-12-06,108,137.48518191878549,165.3788230689643,8.999834695202333
A,F0_original,day,2025-12-07,108,125.11474292395981,154.31266470539433,55.65778429464288
A,F0_original,day,2025-12-08,108,200.70500666354198,245.81725644037735,-182.76852059981243
A,F0_original,day,2025-12-09,108,142.3626469393061,172.9395328588315,89.43269375611298
A,F0_original,day,2025-12-10,108,142.79563625235593,188.42817812695762,91.38957201672474
A,F0_original,day,2025-12-11,108,137.87889453356226,169.02109865904146,55.07592133071504
A,F0_original,day,2025-12-12,108,152.35084849259107,180.0938777499511,41.539718022875924
