predictor_id,alpha,month,total_cost_yuan,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan
ridge,0.9,2025-02,1240561.799263938,37687.38910578308,40488.865822366206,-2801.4767165832936
ridge,0.9,2025-03,1159298.847595191,21340.030346210115,50455.43668251904,-29115.406336308843
ridge,0.9,2025-04,981283.6516097845,10941.999743632041,46219.908021560055,-35277.90827792803
ridge,0.9,2025-05,1026526.2981550745,34400.48681120854,57253.42706725211,-22852.940256043385
ridge,0.9,2025-06,1443932.8611062027,42357.205786417006,92421.31455766154,-50064.10877124468
ridge,0.9,2025-07,1541240.1871225073,58010.61876757676,77449.59768501413,-19438.978917437267
ridge,0.9,2025-08,1328041.6891326525,40382.92361908639,64629.500345601235,-24246.576726514726
ridge,0.9,2025-09,1175491.041830851,31924.053871427663,70520.51174164773,-38596.45787021984
ridge,0.9,2025-10,1161356.9188669114,31156.743375934893,53223.566032260656,-22066.82265632575
ridge,0.9,2025-11,1311226.6442294926,42976.01903619082,45965.12743094261,-2989.108394751839
ridge,0.9,2025-12,1742444.1866983338,42844.2943712445,58312.72144733323,-15468.427076088668
lightgbm,0.8,2025-02,1207092.7562036738,0.0,0.0,0.0
lightgbm,0.8,2025-03,1123854.033478368,0.0,0.0,0.0
lightgbm,0.8,2025-04,963287.4215100064,0.0,0.0,0.0
lightgbm,0.8,2025-05,989459.2514672009,0.0,0.0,0.0
lightgbm,0.8,2025-06,1397055.683043879,0.0,0.0,0.0
lightgbm,0.8,2025-07,1489747.6791522892,0.0,0.0,0.0
lightgbm,0.8,2025-08,1285595.5196007867,0.0,0.0,0.0
lightgbm,0.8,2025-09,1138632.1899729108,0.0,0.0,0.0
lightgbm,0.8,2025-10,1119204.9885449456,0.0,0.0,0.0
lightgbm,0.8,2025-11,1262802.9148586593,0.0,0.0,0.0
lightgbm,0.8,2025-12,1696348.2325794632,0.0,0.0,0.0
lightgbm,0.7,2025-02,1200570.1605055986,-6522.595698075136,-32261.253482566448,25738.657784491086
lightgbm,0.7,2025-03,1140050.5867062896,16196.553227921482,-32546.48811481474,48743.04134273634
lightgbm,0.7,2025-04,978825.3481372385,15537.926627232111,-30998.472742626444,46536.39936985865
lightgbm,0.7,2025-05,972038.7319215856,-17420.5195456153,-37964.46296595654,20543.943420341275
lightgbm,0.7,2025-06,1402249.1857904268,5193.502746547805,-53096.54213228868,58290.044878836765
lightgbm,0.7,2025-07,1480551.4133991958,-9196.265753093408,-50482.452125631506,41286.186372538206
lightgbm,0.7,2025-08,1306429.1841717348,20833.66457094811,-41595.5420666202,62429.206637568335
lightgbm,0.7,2025-09,1141816.6365372525,3184.4465643416625,-44435.72123429389,47620.16779863558
lightgbm,0.7,2025-10,1124649.930227495,5444.941682549426,-33500.33627132024,38945.27795386952
lightgbm,0.7,2025-11,1242729.7229339455,-20073.191924713785,-28560.584509479813,8487.392584766036
lightgbm,0.7,2025-12,1676678.350340982,-19669.882238481194,-37227.94425514038,17558.062016659314
lightgbm,0.75,2025-02,1198677.8984709813,-8414.8577326925,-21261.25057839346,12846.392845700886
lightgbm,0.75,2025-03,1128804.1214676946,4950.0879893265665,-22438.544239753857,27388.63222908056
lightgbm,0.75,2025-04,972128.3246380745,8840.90312806808,-21640.2682185343,30481.171346602358
lightgbm,0.75,2025-05,973357.0768046185,-16102.17466258246,-26748.571386412717,10646.396723830301
lightgbm,0.75,2025-06,1395452.1724744232,-1603.5105694558006,-36868.35738627426,35264.84681681862
lightgbm,0.75,2025-07,1480768.1040722048,-8979.575080084382,-35621.998700023396,26642.42361993911
lightgbm,0.75,2025-08,1294317.9702787013,8722.450677914545,-28492.873753841268,37215.324431755944
lightgbm,0.75,2025-09,1135260.8345203183,-3371.3554525924847,-30908.448267866857,27537.092815274344
lightgbm,0.75,2025-10,1120431.4299301377,1226.441385192098,-23100.11251344718,24326.55389863915
lightgbm,0.75,2025-11,1245794.440152552,-17008.474706107285,-19579.38605165109,2570.911345544004
lightgbm,0.75,2025-12,1682396.685464729,-13951.547114734072,-25534.542024316266,11582.994909582107
lightgbm,0.85,2025-02,1215641.5327615826,8548.77655790886,11635.479147771606,-3086.7025898629186
lightgbm,0.85,2025-03,1128378.2304834523,4524.19700508425,13088.14354326902,-8563.94653818469
lightgbm,0.85,2025-04,961292.6246764828,-1994.7968335236656,11596.846996708191,-13591.643830231733
lightgbm,0.85,2025-05,1000598.9058259556,11139.654358754633,15822.014713670244,-4682.36035491556
lightgbm,0.85,2025-06,1406687.4056756909,9631.722631811863,24714.93597507826,-15083.213343266194
lightgbm,0.85,2025-07,1501301.100194875,11553.421042585745,21100.17686811043,-9546.755825524575
lightgbm,0.85,2025-08,1288846.8457449675,3251.3261441807263,17870.51645826944,-14619.190314088704
lightgbm,0.85,2025-09,1149248.5052655693,10616.315292658517,19498.605615679175,-8882.290323020607
lightgbm,0.85,2025-10,1126249.1700538497,7044.18150890409,14322.245147343958,-7278.063638440079
lightgbm,0.85,2025-11,1274951.028852655,12148.113993995823,12405.863523165463,-257.7495291697103
lightgbm,0.85,2025-12,1705862.6898635789,9514.45728411572,14965.100017205812,-5450.642733090033
lightgbm,0.9,2025-02,1244293.6084544687,37200.85225079488,43098.35642774752,-5897.5041769527215
lightgbm,0.9,2025-03,1154025.5280492033,30171.49457083526,49870.59704573103,-19699.102474895495
lightgbm,0.9,2025-04,974665.9696418019,11378.548131795484,44064.177270142245,-32685.62913834673
lightgbm,0.9,2025-05,1030639.477035245,41180.225568044116,56337.29413471685,-15157.06856667269
lightgbm,0.9,2025-06,1449874.1253549743,52818.44231109531,95652.38636972988,-42833.94405863437
lightgbm,0.9,2025-07,1551295.4242496877,61547.745097398525,83527.32914251415,-21979.58404511544
lightgbm,0.9,2025-08,1318869.6048486987,33274.08524791198,62207.23091487121,-28933.14566695921
lightgbm,0.9,2025-09,1184473.013482022,45840.8235091113,67811.72077446477,-21970.897265353506
lightgbm,0.9,2025-10,1154464.2958603918,35259.3073154462,50371.68699654634,-15112.379681100185
lightgbm,0.9,2025-11,1305836.4844534737,43033.56959481444,44044.79065637686,-1011.2210615622396
lightgbm,0.9,2025-12,1740303.3424623902,43955.109882927034,57884.40981834964,-13929.299935422525
