target,day_index,date,score_days,mine_score_days,chosen_lambda,stored_lambda,max_score_abs_diff,used_default
load,85,2025-03-27,14,14,0.01,0.01,7.275957614183426e-12,False
load,86,2025-03-28,14,14,0.1,0.1,7.275957614183426e-12,False
load,87,2025-03-29,14,14,0.1,0.1,3.637978807091713e-12,False
load,88,2025-03-30,14,14,0.1,0.1,7.275957614183426e-12,False
load,89,2025-03-31,14,14,0.1,0.1,1.0913936421275139e-11,False
load,90,2025-04-01,14,14,0.1,0.1,7.275957614183426e-12,False
load,91,2025-04-02,14,14,0.1,0.1,7.275957614183426e-12,False
load,92,2025-04-03,14,14,0.1,0.1,1.0913936421275139e-11,False
load,93,2025-04-04,14,14,0.1,0.1,1.0913936421275139e-11,False
load,94,2025-04-05,14,14,0.1,0.1,1.0913936421275139e-11,False
load,95,2025-04-06,14,14,0.1,0.1,1.0913936421275139e-11,False
load,96,2025-04-07,14,14,0.1,0.1,1.4551915228366852e-11,False
load,97,2025-04-08,14,14,0.1,0.1,1.4551915228366852e-11,False
load,98,2025-04-09,14,14,0.1,0.1,1.0913936421275139e-11,False
load,99,2025-04-10,14,14,0.1,0.1,7.275957614183426e-12,False
load,100,2025-04-11,14,14,0.1,0.1,1.4551915228366852e-11,False
load,101,2025-04-12,14,14,1.0,1.0,7.275957614183426e-12,False
load,102,2025-04-13,14,14,0.1,0.1,3.637978807091713e-12,False
load,103,2025-04-14,14,14,0.1,0.1,7.275957614183426e-12,False
load,104,2025-04-15,14,14,0.1,0.1,1.0913936421275139e-11,False
load,105,2025-04-16,14,14,0.1,0.1,7.275957614183426e-12,False
load,106,2025-04-17,14,14,0.1,0.1,7.275957614183426e-12,False
load,107,2025-04-18,14,14,0.1,0.1,3.637978807091713e-12,False
load,108,2025-04-19,14,14,0.1,0.1,3.637978807091713e-12,False
load,109,2025-04-20,14,14,0.1,0.1,3.637978807091713e-12,False
load,110,2025-04-21,14,14,0.1,0.1,7.275957614183426e-12,False
load,111,2025-04-22,14,14,0.1,0.1,3.637978807091713e-12,False
load,112,2025-04-23,14,14,0.1,0.1,7.275957614183426e-12,False
load,113,2025-04-24,14,14,0.1,0.1,7.275957614183426e-12,False
load,114,2025-04-25,14,14,0.1,0.1,3.637978807091713e-12,False
load,115,2025-04-26,14,14,0.1,0.1,7.275957614183426e-12,False
load,116,2025-04-27,14,14,0.1,0.1,7.275957614183426e-12,False
load,117,2025-04-28,14,14,0.1,0.1,1.0913936421275139e-11,False
load,118,2025-04-29,14,14,0.1,0.1,7.275957614183426e-12,False
load,119,2025-04-30,14,14,0.1,0.1,7.275957614183426e-12,False
load,120,2025-05-01,14,14,0.1,0.1,3.637978807091713e-12,False
load,121,2025-05-02,14,14,0.1,0.1,7.275957614183426e-12,False
load,122,2025-05-03,14,14,0.1,0.1,1.4551915228366852e-11,False
load,123,2025-05-04,14,14,0.01,0.01,1.0913936421275139e-11,False
load,124,2025-05-05,14,14,0.001,0.001,7.275957614183426e-12,False
load,125,2025-05-06,14,14,0.001,0.001,1.0913936421275139e-11,False
load,126,2025-05-07,14,14,0.001,0.001,1.8189894035458565e-11,False
load,127,2025-05-08,14,14,0.001,0.001,1.8189894035458565e-11,False
load,128,2025-05-09,14,14,0.001,0.001,1.4551915228366852e-11,False
load,129,2025-05-10,14,14,0.001,0.001,1.4551915228366852e-11,False
load,130,2025-05-11,14,14,0.001,0.001,7.275957614183426e-12,False
load,131,2025-05-12,14,14,0.001,0.001,1.4551915228366852e-11,False
load,132,2025-05-13,14,14,0.001,0.001,1.4551915228366852e-11,False
load,133,2025-05-14,14,14,0.001,0.001,1.4551915228366852e-11,False
load,134,2025-05-15,14,14,0.1,0.1,7.275957614183426e-12,False
load,135,2025-05-16,14,14,0.1,0.1,7.275957614183426e-12,False
load,136,2025-05-17,14,14,0.1,0.1,7.275957614183426e-12,False
load,137,2025-05-18,14,14,0.1,0.1,7.275957614183426e-12,False
load,138,2025-05-19,14,14,0.1,0.1,1.0913936421275139e-11,False
load,139,2025-05-20,14,14,0.1,0.1,7.275957614183426e-12,False
load,140,2025-05-21,14,14,0.1,0.1,7.275957614183426e-12,False
load,141,2025-05-22,14,14,1.0,1.0,7.275957614183426e-12,False
load,142,2025-05-23,14,14,1.0,1.0,3.637978807091713e-12,False
load,143,2025-05-24,14,14,0.1,0.1,7.275957614183426e-12,False
load,144,2025-05-25,14,14,0.1,0.1,3.637978807091713e-12,False
load,145,2025-05-26,14,14,0.1,0.1,7.275957614183426e-12,False
load,146,2025-05-27,14,14,0.1,0.1,7.275957614183426e-12,False
load,147,2025-05-28,14,14,0.01,0.01,7.275957614183426e-12,False
load,148,2025-05-29,14,14,0.001,0.001,7.275957614183426e-12,False
load,149,2025-05-30,14,14,0.01,0.01,7.275957614183426e-12,False
load,150,2025-05-31,14,14,0.001,0.001,1.0913936421275139e-11,False
load,151,2025-06-01,14,14,0.01,0.01,7.275957614183426e-12,False
load,152,2025-06-02,14,14,0.001,0.001,1.4551915228366852e-11,False
load,153,2025-06-03,14,14,0.001,0.001,2.1827872842550278e-11,False
load,154,2025-06-04,14,14,0.001,0.001,2.1827872842550278e-11,False
load,155,2025-06-05,14,14,0.001,0.001,1.4551915228366852e-11,False
load,156,2025-06-06,14,14,0.001,0.001,1.4551915228366852e-11,False
load,157,2025-06-07,14,14,0.001,0.001,2.9103830456733704e-11,False
load,158,2025-06-08,14,14,0.001,0.001,1.4551915228366852e-11,False
load,159,2025-06-09,14,14,0.001,0.001,3.637978807091713e-11,False
load,160,2025-06-10,14,14,0.001,0.001,1.4551915228366852e-11,False
load,161,2025-06-11,14,14,0.001,0.001,2.9103830456733704e-11,False
load,162,2025-06-12,14,14,0.001,0.001,3.637978807091713e-11,False
load,163,2025-06-13,14,14,0.001,0.001,2.9103830456733704e-11,False
load,164,2025-06-14,14,14,0.1,0.1,2.9103830456733704e-11,False
load,165,2025-06-15,14,14,0.1,0.1,2.9103830456733704e-11,False
load,166,2025-06-16,14,14,0.1,0.1,4.3655745685100555e-11,False
load,167,2025-06-17,14,14,0.1,0.1,5.093170329928398e-11,False
load,168,2025-06-18,14,14,0.1,0.1,4.3655745685100555e-11,False
load,169,2025-06-19,14,14,1.0,1.0,5.093170329928398e-11,False
load,170,2025-06-20,14,14,1.0,1.0,5.820766091346741e-11,False
load,171,2025-06-21,14,14,1.0,1.0,5.093170329928398e-11,False
load,172,2025-06-22,14,14,1.0,1.0,6.548361852765083e-11,False
load,173,2025-06-23,14,14,1.0,1.0,6.548361852765083e-11,False
load,174,2025-06-24,14,14,1.0,1.0,4.3655745685100555e-11,False
load,175,2025-06-25,14,14,1.0,1.0,2.1827872842550278e-11,False
load,176,2025-06-26,14,14,1.0,1.0,2.9103830456733704e-11,False
load,177,2025-06-27,14,14,0.1,0.1,2.1827872842550278e-11,False
load,178,2025-06-28,14,14,0.1,0.1,2.1827872842550278e-11,False
load,179,2025-06-29,14,14,0.1,0.1,2.1827872842550278e-11,False
load,180,2025-06-30,14,14,0.1,0.1,1.4551915228366852e-11,False
load,181,2025-07-01,14,14,0.1,0.1,1.4551915228366852e-11,False
load,182,2025-07-02,14,14,0.1,0.1,7.275957614183426e-12,False
load,183,2025-07-03,14,14,0.01,0.01,2.9103830456733704e-11,False
load,184,2025-07-04,14,14,0.01,0.01,2.1827872842550278e-11,False
load,185,2025-07-05,14,14,0.001,0.001,1.4551915228366852e-11,False
load,186,2025-07-06,14,14,0.001,0.001,1.4551915228366852e-11,False
load,187,2025-07-07,14,14,0.001,0.001,2.9103830456733704e-11,False
load,188,2025-07-08,14,14,0.001,0.001,5.820766091346741e-11,False
load,189,2025-07-09,14,14,0.001,0.001,5.820766091346741e-11,False
load,190,2025-07-10,14,14,0.001,0.001,2.9103830456733704e-11,False
load,191,2025-07-11,14,14,0.001,0.001,4.3655745685100555e-11,False
load,192,2025-07-12,14,14,0.1,0.1,2.9103830456733704e-11,False
load,193,2025-07-13,14,14,0.1,0.1,2.9103830456733704e-11,False
load,194,2025-07-14,14,14,0.1,0.1,4.3655745685100555e-11,False
load,195,2025-07-15,14,14,0.1,0.1,5.820766091346741e-11,False
load,196,2025-07-16,14,14,0.1,0.1,2.9103830456733704e-11,False
load,197,2025-07-17,14,14,0.1,0.1,2.9103830456733704e-11,False
load,198,2025-07-18,14,14,0.1,0.1,1.4551915228366852e-11,False
load,199,2025-07-19,14,14,1.0,1.0,4.3655745685100555e-11,False
load,200,2025-07-20,14,14,1.0,1.0,2.1827872842550278e-11,False
load,201,2025-07-21,14,14,1.0,1.0,0.0,False
load,202,2025-07-22,14,14,1.0,1.0,1.4551915228366852e-11,False
load,203,2025-07-23,14,14,1.0,1.0,3.637978807091713e-11,False
load,204,2025-07-24,14,14,1.0,1.0,2.9103830456733704e-11,False
load,205,2025-07-25,14,14,1.0,1.0,4.3655745685100555e-11,False
load,206,2025-07-26,14,14,1.0,1.0,2.1827872842550278e-11,False
load,207,2025-07-27,14,14,0.1,0.1,2.9103830456733704e-11,False
load,208,2025-07-28,14,14,0.1,0.1,2.9103830456733704e-11,False
load,209,2025-07-29,14,14,0.1,0.1,4.3655745685100555e-11,False
load,210,2025-07-30,14,14,0.1,0.1,5.820766091346741e-11,False
load,211,2025-07-31,14,14,0.1,0.1,4.3655745685100555e-11,False
load,212,2025-08-01,14,14,0.1,0.1,3.637978807091713e-11,False
load,213,2025-08-02,14,14,0.1,0.1,2.1827872842550278e-11,False
load,214,2025-08-03,14,14,0.1,0.1,2.9103830456733704e-11,False
load,215,2025-08-04,14,14,0.1,0.1,2.9103830456733704e-11,False
load,216,2025-08-05,14,14,0.1,0.1,1.4551915228366852e-11,False
load,217,2025-08-06,14,14,0.1,0.1,1.4551915228366852e-11,False
load,218,2025-08-07,14,14,1.0,1.0,2.1827872842550278e-11,False
load,219,2025-08-08,14,14,1.0,1.0,1.4551915228366852e-11,False
load,220,2025-08-09,14,14,1.0,1.0,1.4551915228366852e-11,False
load,221,2025-08-10,14,14,1.0,1.0,7.275957614183426e-12,False
load,222,2025-08-11,14,14,1.0,1.0,1.4551915228366852e-11,False
load,223,2025-08-12,14,14,1.0,1.0,3.637978807091713e-11,False
load,224,2025-08-13,14,14,1.0,1.0,2.9103830456733704e-11,False
load,225,2025-08-14,14,14,0.001,0.001,3.637978807091713e-11,False
load,226,2025-08-15,14,14,0.001,0.001,6.548361852765083e-11,False
load,227,2025-08-16,14,14,0.001,0.001,2.1827872842550278e-11,False
load,228,2025-08-17,14,14,0.001,0.001,2.1827872842550278e-11,False
load,229,2025-08-18,14,14,0.001,0.001,2.1827872842550278e-11,False
load,230,2025-08-19,14,14,0.001,0.001,2.1827872842550278e-11,False
load,231,2025-08-20,14,14,0.001,0.001,1.4551915228366852e-11,False
load,232,2025-08-21,14,14,0.001,0.001,2.1827872842550278e-11,False
load,233,2025-08-22,14,14,0.001,0.001,2.9103830456733704e-11,False
load,234,2025-08-23,14,14,0.001,0.001,2.9103830456733704e-11,False
load,235,2025-08-24,14,14,0.001,0.001,5.093170329928398e-11,False
load,236,2025-08-25,14,14,0.001,0.001,4.3655745685100555e-11,False
load,237,2025-08-26,14,14,0.001,0.001,4.3655745685100555e-11,False
load,238,2025-08-27,14,14,0.01,0.01,4.3655745685100555e-11,False
load,239,2025-08-28,14,14,0.01,0.01,3.637978807091713e-11,False
load,240,2025-08-29,14,14,0.01,0.01,2.9103830456733704e-11,False
load,241,2025-08-30,14,14,0.001,0.001,2.9103830456733704e-11,False
load,242,2025-08-31,14,14,0.01,0.01,1.4551915228366852e-11,False
load,243,2025-09-01,14,14,0.01,0.01,2.1827872842550278e-11,False
load,244,2025-09-02,14,14,0.1,0.1,5.820766091346741e-11,False
load,245,2025-09-03,14,14,0.01,0.01,1.4551915228366852e-10,False
load,246,2025-09-04,14,14,0.001,0.001,1.4551915228366852e-10,False
load,247,2025-09-05,14,14,0.001,0.001,7.275957614183426e-11,False
load,248,2025-09-06,14,14,0.001,0.001,1.0186340659856796e-10,False
load,249,2025-09-07,14,14,0.001,0.001,1.0186340659856796e-10,False
load,250,2025-09-08,14,14,0.001,0.001,8.731149137020111e-11,False
load,251,2025-09-09,14,14,0.001,0.001,2.0372681319713593e-10,False
load,252,2025-09-10,14,14,0.01,0.01,1.7462298274040222e-10,False
load,253,2025-09-11,14,14,0.01,0.01,2.473825588822365e-10,False
load,254,2025-09-12,14,14,0.1,0.1,2.3283064365386963e-10,False
load,255,2025-09-13,14,14,0.1,0.1,2.3283064365386963e-10,False
load,256,2025-09-14,14,14,0.1,0.1,2.3283064365386963e-10,False
load,257,2025-09-15,14,14,0.1,0.1,2.473825588822365e-10,False
load,258,2025-09-16,14,14,0.1,0.1,1.8917489796876907e-10,False
load,259,2025-09-17,14,14,0.1,0.1,8.731149137020111e-11,False
load,260,2025-09-18,14,14,0.1,0.1,1.0186340659856796e-10,False
load,261,2025-09-19,14,14,1.0,1.0,1.3096723705530167e-10,False
load,262,2025-09-20,14,14,1.0,1.0,1.4551915228366852e-10,False
load,263,2025-09-21,14,14,1.0,1.0,1.382431946694851e-10,False
load,264,2025-09-22,14,14,1.0,1.0,1.4551915228366852e-10,False
load,265,2025-09-23,14,14,1.0,1.0,2.1827872842550278e-11,False
load,266,2025-09-24,14,14,1.0,1.0,4.3655745685100555e-11,False
load,267,2025-09-25,14,14,1.0,1.0,3.637978807091713e-11,False
load,268,2025-09-26,14,14,1.0,1.0,2.1827872842550278e-11,False
load,269,2025-09-27,14,14,1.0,1.0,7.275957614183426e-12,False
load,270,2025-09-28,14,14,1.0,1.0,1.0913936421275139e-11,False
load,271,2025-09-29,14,14,0.1,0.1,7.275957614183426e-12,False
load,272,2025-09-30,14,14,0.1,0.1,1.8189894035458565e-11,False
load,273,2025-10-01,14,14,0.1,0.1,2.546585164964199e-11,False
load,274,2025-10-02,14,14,0.1,0.1,3.2741809263825417e-11,False
load,275,2025-10-03,14,14,0.1,0.1,3.637978807091713e-11,False
load,276,2025-10-04,14,14,0.1,0.1,3.637978807091713e-11,False
load,277,2025-10-05,14,14,0.1,0.1,3.637978807091713e-11,False
load,278,2025-10-06,14,14,0.1,0.1,3.637978807091713e-11,False
load,279,2025-10-07,14,14,0.1,0.1,2.1827872842550278e-11,False
load,280,2025-10-08,14,14,0.1,0.1,1.4551915228366852e-11,False
load,281,2025-10-09,14,14,0.1,0.1,2.1827872842550278e-11,False
load,282,2025-10-10,14,14,0.1,0.1,2.9103830456733704e-11,False
load,283,2025-10-11,14,14,0.1,0.1,2.1827872842550278e-11,False
load,284,2025-10-12,14,14,0.1,0.1,2.1827872842550278e-11,False
load,285,2025-10-13,14,14,0.1,0.1,2.546585164964199e-11,False
load,286,2025-10-14,14,14,0.1,0.1,7.275957614183426e-12,False
load,287,2025-10-15,14,14,0.01,0.01,7.275957614183426e-12,False
load,288,2025-10-16,14,14,0.1,0.1,7.275957614183426e-12,False
load,289,2025-10-17,14,14,0.1,0.1,1.0913936421275139e-11,False
load,290,2025-10-18,14,14,0.1,0.1,1.0913936421275139e-11,False
load,291,2025-10-19,14,14,0.1,0.1,2.1827872842550278e-11,False
load,292,2025-10-20,14,14,0.1,0.1,2.1827872842550278e-11,False
load,293,2025-10-21,14,14,0.01,0.01,2.546585164964199e-11,False
load,294,2025-10-22,14,14,0.1,0.1,2.546585164964199e-11,False
load,295,2025-10-23,14,14,0.01,0.01,1.4551915228366852e-11,False
load,296,2025-10-24,14,14,0.01,0.01,1.4551915228366852e-11,False
load,297,2025-10-25,14,14,0.01,0.01,3.2741809263825417e-11,False
load,298,2025-10-26,14,14,0.1,0.1,3.2741809263825417e-11,False
load,299,2025-10-27,14,14,0.1,0.1,2.9103830456733704e-11,False
load,300,2025-10-28,14,14,0.1,0.1,3.637978807091713e-11,False
load,301,2025-10-29,14,14,0.1,0.1,2.546585164964199e-11,False
load,302,2025-10-30,14,14,0.1,0.1,1.8189894035458565e-11,False
load,303,2025-10-31,14,14,1.0,1.0,7.275957614183426e-12,False
load,304,2025-11-01,14,14,1.0,1.0,1.0913936421275139e-11,False
load,305,2025-11-02,14,14,1.0,1.0,1.8189894035458565e-11,False
load,306,2025-11-03,14,14,1.0,1.0,1.8189894035458565e-11,False
load,307,2025-11-04,14,14,1.0,1.0,1.8189894035458565e-11,False
load,308,2025-11-05,14,14,1.0,1.0,1.8189894035458565e-11,False
load,309,2025-11-06,14,14,1.0,1.0,1.0913936421275139e-11,False
load,310,2025-11-07,14,14,1.0,1.0,1.8189894035458565e-11,False
load,311,2025-11-08,14,14,1.0,1.0,2.546585164964199e-11,False
load,312,2025-11-09,14,14,1.0,1.0,2.546585164964199e-11,False
load,313,2025-11-10,14,14,1.0,1.0,2.1827872842550278e-11,False
load,314,2025-11-11,14,14,1.0,1.0,2.9103830456733704e-11,False
load,315,2025-11-12,14,14,1.0,1.0,1.8189894035458565e-11,False
load,316,2025-11-13,14,14,1.0,1.0,1.0913936421275139e-11,False
load,317,2025-11-14,14,14,1.0,1.0,1.0913936421275139e-11,False
load,318,2025-11-15,14,14,1.0,1.0,1.4551915228366852e-11,False
load,319,2025-11-16,14,14,1.0,1.0,7.275957614183426e-12,False
load,320,2025-11-17,14,14,1.0,1.0,1.4551915228366852e-11,False
load,321,2025-11-18,14,14,1.0,1.0,3.637978807091713e-12,False
load,322,2025-11-19,14,14,1.0,1.0,3.637978807091713e-12,False
load,323,2025-11-20,14,14,1.0,1.0,7.275957614183426e-12,False
load,324,2025-11-21,14,14,0.1,0.1,7.275957614183426e-12,False
load,325,2025-11-22,14,14,0.1,0.1,3.637978807091713e-12,False
load,326,2025-11-23,14,14,0.1,0.1,7.275957614183426e-12,False
load,327,2025-11-24,14,14,0.1,0.1,1.0913936421275139e-11,False
load,328,2025-11-25,14,14,0.1,0.1,7.275957614183426e-12,False
load,329,2025-11-26,14,14,0.1,0.1,7.275957614183426e-12,False
load,330,2025-11-27,14,14,0.1,0.1,7.275957614183426e-12,False
load,331,2025-11-28,14,14,0.1,0.1,7.275957614183426e-12,False
load,332,2025-11-29,14,14,0.1,0.1,3.637978807091713e-12,False
load,333,2025-11-30,14,14,0.1,0.1,3.637978807091713e-12,False
load,334,2025-12-01,14,14,0.1,0.1,7.275957614183426e-12,False
load,335,2025-12-02,14,14,0.1,0.1,7.275957614183426e-12,False
load,336,2025-12-03,14,14,0.01,0.01,2.9103830456733704e-11,False
load,337,2025-12-04,14,14,0.001,0.001,2.9103830456733704e-11,False
load,338,2025-12-05,14,14,0.001,0.001,4.3655745685100555e-11,False
load,339,2025-12-06,14,14,0.001,0.001,2.9103830456733704e-11,False
load,340,2025-12-07,14,14,0.001,0.001,2.9103830456733704e-11,False
load,341,2025-12-08,14,14,0.001,0.001,3.637978807091713e-11,False
load,342,2025-12-09,14,14,0.001,0.001,2.9103830456733704e-11,False
load,343,2025-12-10,14,14,0.01,0.01,2.9103830456733704e-11,False
load,344,2025-12-11,14,14,0.1,0.1,2.9103830456733704e-11,False
load,345,2025-12-12,14,14,0.1,0.1,3.637978807091713e-11,False
load,346,2025-12-13,14,14,0.1,0.1,3.637978807091713e-11,False
load,347,2025-12-14,14,14,0.1,0.1,3.637978807091713e-11,False
load,348,2025-12-15,14,14,0.1,0.1,4.3655745685100555e-11,False
load,349,2025-12-16,14,14,0.1,0.1,3.637978807091713e-11,False
load,350,2025-12-17,14,14,0.1,0.1,7.275957614183426e-11,False
load,351,2025-12-18,14,14,1.0,1.0,8.003553375601768e-11,False
load,352,2025-12-19,14,14,1.0,1.0,8.731149137020111e-11,False
load,353,2025-12-20,14,14,1.0,1.0,5.820766091346741e-11,False
load,354,2025-12-21,14,14,1.0,1.0,6.548361852765083e-11,False
load,355,2025-12-22,14,14,1.0,1.0,5.820766091346741e-11,False
load,356,2025-12-23,14,14,1.0,1.0,7.275957614183426e-11,False
load,357,2025-12-24,14,14,1.0,1.0,3.2741809263825417e-11,False
load,358,2025-12-25,14,14,1.0,1.0,1.0913936421275139e-11,False
load,359,2025-12-26,14,14,1.0,1.0,1.0913936421275139e-11,False
load,360,2025-12-27,14,14,1.0,1.0,1.4551915228366852e-11,False
load,361,2025-12-28,14,14,0.1,0.1,1.4551915228366852e-11,False
load,362,2025-12-29,14,14,0.01,0.01,1.4551915228366852e-11,False
load,363,2025-12-30,14,14,0.01,0.01,1.4551915228366852e-11,False
load,364,2025-12-31,14,14,0.01,0.01,1.4551915228366852e-11,False
pv,7,2025-01-08,0,0,0.1,0.1,0.0,True
pv,8,2025-01-09,0,0,0.1,0.1,0.0,True
pv,9,2025-01-10,0,0,0.1,0.1,0.0,True
pv,10,2025-01-11,0,0,0.1,0.1,0.0,True
pv,11,2025-01-12,0,0,0.1,0.1,0.0,True
pv,12,2025-01-13,0,0,0.1,0.1,0.0,True
pv,13,2025-01-14,0,0,0.1,0.1,0.0,True
pv,14,2025-01-15,0,0,0.1,0.1,0.0,True
pv,15,2025-01-16,0,0,0.1,0.1,0.0,True
pv,16,2025-01-17,0,0,0.1,0.1,0.0,True
pv,17,2025-01-18,0,0,0.1,0.1,0.0,True
pv,18,2025-01-19,0,0,0.1,0.1,0.0,True
pv,19,2025-01-20,0,0,0.1,0.1,0.0,True
pv,20,2025-01-21,0,0,0.1,0.1,0.0,True
pv,21,2025-01-22,0,0,0.1,0.1,0.0,True
pv,22,2025-01-23,1,1,0.1,0.1,0.0,True
pv,23,2025-01-24,2,2,0.1,0.1,0.0,True
pv,24,2025-01-25,3,3,0.1,0.1,0.0,True
pv,25,2025-01-26,4,4,0.1,0.1,0.0,True
pv,26,2025-01-27,5,5,0.1,0.1,0.0,True
pv,27,2025-01-28,6,6,0.1,0.1,0.0,True
pv,28,2025-01-29,7,7,0.001,0.001,1.1641532182693481e-10,False
pv,29,2025-01-30,8,8,0.001,0.001,1.1641532182693481e-10,False
pv,30,2025-01-31,9,9,0.001,0.001,9.458744898438454e-11,False
pv,31,2025-02-01,10,10,0.001,0.001,8.731149137020111e-11,False
pv,32,2025-02-02,11,11,0.001,0.001,8.003553375601768e-11,False
pv,33,2025-02-03,12,12,0.001,0.001,5.820766091346741e-11,False
pv,34,2025-02-04,13,13,0.001,0.001,5.093170329928398e-11,False
pv,35,2025-02-05,14,14,0.001,0.001,6.548361852765083e-11,False
pv,36,2025-02-06,14,14,0.001,0.001,1.4551915228366852e-10,False
pv,37,2025-02-07,14,14,0.1,0.1,8.731149137020111e-11,False
