target,day_index,date,chosen,score_days,trained,reason,tied,score_zero,score_ar1,score_ma1,score_arma11
load,75,2025-03-17,ar1,14,True,,ar1,36921.10338899574,32692.5446328014,33437.73543341279,33423.66724461029
load,76,2025-03-18,ar1,14,True,,ar1,35358.224573949105,32564.784705757673,33236.037823406696,33098.885783372934
load,77,2025-03-19,ar1,14,True,,ar1,33031.333659531585,31855.66737448988,32186.428703052326,32368.281752039016
load,78,2025-03-20,ar1,14,True,,ar1,30744.717412056376,30717.566994546265,30818.71133651782,31209.374568532763
load,79,2025-03-21,zero,14,True,,zero,28343.619489081248,29862.120749803533,29816.949642299332,30440.52069622917
load,80,2025-03-22,zero,14,True,,zero,24797.597501114466,28616.276251772942,28416.008129910282,29448.871544752143
load,81,2025-03-23,zero,14,True,,zero,24694.09118725618,27951.560590787638,27912.143857411018,28528.002365238823
load,82,2025-03-24,zero,14,True,,zero,24487.3705869662,27779.89749209104,27770.030264134348,28197.371242848036
load,83,2025-03-25,zero,14,True,,zero,23908.09733937081,26950.512218348493,26955.467083741452,27208.6838915336
load,84,2025-03-26,zero,14,True,,zero,24137.201775232916,27578.931293628313,27511.828788315568,27678.045548980957
load,85,2025-03-27,zero,14,True,,zero,23843.599622776783,27333.497646082666,27236.994313986426,27428.216532324754
load,86,2025-03-28,zero,14,True,,zero,23830.341646999485,27201.12327279939,27124.18071598867,27292.33622739096
load,87,2025-03-29,zero,14,True,,zero,24138.84583875869,27348.014424148576,27235.398004215673,27444.852887991536
load,88,2025-03-30,zero,14,True,,zero,24116.253547246182,27438.32355934674,27249.458524390542,27481.45109673773
load,89,2025-03-31,zero,14,True,,zero,24307.668335354203,27788.96401214302,27544.30335114529,27810.12275817244
load,90,2025-04-01,zero,14,True,,zero,23615.897909459225,26974.183231102794,26697.468825181444,26965.512990968487
load,91,2025-04-02,zero,14,True,,zero,23944.8725322824,27258.06672738491,27083.45011122783,27152.608688872977
load,92,2025-04-03,zero,14,True,,zero,23925.916233467622,27425.195169419978,27325.378757359358,27372.207670156633
load,93,2025-04-04,zero,14,True,,zero,23891.679585365302,27267.93958480589,27131.058202630516,27159.53913661368
load,94,2025-04-05,zero,14,True,,zero,24130.449251512808,27132.73897940833,26977.173632628776,26972.24793671035
load,95,2025-04-06,zero,14,True,,zero,24388.955937562663,27373.329770461776,27285.844269349152,27245.139178296984
load,96,2025-04-07,zero,14,True,,zero,24666.142065445358,27589.196832926318,27450.15518022051,27468.347120480772
load,97,2025-04-08,zero,14,True,,zero,24711.44767759961,27790.464266230072,27601.577525364915,27743.125391956422
load,98,2025-04-09,zero,14,True,,zero,24448.632618519692,27177.661065456137,27048.220354690176,27238.87627691573
load,99,2025-04-10,zero,14,True,,zero,24730.432186943857,27192.64037382381,27073.10760487343,27290.852700778825
load,100,2025-04-11,zero,14,True,,zero,24714.002253030525,27132.354919820216,27042.420709545884,27163.249816518215
load,101,2025-04-12,zero,14,True,,zero,24545.089449458002,26950.26860139081,26856.16358876954,27029.210824356807
load,102,2025-04-13,zero,14,True,,zero,24934.36110471919,27170.878934090037,27179.64820996811,27306.43242857518
load,103,2025-04-14,zero,14,True,,zero,24844.310052028133,26662.337213944524,26712.41748689333,26829.45777744129
load,104,2025-04-15,zero,14,True,,zero,25143.717608926116,27105.4056281271,27182.65397082186,27371.744959065225
load,105,2025-04-16,zero,14,True,,zero,24676.68246327605,26301.056198120532,26414.419408257185,26637.80461886172
load,106,2025-04-17,zero,14,True,,zero,24583.625669216057,26208.540496356516,26339.511351390076,26547.297626084837
load,107,2025-04-18,zero,14,True,,zero,23909.534882863445,25631.848631196157,25794.07306365011,26014.113817252157
load,108,2025-04-19,zero,14,True,,zero,23987.823817056724,25682.81841746092,25895.772681911152,26008.778960788826
load,109,2025-04-20,zero,14,True,,zero,24100.904217567797,25787.667496081605,25997.00079730767,26070.81614127112
load,110,2025-04-21,zero,14,True,,zero,24262.16110906032,26025.120429004684,26299.582293694824,26275.367519102674
load,111,2025-04-22,zero,14,True,,zero,24575.404359291973,26276.41236076474,26642.2717069773,26628.34971013799
load,112,2025-04-23,zero,14,True,,zero,24681.382293873994,26569.41471472308,26906.606905484587,26974.637711616942
load,113,2025-04-24,zero,14,True,,zero,24780.512285106975,26752.887722039497,27087.897333146193,27136.55825307913
load,114,2025-04-25,zero,14,True,,zero,24270.259924727397,25983.97774334722,26283.257993531857,26365.820235815565
load,115,2025-04-26,zero,14,True,,zero,23945.444995309514,25629.93307295746,25911.366943167835,26006.01858213135
load,116,2025-04-27,zero,14,True,,zero,24262.84363368319,25896.847933549132,26131.79650990279,26247.353255876962
load,117,2025-04-28,zero,14,True,,zero,24334.53310700237,25912.995979545947,26089.037266882224,26433.82760834959
load,118,2025-04-29,zero,14,True,,zero,24456.301450662155,25645.92917838314,25890.447376546064,26221.89551276965
load,119,2025-04-30,zero,14,True,,zero,24165.39109582059,25610.723452201524,25824.539961459523,26239.75759218282
load,120,2025-05-01,zero,14,True,,zero,24461.942797279793,25709.88743222141,25924.989775824484,26308.39508041002
load,121,2025-05-02,zero,14,True,,zero,29055.17412214881,30301.656784063514,30486.759394736768,30767.831135347278
load,122,2025-05-03,zero,14,True,,zero,31469.44339314246,32494.64153605895,32606.15772409356,32913.27924735136
load,123,2025-05-04,zero,14,True,,zero,34665.150910748445,34897.398561548645,35206.193944980376,35672.24069141488
load,124,2025-05-05,ar1,14,True,,ar1,38448.185882718164,37667.317558322284,38276.8806838194,38774.21050818244
load,125,2025-05-06,ar1,14,True,,ar1,41686.42055414985,39574.172531954915,40399.02172071555,40388.55540535071
load,126,2025-05-07,ar1,14,True,,ar1,45442.216841675756,41318.85243870019,42689.84326386257,41598.594612362656
load,127,2025-05-08,arma11,14,True,,arma11,48809.854006019115,42514.44915919277,44366.75002308334,42416.91120017822
load,128,2025-05-09,ar1,14,True,,ar1,51068.1142926534,45935.47820097353,47220.59119954721,46788.169428469344
load,129,2025-05-10,ar1,14,True,,ar1,51980.738817003104,46814.31045185499,48076.13573244968,47863.365470007026
load,130,2025-05-11,ar1,14,True,,ar1,52559.32654492415,47753.641507506494,48885.0462505591,49110.09141662918
load,131,2025-05-12,ar1,14,True,,ar1,53086.66153935525,48735.620370054676,49876.73762661765,50032.64020573304
load,132,2025-05-13,ar1,14,True,,ar1,53521.35999075521,49356.73940176098,50465.435539088154,50589.70487458478
load,133,2025-05-14,ar1,14,True,,ar1,54623.429590527485,50571.91106476084,51706.53597793343,51774.80485744254
load,134,2025-05-15,ar1,14,True,,ar1,54558.47474271168,50789.34704586858,51861.79330265465,52163.42436729475
load,135,2025-05-16,ar1,14,True,,ar1,52079.090470199175,48340.52773610132,49448.8693928797,49880.09884506025
load,136,2025-05-17,ar1,14,True,,ar1,50465.51952062015,47206.05929398619,48333.00686628023,48813.67494226057
load,137,2025-05-18,ar1,14,True,,ar1,47885.775410828304,45444.218174642265,46275.87531299667,46739.76479652728
load,138,2025-05-19,ar1,14,True,,ar1,44747.635200041186,43572.83603946352,44076.137165712295,44509.63802746662
load,139,2025-05-20,ar1,14,True,,ar1,42409.354333721196,42262.61232872233,42516.02031239766,43349.182655633
load,140,2025-05-21,zero,14,True,,zero,38884.42434859572,40548.552009935134,40175.12427554158,42178.47523989736
load,141,2025-05-22,zero,14,True,,zero,35781.5663780384,39730.082343558526,38765.24943033994,41806.013395849186
load,142,2025-05-23,zero,14,True,,zero,35085.514351968726,37876.03906603954,37509.677811013076,38977.130111311104
load,143,2025-05-24,zero,14,True,,zero,35330.220419037054,38039.87606315595,37715.607773121774,38929.91582108478
load,144,2025-05-25,zero,14,True,,zero,35254.7178073662,37921.00733666165,37647.44249129002,38515.16979468787
load,145,2025-05-26,zero,14,True,,zero,35393.63466478794,37850.751716151106,37585.13250668788,38324.63558819728
load,146,2025-05-27,zero,14,True,,zero,35637.18007531416,38046.758582386916,37766.43794872826,38390.38804894501
load,147,2025-05-28,zero,14,True,,zero,35072.175707776914,37524.327815129276,37171.01579087941,37839.64780318483
load,148,2025-05-29,zero,14,True,,zero,35172.095005875526,37707.38996298735,37343.339323967855,37819.21388199718
load,149,2025-05-30,zero,14,True,,zero,34288.91039341938,36742.886518701394,36347.38441800785,36786.55535158289
load,150,2025-05-31,zero,14,True,,zero,33364.7266840699,36021.47602598699,35665.19263935397,36089.14889969246
load,151,2025-06-01,zero,14,True,,zero,33712.503797564386,36388.26249174041,36100.84696823042,36523.16239608314
load,152,2025-06-02,zero,14,True,,zero,46363.058058060284,48571.04302090045,48054.670341766236,48704.070830276476
load,153,2025-06-03,ma1,14,True,,ma1,58948.454797856066,56190.43680109345,55928.09393619458,56475.95940260312
load,154,2025-06-04,ar1,14,True,,ar1,71889.63567942652,62376.88806808588,63725.51046752483,62825.824174588764
load,155,2025-06-05,ar1,14,True,,ar1,85365.8618101367,68093.98531182448,70993.09589195477,68199.2630535078
load,156,2025-06-06,arma11,14,True,,arma11,96398.79767131737,71671.516749256,75951.48606776734,71010.63819528632
load,157,2025-06-07,arma11,14,True,,arma11,110003.66664952178,76267.25505906723,82817.33425323405,74189.43580664623
load,158,2025-06-08,arma11,14,True,,arma11,124244.89014983209,80113.89006122545,88584.33508608566,76957.14282572975
load,159,2025-06-09,arma11,14,True,,arma11,124047.20261564609,84741.96513211005,90362.4556598163,83927.13884345806
load,160,2025-06-10,ar1,14,True,,ar1,124293.6435032353,85061.43949559996,90785.01205465,85465.50740488115
load,161,2025-06-11,ar1,14,True,,ar1,125012.36159899943,86323.40282601038,92293.5011173173,87111.95504094285
load,162,2025-06-12,ar1,14,True,,ar1,125789.92805358276,87385.231535496,93363.73585529346,88273.67175280227
load,163,2025-06-13,ar1,14,True,,ar1,126678.78051690919,89184.22051800982,95317.863256547,90045.80891636989
load,164,2025-06-14,ar1,14,True,,ar1,127427.41115281536,90192.64246837246,96459.80906741266,90920.9226631341
load,165,2025-06-15,ar1,14,True,,ar1,127155.55947040833,90349.14917863507,96584.54934366969,90956.95265403615
load,166,2025-06-16,ar1,14,True,,ar1,114709.93703527004,78753.33716474411,85561.42244991373,79395.19569475911
load,167,2025-06-17,ar1,14,True,,ar1,102817.6539291635,72571.57121724165,79203.6195714091,73077.06896719772
load,168,2025-06-18,ar1,14,True,,ar1,90323.46096092164,67167.55391282878,72498.56892388711,67235.54934973358
load,169,2025-06-19,ar1,14,True,,ar1,77549.02790581629,62670.61764020428,66708.52470507272,62808.380452935875
load,170,2025-06-20,ar1,14,True,,ar1,67020.7890767603,60265.07407654176,62863.61466522371,61190.03218793311
load,171,2025-06-21,zero,14,True,,zero,53557.365048120795,56646.74880917752,57325.417835818596,58787.68617590736
load,172,2025-06-22,zero,14,True,,zero,39861.794586755095,54244.114313100064,52955.82802802136,57303.15279806093
load,173,2025-06-23,zero,14,True,,zero,40243.96215443279,50267.86983175032,51971.09637206919,50951.49297359906
load,174,2025-06-24,zero,14,True,,zero,40679.37839851897,51460.13320539389,53305.53831272321,50934.92968706819
load,175,2025-06-25,zero,14,True,,zero,41311.9738426072,52015.57058931274,53697.18482181621,51043.20182495793
load,176,2025-06-26,zero,14,True,,zero,41544.729231339574,52183.21585301882,53958.95159733807,51087.33775029276
load,177,2025-06-27,zero,14,True,,zero,41072.85528068343,51117.72580066326,52891.808956539695,49990.83710743412
load,178,2025-06-28,zero,14,True,,zero,41720.91347028108,51700.84217818201,53313.11455037176,50624.13252461186
load,179,2025-06-29,zero,14,True,,zero,42691.71268958349,53114.16499478614,54410.70285873326,52068.89103335986
load,180,2025-06-30,zero,14,True,,zero,42940.90490654009,52950.28772965698,54071.33620319121,51824.64063941097
load,181,2025-07-01,zero,14,True,,zero,43015.98967712832,53302.41710863774,54285.39805101246,52102.38529107807
load,182,2025-07-02,zero,14,True,,zero,70428.51334587348,79481.62957341573,79817.15090446452,79059.59132205298
load,183,2025-07-03,ar1,14,True,,ar1,99703.623126295,95794.2042305194,96924.79425249538,96376.94309909745
load,184,2025-07-04,ar1,14,True,,ar1,128379.11258608736,106503.5559050327,112539.27767593153,106941.5185904358
load,185,2025-07-05,arma11,14,True,,arma11,161782.5015946004,118299.86947639998,129271.77955112857,116661.87501499783
load,186,2025-07-06,arma11,14,True,,arma11,191923.7976805745,124406.69926263359,141285.5258032813,120896.23993883039
load,187,2025-07-07,arma11,14,True,,arma11,220811.01450320816,131014.83443157944,153321.56475158944,125278.08841067147
load,188,2025-07-08,arma11,14,True,,arma11,251720.48531107622,138796.8771143853,166280.99746234142,129233.65116997849
load,189,2025-07-09,arma11,14,True,,arma11,252447.22903148664,152391.8425510716,172369.00775846056,147940.06207377487
load,190,2025-07-10,arma11,14,True,,arma11,253252.51943944028,153575.68625181649,172782.55349272824,152074.35004522296
load,191,2025-07-11,arma11,14,True,,arma11,255586.5358985344,157208.61406716565,177156.48380423588,156137.34629262926
load,192,2025-07-12,arma11,14,True,,arma11,255365.10921497992,157241.4461325092,177356.75125983756,156258.69185832125
load,193,2025-07-13,arma11,14,True,,arma11,255658.49770678036,157538.43532277574,178060.44174739736,156451.09514050503
load,194,2025-07-14,arma11,14,True,,arma11,256121.19590014862,158858.95620040956,179633.54743209408,157479.75066711305
load,195,2025-07-15,arma11,14,True,,arma11,256525.10828082656,158941.2343718399,179598.91929000075,157375.54193497854
load,196,2025-07-16,arma11,14,True,,arma11,231924.69553676562,135439.00180811857,157254.12559530462,132963.24400380164
load,197,2025-07-17,arma11,14,True,,arma11,204363.97716042178,121052.27866794744,141816.7536067095,117698.93038456704
load,198,2025-07-18,arma11,14,True,,arma11,177450.9497970942,113312.22974173723,129181.44547375027,109816.41559494795
load,199,2025-07-19,arma11,14,True,,arma11,144468.9158162814,102895.9818185019,113466.37847760944,101199.17102525831
load,200,2025-07-20,arma11,14,True,,arma11,114542.73018694292,97322.85319401552,102438.33153024774,97223.19459839443
load,201,2025-07-21,zero,14,True,,zero,87079.30909970053,92605.75913211583,92493.08862827334,94390.25170399107
load,202,2025-07-22,zero,14,True,,zero,57973.97661579895,87426.49515982158,82334.16675195958,92637.00082302226
load,203,2025-07-23,zero,14,True,,zero,57824.919519521536,75593.01939230693,77583.35459249653,75658.40007356709
load,204,2025-07-24,zero,14,True,,zero,58712.97197091425,77026.11972575916,80218.8072058579,73657.77020965304
load,205,2025-07-25,zero,14,True,,zero,57300.623852572906,75587.83533684388,77838.36844448924,71674.16471966101
load,206,2025-07-26,zero,14,True,,zero,57272.581047906286,75536.06893642525,77988.93618236485,71352.74979838285
load,207,2025-07-27,zero,14,True,,zero,58001.54627240893,76194.23739439218,78990.15982874253,71541.11895493905
load,208,2025-07-28,zero,14,True,,zero,58263.9619596057,76110.21503618755,78729.53114255791,71456.13375225147
load,209,2025-07-29,zero,14,True,,zero,57677.96451495919,76131.12053467167,78765.23307813931,71481.7329281002
load,210,2025-07-30,zero,14,True,,zero,56574.65576361112,77083.1263035452,78799.72998712544,72013.1081242679
load,211,2025-07-31,zero,14,True,,zero,55107.237512011845,75866.25014369821,77757.32340236529,70507.84858308909
load,212,2025-08-01,zero,14,True,,zero,54624.36817165021,74431.12674292253,76711.55848713063,69290.4636397484
load,213,2025-08-02,zero,14,True,,zero,55003.65489283801,73218.93195729167,75393.98991542967,68182.96956776698
load,214,2025-08-03,zero,14,True,,zero,55620.91645592174,73359.94189039155,75215.25749926189,68336.32709701176
load,215,2025-08-04,zero,14,True,,zero,54351.027358268264,71827.97566587011,72877.44926947054,67214.03655899905
load,216,2025-08-05,zero,14,True,,zero,52996.15243307362,69000.95612573347,69636.70576820029,64741.76091830012
load,217,2025-08-06,zero,14,True,,zero,53960.32617304119,69515.17905643416,70268.59162140243,65082.5466278173
load,218,2025-08-07,zero,14,True,,zero,54120.14021784618,68683.78668823703,68848.56849774475,64818.70525849348
load,219,2025-08-08,zero,14,True,,zero,54650.44878962949,68404.76365062427,68547.1861821754,64576.32323633017
load,220,2025-08-09,zero,14,True,,zero,55376.4692191346,68856.61379430979,68846.36243091624,65020.72660175347
load,221,2025-08-10,zero,14,True,,zero,54280.30146510088,66921.55397163813,66677.30961053124,63525.83625291162
load,222,2025-08-11,zero,14,True,,zero,54262.91285544978,66988.00982286602,66216.3892063942,63874.26016497819
load,223,2025-08-12,zero,14,True,,zero,54978.358458151146,67321.6828468341,66522.0194314536,64135.44000956703
load,224,2025-08-13,zero,14,True,,zero,53911.39715528427,64597.99170566344,63732.45275286255,62220.29455863182
load,225,2025-08-14,zero,14,True,,zero,54527.21461503122,64585.09981814184,63583.98140241211,62268.388128350394
load,226,2025-08-15,zero,14,True,,zero,54977.78067648276,65474.98734736976,63912.03983496807,63287.333858100035
load,227,2025-08-16,zero,14,True,,zero,55054.98504093701,66281.35407300695,64533.384705670964,64499.257713451436
load,228,2025-08-17,zero,14,True,,zero,54169.512410513795,65371.230681515,63096.3219847454,63781.19415614833
load,229,2025-08-18,zero,14,True,,zero,55186.874726398324,66306.00588457136,64322.62324476628,64380.43830996517
load,230,2025-08-19,zero,14,True,,zero,55735.42808813628,67637.92244262435,65256.50847555051,65668.45063865805
load,231,2025-08-20,zero,14,True,,zero,54941.65954191983,66899.44177979625,64732.57094677274,65106.43262081064
load,232,2025-08-21,zero,14,True,,zero,54615.33784230438,66968.3950051989,64616.01619165994,65016.21573124309
load,233,2025-08-22,zero,14,True,,zero,54458.54342522828,66890.81483391774,64624.30838624905,64822.7297273851
load,234,2025-08-23,zero,14,True,,zero,54136.41979295167,66482.6677735412,63732.25971417844,64898.3491035861
load,235,2025-08-24,zero,14,True,,zero,53608.48629090604,67019.2880034131,63665.25209711999,65349.84052576238
load,236,2025-08-25,zero,14,True,,zero,53704.516302752454,66778.1526865845,63614.20914354657,64998.41650206489
load,237,2025-08-26,zero,14,True,,zero,52630.63970622128,65424.15835383937,62555.92887497326,63872.76790204377
load,238,2025-08-27,zero,14,True,,zero,53372.21077972447,65814.02919041761,63270.03624497466,64635.391420381835
load,239,2025-08-28,zero,14,True,,zero,52456.98424769685,64946.619858537735,62446.060807977046,64172.82183398991
load,240,2025-08-29,zero,14,True,,zero,52281.327344482714,63143.964231953585,61004.17667863771,62527.66365727933
load,241,2025-08-30,zero,14,True,,zero,52707.7776685237,63211.42572976202,61251.03613208933,62644.975014103875
load,242,2025-08-31,zero,14,True,,zero,53042.54901181139,62255.3369579671,60876.43361223946,62108.67114988019
load,243,2025-09-01,zero,14,True,,zero,53058.632143212555,61205.969707129436,60099.698601460455,61441.345998080404
load,244,2025-09-02,zero,14,True,,zero,77075.009210645,83092.63959052118,82034.80226195745,83263.49913471098
load,245,2025-09-03,ma1,14,True,,ma1,101349.01217221741,102404.91331767415,101309.1791835716,102364.87357502617
load,246,2025-09-04,ar1,14,True,,ar1,122787.42552058845,113221.35949455065,113671.05862844433,114225.15966561683
load,247,2025-09-05,arma11,14,True,,arma11,149858.4361279349,126276.7764049304,129160.82490542102,125930.88106285366
load,248,2025-09-06,arma11,14,True,,arma11,173184.15679736037,134269.8642977494,140408.26681060166,131365.79804376178
load,249,2025-09-07,arma11,14,True,,arma11,201473.47473644288,144050.92746785656,154463.90828581573,136816.16964204353
load,250,2025-09-08,arma11,14,True,,arma11,225811.220132246,149078.72869348447,163233.33068306794,139082.37411386502
load,251,2025-09-09,arma11,14,True,,arma11,224782.156137145,156402.89901092323,165465.06414053324,153376.51199134308
load,252,2025-09-10,arma11,14,True,,arma11,223279.68486274063,154266.25569022764,163384.4432356144,153517.69789351049
load,253,2025-09-11,arma11,14,True,,arma11,223216.23577218383,153988.4573673123,163294.77106732217,153654.03510916035
load,254,2025-09-12,arma11,14,True,,arma11,220691.58151631005,152742.12287582931,161779.30820416103,152447.4124025344
load,255,2025-09-13,arma11,14,True,,arma11,218663.57917120456,150557.16991410867,159992.39908131794,149991.00325463497
load,256,2025-09-14,arma11,14,True,,arma11,217706.07440135695,149869.22065048406,159327.3007379323,149118.2894536395
load,257,2025-09-15,arma11,14,True,,arma11,216650.94182238713,149852.87304306126,159552.40187764826,149023.46450995072
load,258,2025-09-16,arma11,14,True,,arma11,191076.04667340592,126011.35184714603,135946.39433621493,125439.05226916248
load,259,2025-09-17,arma11,14,True,,arma11,165038.3515497709,104397.7570651131,114799.13830389002,103922.444801828
load,260,2025-09-18,arma11,14,True,,arma11,141119.98133577534,90610.25253900408,99631.7653892454,89252.55457841541
load,261,2025-09-19,arma11,14,True,,arma11,111764.7175182655,75424.65250656616,82054.98421172901,75417.69042528288
load,262,2025-09-20,ar1,14,True,,ar1,87315.05148999767,66264.12058669083,70019.49122132102,68418.69132082016
load,263,2025-09-21,ma1,14,True,,ma1,58817.05316918738,55648.79131927892,55606.121208476405,62250.15541094912
load,264,2025-09-22,zero,14,True,,zero,32748.248662329537,49095.421886824064,45213.02469148504,58754.469687918376
load,265,2025-09-23,zero,14,True,,zero,33164.068026245295,41637.624995573526,42932.86372083543,44339.102113930654
load,266,2025-09-24,zero,14,True,,zero,33472.61052288829,42418.41684042072,43737.64668390126,42345.55649582802
load,267,2025-09-25,zero,14,True,,zero,33214.5141537604,42621.530107256614,43828.65250969506,41875.709383890775
load,268,2025-09-26,zero,14,True,,zero,34328.73846281045,43553.51573514625,44833.580883808805,42443.44359173815
