target,day_index,date,training_days,sufficient,ar1_ok,ar1_constant_bypass,ar1_fit_failure,ar1_insufficient_history,ma1_ok,ma1_constant_bypass,ma1_fit_failure,ma1_insufficient_history,arma11_ok,arma11_constant_bypass,arma11_fit_failure,arma11_insufficient_history,reasons
load,28,2025-01-29,21,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,29,2025-01-30,22,True,143,0,1,0,144,0,0,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,30,2025-01-31,23,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,31,2025-02-01,24,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,32,2025-02-02,25,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,33,2025-02-03,26,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,34,2025-02-04,27,True,144,0,0,0,141,0,3,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 3}}"
load,35,2025-02-05,28,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,36,2025-02-06,29,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,37,2025-02-07,30,True,144,0,0,0,142,0,2,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 2}}"
load,38,2025-02-08,31,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,39,2025-02-09,32,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,40,2025-02-10,33,True,144,0,0,0,142,0,2,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 2}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,41,2025-02-11,34,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,42,2025-02-12,35,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,43,2025-02-13,36,True,142,0,2,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 2}}"
load,44,2025-02-14,37,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,45,2025-02-15,38,True,142,0,2,0,144,0,0,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 2}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,46,2025-02-16,39,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,47,2025-02-17,40,True,142,0,2,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 2}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,48,2025-02-18,41,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,49,2025-02-19,42,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,50,2025-02-20,43,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,51,2025-02-21,44,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,52,2025-02-22,45,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,53,2025-02-23,46,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,54,2025-02-24,47,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,55,2025-02-25,48,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,56,2025-02-26,49,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,57,2025-02-27,50,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,58,2025-02-28,51,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,59,2025-03-01,52,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,60,2025-03-02,53,True,144,0,0,0,143,0,1,0,142,0,2,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 2}}"
load,61,2025-03-03,54,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,62,2025-03-04,55,True,143,0,1,0,142,0,2,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 2}}"
load,63,2025-03-05,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,64,2025-03-06,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,65,2025-03-07,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,66,2025-03-08,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,67,2025-03-09,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,68,2025-03-10,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,69,2025-03-11,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,70,2025-03-12,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,71,2025-03-13,56,True,144,0,0,0,142,0,2,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 2}}"
load,72,2025-03-14,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,73,2025-03-15,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,74,2025-03-16,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,75,2025-03-17,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,76,2025-03-18,56,True,144,0,0,0,141,0,3,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 3}}"
load,77,2025-03-19,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,78,2025-03-20,56,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,79,2025-03-21,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,80,2025-03-22,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,81,2025-03-23,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,82,2025-03-24,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,83,2025-03-25,56,True,144,0,0,0,142,0,2,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 2}}"
load,84,2025-03-26,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,85,2025-03-27,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,86,2025-03-28,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,87,2025-03-29,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,88,2025-03-30,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,89,2025-03-31,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,90,2025-04-01,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,91,2025-04-02,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,92,2025-04-03,56,True,141,0,3,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 3}}"
load,93,2025-04-04,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,94,2025-04-05,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,95,2025-04-06,56,True,142,0,2,0,143,0,1,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 2}, ""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,96,2025-04-07,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,97,2025-04-08,56,True,144,0,0,0,142,0,2,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 2}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,98,2025-04-09,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,99,2025-04-10,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,100,2025-04-11,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,101,2025-04-12,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,102,2025-04-13,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,103,2025-04-14,56,True,142,0,2,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 2}}"
load,104,2025-04-15,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,105,2025-04-16,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,106,2025-04-17,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,107,2025-04-18,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,108,2025-04-19,56,True,142,0,2,0,142,0,2,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 2}, ""ma1"": {""optimiser_not_converged"": 2}}"
load,109,2025-04-20,56,True,143,0,1,0,144,0,0,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,110,2025-04-21,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,111,2025-04-22,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,112,2025-04-23,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,113,2025-04-24,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,114,2025-04-25,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,115,2025-04-26,56,True,142,0,2,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 2}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,116,2025-04-27,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,117,2025-04-28,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,118,2025-04-29,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,119,2025-04-30,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,120,2025-05-01,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,121,2025-05-02,56,True,143,0,1,0,142,0,2,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 2}}"
load,122,2025-05-03,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,123,2025-05-04,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,124,2025-05-05,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,125,2025-05-06,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,126,2025-05-07,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,127,2025-05-08,56,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,128,2025-05-09,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,129,2025-05-10,56,True,144,0,0,0,141,0,3,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 3}}"
load,130,2025-05-11,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,131,2025-05-12,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,132,2025-05-13,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,133,2025-05-14,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,134,2025-05-15,56,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,135,2025-05-16,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,136,2025-05-17,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,137,2025-05-18,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,138,2025-05-19,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,139,2025-05-20,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,140,2025-05-21,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,141,2025-05-22,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,142,2025-05-23,56,True,144,0,0,0,142,0,2,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 2}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,143,2025-05-24,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,144,2025-05-25,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,145,2025-05-26,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,146,2025-05-27,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,147,2025-05-28,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,148,2025-05-29,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,149,2025-05-30,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,150,2025-05-31,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,151,2025-06-01,56,True,143,0,1,0,143,0,1,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,152,2025-06-02,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,153,2025-06-03,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,154,2025-06-04,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,155,2025-06-05,56,True,142,0,2,0,144,0,0,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 2}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,156,2025-06-06,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,157,2025-06-07,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,158,2025-06-08,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,159,2025-06-09,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,160,2025-06-10,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,161,2025-06-11,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,162,2025-06-12,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,163,2025-06-13,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,164,2025-06-14,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,165,2025-06-15,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,166,2025-06-16,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,167,2025-06-17,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,168,2025-06-18,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,169,2025-06-19,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,170,2025-06-20,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,171,2025-06-21,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,172,2025-06-22,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,173,2025-06-23,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,174,2025-06-24,56,True,144,0,0,0,142,0,2,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 2}}"
load,175,2025-06-25,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,176,2025-06-26,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,177,2025-06-27,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,178,2025-06-28,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,179,2025-06-29,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,180,2025-06-30,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,181,2025-07-01,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,182,2025-07-02,56,True,142,0,2,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 2}}"
load,183,2025-07-03,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,184,2025-07-04,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,185,2025-07-05,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,186,2025-07-06,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,187,2025-07-07,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,188,2025-07-08,56,True,143,0,1,0,144,0,0,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,189,2025-07-09,56,True,143,0,1,0,143,0,1,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,190,2025-07-10,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,191,2025-07-11,56,True,143,0,1,0,142,0,2,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 2}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,192,2025-07-12,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,193,2025-07-13,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,194,2025-07-14,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,195,2025-07-15,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,196,2025-07-16,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,197,2025-07-17,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,198,2025-07-18,56,True,144,0,0,0,144,0,0,0,142,0,2,0,"{""arma11"": {""optimiser_not_converged"": 2}}"
load,199,2025-07-19,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,200,2025-07-20,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,201,2025-07-21,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,202,2025-07-22,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,203,2025-07-23,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,204,2025-07-24,56,True,142,0,2,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 2}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,205,2025-07-25,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,206,2025-07-26,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,207,2025-07-27,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,208,2025-07-28,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,209,2025-07-29,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,210,2025-07-30,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,211,2025-07-31,56,True,143,0,1,0,143,0,1,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 1}}"
load,212,2025-08-01,56,True,143,0,1,0,142,0,2,0,143,0,1,0,"{""ar1"": {""optimiser_not_converged"": 1}, ""ma1"": {""optimiser_not_converged"": 2}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,213,2025-08-02,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,214,2025-08-03,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,215,2025-08-04,56,True,144,0,0,0,142,0,2,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 2}}"
load,216,2025-08-05,56,True,144,0,0,0,143,0,1,0,143,0,1,0,"{""ma1"": {""optimiser_not_converged"": 1}, ""arma11"": {""optimiser_not_converged"": 1}}"
load,217,2025-08-06,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,218,2025-08-07,56,True,144,0,0,0,144,0,0,0,142,0,2,0,"{""arma11"": {""optimiser_not_converged"": 2}}"
load,219,2025-08-08,56,True,143,0,1,0,144,0,0,0,144,0,0,0,"{""ar1"": {""optimiser_not_converged"": 1}}"
load,220,2025-08-09,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,221,2025-08-10,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,222,2025-08-11,56,True,144,0,0,0,144,0,0,0,143,0,1,0,"{""arma11"": {""optimiser_not_converged"": 1}}"
load,223,2025-08-12,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,224,2025-08-13,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,225,2025-08-14,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,226,2025-08-15,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,227,2025-08-16,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
load,228,2025-08-17,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,229,2025-08-18,56,True,144,0,0,0,143,0,1,0,144,0,0,0,"{""ma1"": {""optimiser_not_converged"": 1}}"
load,230,2025-08-19,56,True,144,0,0,0,144,0,0,0,144,0,0,0,
